tree logl logTop logProp logPrior logWt
(1,(2,(((((7,8),9),10),12),11)),((3,(4,5)),6)); -7693.16 -6.16349 83.6212 39.4843 -7731.13
(1,2,(((3,(4,5)),6),(((((7,8),9),10),11),12))); -7717.58 -3.95734 70.724 38.1491 -7746.2
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7692.61 -1.55464 74.6246 38.8953 -7726.78
(1,2,(((3,(4,5)),6),(((((7,8),9),10),11),12))); -7706.09 -3.95734 80.9686 38.5991 -7744.51
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.82 -1.26374 80.6119 38.676 -7740.5
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7689.38 -1.55464 78.7201 39.0813 -7727.46
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7693.02 -1.41733 82.3468 39.5551 -7734.4
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7689.16 -1.55464 77.9423 38.8903 -7726.65
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7700.31 -3.17898 80.2164 38.8046 -7738.54
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7696.49 -1.55464 72.6503 38.7874 -7728.8
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7684.34 -3.46988 82.1895 38.9644 -7724.09
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.42 -1.26374 81.6715 39.2423 -7741.59
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7704.08 -1.26374 74.6538 38.8039 -7738.67
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.92 -1.41733 76.2536 38.801 -7732.96
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7687.77 -1.55464 80.3847 39.4119 -7727.19
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7696.4 -1.26374 84.4964 39.0435 -7740.59
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7693.56 -1.41733 81.7266 38.8768 -7735
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.81 -1.41733 81.3933 39.2426 -7733.55
(1,2,(((3,(4,5)),6),(((((7,8),9),10),12),11))); -7694.75 -4.24825 81.2714 39.427 -7732.35
(1,2,(((3,(4,5)),6),(((((7,8),9),10),12),11))); -7693.31 -4.24825 82.9888 38.6823 -7733.36
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7708.17 -1.26374 72.5098 38.621 -7740.79
(1,2,(((3,(4,5)),6),((((7,8),9),10),(11,12)))); -7702.87 -4.11093 76.7968 38.7396 -7736.81
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7703.79 -1.26374 77.804 38.9454 -7741.39
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7691.65 -1.55464 75.6791 38.9266 -7726.85
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.83 -1.41733 78.2661 39.3089 -7732.37
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7684.63 -1.55464 82.9409 39.4504 -7726.56
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7689.81 -1.41733 84.2603 38.9736 -7733.68
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7704.11 -1.26374 77.5283 39.1061 -7741.26
(1,(2,(((((7,8),9),10),11),12)),((3,(4,5)),6)); -7710.37 -5.87258 80.6351 39.0103 -7746.12
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7705.32 -3.54903 78.1932 38.5959 -7741.37
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.29 -1.41733 79.5669 39.0924 -7733.35
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7693.38 -1.41733 80.6146 39.0318 -7733.54
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.27 -1.41733 79.3932 39.5495 -7733.7
(1,2,(((3,6),(4,5)),(((((7,8),9),10),11),12))); -7698.58 -3.54903 84.0678 39.0092 -7740.09
(1,2,(((3,6),(4,5)),(((((7,8),9),10),12),11))); -7694.01 -3.83993 75.8581 38.6457 -7727.38
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7684.82 -1.55464 83.1645 39.2702 -7727.16
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7693.17 -1.41733 81.7319 39.173 -7734.31
(1,2,(((3,6),(4,5)),(((((7,8),9),10),12),11))); -7691.64 -3.83993 79.675 39.0894 -7728.39
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.4 -1.41733 79.4919 39.4638 -7735.01
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7682.55 -1.55464 85.5983 39.0739 -7727.52
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7699.14 -3.17898 80.5258 38.8833 -7737.6
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7702.75 -1.26374 79.2716 39.0796 -7741.68
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7698.33 -1.26374 82.9942 39.2152 -7740.84
(1,2,((3,((4,5),6)),(((((7,8),9),10),12),11))); -7686.92 -1.55464 82.9299 38.9404 -7729.35
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.77 -1.41733 79.2848 38.9998 -7733.64
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7687.14 -3.33257 83.0816 39.3797 -7727.51
