tree logl logTop logProp logPrior logWt
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7693.73 -0.486096 74.8357 38.3706 -7729.71
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.5 -0.486096 80.6783 38.7357 -7730.95
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7703.02 -1.90954 77.2563 39.2057 -7739.16
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7693.03 -2.13733 81.3151 39.0121 -7733.2
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7686.99 -0.486096 82.7278 38.605 -7730.62
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.51 -0.486096 78.6295 39.3743 -7731.28
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7691.9 -0.486096 79.6136 39.037 -7731.99
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7687.67 -0.486096 80.4469 39.0085 -7728.62
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.43 -2.13733 77.5062 38.6203 -7733.18
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7695.23 -0.486096 72.7851 38.8086 -7728.72
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.43 -0.486096 81.6541 39.0761 -7731.53
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7701.16 -1.90954 78.8246 38.9501 -7739.13
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7685.54 -0.486096 83.9354 39.2481 -7729.75
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688.97 -0.486096 80.9812 39.0152 -7730.45
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7687.48 -0.486096 84.0474 39.0768 -7731.97
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7696.41 -0.486096 73.5647 38.6468 -7730.84
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.12 -0.486096 79.1586 38.8408 -7731.95
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7706.21 -1.90954 73.7963 39.3223 -7738.77
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7690.72 -0.486096 79.9073 39.2362 -7730.9
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7686.26 -3.24971 79.0415 39.2082 -7722.84
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7693.23 -0.486096 79.191 39.4553 -7732.48
