tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,3),((4,6),5)); -4546.65  -1.80467 31.0786 13.5735 24.0229 -4586.37 0.309247 0.243099 0.156563 0.291091  0.245382  0.154365   0.07795 0.0271257  0.484861 0.0103161
(1,2,(3,(4,(5,6)))); -4535.85  -1.24539 32.2633 13.6679 25.1949 -4578.39  0.28399 0.256543 0.163208 0.296259  0.256312  0.140781 0.0844183 0.0217138  0.481587 0.0151876
(1,(2,3),(4,(5,6))); -4538.6  -1.49778 31.9902 13.8422 25.5144 -4580.76 0.304919 0.260566 0.152859 0.281656   0.236301   0.167857   0.098959  0.0120211   0.482186 0.00267619
(1,2,(3,((4,6),5))); -4535.16  -1.55227 30.2265 13.4855 25.8473 -4576.2 0.288438 0.262446 0.164546 0.284571   0.262487   0.158164   0.073372  0.0150311   0.482609 0.00833735
(1,(2,3),((4,6),5)); -4545.09  -1.80467 27.9104 13.2981 27.9548 -4585.85 0.283554 0.280269 0.139417  0.29676   0.225911   0.141252  0.0789214  0.0193315   0.530438 0.00414602
(1,(2,3),((4,6),5)); -4546.26  -1.80467 30.4111 13.2447 22.6825 -4584.3 0.281189 0.258046 0.161973 0.298793  0.263576  0.172875 0.0750588 0.0122464  0.459488 0.0167554
(1,2,(3,(4,(5,6)))); -4535.74  -1.24539 27.4748 13.0528 28.8237 -4577.74 0.287776 0.280425 0.140774 0.291024   0.230383   0.153815   0.096396   0.016535   0.495362 0.00750874
(1,2,(3,((4,6),5))); -4546.46  -1.55227 24.7449 13.4038 21.5918 -4577.84 0.296332 0.287942 0.145249 0.270477   0.240103   0.152079   0.123337   0.027274   0.452468 0.00473957
(1,(2,3),(4,(5,6))); -4538.16  -1.49778 31.9921 13.8085 26.7064 -4581.55 0.280853 0.270974 0.149283  0.29889   0.233796   0.184576  0.0815189  0.0280219   0.467225 0.00486242
(1,2,(3,(4,(5,6)))); -4537.89  -1.24539 28.4648 12.9813 25.7246 -4577.85 0.270018 0.279465 0.159408 0.291109  0.224379  0.169832 0.0753473 0.0233248  0.493574  0.013543
(1,2,(3,((4,6),5))); -4538.99  -1.55227 24.3507 13.2373 27.6026 -4576.15 0.288398 0.275116 0.140003 0.296483   0.246145   0.167661  0.0971433   0.012633   0.471631 0.00478611
(1,2,(3,((4,6),5))); -4532.41  -1.55227 30.8789 13.3562 27.8154 -4576.19  0.29587 0.269395 0.152678 0.282056  0.245782  0.161121 0.0901212  0.022994  0.476904 0.0030775
(1,(2,3),(4,(5,6))); -4540.43  -1.49778 29.3282 13.6526 26.4193 -4581.02 0.307621 0.276951 0.134823 0.280605  0.250953  0.143272 0.0840472 0.0244994  0.489191 0.0080372
(1,2,(3,(4,(5,6)))); -4536.68  -1.24539 29.8236 13.629 27.0305 -4578.66 0.280821 0.283044 0.149975  0.28616  0.231323  0.164718 0.0897352 0.0280424  0.475479 0.0107022
(1,2,(3,(4,(5,6)))); -4537.27  -1.24539 29.2246 13.3185 26.1741 -4578.11 0.277024 0.254018 0.151977 0.316981   0.235623   0.169503  0.0846894  0.0247908   0.482014 0.00337961
(1,2,(3,(4,(5,6)))); -4543.68  -1.24539 19.9528 12.7613 27.3995 -4577.02 0.289655 0.268505 0.139505 0.302335   0.25375  0.168628 0.0895282 0.0243022  0.459862 0.0039292
(1,2,(3,((4,6),5))); -4539.98  -1.55227 26.3542 13.6056 26.6435 -4577.82 0.301808  0.26294 0.130793 0.304459   0.247981   0.161332  0.0694687  0.0157007   0.500106 0.00541153
(1,2,(3,((4,6),5))); -4543.33  -1.55227 26.9964 14.4578 25.0731 -4579.39 0.291681 0.244307  0.14891 0.315102   0.232422   0.146973  0.0834053  0.0300709    0.50238 0.00474844
(1,(2,(4,(5,6))),3); -4538.72  -2.82474 31.4342 13.8215 25.7142 -4579.23 0.313366 0.267719 0.133579 0.285336   0.242274   0.160302   0.099756  0.0136845   0.478736 0.00524768
(1,(2,(4,(5,6))),3); -4541.31  -2.82474 31.183 13.7293 25.5523 -4581.49 0.275771 0.274673   0.1525 0.297057   0.271773    0.14849  0.0959118  0.0240772   0.451932 0.00781504
(1,(2,3),(4,(5,6))); -4541.25  -1.49778 28.5544 13.8416 25.7468 -4580.21  0.30502 0.253836 0.142238 0.298907  0.229076  0.163232 0.0950275 0.0132489  0.484885 0.0145302
(1,(2,3),((4,6),5)); -4544.36  -1.80467 30.2413 13.0662 25.8786 -4585.61 0.268655 0.272848 0.154532 0.303966   0.211167   0.154743  0.0965164  0.0129196    0.52081 0.00384379
(1,2,(3,(4,(5,6)))); -4535.12  -1.24539 28.4167 13.5552 28.8779 -4577.62 0.294491 0.278714 0.136814 0.289981   0.231692   0.151672  0.0873727     0.0216   0.500863 0.00679973
(1,(2,3),(4,(5,6))); -4539.03  -1.49778 29.6837 13.457 27.5241 -4581.28 0.290079 0.262361 0.157802 0.289758  0.263282  0.145309 0.0830884  0.017775  0.486076 0.0044699
(1,(2,3),(4,(5,6))); -4546.45  -1.49778 24.5679 13.2007 24.6958 -4581.02 0.300151 0.269228 0.126914 0.303707  0.238886  0.135108 0.0708309 0.0214642   0.52088 0.0128313
(1,2,(3,((4,6),5))); -4542.27  -1.55227 29.7545 13.9452 21.619 -4578.14 0.324431 0.252403 0.126528 0.296639  0.249713  0.149871 0.0942434 0.0162467  0.476972 0.0129535
(1,2,(3,(4,(5,6)))); -4533.39  -1.24539 31.4849 13.3476 28.042 -4578.32 0.292382 0.256352 0.143687  0.30758   0.225907   0.162467  0.0821289  0.0244262   0.496052 0.00901881
