tree logl logTop logProp logPrior logWt
(1,((((((((2,((4,(28,29)),27)),26),5),8),(((6,23),9),(21,22))),(3,((7,13),((((10,25),(30,31)),(20,(33,34))),((11,(15,32)),(12,((16,37),18))))))),((14,17),(19,24))),35),36); -56566.6 -15.4484 339.965 141.333 -56780.7
(1,((((((((((2,(((4,28),29),27)),26),8),((6,23),9)),((14,17),(19,24))),(((3,12),(((10,25),(30,31)),((15,32),((20,33),34)))),(5,11))),((7,13),(21,22))),18),(16,37)),35),36); -56570.5 -12.6933 339.613 141.323 -56781.5
(1,(((((((((((2,((4,(28,29)),27)),26),8),(5,11)),((6,23),(9,(21,22)))),((14,17),(19,24))),(((((10,25),(30,31)),34),(20,33)),((15,32),18))),(3,12)),(7,13)),(16,37)),35),36); -56541.9 -16.7978 333.113 141.026 -56750.8
(1,((((((((((((2,(((4,28),29),27)),26),8),((6,23),9)),((14,17),(19,24))),3),((((10,25),(30,31)),((20,33),34)),((12,18),(15,32)))),(5,11)),(21,22)),(7,13)),(16,37)),35),36); -56609.1 -13.6924 334.944 141.169 -56816.6
(1,(((((((((2,((4,(28,29)),27)),26),(5,11)),8),((6,23),(9,(21,22)))),(((3,12),(((((10,25),30),31),((15,32),(18,20))),(33,34))),((14,17),(19,24)))),(7,13)),(16,37)),35),36); -56423.6 -15.9846 334.463 141.8 -56632.2
(1,((((((((2,(((4,28),29),27)),26),((14,17),(19,24))),8),(3,(((5,11),((7,13),(12,((16,37),18)))),((((10,25),(30,31)),(20,(33,34))),(15,32))))),(21,22)),((6,23),9)),35),36); -56493.5 -13.7646 339.298 141.623 -56704.9
(1,((((((((((((2,(((4,28),29),27)),26),(((6,23),9),8)),((14,17),(19,24))),3),((((10,25),(30,31)),(15,32)),(20,(33,34)))),(5,11)),(21,22)),12),(7,13)),((16,37),18)),35),36); -56626.3 -13.9045 337.149 141.416 -56836
(1,((((((((2,(((4,28),29),27)),26),(5,11)),((3,12),((((7,13),(((16,37),18),20)),((10,25),(30,31))),((15,32),(33,34))))),8),(((6,9),23),(21,22))),((14,17),(19,24))),35),36); -56439.4 -16.1435 339.573 141.341 -56653.8
(1,((((((2,((4,(28,29)),27)),26),8),(((3,((7,13),((((10,25),(30,31)),(20,(33,34))),((12,((16,37),18)),(15,32))))),(5,11)),((14,17),(19,24)))),(((6,23),9),(21,22))),35),36); -56497.5 -14.7956 334.997 141.576 -56705.7
(1,(((((((((((2,((4,(28,29)),27)),26),(((6,23),9),8)),(21,22)),(5,11)),(7,13)),((14,17),(19,24))),((3,(15,32)),((((10,25),(30,31)),20),(33,34)))),(12,18)),(16,37)),35),36); -56616.2 -19.6007 328.319 140.888 -56823.2
(1,((((((((((((2,((4,(28,29)),27)),26),(((6,23),9),8)),((14,17),(19,24))),(3,(21,22))),(5,11)),(((((10,25),30),31),((20,34),33)),(15,32))),(7,13)),18),(12,16)),37),35),36); -56652.5 -21.7306 327.193 141.15 -56860.2
(1,(((((((((2,((4,(28,29)),27)),26),(((6,23),9),8)),((7,13),(21,22))),(5,11)),(((3,12),(15,32)),((((10,25),30),31),((20,33),34)))),((14,17),(19,24))),((16,37),18)),35),36); -56438.9 -16.2575 331.438 141.425 -56645.2
(1,((((((((((((2,(((4,28),29),27)),26),8),(5,11)),((6,23),9)),((14,17),(19,24))),(3,((((((10,25),31),30),(33,34)),(15,32)),12))),((7,13),(21,22))),20),18),(16,37)),35),36); -56718.5 -20.9773 333.181 141.183 -56931.4
(1,((((((((((2,((4,(28,29)),27)),26),(19,24)),(((6,9),23),8)),(5,11)),(((3,12),(((((10,25),(30,31)),20),(33,34)),(15,32))),((14,17),18))),(21,22)),(7,13)),(16,37)),35),36); -56558.7 -16.8244 332.16 141.747 -56765.9
(1,(((((((((((2,((4,(28,29)),27)),26),(5,11)),(((6,23),9),8)),((14,17),(19,24))),(3,(((((10,25),(30,31)),(33,34)),20),(15,32)))),((7,13),(21,22))),12),(16,18)),37),35),36); -56510.6 -15.2652 323.742 141.283 -56708.4
(1,((((((((2,((4,(28,29)),27)),26),(5,11)),8),((((6,23),9),(21,22)),(7,13))),((((3,12),(15,32)),((((10,25),31),30),(33,34))),(((16,37),18),20))),((14,17),(19,24))),35),36); -56413.7 -14.5967 339.374 141.495 -56626.1
(1,(((((((((((2,(((4,29),28),27)),26),(((6,23),9),8)),(5,11)),((14,17),(19,24))),(((3,(15,32)),20),((((10,25),31),30),(33,34)))),(12,18)),((7,13),(21,22))),16),37),35),36); -56604.6 -22.8866 339.91 141.673 -56825.7
(1,((((((((2,(((4,28),29),27)),26),(5,11)),((((6,23),9),(21,22)),8)),(7,13)),(3,(((((10,25),30),31),(12,((15,32),(((16,37),18),20)))),(33,34)))),((14,17),(19,24))),35),36); -56397.3 -14.9015 333.17 141.853 -56603.5
(1,((((((((2,(((4,28),29),27)),26),(5,11)),((3,12),((((7,13),(((16,37),18),20)),((10,25),(30,31))),((15,32),(33,34))))),8),((6,23),(9,(21,22)))),((14,17),(19,24))),35),36); -56389.3 -14.717 341.772 141.496 -56604.3
