tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,((4,6),5))); -4538.42  -1.58592 27.6647 13.9607 26.8893 -4577.43 0.297392 0.270417 0.149042 0.283148   0.260169   0.143681  0.0708758  0.0257551   0.492953 0.00656703
(1,(2,3),((4,6),5)); -4548.95  -1.77464 28.9166 13.2921 22.7763 -4585.57 0.297363  0.28883 0.122152 0.291655   0.259259   0.163381  0.0625566  0.0173586   0.489711 0.00773373
(1,(2,3),(4,(5,6))); -4539.84  -1.46 32.2161 13.7426 24.8821 -4581.74 0.276993 0.251335 0.168544 0.303128   0.250794   0.154135  0.0912749  0.0216286   0.472837 0.00932995
(1,(2,3),(4,(5,6))); -4541.08  -1.46 28.6973 13.2812 26.0736 -4581.11 0.294076 0.281307  0.14239 0.282227  0.262684  0.146135 0.0962521 0.0191782  0.463168 0.0125829
(1,2,(3,((4,6),5))); -4536.35  -1.58592 30.1535 13.3049 25.7085 -4577.32 0.296232 0.259865 0.153419 0.290485  0.254496  0.151878 0.0901208    0.0112  0.477184 0.0151211
(1,(2,3),((4,6),5)); -4548.05  -1.77464 28.4048 13.9665 26.7769 -4587.49 0.286741 0.269729 0.140167 0.303363   0.196626   0.166047  0.0821155  0.0193328   0.530215 0.00566412
(1,(2,3),(4,(5,6))); -4542.44  -1.46 30.3887 14.0319 25.4698 -4582.8 0.273233 0.291565 0.133238 0.301964   0.252828   0.158943  0.0910053  0.0230653   0.464451 0.00970744
(1,(2,(4,(5,6))),3); -4538.69  -2.89207 29.2366 13.4685 28.5025 -4580.07 0.292041 0.261869 0.146168 0.299922   0.223939   0.154853  0.0741863  0.0206408   0.518028 0.00835372
(1,(2,((4,6),5)),3); -4539.2  -3.20671 32.1892 13.2423 28.172 -4583.11 0.286584 0.273969 0.147374 0.292073  0.222585  0.139575 0.0900173 0.0244207  0.515481 0.0079214
(1,2,(3,(4,(5,6)))); -4535.44  -1.27128 31.8136 13.5932 26.2439 -4578.64 0.304564  0.26947 0.151401 0.274564   0.240295   0.144565  0.0854313  0.0123454   0.508193 0.00916997
(1,2,(3,((4,6),5))); -4538.33  -1.58592 28.8365 13.2637 26.1487 -4578.47 0.306426 0.267266 0.146509 0.279799   0.215924   0.160841   0.101819   0.026435   0.487428 0.00755326
(1,(2,((4,6),5)),3); -4539.83  -3.20671 30.8586 13.3377 28.1485 -4582.29 0.294366 0.268686 0.153513 0.283435    0.23976   0.155786  0.0851838  0.0265097   0.484902 0.00785853
(1,(2,3),(4,(5,6))); -4540.11  -1.46 32.7879 13.5629 24.2275 -4582.1 0.293245 0.270342 0.136787 0.299627  0.242691  0.167211 0.0927374 0.0396188  0.451567 0.0061752
(1,2,(3,((4,6),5))); -4536.17  -1.58592 30.5623 13.3291 26.8289 -4578.64 0.296962 0.278395 0.144268 0.280375   0.214331   0.159963  0.0705379  0.0197934   0.529107 0.00626693
(1,(2,3),(4,(5,6))); -4539.12  -1.46 28.8454 13.6089 27.82 -4580.72 0.302143 0.265909 0.146529  0.28542   0.252128   0.152746  0.0983427   0.018359   0.471381 0.00704351
(1,2,(3,(4,(5,6)))); -4545.6  -1.27128 21.7333 13.4143 25.1529 -4577.8 0.277459 0.251857 0.149715  0.32097  0.229698  0.153518 0.0933729 0.0150294  0.493749 0.0146333
(1,2,(3,((4,6),5))); -4534.44  -1.58592 29.4326 13.4693 28.6873 -4577.5 0.291558 0.278799 0.134776 0.294867   0.242441    0.15368  0.0839628  0.0196347   0.496643 0.00363826
(1,2,(3,((4,6),5))); -4538.6  -1.58592 28.1574 13.3201 26.3634 -4578.22 0.278727 0.278888  0.15096 0.291424  0.228781  0.150303  0.112752 0.0141079  0.483379 0.0106775
(1,2,(3,(4,(5,6)))); -4535.29  -1.27128 31.0464 13.2031 26.7202 -4578.58 0.283611 0.285182 0.130344 0.300864   0.216676   0.159118  0.0898412  0.0256095   0.503659 0.00509633
(1,2,(3,((4,6),5))); -4536.43  -1.58592 27.305 13.0913 28.6144 -4577.68  0.27742  0.27137 0.153157 0.298054   0.226066   0.165403  0.0765437  0.0215943   0.504803 0.00558906
(1,(2,(4,(5,6))),3); -4543.72  -2.89207 30.4109 13.6053 21.7209 -4579.35 0.320561 0.270432 0.127131 0.281877  0.257229   0.15964 0.0792382 0.0158532  0.471673 0.0163668
(1,2,(3,(4,(5,6)))); -4539.15  -1.27128 30.4428 13.5618 24.0162 -4578.78 0.286478 0.250648 0.136593 0.326282  0.234829  0.154392  0.093954 0.0297833  0.476797 0.0102441
(1,(2,3),(4,(5,6))); -4540.55  -1.46 28.9232 13.7846 27.3311 -4581.56 0.278404 0.277246 0.146525 0.297825   0.218944   0.172238  0.0999476  0.0254254   0.476585 0.00685995
(1,2,(3,((4,6),5))); -4536.59  -1.58592 28.1952 13.3052 27.8066 -4577.7 0.296387 0.256384 0.142205 0.305023   0.230565   0.156008  0.0896575  0.0145917   0.506494 0.00268383
(1,(2,3),((4,6),5)); -4547.92  -1.77464 26.6707 12.9938 26.4183 -4586.24 0.286595 0.273878 0.147834 0.291694    0.22635   0.127396  0.0800876  0.0242169   0.535585 0.00636472
(1,2,(3,((4,6),5))); -4534.09  -1.58592 30.672 13.4969 27.8968 -4577.57 0.279125  0.27611 0.154121 0.290644  0.264847  0.148352 0.0866948 0.0184712  0.474903 0.0067332
(1,2,(3,((4,6),5))); -4535.34  -1.58592 31.417 13.4136 26.115 -4577.88 0.285331 0.279238 0.143518 0.291913  0.229562  0.171535 0.0830712 0.0147408  0.481978 0.0191132
(1,2,(3,((4,6),5))); -4538.34  -1.58592 28.5304 13.4503 25.6518 -4577.49 0.265923 0.266515 0.150732 0.316831   0.211746   0.172304  0.0960116  0.0172433    0.49483 0.00786565
(1,2,(3,((4,6),5))); -4538.38  -1.58592 31.0633 13.4034 25.3083 -4579.77 0.296239 0.280184   0.1419 0.281678   0.197875   0.157443   0.106953  0.0233584    0.50667 0.00770081
(1,(2,3),(4,(5,6))); -4542.88  -1.46 28.8322 14.0137 24.5511 -4580.79 0.298163 0.269886 0.153918 0.278033    0.27073   0.165935  0.0976962  0.0217198   0.437864 0.00605495
(1,(2,3),(4,(5,6))); -4542.83  -1.46 25.91 13.3217 27.0911 -4581.05 0.290919 0.260615 0.154273 0.294193   0.226889   0.167368  0.0940347  0.0110161   0.497554 0.00313844
(1,(2,3),(4,(5,6))); -4540.67  -1.46 30.7759 13.5949 23.9749 -4580.37 0.273308 0.261493 0.166798   0.2984   0.226066   0.190584  0.0933673  0.0151638   0.469291 0.00552753
(1,(2,3),(4,(5,6))); -4540.85  -1.46 29.0917 13.7029 26.3999 -4581.18 0.292171 0.273741 0.163151 0.270938   0.242184   0.162935  0.0801881  0.0170064   0.491862 0.00582418
(1,2,(3,((4,6),5))); -4539.31  -1.58592 26.5906 13.159 26.0982 -4577.26  0.28645 0.279849 0.157277 0.276423   0.227004   0.161607  0.0885915  0.0309343   0.484408 0.00745515
