tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,(4,(5,6)))); -4543.71  -1.04798 27.6248 13.2986 28.3126 -4585.3 0.284818  0.28662 0.133992 0.294569   0.225746   0.119835  0.0643379  0.0109188   0.571272 0.00788981
(1,2,(3,((4,6),5))); -4544.49  -1.76205 28.7087 13.3595 25.7458 -4583.83 0.294206 0.295087 0.123881 0.286827   0.253393   0.105211  0.0823558  0.0154856   0.539477 0.00407771
(1,2,(3,(4,(5,6)))); -4548.45  -1.04798 27.8769 13.0612 25.8779 -4588.1  0.27784 0.306675 0.138602 0.276884   0.213464   0.126432  0.0653836  0.0146481   0.579017 0.00105544
(1,2,(3,(4,(5,6)))); -4555.79  -1.04798 28.0961 13.0514 19.4656 -4589.25 0.280426 0.286819 0.135115  0.29764   0.241707   0.128816  0.0262214  0.0134791   0.587187 0.00258931
(1,2,(3,(4,(5,6)))); -4544.45  -1.04798 28.6642 13.392 26.9528 -4585.62  0.27463 0.291193 0.129053 0.305124   0.197564   0.132327  0.0824999 0.00860852   0.576358  0.0026426
(1,(2,3),(4,(5,6))); -4552.94  -1.16377 27.2353 13.1394 22.4313 -4588.3 0.292278 0.263913 0.150178 0.293632   0.209374   0.120112  0.0854751 0.00730869   0.572255 0.00547547
(1,2,(3,(4,(5,6)))); -4548.41  -1.04798 28.3853 13.6004 21.8345 -4583.98 0.262194 0.289743 0.132329 0.315733  0.215024  0.166548 0.0511502 0.0228127  0.526779 0.0176862
(1,(2,3),(4,(5,6))); -4545.35  -1.16377 28.5129 12.9439 27.1094 -4586.86 0.283524 0.282027 0.142072 0.292378   0.225688   0.120932  0.0835555 0.00792125   0.555942 0.00596204
(1,(2,3),(4,(5,6))); -4541.39  -1.16377 29.8865 13.1185 25.5325 -4582.53 0.288062 0.286845 0.128312  0.29678   0.201796   0.153748   0.103236   0.017884   0.519908 0.00342653
(1,2,(3,((4,6),5))); -4538.47  -1.76205 31.1332 13.2131 25.375 -4580 0.283568 0.295878 0.136978 0.283577      0.261   0.122493  0.0674388   0.028987   0.511422 0.00865966
(1,2,(3,(4,(5,6)))); -4548.49  -1.04798 28.8936 13.2531 25.239 -4588.33 0.267395 0.292274  0.13077 0.309561   0.192777   0.171491  0.0586644  0.0113142   0.562721 0.00303235
(1,(2,3),((4,6),5)); -4554.92  -1.87784 31.3441 13.5721 22.1369 -4592.95  0.26388 0.309936 0.126936 0.299248   0.19652  0.123432   0.12026 0.0138901  0.538266 0.0076322
(1,2,(3,(4,(5,6)))); -4536.32  -1.04798 30.9292 13.85 26.587 -4578.94 0.286591 0.274107 0.138342  0.30096   0.215591   0.143891  0.0877796   0.013471   0.537222 0.00204521
(1,(2,3),(4,(5,6))); -4548.07  -1.16377 28.6943 13.204 25.7863 -4588.18 0.276403 0.301425 0.134074 0.288098   0.216745    0.12694  0.0621199  0.0341645   0.551094 0.00893692
(1,(2,3),(4,(5,6))); -4545.77  -1.16377 29.702 13.3571 26.8044 -4587.76 0.272818 0.306161 0.130087 0.290934  0.227527  0.133617 0.0829952 0.0072416  0.538538   0.01008
(1,(2,3),(4,(5,6))); -4546.37  -1.16377 31.3026 12.8283 24.2206 -4587.9 0.283728 0.295181 0.113574 0.307516  0.206743  0.123807 0.0849569 0.0111492  0.561739 0.0116052
(1,(2,3),(4,(5,6))); -4544.07  -1.16377 30.2935 13.4235 26.9136 -4586.69 0.275781 0.307028 0.128992 0.288198  0.243386   0.12884 0.0709211 0.0172696  0.526629 0.0129546
(1,2,(3,(4,(5,6)))); -4537.96  -1.04798 28.5114 13.4774 27.5069 -4579.45 0.284845   0.2882  0.13198 0.294975  0.234674  0.148303 0.0768496 0.0158057  0.512288 0.0120788
