tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,(4,(5,6))),3); -4555.77  -2.11856 30.4986 13.7748 25.9127 -4596.28 0.333889 0.278334  0.13389 0.253887  0.276719  0.153909  0.110842 0.0244724  0.418025 0.0160331
(1,2,(3,(4,(5,6)))); -4562.21  -1.22175 25.7474 13.383 26.6878 -4600.04 0.338791 0.292782 0.125732 0.242695  0.251545  0.160665  0.106057 0.0318165  0.435933 0.0139833
(1,2,(3,(4,(5,6)))); -4556.68  -1.22175 23.4314 12.764 25.3554 -4591.48 0.306233 0.275223 0.147836 0.270708  0.242267  0.169288  0.130251 0.0314161  0.405687 0.0210903
(1,2,(3,(4,(5,6)))); -4551.81  -1.22175 29.6259 13.1756 29.4959 -4596.53 0.315022 0.296191 0.131105 0.257682  0.252831  0.161945  0.105882 0.0345056  0.429003 0.0158325
(1,2,(3,(4,(5,6)))); -4561.32  -1.22175 28.4599 12.9429 22.3258 -4597.94 0.285288 0.317528 0.134278 0.262905  0.228195    0.1796   0.12684 0.0253474  0.421567 0.0184501
(1,(2,3),(4,(5,6))); -4554.88  -1.51806 25.9126 13.1111 24.7503 -4590.91 0.289336 0.284425 0.136837 0.289403  0.256233  0.163907  0.129556 0.0229923  0.410166 0.0171449
(1,(2,3),((4,6),5)); -4563.19  -2.17726 24.5295 13.8379 28.9399 -4600.65 0.304312 0.288014 0.147527 0.260148  0.251104  0.153625  0.116665 0.0350294   0.42436 0.0192156
(1,(2,3),((4,6),5)); -4566.75  -2.17726 29.5737 13.5651 24.9744 -4605.55 0.324494 0.296542 0.135585  0.24338  0.282608  0.140758  0.105483 0.0314742   0.42081  0.018867
(1,(2,3),(4,(5,6))); -4556.6  -1.51806 21.9912 12.9884 23.6458 -4587.73  0.32895 0.254479 0.134861  0.28171  0.260982  0.170528  0.116047 0.0298512  0.412508 0.0100842
(1,(2,3),(4,(5,6))); -4558.55  -1.51806 29.8793 13.3858 26.8905 -4600.42 0.301189 0.315905 0.127356  0.25555  0.248848  0.154713  0.105584 0.0376297  0.441302 0.0119238
(1,(2,3),((4,5),6)); -4558.02  -4.35631 29.9845 13.0889 26.8702 -4597.42 0.291565 0.282722 0.148751 0.276963  0.246266  0.161204  0.103202 0.0340339  0.433092 0.0222025
(1,2,(3,(4,(5,6)))); -4542.31  -1.22175 29.0505 13.6959 26.2802 -4582.73 0.308576 0.281915 0.140066 0.269442  0.267778  0.140032 0.0999438 0.0258801  0.453129 0.0132366
(1,(2,(4,(5,6))),3); -4553.34  -2.11856 29.536 13.4652 29.1906 -4596.49 0.316788 0.289619  0.14075 0.252843  0.246761  0.159609  0.107606 0.0296159   0.44049  0.015919
(1,2,(3,((4,6),5))); -4561.03  -1.88096 30.5677 13.512 23.1495 -4599.35 0.281433 0.321756 0.133964 0.262847  0.260047  0.139806  0.111163 0.0453898  0.425199 0.0183962
(1,2,(3,(4,(5,6)))); -4549.03  -1.22175 28.0322 13.5901 29.6822 -4591.93 0.310096 0.283435 0.139078 0.267391  0.250546  0.165656  0.112962 0.0328792    0.4207 0.0172575
(1,(2,3),((4,6),5)); -4555.63  -2.17726 27.4811 13.3345 26.1533 -4593.76 0.293744 0.268074  0.14533 0.292851  0.253034  0.141853  0.115027 0.0360001  0.434194 0.0198917
(1,2,(3,((4,6),5))); -4553.45  -1.88096 29.374 13.4153 27.138 -4594.66 0.322327 0.285301 0.133525 0.258847  0.233543   0.16573    0.1143 0.0292724  0.433469 0.0236855
(1,2,(3,(4,(5,6)))); -4544.05  -1.22175 31.279 13.704 26.4026 -4586.81 0.304732 0.286041 0.146085 0.263142  0.228409  0.172719  0.117967  0.026296  0.440749 0.0138603
(1,(2,(4,(5,6))),3); -4550.16  -2.11856 30.5303 13.6621 26.4366 -4591.34 0.326373 0.278876  0.13376 0.260991  0.269858   0.15188 0.0932388 0.0292372   0.43944 0.0163458
(1,(2,3),((4,6),5)); -4572.57  -2.17726 28.672 13.6698 25.6135 -4611.01 0.312471 0.312936 0.117684 0.256908  0.275673  0.149468    0.1189 0.0309904   0.40802 0.0169482
(1,(2,((4,6),5)),3); -4557.12  -2.77776 30.646 13.1412 27.4991 -4599.35 0.315072 0.277676 0.126753 0.280499  0.248444  0.146791  0.132947 0.0353043    0.4218  0.014714
(1,(2,3),((4,6),5)); -4555.25  -2.17726 31.1462 13.2409 27.9572 -4598.93 0.294834 0.290594 0.135399 0.279173  0.255783  0.159211  0.123066 0.0364715  0.413125 0.0123442
(1,2,(3,(4,(5,6)))); -4551.35  -1.22175 27.2074 13.4548 25.7106 -4589.59 0.291548 0.282919 0.145577 0.279956  0.249564  0.136297  0.131392 0.0376964  0.430214 0.0148362
(1,((2,4),(3,5)),6); -4640.44  -9.99587 28.8627 12.9784 27.2675 -4673.6 0.324231 0.260698 0.143078 0.271994  0.250094  0.168174  0.108032 0.0305158  0.427228 0.0159567
(1,(2,((4,6),5)),3); -4554.06  -2.77776 27.6366 12.9175 28.9884 -4594.99 0.317488 0.273284 0.144201 0.265027   0.24913  0.148086  0.109269 0.0325112  0.443236 0.0177669
(1,2,(3,(4,(5,6)))); -4545.85  -1.22175 27.1821 13.3383 27.5634 -4586.04 0.310808 0.273875 0.126532 0.288785  0.238221  0.162826  0.104371 0.0291448  0.448309 0.0171273
(1,(2,3),(4,(5,6))); -4547.2  -1.51806 29.0137 13.2605 26.6021 -4588.04 0.295196 0.274927 0.145383 0.284493  0.244337  0.158485  0.107451  0.030592  0.435116 0.0240191
(1,(2,3),(4,(5,6))); -4551.21  -1.51806 32.1345 13.4317 27.6464 -4596.04 0.317262 0.296661 0.123266 0.262812  0.235821  0.155318   0.10769 0.0356466  0.453582 0.0119436
(1,2,(3,(4,(5,6)))); -4553.06  -1.22175 27.9376 13.0583 29.4426 -4596.16 0.326953 0.286402 0.128978 0.257666  0.248012  0.152907  0.111897 0.0299213  0.439916 0.0173469
(1,(2,((4,6),5)),3); -4555.18  -2.77776 29.4326 13.1835 28.917 -4597.57 0.295181 0.288911 0.137317 0.278592 0.255146 0.151312 0.116372 0.032604 0.423447 0.021119
(1,(2,3),((4,6),5)); -4557.79  -2.17726 28.8795 13.5735 27.6906 -4598.61 0.325803 0.266571 0.128991 0.278635  0.240197  0.153287  0.127154 0.0328495  0.430591 0.0159212
(1,(2,3),((4,6),5)); -4563.02  -2.17726 28.4742 13.1204 26.1471 -4602.34 0.319212 0.282781 0.130522 0.267485  0.269742  0.129314  0.124155 0.0350854  0.424599 0.0171046
(1,2,(3,((4,6),5))); -4545.35  -1.88096 26.0312 13.079 27.2886 -4583.71 0.313983  0.26722  0.15251 0.266287  0.257598  0.151927    0.1048 0.0306702  0.441371 0.0136336
(1,2,(3,((4,6),5))); -4551.43  -1.88096 29.352 13.5769 22.9079 -4588.23 0.313953 0.254919 0.121429 0.309699  0.241549  0.165466  0.124481 0.0308341  0.422485 0.0151847
(1,(2,3),(4,(5,6))); -4555.89  -1.51806 26.5529 14.1281 27.1959 -4594 0.312454 0.294062 0.128957 0.264526  0.269437  0.162699  0.103654   0.02364  0.423311 0.0172593
(1,(2,(4,(5,6))),3); -4557.55  -2.11856 26.7413 13.2981 25.8047 -4594.67 0.314581 0.286751 0.142973 0.255695  0.249794  0.168202  0.101967 0.0430708  0.425181 0.0117858
(1,2,(3,(4,(5,6)))); -4556.12  -1.22175 27.6709 13.0204 29.2577 -4598.81 0.310007 0.298653 0.135557 0.255783  0.256958  0.155728   0.11667 0.0319371  0.419331 0.0193763
(1,2,(3,(4,(5,6)))); -4556.9  -1.22175 30.9727 13.7775 28.3908 -4601.27 0.311271 0.301841 0.123978  0.26291    0.2573  0.145389  0.124794 0.0328297  0.421185 0.0185027
(1,(2,(4,(5,6))),3); -4557.67  -2.11856 29.1237 13.6753 27.4643 -4598.47  0.28641 0.300901 0.124359  0.28833  0.260362  0.154777  0.108561 0.0335139  0.424206 0.0185802
(1,2,(3,((4,6),5))); -4556.42  -1.88096 27.0361 13.697 26.3177 -4594.2 0.304923 0.295976 0.119106 0.279996  0.235689  0.141205  0.116804 0.0415709  0.448687 0.0160441
(1,2,(3,(4,(5,6)))); -4553.01  -1.22175 23.237 13.8814 26.5268 -4587.68 0.283072 0.307406 0.140036 0.269486   0.25005  0.161732  0.103866 0.0251962   0.44364 0.0155155
(1,(2,3),(4,(5,6))); -4556.59  -1.51806 27.0232 13.569 27.8651 -4596.39 0.314083 0.287531 0.138485 0.259901  0.265365  0.149366  0.108995 0.0416595  0.420856 0.0137587
(1,(2,3),((4,6),5)); -4560.63  -2.17726 29.5932 13.4841 26.4742 -4601.04 0.313677 0.295814 0.143804 0.246705   0.24443  0.176224  0.107616 0.0292392  0.423478 0.0190135
(1,2,(3,(4,(5,6)))); -4551.79  -1.22175 28.0619 13.8399 29.323 -4594.11 0.319088 0.283725 0.138705 0.258481  0.252056  0.146443  0.110345 0.0324003  0.439423 0.0193327
(1,2,(3,(4,(5,6)))); -4548.89  -1.22175 27.9972 13.6116 29.084 -4591.13 0.304228 0.290879 0.131478 0.273415  0.256731  0.141905  0.120886  0.027468  0.437027 0.0159831
(1,2,(3,(4,(5,6)))); -4552.04  -1.22175 31.4965 13.5472 24.8338 -4593.6 0.306387 0.286663 0.131849 0.275101  0.268175   0.17096  0.111693 0.0420034  0.394913 0.0122558
(1,(2,((4,6),5)),3); -4549.59  -2.77776 30.8358 13.306 24.9517 -4589.29   0.2923 0.291343 0.130402 0.285955  0.230834  0.146761  0.115143 0.0237041  0.463345 0.0202127
(1,(2,(4,(5,6))),3); -4552.36  -2.11856 29.8562 13.5136 29.7306 -4596.31  0.30068 0.296104 0.134803 0.268413 0.248185 0.145932    0.119 0.030493 0.440986 0.015404
(1,2,(3,((4,5),6))); -4560.23  -4.06 28.5813 13.125 27.4911 -4599.12 0.333018 0.280887 0.125351 0.260744  0.234784  0.163431  0.122893 0.0287252  0.435407 0.0147596
(1,(2,3),(4,(5,6))); -4557.55  -1.51806 25.6063 13.5986 27.8734 -4595.91 0.325564 0.286787  0.12463 0.263019   0.23451  0.162191  0.104064 0.0343427  0.450119 0.0147734
(1,(2,3),((4,6),5)); -4561.45  -2.17726 29.5979 13.1722 24.2884 -4599.98 0.301406 0.313984 0.119532 0.265078  0.265472  0.131633  0.101394 0.0309787   0.45554 0.0149828
(1,(2,(4,(5,6))),3); -4551.38  -2.11856 27.9853 13.1423 26.7766 -4590.89 0.300044 0.277279 0.125524 0.297153  0.255494  0.157903  0.117642 0.0242062  0.428027 0.0167281
(1,(2,3),((4,6),5)); -4562.42  -2.17726 28.187 13.0355 28.6991 -4604.1 0.307021 0.296971 0.121978  0.27403  0.238592   0.15295  0.113759 0.0383663  0.438909 0.0174232
(1,(2,3),((4,6),5)); -4565.86  -2.17726 26.999 14.0756 25.9543 -4602.56  0.30831 0.284783 0.150047 0.256861  0.249595  0.154851  0.118388 0.0368596  0.414958 0.0253481
(1,(2,3),(4,(5,6))); -4556.2  -1.51806 30.2946 13.3874 24.0115 -4595.6 0.283153 0.303631 0.143435 0.269781  0.242467  0.136615  0.131536 0.0411937  0.434477 0.0137114
(1,(2,3),((4,6),5)); -4564.07  -2.17726 30.6912 13.3807 26.4819 -4605.69 0.303563 0.299285 0.132636 0.264516  0.264474  0.140148  0.117682 0.0393718  0.415574 0.0227504
(1,(2,3),(4,(5,6))); -4548.43  -1.51806 28.8984 13.4721 25.7654 -4588.11 0.310048 0.280563 0.144252 0.265137  0.241746  0.141348  0.128826 0.0276217  0.450068 0.0103904
(1,2,(3,(4,(5,6)))); -4549.05  -1.22175 29.6304 13.4125 23.8737 -4587.92 0.316786 0.293691 0.120111 0.269411  0.221894  0.163306  0.098598 0.0301047  0.472376 0.0137205
(1,(2,3),(4,(5,6))); -4549.94  -1.51806 31.7225 13.8054 25.725 -4592.06 0.318294 0.272171  0.14496 0.264574   0.25217   0.15741  0.117373 0.0428239  0.420012 0.0102116
(1,2,(3,(4,(5,6)))); -4549.71  -1.22175 29.1981 13.158 25.2594 -4589.78 0.317286 0.294317  0.12101 0.267387  0.271997  0.148675 0.0913688 0.0336871  0.441552 0.0127205
(1,(2,3),(4,(5,6))); -4560.9  -1.51806 26.1943 13.1762 27.6749 -4600.07  0.30506 0.298196 0.140733 0.256011  0.256701  0.142851  0.121788 0.0324599  0.424037 0.0221636
(1,2,(3,(4,(5,6)))); -4553.25  -1.22175 31.2043 13.4571 27.8946 -4597.67 0.325511 0.297883 0.129484 0.247121  0.248462   0.15038  0.104816 0.0297753   0.44968 0.0168867
(1,(2,((4,6),5)),3); -4560.2  -2.77776 31.3171 13.22 25.4036 -4600.92 0.327895   0.2982 0.121517 0.252389   0.26165  0.156331  0.112862  0.020984  0.430739 0.0174332
(1,2,(3,((4,6),5))); -4560.92  -1.88096 31.7113 13.6833 23.7063 -4600.78 0.290339 0.307698  0.13063 0.271333    0.2572   0.14841  0.123255 0.0366125  0.406487 0.0280353
(1,2,(3,((4,6),5))); -4546.77  -1.88096 27.8936 13.6912 28.2639 -4587.36 0.298029 0.293203 0.142554 0.266213  0.249249  0.149578  0.120764 0.0275972  0.441181  0.011631
(1,2,(3,(4,(5,6)))); -4551.21  -1.22175 29.2934 13.5528 22.7979 -4588.53 0.309749 0.291095 0.158227 0.240929  0.256583   0.17091 0.0958416 0.0340079  0.431018 0.0116394
