tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,(4,(5,6))),3); -4544.61  -1.78115 28.2833 13.4141 25.0292 -4582.72 0.286128 0.275309 0.148224 0.290339  0.231493  0.170639 0.0768271 0.0170025  0.475331 0.0287079
(1,2,(3,((4,6),5))); -4540.83  -1.97779 30.8618 13.8046 22.719 -4578.63 0.287926 0.244272 0.154341  0.31346  0.244252  0.136147  0.093971 0.0321681  0.482944 0.0105184
(1,2,(3,(4,(5,6)))); -4540.69  -1.30258 27.0454 14.2138 26.2059 -4578.43 0.295253 0.255915 0.153302  0.29553  0.242148  0.162893 0.0815808 0.0146026  0.477807 0.0209688
(1,2,(3,((4,6),5))); -4536.85  -1.97779 29.7482 13.4398 26.0582 -4577.24  0.28538 0.284204  0.14587 0.284546   0.247564   0.180466  0.0916101  0.0210597   0.450722 0.00857908
(1,(2,(4,(5,6))),3); -4538.43  -1.78115 31.0967 13.2327 26.8683 -4581.39 0.293713 0.278509 0.129864 0.297914  0.249027  0.162871 0.0980009 0.0194983  0.464785 0.0058179
(1,2,(3,((4,6),5))); -4540.6  -1.97779 28.3583 14.0204 22.7486 -4575.71 0.292229 0.258836 0.159639 0.289295  0.259033  0.171872  0.106603 0.0121101  0.437899 0.0124821
(1,2,(3,((4,6),5))); -4538.26  -1.97779 27.1746 13.2792 26.2254 -4576.4 0.291081 0.279365 0.148443 0.281111   0.214971    0.18088  0.0985783   0.016101   0.485398 0.00407173
(1,2,(3,(4,(5,6)))); -4541.24  -1.30258 28.4333 13.669 23.9209 -4578.62  0.29451 0.270584 0.146591 0.288314  0.256767   0.16809  0.103433 0.0175089  0.435066 0.0191347
(1,(2,3),((4,6),5)); -4547.74  -2.25296 28.8857 13.2464 26.2576 -4587.38 0.276319 0.278113 0.154154 0.291414    0.2346  0.151839 0.0878316 0.0209713  0.481833 0.0229253
(1,(2,(4,(5,6))),3); -4537.33  -1.78115 30.4885 13.3916 28.2409 -4580.88  0.28265 0.273602 0.144459 0.299289    0.23351    0.16864  0.0788569  0.0277085   0.483998 0.00728648
(1,(2,3),(4,(5,6))); -4543.61  -1.57775 28.2921 13.5503 24.5438 -4581.32 0.284819 0.261873 0.158189 0.295119    0.26381   0.141646  0.0939244  0.0326577   0.459224 0.00873719
(1,(2,(4,(5,6))),3); -4541.34  -1.78115 28.8889 13.5496 26.787 -4581.68 0.272953 0.278092 0.156104 0.292851    0.24348   0.137409  0.0932395  0.0260968   0.491933 0.00784155
(1,(2,3),(4,(5,6))); -4539.75  -1.57775 30.5811 13.331 26.4821 -4581.9 0.283324 0.271224 0.140227 0.305225  0.234871   0.16087 0.0895706 0.0174093  0.474283 0.0229962
(1,(2,3),((4,6),5)); -4543.94  -2.25296 30.0271 13.0997 27.1458 -4585.76 0.285204 0.263189 0.157925 0.293681   0.260921   0.149648  0.0923429  0.0245203   0.465153 0.00741384
(1,2,(3,(4,(5,6)))); -4541.55  -1.30258 30.1646 13.3877 21.2569 -4578.28 0.323576 0.272929 0.138947 0.264548  0.241303  0.148308 0.0929262 0.0101815  0.496011 0.0112702
(1,(2,3),(4,(5,6))); -4544.09  -1.57775 29.6023 13.2998 22.7764 -4581.6 0.295653  0.27728 0.136911 0.290156   0.262149   0.195015   0.069132  0.0222268   0.445014 0.00646376
(1,(2,3),((4,6),5)); -4550.74  -2.25296 28.3182 13.5749 23.0331 -4586.26  0.31317 0.242921 0.144066 0.299844   0.257671   0.146071  0.0757298  0.0289668   0.487345 0.00421592
(1,(2,(4,(5,6))),3); -4542.3  -1.78115 28.7195 13.1767 25.5441 -4581.61 0.286408 0.280781 0.140809 0.292003   0.208065   0.182894   0.102919  0.0200811   0.478913 0.00712876
(1,(2,((4,6),5)),3); -4543.41  -2.45636 30.2527 13.3341 25.6206 -4583.49 0.267974 0.284602 0.143192 0.304232   0.257763   0.165709  0.0937852  0.0208308   0.457648 0.00426414
(1,(2,3),((4,6),5)); -4544.36  -2.25296 28.0469 12.6833 26.5527 -4584.02 0.280094  0.28427 0.153095  0.28254   0.239597    0.17824  0.0785252  0.0161495   0.484945 0.00254364
(1,2,(3,(4,(5,6)))); -4539.59  -1.30258 30.2327 13.9105 23.4566 -4578.06 0.290465 0.268854 0.149446 0.291234   0.259794   0.150513   0.125183  0.0171652     0.4418 0.00554485
(1,2,(3,(4,(5,6)))); -4539.05  -1.30258 28.499 13.4946 25.6914 -4578.44 0.288915 0.272144 0.139768 0.299173     0.2508   0.135855   0.100024  0.0313737   0.472298 0.00964938
(1,(2,3),(4,(5,6))); -4540.16  -1.57775 29.4549 13.9052 27.1781 -4581.31 0.297358 0.268377  0.15115 0.283114  0.239044  0.156864 0.0693497 0.0247607  0.496452 0.0135294
(1,(2,3),(4,(5,6))); -4544.53  -1.57775 24.6699 13.5047 27.6993 -4581.82  0.28212 0.271886 0.143216 0.302779  0.241414  0.153169 0.0918716 0.0254528  0.473456 0.0146366
(1,(2,3),((4,6),5)); -4544.47  -2.25296 30.5606 13.227 25.517 -4585.06 0.276728 0.263331 0.143696 0.316244   0.257408   0.157393  0.0869152 0.00971677    0.47877 0.00979704
(1,(2,3),(4,(5,6))); -4544.44  -1.57775 30.5762 13.6209 21.3594 -4581.17 0.258736 0.266278 0.157026 0.317959  0.267311  0.140163 0.0704515 0.0222291  0.484712 0.0151334
(1,(2,(4,(5,6))),3); -4541.99  -1.78115 26.4279 13.1271 27.6597 -4581.17 0.293684 0.272346 0.130787 0.303184   0.236657   0.142128  0.0854648  0.0204688   0.505693 0.00958784
(1,(2,(4,(5,6))),3); -4538.33  -1.78115 28.9607 13.4017 28.5698 -4580.67 0.291044  0.27525 0.146514 0.287192     0.2579   0.150407  0.0882572  0.0134847   0.484115 0.00583728
(1,(2,(4,(5,6))),3); -4540.72  -1.78115 26.3129 13.348 27.9925 -4579.89 0.283321 0.271587 0.143233 0.301858  0.241423  0.164824 0.0784253 0.0115126  0.491875   0.01194
(1,(2,3),(4,(5,6))); -4537.54  -1.57775 29.3691 13.2127 29.0087 -4581.12 0.285519 0.273586 0.147582 0.293313   0.224777   0.144576  0.0895475  0.0207991   0.513343 0.00695761
(1,(2,3),(4,(5,6))); -4542.04  -1.57775 29.8872 13.4417 24.7097 -4581.62 0.260279 0.277844 0.157137  0.30474   0.261093   0.138444  0.0855447  0.0207572   0.485064 0.00909767
(1,2,(3,((4,6),5))); -4536.31  -1.97779 31.0372 13.2765 25.2633 -4577.36 0.275006 0.270666 0.136372 0.317955  0.234133   0.14925  0.072246  0.017748  0.509528 0.0170946
(1,2,(3,(4,(5,6)))); -4539.94  -1.30258 27.5542 13.8249 25.3577 -4577.72 0.292013  0.25728 0.137835 0.312872   0.233007   0.185336  0.0868045  0.0177416   0.474617 0.00249354
(1,(2,((4,6),5)),3); -4545.57  -2.45636 28.5689 13.4876 26.0668 -4584.26 0.287807 0.274402 0.135727 0.302064  0.252331   0.16015 0.0913198  0.018991  0.457676 0.0195325
(1,(2,3),(4,(5,6))); -4539.34  -1.57775 29.1443 13.0867 27.3211 -4581.14 0.276754 0.281704 0.155728 0.285815    0.22207   0.155583  0.0878361  0.0192259   0.512617 0.00266766
(1,(2,3),((4,6),5)); -4546.35  -2.25296 28.1632 13.1189 25.9338 -4585.08 0.281241 0.280664  0.15992 0.278174  0.237751   0.17706 0.0716034 0.0190305  0.484553 0.0100026
(1,(2,3),(4,(5,6))); -4543.92  -1.57775 28.7265 13.3029 24.0223 -4581.79 0.265565 0.300198 0.147935 0.286301   0.237806   0.166497   0.092998  0.0120797   0.483467 0.00715269
(1,(2,((4,6),5)),3); -4544.98  -2.45636 30.7508 13.0568 24.2294 -4584.44 0.285725 0.263561 0.139412 0.311302  0.203951  0.155739  0.110224 0.0240475  0.492141 0.0138982
(1,(2,(4,(5,6))),3); -4543.91  -1.78115 28.5016 13.7466 24.1994 -4581.08 0.274071 0.288567 0.148995 0.288367   0.280085   0.148292  0.0836077  0.0254552   0.456606 0.00595422
(1,(2,3),(4,(5,6))); -4540.96  -1.57775 29.2329 13.6883 26.4086 -4581.34 0.270639 0.263992 0.155938 0.309431  0.239983  0.169516 0.0718365 0.0215495  0.487104 0.0100116
(1,(2,3),(4,(5,6))); -4545.59  -1.57775 28.4469 13.601 22.295 -4581.15 0.289861 0.262681 0.169131 0.278327   0.222917   0.141317   0.110751  0.0307031    0.49065 0.00366182
(1,2,(3,((4,6),5))); -4535.64  -1.97779 31.0877 13.4557 25.794 -4577.09 0.275888 0.272665 0.149036 0.302411   0.248551   0.147531  0.0977624   0.031065   0.472863 0.00222796
(1,2,(3,((4,6),5))); -4536.52  -1.97779 27.8095 13.3135 28.2787 -4577.32 0.291476 0.271744 0.146628 0.290152    0.23767   0.157633   0.105991  0.0203642   0.471107 0.00723537
(1,(2,3),((4,6),5)); -4546.3  -2.25296 29.7704 13.6568 24.6107 -4584.77 0.270791  0.28931 0.159766 0.280134    0.24779   0.167082  0.0662447  0.0174561   0.496595 0.00483271
(1,(2,(4,(5,6))),3); -4543.53  -1.78115 28.5445 13.4223 25.3696 -4582.24 0.288201 0.261014 0.134643 0.316142  0.240083  0.159805    0.1048 0.0225769  0.462181 0.0105537
