tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,((4,6),5))); -4546.76  -1.87928 24.6956 13.9533 22.5848 -4578.21 0.270944 0.285531 0.151274  0.29225   0.238727   0.151763  0.0845669  0.0471141   0.472089 0.00574044
(1,(2,3),((4,6),5)); -4548.44  -2.02858 26.4857 13.6044 26.8732 -4586.16 0.284091 0.269143 0.159727 0.287039   0.219989    0.14898  0.0748615  0.0197312   0.526644 0.00979436
(1,2,(3,(4,(5,6)))); -4536.23  -1.35518 30.0228 13.3851 27.276 -4578.79 0.290623 0.262005 0.141914 0.305457  0.235905  0.133029 0.0909125 0.0182981  0.520314 0.0015411
(1,(2,((4,6),5)),3); -4546.33  -2.56596 29.4412 13.5429 25.0887 -4584.75 0.276146 0.269217 0.168081 0.286556   0.212981   0.140041  0.0906493  0.0190702   0.531285 0.00597414
(1,(2,3),(4,(5,6))); -4538.41  -1.50449 29.7911 13.233 27.3026 -4580.76 0.280056 0.276534   0.1592  0.28421   0.254432   0.148752   0.081416  0.0214377   0.487487 0.00647456
(1,(2,(4,(5,6))),3); -4547.59  -2.04186 30.0897 13.9508 22.2543 -4583.94 0.262205 0.279129 0.140285 0.318381  0.208629  0.179614 0.0928257 0.0327996  0.478102 0.0080295
(1,(2,3),(4,(5,6))); -4541.21  -1.50449 27.0854 13.2428 26.9364 -4580.48 0.292984 0.278627 0.142397 0.285993   0.253907   0.172154    0.09556  0.0198536   0.454128 0.00439735
(1,(2,3),(4,(5,6))); -4536.83  -1.50449 32.3636 13.5248 26.5564 -4580.72 0.292634   0.2842 0.148748 0.274418   0.247502   0.161345  0.0909119  0.0152317   0.481812 0.00319657
(1,2,(3,((4,6),5))); -4536.68  -1.87928 29.6703 13.357 27.3993 -4578.51 0.296515 0.264669 0.147677 0.291138   0.232315   0.145246   0.097667  0.0307631   0.485169 0.00883904
(1,(2,(4,(5,6))),3); -4542.46  -2.04186 25.8411 13.0034 27.9321 -4581.19 0.284766 0.281883 0.144268 0.289083  0.231292   0.18166 0.0926648 0.0170142  0.473866 0.0035033
(1,2,(3,(4,(5,6)))); -4538.74  -1.35518 26.2937 13.662 27.488 -4577.5 0.266425 0.276457 0.153516 0.303603    0.24018    0.14957  0.0821866   0.015467   0.503054 0.00954244
(1,(2,((4,6),5)),3); -4543.08  -2.56596 29.9307 13.2928 26.4763 -4583.63 0.278866 0.260031 0.160418 0.300684   0.223865   0.151502  0.0823156  0.0133066   0.527379 0.00163229
(1,2,(3,((4,6),5))); -4537.97  -1.87928 27.8069 13.5918 25.8509 -4576.16 0.291891 0.284826 0.129629 0.293654   0.240917    0.14147  0.0748011  0.0161036   0.519344 0.00736443
(1,(2,(4,(5,6))),3); -4546.33  -2.04186 27.3619 13.4398 22.7162 -4580.93 0.285434 0.270999 0.158239 0.285328   0.216508   0.204743  0.0661058  0.0268951   0.482318 0.00343095
(1,(2,3),(4,(5,6))); -4545.79  -1.50449 26.1223 13.2274 24.7342 -4581.91 0.282582 0.263883 0.147601 0.305934  0.264641  0.131811  0.083286 0.0320174  0.477609 0.0106354
(1,2,(3,((4,6),5))); -4536.19  -1.87928 28.3768 13.5695 28.4496 -4577.57  0.28848 0.276752 0.143026 0.291742  0.244645   0.15205 0.0945677  0.014851   0.48339 0.0104965
(1,(2,3),(4,(5,6))); -4540.48  -1.50449 29.1295 13.1756 26.5698 -4581.5 0.286883 0.270312 0.162832 0.279973   0.232651   0.148758  0.0964398  0.0121392   0.503487 0.00652553
(1,(2,(4,(5,6))),3); -4541.28  -2.04186 27.0904 13.4387 28.1593 -4581.05 0.282119 0.264864 0.146857  0.30616  0.228045  0.170319 0.0964784 0.0182305   0.47551 0.0114177
(1,2,(3,(4,(5,6)))); -4534.64  -1.35518 30.8402 13.4372 27.4004 -4578.09 0.271346 0.272664 0.143147 0.312843   0.252336   0.159243  0.0881652  0.0226886   0.474371 0.00319591
(1,(2,3),(4,(5,6))); -4536.94  -1.50449 31.3837 13.3246 28.4097 -4581.9 0.281448 0.261772 0.152922 0.303858   0.240826   0.150008   0.102728  0.0181102   0.485461 0.00286569
(1,(2,3),(4,(5,6))); -4537.95  -1.50449 30.7559 13.5459 27.2107 -4580.87 0.287557 0.277584 0.139952 0.294907  0.232605  0.146747 0.0893918 0.0283704  0.489464 0.0134222
(1,(2,((4,6),5)),3); -4544.01  -2.56596 26.6904 12.9298 28.0092 -4583.21 0.293814  0.25769 0.156841 0.291655   0.230316   0.154528  0.0742581  0.0190029    0.51717 0.00472614
(1,(2,3),((4,6),5)); -4543.52  -2.02858 29.4881 13.4578 27.6597 -4585.18 0.273716 0.274183 0.143918 0.308183   0.226438   0.143303    0.09878  0.0193793    0.51008 0.00201941
(1,2,(3,((4,6),5))); -4537.56  -1.87928 26.9479 13.3792 27.6915 -4576.94 0.295932  0.26264 0.142428    0.299   0.242187   0.145325  0.0708914  0.0152934   0.518083 0.00822014
(1,(2,3),(4,(5,6))); -4544.53  -1.50449 29.9026 13.5467 21.9229 -4581.31 0.277161 0.293805 0.143694 0.285339   0.262652   0.114612  0.0969902   0.023835   0.494058 0.00785354
(1,2,(3,(4,(5,6)))); -4534.53  -1.35518 29.8041 13.1558 27.1813 -4577 0.278776 0.273216 0.160927 0.287081  0.228047  0.169853  0.081562 0.0232128  0.487299 0.0100249
(1,2,(3,(4,(5,6)))); -4531.82  -1.35518 31.4612 13.3508 29.9935 -4578.57 0.286592 0.271574 0.145229 0.296606  0.230231  0.151887 0.0858854 0.0207884  0.506112 0.0050965
(1,(2,3),(4,(5,6))); -4537.25  -1.50449 31.2115 13.5534 27.2011 -4580.61  0.30536 0.265007 0.139484 0.290149  0.245338  0.144655 0.0906685 0.0193038  0.488591 0.0114445
