tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,((4,6),5))); -4537.05  -1.82925 31.4899 13.3723 25.1805 -4578.52 0.289574  0.27177 0.130141 0.308515  0.224801   0.15709 0.0961776 0.0167575  0.486261 0.0189121
(1,(2,3),((4,6),5)); -4544.35  -2.25651 30.7072 13.1446 26.4813 -4586.14 0.285114  0.28099   0.1345 0.299395   0.231136    0.17991  0.0704996  0.0214953   0.494477 0.00248213
(1,2,(3,((4,6),5))); -4536.07  -1.82925 31.0172 13.4052 24.8917 -4576.75 0.304624 0.252959 0.139418    0.303  0.247892  0.167021 0.0888259 0.0259771  0.459237  0.011047
(1,2,(3,(4,(5,6)))); -4539.97  -1.27665 26.2018 13.8387 27.3584 -4578.42 0.277509 0.262645 0.155142 0.304704   0.223206   0.148423  0.0947974  0.0131691   0.515938 0.00446637
(1,(2,3),(4,(5,6))); -4542.45  -1.70391 28.548 13.6857 25.298 -4580.91  0.29563 0.266193 0.135937  0.30224  0.221287  0.167342 0.0992948 0.0286538    0.4702 0.0132226
(1,2,(3,(4,(5,6)))); -4541.68  -1.27665 25.4062 12.9432 25.5608 -4578.42 0.281779  0.28464 0.142979 0.290602  0.240581  0.135122 0.0764503 0.0246816  0.504675 0.0184901
(1,(2,3),((4,6),5)); -4547.23  -2.25651 26.5601 12.8423 25.515 -4584.21 0.300661 0.261908 0.130839 0.306593   0.239599   0.166966   0.103402  0.0129817   0.471943 0.00510752
(1,2,(3,(4,(5,6)))); -4537.01  -1.27665 31.3576 13.772 25.5507 -4578.87 0.298778 0.285531 0.130276 0.285415   0.23857  0.167459 0.0750206 0.0162949  0.487461 0.0151947
(1,2,(3,((4,6),5))); -4542.99  -1.82925 27.1608 13.1692 24.4695 -4579.62 0.286453 0.278107 0.155221  0.28022  0.217363   0.13666 0.0847246  0.011217  0.533473 0.0165611
(1,2,(3,(4,(5,6)))); -4535.02  -1.27665 31.8073 13.2867 24.2774 -4576.54  0.28119 0.276914 0.125239 0.316658  0.241647  0.134195 0.0900665 0.0122731  0.510959 0.0108589
(1,(2,3),((4,6),5)); -4551.66  -2.25651 25.1082 13.1149 24.6182 -4586.01 0.307945 0.278341 0.124608 0.289106   0.248559   0.140368  0.0748742  0.0127992   0.519518 0.00388125
(1,2,(3,(4,(5,6)))); -4538.14  -1.27665 26.5874 13.4252 26.8509 -4576.88 0.295693 0.253673 0.151362 0.299272   0.232286   0.162237  0.0984348  0.0251359   0.476055 0.00585144
(1,2,(3,((4,6),5))); -4538.83  -1.82925 27.5531 13.1462 26.6546 -4578.06 0.290963 0.276215 0.150969 0.281853   0.261283   0.130922  0.0913484  0.0155915   0.492675 0.00818038
(1,(2,3),((4,6),5)); -4542.12  -2.25651 32.0975 13.5069 27.137 -4585.59 0.267687 0.275228 0.149887 0.307198     0.2514   0.162443  0.0760202  0.0164405   0.484813 0.00888352
(1,2,(3,(4,(5,6)))); -4543.68  -1.27665 28.1851 14.0355 19.4818 -4576.04 0.310889 0.251436 0.150916 0.286759  0.255966  0.185212  0.076271 0.0319591  0.436232 0.0143599
(1,(2,(4,(5,6))),3); -4537.4  -1.8536 31.2238 13.2077 25.7429 -4579.31 0.270152 0.287199 0.135493 0.307155    0.24765   0.137662  0.0718811  0.0182603   0.517148 0.00739888
(1,2,(3,(4,(5,6)))); -4535.68  -1.27665 30.3698 13.3708 25.1433 -4576.55 0.302499 0.265993 0.142749 0.288759  0.248602   0.17685 0.0946449 0.0228429  0.446404 0.0106561
(1,2,(3,((4,6),5))); -4540.52  -1.82925 29.5829 13.6279 24.3882 -4579.03 0.281733 0.277441 0.154177  0.28665  0.220941  0.152631 0.0713123 0.0338463  0.503218 0.0180513
(1,(2,(4,(5,6))),3); -4540.55  -1.8536 29.6493 13.5826 26.8614 -4581.63 0.291411 0.272346 0.138453  0.29779   0.228338   0.166599  0.0821515  0.0344118   0.484998 0.00350086
(1,(2,((4,6),5)),3); -4547.18  -2.4062 24.7282 13.9016 27.5026 -4583.1 0.291611 0.263531 0.136337 0.308521  0.235934  0.151865 0.0830948  0.021795  0.494737 0.0125746
(1,(2,3),(4,(5,6))); -4538.06  -1.70391 31.102 13.243 26.3125 -4580.53 0.292964 0.261998 0.149337 0.295701   0.22953  0.153962 0.0774258 0.0317015  0.492279 0.0151016
(1,2,(3,(4,(5,6)))); -4534.1  -1.27665 31.0902 13.4456 27.6589 -4578.13 0.298474 0.258166 0.142135 0.301224   0.224693   0.166979  0.0745262  0.0177224   0.508074 0.00800493
(1,2,(3,(4,(5,6)))); -4539.23  -1.27665 29.8285 13.3591 24.0171 -4578.44 0.305541 0.291332 0.135443 0.267683  0.239858  0.147202 0.0808757 0.0168101  0.502384 0.0128695
(1,(2,(4,(5,6))),3); -4545.76  -1.8536 28.0633 13.4978 23.1133 -4581.59 0.260134 0.290849 0.143307  0.30571  0.253737  0.128663 0.0990999 0.0169748  0.489743 0.0117828
(1,2,(3,(4,(5,6)))); -4537.63  -1.27665 29.613 13.4765 26.7375 -4579.23 0.289302 0.284675 0.148172 0.277851   0.233194   0.148519  0.0938405  0.0091696   0.509814 0.00546248
(1,(2,3),(4,(5,6))); -4541.88  -1.70391 26.9665 13.8641 27.6187 -4580.9 0.289298 0.279319 0.137494 0.293888   0.232317   0.137153  0.0757761  0.0195681   0.530437 0.00474887
(1,(2,((4,6),5)),3); -4541.01  -2.4062 29.2522 13.4743 27.0585 -4581.44 0.292167   0.2659 0.147783  0.29415   0.250863    0.18172  0.0714623  0.0163395   0.475922 0.00369368
(1,(2,(4,(5,6))),3); -4538.21  -1.8536 30.8755 13.864 27.4738 -4580.84  0.27347 0.269125 0.155747 0.301657  0.250678  0.141277 0.0855291 0.0203961   0.49185 0.0102692
(1,(2,(4,(5,6))),3); -4544.98  -1.8536 24.0581 12.4616 26.3465 -4581.07 0.286585 0.288302 0.144374  0.28074  0.236515   0.16947 0.0783936 0.0155303  0.484295 0.0157961
(1,(2,3),((4,6),5)); -4547.71  -2.25651 27.0981 13.3092 25.1086 -4584.35 0.283138 0.262709 0.148094 0.306059    0.20893   0.162759   0.107132  0.0293594   0.484072 0.00774764
(1,2,(3,((4,6),5))); -4539.09  -1.82925 26.6799 13.5623 27.0677 -4577.44 0.270339 0.277981 0.154869 0.296811   0.240222   0.159279  0.0941216  0.0264509    0.47261 0.00731704
(1,(2,3),(4,(5,6))); -4540.43  -1.70391 28.9355 13.3061 26.408 -4580.77 0.280281 0.280938 0.154204 0.284576  0.235151  0.176288 0.0731092  0.021177  0.480728 0.0135472
(1,2,(3,(4,(5,6)))); -4539.92  -1.27665 25.5199 13.3356 26.3888 -4577.21 0.295292 0.279262 0.149756  0.27569  0.246185  0.163796 0.0739324 0.0133953  0.489342 0.0133488
(1,(2,((4,6),5)),3); -4542.31  -2.4062 28.2309 13.0569 25.4505 -4580.53 0.293344  0.27336 0.137417  0.29588    0.24125   0.181059  0.0921774  0.0193176   0.465195 0.00100166
(1,2,(3,((4,6),5))); -4545.44  -1.82925 26.8961 13.5796 22.5736 -4579.5 0.293993 0.252287 0.140805 0.312915  0.216208  0.124539 0.0875176 0.0130318  0.554543 0.0041597
(1,(2,(4,(5,6))),3); -4542.92  -1.8536 25.711 12.7874 25.3588 -4579.35 0.266694 0.269445 0.167301  0.29656   0.22149  0.168567 0.0717963 0.0184313  0.511148 0.0085671
(1,2,(3,(4,(5,6)))); -4537.53  -1.27665 27.9489 13.7071 26.5394 -4577.03 0.303727 0.251785 0.147899 0.296589   0.248658   0.171676  0.0852962  0.0142589   0.475625 0.00448527
(1,(2,3),(4,(5,6))); -4538.09  -1.70391 32.06 13.7751 26.8668 -4581.54 0.277896 0.278701 0.133857 0.309546  0.234506  0.160304 0.0782526 0.0211007  0.492515 0.0133216
(1,(2,3),(4,(5,6))); -4540.17  -1.70391 28.2751 13.3264 26.6489 -4580.06 0.278446 0.265383 0.141381 0.314791   0.222089   0.155519  0.0714707  0.0188432   0.527677 0.00440101
(1,2,(3,(4,(5,6)))); -4536.88  -1.27665 28.8683 13.3246 26.8582 -4578.01 0.282948 0.285237 0.143567 0.288248   0.242373   0.135884   0.102049  0.0231344   0.488093 0.00846622
(1,(2,(4,(5,6))),3); -4545.26  -1.8536 29.2128 13.7429 23.4501 -4582.33 0.288481 0.253624 0.163492 0.294403   0.232457   0.132223  0.0680976  0.0225274   0.542435 0.00225993
(1,2,(3,((4,6),5))); -4535.88  -1.82925 28.6075 12.9376 27.6255 -4577.35 0.280366 0.272434 0.146872 0.300328  0.235428   0.14092 0.0939198 0.0167771  0.498474 0.0144805
(1,2,(3,(4,(5,6)))); -4533.25  -1.27665 30.4541 13.2032 28.4588 -4577.69  0.28007 0.279511 0.138944 0.301475   0.24107  0.168315 0.0789822 0.0154841  0.488286 0.0078627
(1,2,(3,(4,(5,6)))); -4533.29  -1.27665 31.9218 13.4882 27.2148 -4577.66 0.299081 0.279353 0.135683 0.285883   0.244272   0.144531  0.0933311  0.0116581   0.497449 0.00875884
(1,2,(3,((4,6),5))); -4535.37  -1.82925 30.5983 13.2964 26.1416 -4576.99 0.280851  0.26216  0.16658 0.290408  0.232882  0.163039 0.0755554 0.0153991  0.498958  0.014167
(1,2,(3,((4,6),5))); -4538.16  -1.82925 28.7343 13.2705 25.3287 -4577.12 0.266105 0.290753 0.151784 0.291358   0.231406   0.134829  0.0802011   0.018042   0.532628 0.00289381
(1,(2,(4,(5,6))),3); -4538.33  -1.8536 30.005 13.272 26.6301 -4579.84 0.286404 0.269742 0.148459 0.295394  0.220937  0.173059 0.0639622 0.0163349  0.515493 0.0102128
(1,2,(3,((4,6),5))); -4536.52  -1.82925 31.5354 13.7791 25.7765 -4578.23 0.297925 0.263209 0.147821 0.291046  0.211726  0.162919 0.0804296 0.0358549   0.50127 0.0078004
(1,(2,((4,6),5)),3); -4545.42  -2.4062 28.7884 13.6402 24.5067 -4582.67 0.297499 0.247788 0.140066 0.314647   0.240649   0.148756   0.100466  0.0105821   0.490695 0.00885247
(1,(2,3),((4,6),5)); -4547.67  -2.25651 30.2975 13.6944 24.7219 -4586.74 0.275875 0.273201 0.171712 0.279211  0.247422  0.143781 0.0753577 0.0228419  0.499273 0.0113249
(1,2,(3,(4,(5,6)))); -4534.56  -1.27665 29.6432 13.3729 27.2836 -4576.84  0.28113 0.261463 0.144469 0.312938  0.224473  0.157199 0.0923291  0.017081  0.497215 0.0117031
(1,2,(3,(4,(5,6)))); -4534.75  -1.27665 31.1376 13.7822 27.7373 -4578.57 0.293029 0.282533 0.133044 0.291395    0.23314   0.169532   0.086931  0.0125724   0.490468 0.00735645
(1,2,(3,((4,6),5))); -4537.03  -1.82925 30.3917 13.6595 24.7639 -4576.69 0.277722  0.28073 0.130446 0.311102   0.224397   0.138786  0.0977067 0.00961239   0.523563 0.00593499
(1,2,(3,(4,(5,6)))); -4535.69  -1.27665 30.1947 13.5091 26.4341 -4577.53 0.298328 0.258009 0.134119 0.309544   0.23572  0.152866 0.0907578 0.0131246  0.495498 0.0120334
(1,2,(3,(4,(5,6)))); -4539.71  -1.27665 27.0661 13.2422 25.5991 -4577.85 0.274592 0.267896 0.167618 0.289894   0.245039    0.17896  0.0722183  0.0206173   0.477732 0.00543335
(1,(2,3),(4,(5,6))); -4543.24  -1.70391 28.158 13.0021 23.4347 -4580.13 0.288455 0.265122  0.15369 0.292733   0.244425   0.154671  0.0890291 0.00612105   0.484013   0.021741
(1,(2,3),((4,6),5)); -4541.54  -2.25651 31.3458 13.1787 28.0941 -4585.55 0.277686 0.277539 0.156966 0.287809   0.244912   0.146328  0.0824872  0.0208401   0.495854 0.00957899
(1,(2,3),(4,(5,6))); -4541.67  -1.70391 28.9609 13.5597 24.4262 -4579.79 0.293797 0.269957 0.151085 0.285161   0.240501   0.163347    0.10983  0.0313745   0.450845 0.00410297
(1,2,(3,((4,6),5))); -4536.13  -1.82925 29.4697 13.2857 26.9185 -4577.4 0.277205 0.271893 0.163217 0.287685  0.236797  0.151793 0.0730315 0.0146476  0.512573  0.011157
(1,(2,3),((4,6),5)); -4542.15  -2.25651 29.7696 13.4895 28.2366 -4584.41 0.275875  0.27642 0.146559 0.301146   0.241274    0.15432   0.092925  0.0116281   0.496043 0.00380979
(1,(2,3),((4,6),5)); -4545.62  -2.25651 29.5288 13.463 26.1846 -4585.62 0.278767  0.28034 0.143747 0.297146  0.224597  0.145904 0.0999764  0.011675  0.501793 0.0160539
(1,2,(3,((4,6),5))); -4534.33  -1.82925 30.35 13.0934 27.109 -4576.86 0.286437 0.280062 0.142117 0.291384   0.256659   0.132422  0.0781152  0.0243193   0.504773 0.00371141
(1,(2,3),(4,(5,6))); -4542.61  -1.70391 28.545 13.5092 25.6101 -4581.55 0.292059 0.274865 0.136178 0.296898  0.244837  0.131671 0.0836831 0.0122582  0.509824  0.017726
(1,(2,(4,(5,6))),3); -4542.16  -1.8536 28.3276 13.371 25.2748 -4580.54 0.293736 0.287362 0.152603 0.266299   0.236982   0.171205  0.0855663  0.0125978   0.485121 0.00852706
(1,2,(3,((4,6),5))); -4537.83  -1.82925 29.6939 13.0772 25.3514 -4577.97 0.289305 0.272531 0.138566 0.299598  0.205394  0.141231 0.0986458 0.0113915  0.534803 0.0085357
(1,2,(3,((4,6),5))); -4536.49  -1.82925 30.037 13.1126 25.1545 -4576.74 0.291972 0.284611 0.128397 0.295019   0.262381   0.172983  0.0761299    0.01117   0.472215 0.00512065
(1,(2,3),((4,6),5)); -4541.54  -2.25651 31.1388 13.0058 27.0541 -4584.47 0.270022 0.278897  0.15141 0.299671   0.217954   0.160374  0.0849139  0.0224162   0.511977 0.00236521
