tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,(4,(5,6)))); -4551.13  -1.27079 31.3334 13.6733 28.0645 -4595.58 0.298456 0.290725 0.137315 0.273503  0.255807  0.158793  0.128841 0.0334181  0.406794 0.0163464
(1,2,(3,((4,6),5))); -4561.24  -1.72319 22.983 13.6179 26.0434 -4594.92 0.310167 0.294193 0.120016 0.275623  0.249298  0.148965 0.0990012 0.0436939  0.439859  0.019183
(1,2,(3,((4,6),5))); -4558.86  -1.72319 31.4235 13.6373 26.0759 -4601 0.291684 0.311259 0.117441 0.279615   0.23991  0.169082  0.120477 0.0326356  0.420569 0.0173252
(1,(2,3),((4,6),5)); -4561.31  -2.10754 28.1297 14.0371 27.4788 -4600.77 0.298188  0.29344 0.136855 0.271517  0.256049  0.154477  0.114038 0.0444372  0.417239 0.0137607
(1,(2,(4,(5,6))),3); -4555.51  -2.04726 27.5659 13.6263 29.9415 -4597.35 0.310272 0.295463 0.132186 0.262079  0.248598  0.149322  0.111324 0.0331004  0.443598 0.0140574
(1,(2,3),((4,6),5)); -4555.22  -2.10754 31.5788 13.6807 28.4632 -4599.47 0.303831 0.285924 0.129985  0.28026  0.247056  0.150321  0.118122 0.0413369  0.429629 0.0135349
(1,(2,((4,5),6)),3); -4565.35  -5.61861 31.1528 13.4723 27.952 -4605.37 0.316016 0.281564 0.121407 0.281012  0.232495   0.15536  0.121233 0.0369748  0.437562 0.0163748
(1,(2,3),((4,5),6)); -4564.44  -5.22649 31.1646 13.4055 27.2501 -4604.22   0.3208 0.287486 0.124557 0.267157  0.243144  0.173154  0.101689 0.0380505  0.429627 0.0143353
(1,2,(3,(4,(5,6)))); -4553.28  -1.27079 25.0957 13.6902 26.6428 -4590.06 0.295636 0.302577 0.136356 0.265432  0.267076  0.164424  0.107367 0.0289151   0.42216 0.0100571
(1,(2,(4,(5,6))),3); -4556.49  -2.04726 30.2097 13.3262 28.6805 -4600.01 0.310521 0.298283 0.120475 0.270721  0.254124  0.154882  0.118985  0.026056  0.428783 0.0171703
(1,2,(3,((4,6),5))); -4544.71  -1.72319 30.9593 13.5388 23.0107 -4583.42 0.319337 0.247539 0.155838 0.277286  0.239889   0.15588   0.10363 0.0382725   0.44542 0.0169085
(1,2,(3,(4,(5,6)))); -4542.33  -1.27079 30.9544 13.5762 25.3517 -4583.79 0.290553 0.292569 0.126388 0.290489  0.233464  0.144844  0.118819  0.029249  0.462179 0.0114449
(1,2,(3,((4,6),5))); -4556.39  -1.72319 23.4879 13.1375 27.862 -4592.87 0.314449 0.285173 0.116224 0.284154  0.259474   0.15548  0.102732 0.0337814  0.432476 0.0160557
(1,2,(3,(4,(5,6)))); -4550.01  -1.27079 30.5938 13.9547 22.1505 -4587.53 0.326372 0.258975 0.139801 0.274852  0.277046  0.141651  0.113743 0.0237295  0.419043 0.0247878
(1,(2,3),((4,6),5)); -4556.02  -2.10754 24.2646 12.8706 24.513 -4589.82  0.31466  0.25887 0.139418 0.287052  0.254033  0.156991 0.0939627 0.0400874  0.440451  0.014475
(1,2,(3,(4,(5,6)))); -4546.27  -1.27079 30.3761 13.4404 28.6554 -4590.59 0.298077 0.285965  0.14067 0.275289  0.254936  0.161842  0.122546 0.0275666  0.416992 0.0161168
(1,(2,3),((4,5),6)); -4563.88  -5.22649 29.7431 13.6082 29.0255 -4603.81 0.314437 0.292413 0.131293 0.261858   0.26817  0.146961  0.118205 0.0289694   0.42342 0.0142746
(1,(2,3),(4,(5,6))); -4552.87  -1.65514 29.0225 13.8448 29.5208 -4595.92 0.301727 0.290968 0.136241 0.271065  0.241585  0.156418  0.123293 0.0352647  0.428091 0.0153481
(1,(2,3),(4,(5,6))); -4547.36  -1.65514 30.8512 13.7816 24.5373 -4587.31 0.325068 0.255898 0.154408 0.264626  0.259078  0.160116  0.113153 0.0245301  0.428872 0.0142516
(1,2,(3,(4,(5,6)))); -4552.56  -1.27079 31.1163 13.883 27.9095 -4596.43 0.322014 0.286584 0.135425 0.255978  0.241715  0.146249  0.118547 0.0295138  0.441377 0.0225982
(1,(2,3),(4,(5,6))); -4550.1  -1.65514 26.9772 12.8766 26.3522 -4588.9  0.29666 0.292396 0.131962 0.278983  0.232118  0.152821  0.105684 0.0416366  0.455213 0.0125267
(1,2,(3,(4,(5,6)))); -4551.99  -1.27079 31.4387 13.5696 26.506 -4595.09 0.308065 0.295321 0.120543 0.276071  0.223636  0.167544  0.109807 0.0336788  0.445814 0.0195196
(1,2,(3,(4,(5,6)))); -4553.89  -1.27079 30.0502 13.7082 26.9487 -4595.91 0.303494 0.286843 0.114855 0.294808  0.252439  0.156686   0.12059 0.0342803  0.421807  0.014198
(1,(2,3),((4,6),5)); -4569.81  -2.10754 28.081 13.3189 21.7491 -4604.21  0.30074 0.305852 0.152586 0.240822  0.237158   0.16655  0.129356 0.0235196  0.421468  0.021949
(1,2,(3,((4,5),6))); -4551.9  -4.84214 28.6335 13.0225 26.2977 -4588.97 0.302945 0.285081 0.128756 0.283218  0.240858  0.153563  0.127258 0.0259423  0.442312 0.0100671
(1,(2,3),((4,6),5)); -4560.18  -2.10754 28.7825 13.3471 25.4759 -4598.98 0.317051 0.288597  0.14431 0.250042  0.263828  0.169692 0.0951318 0.0352134  0.417632 0.0185032
(1,2,(3,(4,(5,6)))); -4547.49  -1.27079 28.5461 13.2419 25.9523 -4587.47 0.311516 0.270659 0.147377 0.270449  0.252309  0.133911  0.114129 0.0290467  0.448784   0.02182
(1,(2,3),((4,6),5)); -4556.13  -2.10754 30.2295 13.5187 27.7533 -4598.49 0.288308 0.309215 0.132366 0.270112  0.251994  0.151464  0.113132  0.025167  0.441305 0.0169379
(1,(2,3),(4,(5,6))); -4551.78  -1.65514 29.2219 13.2166 23.6801 -4589.81 0.314525 0.291591  0.13328 0.260603  0.268824  0.165404 0.0845437 0.0296554  0.431949 0.0196235
(1,(2,(4,(5,6))),3); -4551.44  -2.04726 28.3874 13.4019 27.9193 -4592.3 0.288553 0.300784 0.144266 0.266397  0.237663  0.152893  0.109694 0.0319268  0.452618 0.0152047
(1,2,(3,(4,(5,6)))); -4549.94  -1.27079 26.6716 13.5593 24.5981 -4586.38 0.285558 0.294641 0.135541  0.28426  0.262191  0.172936 0.0955074  0.026865  0.423063 0.0194379
(1,(2,(4,(5,6))),3); -4557.34  -2.04726 29.7911 13.0808 26.5381 -4598.54 0.304323 0.297083 0.116622 0.281972  0.262977   0.15365  0.105811 0.0385041  0.427602 0.0114556
(1,(2,3),(4,(5,6))); -4546.29  -1.65514 28.1152 13.2377 26.0299 -4585.55 0.313954 0.275496 0.140308 0.270242  0.238073    0.1455 0.0977719 0.0306521  0.471746 0.0162574
(1,2,(3,((4,6),5))); -4546.37  -1.72319 31.1607 13.6348 26.2243 -4588.4 0.318505  0.28539 0.127571 0.268535   0.25092  0.181633  0.104129 0.0256979  0.424007 0.0136142
(1,2,(3,(4,(5,6)))); -4551.94  -1.27079 29.2837 13.4 26.5671 -4593.12 0.320657 0.297837  0.13286 0.248645  0.263823  0.165892 0.0962328 0.0286897  0.430072   0.01529
(1,2,(3,(4,(5,6)))); -4558.98  -1.27079 27.8969 13.2981 26.4733 -4598.78 0.330397 0.294029 0.127114  0.24846   0.25461   0.16538  0.121113 0.0306897  0.417185  0.011022
(1,2,(3,(4,(5,6)))); -4558.85  -1.27079 19.9025 13.8248 24.1753 -4587.83 0.306455 0.279473 0.159758 0.254314  0.225548  0.159054  0.108222 0.0318813  0.454293 0.0210014
(1,(2,3),(4,(5,6))); -4550.7  -1.65514 30.4095 13.3701 28.8524 -4594.94  0.30875 0.289279 0.142932 0.259039  0.251043  0.141231  0.118592 0.0294136  0.442008 0.0177119
(1,(2,3),((4,6),5)); -4556.35  -2.10754 29.9078 13.0925 28.6427 -4599.7 0.312991 0.295498  0.12804 0.263471  0.257333  0.166186  0.104079 0.0326493  0.427411 0.0123418
(1,2,(3,(4,(5,6)))); -4556.11  -1.27079 30.3795 13.3105 22.6582 -4594.57 0.286558  0.30819 0.148275 0.256976  0.224753  0.181886  0.117391 0.0307948  0.424638  0.020537
(1,(2,3),((4,6),5)); -4570.76  -2.10754 27.9006 13.0476 26.3989 -4609.9 0.313945 0.310614  0.10901 0.266431  0.257961  0.154968  0.112963 0.0289657  0.427975 0.0171671
(1,2,(3,((4,6),5))); -4548.13  -1.72319 30.4055 13.1569 27.2878 -4590.94 0.327982 0.277631 0.123749 0.270638  0.257859  0.162381  0.110433 0.0235433  0.428254 0.0175301
(1,(2,(4,(5,6))),3); -4552.67  -2.04726 29.2327 13.3648 28.7968 -4595.29 0.323756 0.283323 0.131689 0.261231  0.251809  0.145197  0.115704  0.027539  0.446319 0.0134327
(1,2,(3,((4,6),5))); -4551.21  -1.72319 27.3575 13.1743 26.7103 -4590.38 0.297414 0.290353 0.131289 0.280944  0.241459  0.173003  0.101252 0.0336336  0.428709 0.0219433
(1,2,(3,(4,(5,6)))); -4547.98  -1.27079 28.6768 13.7133 27.5951 -4589.27  0.29752 0.285024 0.129207 0.288248   0.25437  0.169861  0.102007 0.0301694  0.425352 0.0182418
(1,2,(3,(4,(5,6)))); -4553.29  -1.27079 30.3261 13.6865 22.4601 -4591.12 0.323065 0.271691 0.128935 0.276309  0.221706  0.157834  0.101139 0.0444143  0.451637 0.0232693
