tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,(4,(5,6)))); -4538.09  -1.52506 28.4641 13.3635 26.0917 -4577.76 0.287158 0.259019 0.162156 0.291667   0.235839   0.148664  0.0651947  0.0196512   0.524153 0.00649712
(1,(2,3),(4,(5,6))); -4541.27  -1.60141 31.052 13.3668 24.8516 -4582.21  0.28085 0.275175 0.163354 0.280621   0.225048   0.128307  0.0926701  0.0200347   0.524125 0.00981535
(1,2,(3,((4,6),5))); -4542.22  -1.87193 27.6643 13.353 22.6513 -4577.31 0.276961 0.271363 0.136621 0.315056  0.250959  0.136165 0.0666795 0.0253673  0.499997 0.0208313
(1,(2,3),((4,6),5)); -4546.59  -1.94829 30.0983 13.4345 25.1445 -4586.45 0.291913 0.284095 0.150674 0.273317  0.228167  0.158266 0.0741971 0.0222375  0.500985 0.0161474
(1,(2,3),((4,6),5)); -4545.26  -1.94829 29.6388 13.5962 25.9601 -4585.32 0.277712  0.25957 0.159987 0.302731   0.230226   0.180842  0.0849084  0.0256251   0.473812 0.00458576
(1,2,(3,(4,(5,6)))); -4543.68  -1.52506 24.1341 13.7297 25.123 -4577.69 0.305372 0.259082 0.134241 0.301304   0.283389   0.153214  0.0854086  0.0144373   0.457358 0.00619245
(1,(2,((4,6),5)),3); -4548.38  -2.24104 28.1454 13.1596 22.5799 -4583.71 0.288728 0.297384 0.132048 0.281841  0.230861  0.131094 0.0748293 0.0283519  0.523017 0.0118466
(1,2,(3,(4,(5,6)))); -4537.62  -1.52506 30.2909 13.8041 25.7889 -4578.38 0.302363 0.251722 0.147042 0.298873  0.225014  0.176311 0.0778276 0.0148334  0.492999 0.0130152
(1,2,(3,(4,(5,6)))); -4535.21  -1.52506 31.3273 13.556 25.4129 -4576.87 0.294632 0.264005 0.128845 0.312518   0.260527    0.13817  0.0805352  0.0207787   0.490806 0.00918346
(1,(2,((4,6),5)),3); -4546.93  -2.24104 22.6254 12.8112 27.9064 -4582.41 0.288155  0.26623 0.142447 0.303168   0.236035    0.15208  0.0725534  0.0174765   0.518307 0.00354787
(1,(2,((4,6),5)),3); -4551.19  -2.24104 28.2577 13.7751 22.6029 -4586.04 0.320122 0.263854 0.136839 0.279185   0.258235   0.128477  0.0691634  0.0265499   0.511629 0.00594593
(1,(2,(4,(5,6))),3); -4547.49  -1.89416 27.8149 13.6956 21.0015 -4580.72 0.260139 0.289585 0.168886 0.281391   0.228456   0.151231  0.0774453  0.0332558   0.501191 0.00842085
(1,(2,(4,(5,6))),3); -4542.49  -1.89416 30.5776 13.5491 25.3258 -4582.95 0.293647 0.268604 0.153766 0.283983   0.269917   0.132972   0.102992  0.0105518   0.475127 0.00844005
(1,2,(3,((4,6),5))); -4540.25  -1.87193 25.1223 14.042 26.8931 -4576.35 0.307804 0.256417 0.148062 0.287716   0.240233   0.175555   0.079059  0.0179857   0.480269 0.00689865
(1,2,(3,((4,6),5))); -4540.1  -1.87193 29.314 14.0842 25.0558 -4578.52 0.285604  0.25436 0.155269 0.304767   0.26199  0.141493 0.0826907 0.0110612  0.487237 0.0155285
(1,2,(3,((4,6),5))); -4537.8  -1.87193 29.465 13.5418 25.6297 -4577.48 0.285675 0.256857 0.140224 0.317244   0.243223   0.161958  0.0987805  0.0273425   0.462136 0.00655986
(1,2,(3,(4,(5,6)))); -4541.23  -1.52506 28.444 12.8954 24.1736 -4579.43  0.29274 0.284233  0.14756 0.275467  0.236336  0.124889 0.0949483 0.0102567  0.523321 0.0102493
(1,(2,3),(4,(5,6))); -4542.81  -1.60141 30.4717 13.9261 24.5609 -4582.32 0.294055 0.240776 0.157492 0.307678   0.256683   0.145991  0.0791097  0.0247812   0.485861 0.00757341
(1,2,(3,((4,6),5))); -4536.57  -1.87193 32.5508 13.5981 24.9594 -4578.61 0.288853 0.269612 0.146818 0.294717   0.254963   0.144567   0.101793  0.0385007   0.453779 0.00639712
(1,(2,((4,6),5)),3); -4544.08  -2.24104 27.1524 13.321 26.9387 -4582.61 0.295072 0.268226 0.138464 0.298237   0.248392   0.150521  0.0675492  0.0289438   0.498662 0.00593193
(1,2,(3,((4,6),5))); -4536.89  -1.87193 32.4129 13.6729 25.3188 -4579.08  0.29431 0.271846 0.148982 0.284861 0.197052 0.174375  0.08869 0.015611 0.510788 0.013484
(1,(2,((4,6),5)),3); -4542.74  -2.24104 28.3811 13.5305 27.8678 -4583.21 0.287622 0.260975 0.145323 0.306081  0.250002    0.1583 0.0860766 0.0227216  0.472401 0.0104995
(1,(2,(4,(5,6))),3); -4540.23  -1.89416 27.9759 13.365 26.4572 -4579.41 0.292211 0.270718 0.152461  0.28461  0.232456   0.16801 0.0932082 0.0105002  0.482564 0.0132616
(1,(2,((4,6),5)),3); -4544.72  -2.24104 26.9854 13.2724 26.6189 -4582.81 0.286642 0.261326 0.146592  0.30544   0.232604    0.17229   0.109178   0.017343   0.461038 0.00754674
(1,2,(3,(4,(5,6)))); -4536.44  -1.52506 29.2751 13.3182 26.6857 -4577.55 0.290505 0.279403 0.146786 0.283306  0.258193  0.149837 0.0842824 0.0301769  0.467379 0.0101311
(1,2,(3,(4,(5,6)))); -4535.62  -1.52506 29.6853 13.4237 26.8062 -4577.16 0.301469 0.266162 0.134032 0.298337    0.2403  0.165105 0.0974122 0.0162807  0.471017 0.0098849
(1,(2,3),(4,(5,6))); -4545.52  -1.60141 28.8578 13.6504 21.8557 -4580.98 0.267928 0.266187  0.16034 0.305544  0.216142  0.166913  0.120504 0.0264486  0.457844 0.0121482
(1,(2,3),(4,(5,6))); -4540.85  -1.60141 31.3128 13.6941 24.52 -4581.38  0.29091 0.244949   0.1539 0.310241  0.227477  0.151617 0.0770342 0.0289393  0.503614 0.0113181
(1,2,(3,((4,6),5))); -4535.2  -1.87193 29.9429 13.4859 26.7824 -4576.56 0.290083 0.271914 0.141109 0.296894   0.245708   0.150147   0.098852  0.0292971   0.473101 0.00289403
(1,(2,(4,(5,6))),3); -4550.73  -1.89416 29.3229 13.3427 21.1256 -4585.94 0.313798 0.267804 0.148293 0.270105   0.217579   0.127442    0.10562 0.00953333   0.534365 0.00546034
(1,(2,((4,6),5)),3); -4541.57  -2.24104 28.6925 13.1609 28.1282 -4582.98 0.294206 0.279646 0.139093 0.287055   0.235709   0.149811  0.0853928  0.0221362   0.499096 0.00785532
(1,2,(3,((4,6),5))); -4536.56  -1.87193 30.9946 13.5673 25.7067 -4577.83  0.29291 0.275043 0.129459 0.302588   0.209053   0.174962  0.0912536  0.0170318   0.501734 0.00596596
(1,(2,((4,6),5)),3); -4543.7  -2.24104 28.9527 13.3573 26.4693 -4583.52 0.286191 0.264544 0.145146 0.304119    0.24636   0.155846  0.0748415  0.0359074   0.481288 0.00575643
(1,2,(3,((4,6),5))); -4535.69  -1.87193 29.4935 13.8231 28.3111 -4577.8 0.282528 0.270832 0.148261 0.298379   0.256796   0.135376  0.0824724  0.0197785   0.498697 0.00687944
(1,2,(3,((4,6),5))); -4533.12  -1.87193 31.2426 13.4334 27.3491 -4576.41 0.281772 0.274988 0.140821  0.30242    0.24989   0.163613  0.0654678  0.0166499   0.500533 0.00384566
(1,(2,3),(4,(5,6))); -4538.78  -1.60141 29.4032 13.2595 26.4202 -4579.74 0.275096 0.279831 0.141513  0.30356  0.229405  0.139178  0.100406 0.0214739  0.497698 0.0118392
(1,(2,3),(4,(5,6))); -4542.32  -1.60141 26.1725 13.6076 28.1423 -4581.43 0.289681 0.271604 0.145574 0.293141   0.238812   0.150357  0.0970761  0.0257894   0.479523 0.00844258
(1,2,(3,(4,(5,6)))); -4543.93  -1.52506 27.6696 14.1162 23.1804 -4579.14  0.30494 0.248669 0.149201 0.297189    0.24607   0.128826      0.105  0.0332532   0.482272 0.00457962
(1,2,(3,(4,(5,6)))); -4544.04  -1.52506 28.2099 14.2281 22.3589 -4578.86 0.274775 0.281042 0.134226 0.309957   0.242059   0.148636  0.0831781  0.0440377   0.479127 0.00296286
(1,(2,3),((4,6),5)); -4545.54  -1.94829 29.3699 12.9419 25.6635 -4585.69 0.294534 0.269183 0.126758 0.309526   0.248549   0.165682  0.0825039  0.0237834   0.472199 0.00728268
