tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,(4,(5,6))),3); -4544.52  -1.97002 26.6601 13.0884 23.5524 -4579.68 0.283314 0.254189 0.156973 0.305524   0.215449   0.173071   0.113852  0.0117935   0.478896 0.00693805
(1,(2,3),(4,(5,6))); -4537.29  -1.48697 30.9916 13.0418 27.4352 -4581.19 0.284273 0.281555 0.139825 0.294347   0.216208   0.157361  0.0825003  0.0138086   0.526843 0.00327901
(1,(2,3),(4,(5,6))); -4543.97  -1.48697 25.4313 13.2581 25.9359 -4580.59 0.304105 0.261129 0.132123 0.302642   0.264424   0.148337  0.0938912  0.0161642   0.469032 0.00815192
(1,2,(3,(4,(5,6)))); -4533.03  -1.33597 30.0492 13.034 29.4342 -4578.15 0.289613  0.26921 0.149131 0.292047   0.226369   0.151188  0.0925026  0.0183937   0.506885 0.00466175
(1,2,(3,((4,6),5))); -4535.61  -1.96298 30.9612 13.2952 26.2703 -4577.59 0.297463 0.262523 0.140479 0.299535    0.20745   0.169007  0.0884261  0.0283793   0.501571 0.00516654
(1,2,(3,((4,6),5))); -4541.31  -1.96298 28.3789 13.6257 24.284 -4578.39 0.286655 0.269123 0.156296 0.287926   0.216992   0.128326   0.093603  0.0243531   0.535682 0.00104471
(1,2,(3,(4,(5,6)))); -4533.44  -1.33597 30.7877 13.3968 28.704 -4578.19  0.28145 0.262224 0.158772 0.297553   0.240237   0.155711  0.0855544   0.019995    0.49514 0.00336173
(1,(2,(4,(5,6))),3); -4540.62  -1.97002 27.5778 13.5517 27.678 -4580.36 0.272377 0.271051 0.145965 0.310607  0.228574  0.148416 0.0800298 0.0247425  0.511563 0.0066748
(1,2,(3,(4,(5,6)))); -4538.24  -1.33597 28.933 13.2791 24.0101 -4576.57 0.285198 0.261965 0.165516  0.28732   0.263283   0.173306  0.0639699  0.0137543   0.480273 0.00541351
(1,2,(3,(4,(5,6)))); -4535.37  -1.33597 29.5672 13.5413 27.1206 -4577.18 0.299275 0.257773 0.155129 0.287823   0.242328   0.174616  0.0796066  0.0236706   0.475284 0.00449562
(1,2,(3,((4,6),5))); -4537.39  -1.96298 28.8879 13.0403 26.3264 -4577.6 0.275246 0.275001 0.155976 0.293777  0.232167  0.136272 0.0893051 0.0160852  0.511125 0.0150456
(1,(2,3),((4,6),5)); -4551.82  -2.11399 23.728 13.3669 25.9022 -4585.97 0.291716 0.259579 0.145509 0.303196   0.24174  0.171701 0.0833091 0.0199516  0.463702 0.0195957
(1,(2,3),(4,(5,6))); -4536.18  -1.48697 31.4383 13.552 29.0152 -4581.59 0.289095 0.258296 0.150097 0.302511   0.233763   0.156038  0.0853401   0.023065   0.497627 0.00416651
(1,(2,3),(4,(5,6))); -4539.34  -1.48697 29.2461 13.901 27.898 -4581.1 0.274904 0.276408 0.158906 0.289783   0.233744   0.152992  0.0780925  0.0215148   0.506749 0.00690727
(1,2,(3,(4,(5,6)))); -4538.54  -1.33597 29.4439 13.8879 25.2448 -4578 0.282863 0.285824  0.16037 0.270943  0.241583  0.143179 0.0867922  0.026666   0.49784 0.0039393
(1,2,(3,(4,(5,6)))); -4540.9  -1.33597 27.98 13.4498 24.662 -4578.75 0.310992 0.275592 0.146387 0.267029  0.235877  0.138858 0.0913586 0.0187126  0.503682 0.0115114
(1,2,(3,(4,(5,6)))); -4534.97  -1.33597 29.4908 13.5073 28.1172 -4577.73 0.290862 0.268551 0.141681 0.298907  0.217351  0.162841 0.0809215 0.0202686  0.507421 0.0111963
(1,(2,3),((4,6),5)); -4547.79  -2.11399 30.4884 13.3435 23.7133 -4586.53 0.264942 0.289889 0.157284 0.287885   0.232107   0.139108   0.114214  0.0214551   0.489328 0.00378726
(1,2,(3,(4,(5,6)))); -4537.38  -1.33597 28.354 13.3744 27.0231 -4578.05 0.279182 0.281799 0.155305 0.283713   0.241837   0.159144   0.100351  0.0134122   0.477458 0.00779749
(1,(2,(4,(5,6))),3); -4538.45  -1.97002 30.3852 13.4654 28.0949 -4581.49 0.294862 0.260904 0.152346 0.291887   0.259175   0.142088  0.0766568  0.0200254   0.496323 0.00573208
(1,(2,((4,6),5)),3); -4553.86  -2.59703 27.8401 13.6102 20.6838 -4586.18  0.31443 0.248481 0.137805 0.299284  0.227205  0.142967 0.0798639 0.0416199  0.498239 0.0101042
(1,2,(3,((4,6),5))); -4538.06  -1.96298 27.2477 13.2686 26.7808 -4576.86 0.284719  0.26598 0.163865 0.285436    0.25427   0.151145  0.0957082  0.0197143   0.471219 0.00794295
(1,(2,((4,5),6)),3); -4547.07  -4.83893 31.7957 13.4077 27.3595 -4587.98 0.292184 0.263115 0.145561 0.299141  0.262384  0.173532  0.072099 0.0178266  0.471133 0.0030265
(1,(2,3),(4,(5,6))); -4539.96  -1.48697 30.7759 13.4978 26.3169 -4582.07  0.27506 0.288358 0.143158 0.293424  0.262079  0.153717 0.0922786 0.0211734  0.460659 0.0100925
(1,2,(3,(4,(5,6)))); -4539.76  -1.33597 27.8888 13.4376 24.6221 -4577.5 0.295398 0.244923 0.139947 0.319732   0.236215   0.172304  0.0737991   0.016083   0.494351 0.00724793
(1,(2,(4,(5,6))),3); -4541.52  -1.97002 29.8387 13.417 25.4782 -4581.45 0.286974 0.252981 0.154288 0.305758   0.262885   0.162576  0.0987845  0.0226015   0.448426 0.00472655
(1,2,(3,(4,(5,6)))); -4537.44  -1.33597 25.7848 12.9697 29.1963 -4578.11 0.291738 0.270089 0.149834 0.288339   0.242809   0.143533  0.0860283  0.0172342   0.507409 0.00298686
(1,(2,3),(4,(5,6))); -4542.96  -1.48697 24.3823 13.9851 29.1367 -4581.01 0.282905 0.270255 0.152207 0.294633     0.2537   0.152918  0.0891056  0.0192671   0.478369 0.00664051
(1,2,(3,((4,6),5))); -4534.67  -1.96298 29.6876 13.1577 27.7065 -4576.94 0.283201 0.280253 0.146246 0.290301    0.22362   0.169529   0.098394  0.0248663    0.47788 0.00571103
(1,(2,3),(4,(5,6))); -4539.48  -1.48697 28.5312 12.9627 27.3823 -4580.95 0.287808 0.275344 0.144842 0.292006   0.213052   0.176407  0.0824488  0.0172973    0.50132 0.00947456
(1,2,(3,((4,6),5))); -4535.98  -1.96298 30.9493 13.2877 24.3491 -4576.03 0.308996 0.265556  0.13539 0.290058  0.263121  0.152558 0.0990953 0.0107732  0.463848 0.0106046
(1,(2,3),((4,6),5)); -4554.28  -2.11399 28.5696 13.7357 17.7425 -4584.74 0.288939 0.236587 0.158247 0.316227   0.237605    0.15825   0.113656  0.0374545   0.449519 0.00351609
(1,(2,(4,(5,6))),3); -4537.87  -1.97002 31.4514 13.4083 27.2402 -4581.18 0.281956 0.270393 0.145885 0.301765  0.221295  0.148125 0.0885024 0.0278544  0.501133 0.0130894
(1,(2,3),(4,(5,6))); -4544.05  -1.48697 28.916 13.1856 23.3378 -4581.64 0.286533 0.282388 0.145213 0.285866   0.249482   0.118133  0.0707973  0.0146315   0.542975 0.00398049
(1,(2,3),(4,(5,6))); -4543.56  -1.48697 28.475 13.3944 23.495 -4580.65 0.290812 0.265743 0.152671 0.290774  0.276825   0.14969 0.0566483 0.0244425  0.481671 0.0107232
(1,2,(3,((4,6),5))); -4535.45  -1.96298 29.9433 13.599 27.7039 -4577.54 0.292667 0.270821 0.138909 0.297603   0.233222   0.149505  0.0807718  0.0286932   0.506383 0.00142537
(1,(2,3),((4,6),5)); -4544.97  -2.11399 29.3989 13.4316 26.3292 -4585.15 0.296583 0.268468  0.14654 0.288409    0.26956   0.158689  0.0835462   0.027611   0.453459 0.00713518
(1,2,(3,((4,6),5))); -4536.32  -1.96298 31.7597 13.4355 24.4977 -4577.18 0.284371 0.254446 0.152033 0.309151  0.262821  0.163877 0.0774064 0.0180042  0.459821 0.0180708
(1,2,(3,(4,(5,6)))); -4541.01  -1.33597 25.2545 13.0295 26.4195 -4578.32 0.297034 0.270917 0.154315 0.277733   0.258139   0.139166  0.0701205  0.0164628   0.510845 0.00526707
(1,(2,3),(4,(5,6))); -4538.26  -1.48697 30.5831 13.8491 28.0638 -4581.57 0.280516  0.26255 0.150358 0.306576   0.244788   0.166721  0.0927937  0.0167383   0.477169 0.00178966
(1,(2,3),((4,6),5)); -4544.04  -2.11399 28.4668 13.5517 28.7979 -4585.64 0.283123 0.264559 0.151444 0.300874   0.239496   0.169507    0.08924  0.0167782   0.478013 0.00696594
(1,(2,(4,(5,6))),3); -4537.98  -1.97002 31.5831 13.3458 27.7328 -4581.98 0.298582 0.260892   0.1542 0.286326   0.228565   0.147086   0.102598  0.0173654   0.498745 0.00564086
(1,(2,((4,6),5)),3); -4539.13  -2.59703 31.5237 13.4499 27.3735 -4581.98 0.280589 0.277495 0.141196  0.30072   0.23532   0.16968 0.0707615 0.0156297  0.496571 0.0120378
(1,2,(3,(4,(5,6)))); -4535.45  -1.33597 30.873 13.5907 26.9321 -4578.32 0.294022 0.267498 0.160012 0.278468   0.235784   0.140288   0.085473  0.0211045   0.508145 0.00920507
