tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,(4,(5,6)))); -4542.4  -1.38324 21.9997 12.9003 26.7696 -4576.88 0.281536 0.273837 0.137778 0.306849   0.227472     0.1503   0.098983  0.0281308   0.489505 0.00560965
(1,2,(3,(4,(5,6)))); -4535.26  -1.38324 30.338 13.492 26.8473 -4577.57 0.275156 0.274822 0.159732  0.29029    0.23774   0.162255  0.0638419  0.0209266   0.508981 0.00625472
(1,2,(3,((4,6),5))); -4535.94  -2.07331 29.297 13.547 27.8071 -4577.43 0.298084 0.256369 0.147262 0.298286   0.239279   0.157936  0.0970383  0.0117736   0.487166 0.00680681
(1,2,(3,((4,6),5))); -4537.45  -2.07331 29.0208 13.0456 26.3489 -4577.7 0.288702  0.26958 0.149517 0.292201  0.253899  0.125974 0.0755942 0.0144324  0.518231 0.0118705
(1,(2,3),(4,(5,6))); -4539.18  -1.41587 29.8176 13.318 25.9604 -4580.22 0.298212 0.273768 0.131497 0.296523  0.243948   0.13226 0.0981792 0.0147434  0.500209 0.0106605
(1,2,(3,(4,(5,6)))); -4539.7  -1.38324 30.905 13.513 21.8354 -4577.55 0.289549 0.254442  0.15434 0.301669    0.21932   0.197792  0.0594714  0.0261199   0.490083 0.00721316
(1,(2,3),(4,(5,6))); -4539.67  -1.41587 29.4842 13.3412 27.5604 -4581.96 0.289609 0.265923 0.141225 0.303243    0.23102   0.187694  0.0814631  0.0232788   0.471835 0.00470883
(1,(2,(4,(5,6))),3); -4542.82  -1.92788 28.1658 13.2314 23.5434 -4579.37  0.27758   0.2721 0.167162 0.283158   0.225397   0.196559  0.0737648  0.0233835     0.4724 0.00849568
(1,(2,3),(4,(5,6))); -4542.59  -1.41587 30.5614 13.2378 25.0289 -4583.53 0.271621 0.288758 0.147599 0.292022  0.238379  0.188287 0.0904082 0.0174801  0.454356 0.0110896
(1,2,(3,(4,(5,6)))); -4536.06  -1.38324 29.9572 13.6943 27.0984 -4578.04 0.280186 0.272634 0.159756 0.287425   0.236733   0.184587  0.0754421  0.0132897   0.486846 0.00310189
(1,(2,(4,(5,6))),3); -4542.86  -1.92788 26.9208 13.3415 26.815 -4581.33 0.310858 0.275776 0.133344 0.280021  0.247998  0.152153 0.0867913 0.0141549  0.493847 0.0050551
(1,(2,(4,(5,6))),3); -4538.38  -1.92788 29.7519 13.6632 28.4052 -4580.95 0.281754 0.279018 0.149153 0.290076  0.258847  0.148699 0.0879778 0.0144178  0.479416 0.0106418
(1,2,(3,(4,(5,6)))); -4538.51  -1.38324 29.9264 13.7396 26.1124 -4579.43 0.294009 0.248246 0.158107 0.299639    0.24882    0.13435  0.0793903  0.0196185   0.512523 0.00529738
(1,(2,((4,6),5)),3); -4540.61  -2.61794 30.3675 13.1226 27.5858 -4582.82 0.302816  0.26531 0.131044 0.300831    0.25621   0.156147  0.0817982  0.0198003   0.478769 0.00727503
(1,(2,(4,(5,6))),3); -4541.81  -1.92788 24.5487 12.9767 29.0656 -4580.52 0.296209  0.26254  0.14597 0.295281   0.245392   0.152598  0.0775677  0.0250605   0.491758 0.00762423
(1,(2,(4,(5,6))),3); -4542.46  -1.92788 26.1421 13.4728 27.8589 -4581.06 0.287777 0.267085 0.155581 0.289557  0.234178  0.157055 0.0864599 0.0284568  0.483175 0.0106747
(1,(2,((4,6),5)),3); -4546.18  -2.61794 27.1645 13.0674 24.4764 -4582.14 0.266409 0.278751 0.146735 0.308105  0.246251  0.164709 0.0649427  0.019848  0.487828 0.0164209
(1,2,(3,(4,(5,6)))); -4539.71  -1.38324 30.0997 13.8312 24.8205 -4579.42 0.263431 0.279301 0.141995 0.315274   0.257111   0.162279  0.0979679  0.0160575   0.459369 0.00721559
(1,2,(3,((4,6),5))); -4535.77  -2.07331 32.1745 13.5533 23.5537 -4575.88 0.286321 0.285701  0.14872 0.279257    0.28327   0.168787  0.0679627  0.0198078   0.451844 0.00832753
(1,(2,(4,(5,6))),3); -4540.13  -1.92788 28.2337 12.7272 26.8253 -4580.54 0.290037  0.27659 0.136942 0.296432   0.234863   0.146219  0.0923599  0.0329437   0.489626 0.00398945
(1,2,(3,((4,6),5))); -4538.32  -2.07331 27.8305 12.9838 22.495 -4573.58 0.264989 0.292038 0.143248 0.299724   0.208559   0.155181  0.0833154  0.0160842   0.530272 0.00658924
(1,2,(3,(4,(5,6)))); -4538.38  -1.38324 25.9503 13.1867 28.1645 -4577.93 0.281693 0.282735 0.150445 0.285127   0.241624   0.146359  0.0794317     0.0129   0.515143 0.00454244
(1,(2,3),(4,(5,6))); -4540.74  -1.41587 29.3356 13.5882 25.1636 -4580.23 0.292098 0.257531 0.152168 0.298203    0.22784   0.193836  0.0925429  0.0105958   0.468572 0.00661317
(1,2,(3,((4,6),5))); -4540.8  -2.07331 27.8239 13.8933 24.6842 -4577.35 0.308059 0.270244 0.152678 0.269018   0.256017   0.159612  0.0793536  0.0105533   0.492754 0.00171012
(1,(2,3),((4,6),5)); -4551.75  -2.10594 24.9754 13.7955 26.3025 -4587.12 0.274846 0.283211 0.142533  0.29941  0.232567  0.188272  0.074177 0.0205711  0.474743 0.0096698
(1,(2,3),((4,6),5)); -4543.89  -2.10594 30.4329 13.468 27.5609 -4586.31  0.29832 0.269036 0.153616 0.279029   0.231197   0.142633  0.0976789  0.0219303   0.501032 0.00552914
(1,2,(3,(4,(5,6)))); -4539.52  -1.38324 26.7478 13.517 26.5303 -4577.9  0.30165 0.272814 0.132794 0.292742   0.255132   0.169469  0.0945267  0.0134048   0.465275 0.00219294
(1,(2,3),(4,(5,6))); -4539.96  -1.41587 31.5686 13.4413 25.6918 -4582.36 0.287978 0.277725 0.149507  0.28479   0.260702   0.139081  0.0888035 0.00742317    0.49803 0.00595932
(1,2,(3,((4,6),5))); -4537.94  -2.07331 26.9893 13.2525 27.1087 -4576.71 0.304976 0.274942 0.140559 0.279522  0.252076  0.150662 0.0963156 0.0231947  0.475274 0.0024777
(1,(2,(4,(5,6))),3); -4540.42  -1.92788 31.0743 13.5242 26.4464 -4582.49 0.297268 0.268368 0.150774  0.28359  0.238144  0.135865  0.091578 0.0246453  0.494761 0.0150067
(1,(2,((4,6),5)),3); -4541.4  -2.61794 29.0545 13.0951 27.8069 -4582.55 0.281966   0.2751 0.148363 0.294572   0.224456   0.149685   0.104634  0.0188149   0.498796 0.00361473
(1,(2,3),(4,(5,6))); -4539.68  -1.41587 29.6955 13.1078 26.1243 -4580.98 0.294005 0.252347  0.13918 0.314467   0.241155   0.137402  0.0826144  0.0208703   0.511167 0.00679158
(1,(2,3),(4,(5,6))); -4548.72  -1.41587 25.5735 13.4043 23.2993 -4582.77 0.284376 0.279641 0.139917 0.296066    0.22952     0.1915  0.0549059  0.0246309   0.492233 0.00721008
(1,(2,3),(4,(5,6))); -4536.71  -1.41587 30.9197 13.8098 29.4663 -4581.87 0.282142 0.271384 0.147556 0.298919   0.24083  0.146187 0.0917781 0.0230963  0.492654 0.0054549
(1,2,(3,(4,(5,6)))); -4535.59  -1.38324 29.8241 13.8648 27.2538 -4577.42 0.284695 0.264005 0.143464 0.307836   0.23213  0.148884 0.0970088 0.0122242  0.499537 0.0102164
(1,(2,3),(4,(5,6))); -4536.78  -1.41587 30.7077 13.2643 28.4808 -4581.29 0.287502 0.269655 0.149053  0.29379   0.247499   0.153571   0.064449  0.0222437    0.50657 0.00566675
