tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,(4,(5,6))),3); -4537.2  -2.13667 31.8171 13.4349 26.6849 -4580.13 0.276883 0.286153 0.150432 0.286531  0.242815  0.162595 0.0661976 0.0172762  0.500043 0.0110732
(1,(2,3),((4,6),5)); -4541.82  -2.21502 32.3232 13.5032 27.11 -4585.54  0.27814 0.280123  0.14867 0.293067   0.261681    0.16542  0.0658574  0.0200216   0.480648 0.00637178
(1,2,(3,((4,6),5))); -4537.38  -1.79996 28.8797 13.1826 25.1116 -4576.39 0.258646 0.292113 0.150231  0.29901   0.234967   0.152822  0.0759522   0.015445   0.513062 0.00775223
(1,(2,(4,(5,6))),3); -4540.31  -2.13667 30.539 13.6952 26.5988 -4581.62 0.293447 0.281251 0.130222  0.29508   0.228993   0.176198  0.0852127  0.0164206   0.483561 0.00961423
(1,2,(3,(4,(5,6)))); -4536.23  -1.16157 28.2936 13.6855 28.5274 -4578.2 0.294526 0.266283 0.135024 0.304167   0.232364   0.150591  0.0882348  0.0123148   0.510219 0.00627604
(1,2,(3,((4,6),5))); -4539.16  -1.79996 27.8583 13.3616 26.0455 -4577.9 0.280077 0.281616 0.147707   0.2906  0.251935  0.138467 0.0808132 0.0314219  0.484757 0.0126062
(1,(2,3),(4,(5,6))); -4539.87  -1.57663 31.5526 13.6191 24.6469 -4580.87  0.28717 0.272206 0.142889 0.297735  0.213539  0.128084 0.0981064 0.0122435  0.534639 0.0133885
(1,(2,3),((4,6),5)); -4544.56  -2.21502 30.4409 13.169 26.7926 -4586.41 0.292147 0.270791   0.1531 0.283961  0.238806  0.141245  0.084759 0.0284697  0.492996 0.0137246
(1,2,(3,(4,(5,6)))); -4534.37  -1.16157 29.7261 13.337 27.6762 -4577.27 0.284709 0.279289 0.146109 0.289893   0.247683   0.157137  0.0703055  0.0200887    0.50307 0.00171539
(1,2,(3,((4,6),5))); -4532.83  -1.79996 31.3988 13.464 28.2898 -4577.25 0.272721 0.281441 0.142034 0.303804   0.251367   0.154367  0.0880091  0.0138235    0.48536 0.00707371
(1,(2,(4,(5,6))),3); -4538.38  -2.13667 28.1696 13.3238 29.4308 -4580.52 0.280721 0.274702 0.146541 0.298036  0.243118  0.147013 0.0841388 0.0210411  0.501093 0.0035961
(1,(2,3),(4,(5,6))); -4539.93  -1.57663 29.2607 13.8284 26.9055 -4580.69 0.304854 0.271211 0.141845  0.28209   0.266571    0.15404  0.0831464  0.0183678   0.468799 0.00907562
(1,2,(3,(4,(5,6)))); -4532.88  -1.16157 30.422 13.0592 28.6712 -4577.75 0.297857 0.275209 0.134515  0.29242  0.250525  0.149618 0.0905074 0.0165354  0.486847 0.0059672
