tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,(4,(5,6)))); -4537.2  -1.18111 29.9798 13.2202 24.9686 -4577.75 0.306187 0.265344 0.125053 0.303416  0.238632  0.133963 0.0899556 0.0223276  0.504496 0.0106263
(1,(2,3),(4,(5,6))); -4541.09  -1.52634 28.8006 13.8811 26.1263 -4580.61 0.282272 0.277041   0.1418 0.298887    0.23616   0.147686  0.0844031  0.0369305   0.492044 0.00277637
(1,(2,3),(4,(5,6))); -4545.66  -1.52634 21.4749 13.1112 28.5656 -4581.06 0.289597 0.272482 0.150001  0.28792   0.23012  0.152843 0.0859108 0.0258982  0.494342 0.0108868
(1,2,(3,(4,(5,6)))); -4537.79  -1.18111 26.2328 13.1857 28.0973 -4577.75  0.28465 0.259211 0.151475 0.304665   0.245441   0.145345     0.0815  0.0237849   0.494329 0.00959943
(1,(2,(4,(5,6))),3); -4541.5  -2.01793 27.4298 13.1641 26.5849 -4580.33 0.291808 0.276024 0.136717 0.295451   0.241056   0.124799  0.0850258  0.0243523   0.519613 0.00515326
(1,(2,(4,(5,6))),3); -4543.09  -2.01793 25.1495 13.7222 28.2116 -4580.71 0.280312  0.27663 0.158197 0.284861    0.23732   0.155503  0.0859549  0.0137098   0.498609 0.00890267
(1,2,(3,((4,6),5))); -4536.37  -1.89111 30.7496 13.645 25.9947 -4577.58 0.269721 0.257323 0.159459 0.313497   0.237632   0.155368  0.0931821  0.0167304   0.487244 0.00984366
(1,2,(3,((4,6),5))); -4540.42  -1.89111 25.3002 13.1257 26.2977 -4577 0.282102 0.282964 0.147365 0.287569  0.268389  0.141585 0.0801685 0.0178168  0.479639 0.0124017
(1,(2,3),((4,6),5)); -4546.13  -2.23634 30.7593 13.0445 22.3975 -4584.01 0.291286 0.294287 0.133016  0.28141   0.239727   0.151646  0.0624503  0.0200335   0.524566 0.00157665
(1,(2,3),(4,(5,6))); -4538.98  -1.52634 30.3947 13.5624 27.127 -4581.41 0.299644 0.269414 0.143717 0.287225  0.227315  0.184946 0.0702164 0.0198196  0.491303 0.0064009
(1,(2,3),(4,(5,6))); -4540.46  -1.52634 30.2669 13.5774 25.5849 -4581.21 0.290756 0.255408 0.140974 0.312861   0.251673   0.144969  0.0785293 0.00881244   0.509065 0.00695174
