tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,(4,(5,6)))); -4542.05  -1.00061 25.9046 13.3946 24.647 -4578.2 0.289198  0.29422 0.148865 0.267717   0.239338   0.165173  0.0887868  0.0136735   0.483128 0.00990109
(1,(2,3),((4,6),5)); -4548.32  -1.92782 30.2194 13.666 23.6146 -4586.56 0.296704 0.275905 0.157969 0.269422   0.226998   0.163645  0.0835339 0.00881973   0.514965 0.00203831
(1,(2,3),(4,(5,6))); -4544.23  -1.23165 31.0699 13.4676 23.4061 -4584.01 0.294854 0.282928 0.135684 0.286534   0.225296   0.173242    0.05098  0.0201762   0.524392 0.00591392
(1,(2,3),(4,(5,6))); -4541.48  -1.23165 30.0913 13.1714 24.5594 -4581.73 0.292649 0.262722 0.146043 0.298586  0.221473   0.13539  0.065441 0.0264587  0.538477 0.0127598
(1,(2,3),(4,(5,6))); -4542.34  -1.23165 28.5177 13.6679 25.7366 -4581.7 0.300263 0.268399 0.144187 0.287151   0.261251   0.146989  0.0701829   0.008506   0.507443 0.00562818
(1,2,(3,(4,(5,6)))); -4534.76  -1.00061 29.7738 13.5936 27.4146 -4577.35 0.298445 0.266698 0.144741 0.290116   0.225305    0.14597   0.101461  0.0227951   0.500553 0.00391615
(1,2,(3,(4,(5,6)))); -4546.43  -1.00061 30.2963 13.8561 20.9551 -4582.83 0.278082 0.293732 0.133906 0.294281 0.251929 0.183193 0.096136 0.025333  0.42733 0.016079
(1,(2,3),(4,(5,6))); -4552.98  -1.23165 25.1695 13.1838 21.5879 -4585.32 0.280725 0.277351 0.145464 0.296459   0.256793   0.212435  0.0890037  0.0120191   0.421816 0.00793282
(1,2,(3,(4,(5,6)))); -4537.14  -1.00061 30.7143 13.399 24.9567 -4578.42 0.305483    0.279  0.13233 0.283187   0.243535   0.153897   0.103173  0.0278858    0.46385 0.00765937
(1,(2,3),(4,(5,6))); -4540.01  -1.23165 28.7207 13.3015 26.9277 -4581.13 0.274193 0.267155 0.153549 0.305103   0.239167   0.141213  0.0853358  0.0273551   0.499068 0.00786077
(1,(2,3),(4,(5,6))); -4539.13  -1.23165 31.0553 13.8251 26.4065 -4581.53 0.286546 0.268184 0.160092 0.285178   0.248583   0.146618   0.097239  0.0259947    0.47744 0.00412543
(1,(2,3),(4,(5,6))); -4542.29  -1.23165 26.6402 13.9126 27.3772 -4581.16 0.275433 0.271689 0.151089 0.301789  0.234641  0.168487 0.0760158 0.0210302  0.489467 0.0103585
(1,2,(3,(4,(5,6)))); -4540.9  -1.00061 27.4968 13.4027 25.6017 -4579.6 0.306262 0.253591 0.154479 0.285668   0.227861   0.142011  0.0708322  0.0218616   0.529875 0.00755889
(1,(2,3),((4,6),5)); -4550.4  -1.92782 25.7815 13.7863 25.2186 -4585.68 0.279494 0.275832 0.140611 0.304062  0.251178  0.146085 0.0685869 0.0281924  0.491131 0.0148272
(1,2,(3,(4,(5,6)))); -4541.88  -1.00061 27.7053 13.4984 23.19 -4578.27 0.295473 0.268828 0.139213 0.296486  0.290399  0.144106 0.0594954 0.0101146   0.49344 0.0024452
(1,(2,3),((4,6),5)); -4545.69  -1.92782 29.9532 13.8234 26.4683 -4586.36   0.2674 0.265892 0.152588 0.314119   0.255755   0.166341  0.0852985  0.0186123   0.470209 0.00378452
(1,2,(3,((4,6),5))); -4534.19  -1.69679 29.5582 13.3755 27.4777 -4576.16 0.286914 0.275691 0.150339 0.287055   0.23157  0.165725 0.0854518 0.0210009  0.485002 0.0112493
(1,(2,((4,6),5)),3); -4546.1  -5.57403 27.3973 13.4715 25.1664 -4579.62 0.313839 0.276776 0.135523 0.273863   0.239118   0.147645  0.0764949  0.0135596   0.514489 0.00869253
(1,(2,3),((4,6),5)); -4550.88  -1.92782 28.9767 13.1079 24.0247 -4588.85 0.315845 0.252836 0.130812 0.300507   0.222533   0.154477  0.0699481  0.0242798   0.526531 0.00223127
(1,(2,3),((4,6),5)); -4543.63  -1.92782 29.0431 13.5927 28.1787 -4585.33 0.292699 0.265929 0.151157 0.290215   0.221797    0.16062  0.0865541  0.0226626   0.502831 0.00553556
(1,2,(3,(4,(5,6)))); -4539.01  -1.00061 30.9687 13.6206 25.1098 -4580.47 0.296208 0.253115 0.131346  0.31933   0.222632    0.15841  0.0803728  0.0108894   0.523803 0.00389203
(1,2,(3,((4,6),5))); -4536.58  -1.69679 30.2835 13.5843 26.2738 -4577.86 0.284686  0.27634 0.149045 0.289929   0.254138   0.141546  0.0719898  0.0115316    0.51858 0.00221449
(1,2,(3,(4,(5,6)))); -4541.63  -1.00061 28.7844 13.3637 23.3925 -4579.45  0.28446 0.278608 0.141679 0.295253  0.215274  0.165457 0.0835181 0.0382771  0.481812 0.0156615
(1,2,(3,(4,(5,6)))); -4537.2  -1.00061 29.1298 13.8245 26.3718 -4577.88 0.296771 0.252877 0.142657 0.307694  0.245329  0.177702 0.0855439 0.0240825  0.459268 0.0080753
(1,2,(3,((4,6),5))); -4538.13  -1.69679 29.4602 13.3306 25.455 -4578.01 0.302222 0.272721 0.130825 0.294232   0.209253   0.175209   0.102442   0.014475   0.491941 0.00668033
(1,(2,(4,(5,6))),3); -4538.3  -4.87785 29.0312 13.2375 27.8269 -4577.05 0.289033 0.266974 0.138926 0.305067   0.243285   0.177682  0.0865096  0.0155778   0.472786 0.00416025
(1,(2,3),(4,(5,6))); -4544.8  -1.23165 27.5415 13.6061 24.6233 -4582.13  0.31453 0.262826 0.140287 0.282358   0.21333  0.183599 0.0889242 0.0215958  0.481945 0.0106062
(1,(2,3),((4,6),5)); -4547.57  -1.92782 30.9926 13.4924 22.6762 -4585.82  0.28874  0.24786 0.144641 0.318759  0.229946  0.142627 0.0957796 0.0128979  0.498227 0.0205215
(1,(2,3),(4,(5,6))); -4544.08  -1.23165 30.5305 13.4009 23.1641 -4583.14 0.281716 0.275155 0.140587 0.302542  0.286574  0.146601 0.0965686 0.0141042  0.441094 0.0150586
