tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4535.39 -1.00705 28.8498 13.5894 -4549.64
(1,2,(3,(4,(5,6)))); -4534.14 -1.00705 29.5553 13.8211 -4548.87
(1,2,(3,(4,(5,6)))); -4533.17 -1.00705 30.711 13.6164 -4549.26
(1,(2,3),(4,(5,6))); -4540.37 -1.2543 26.4555 13.2502 -4552.32
(1,2,(3,(4,(5,6)))); -4532.22 -1.00705 31.298 13.3867 -4549.13
(1,(2,3),(4,(5,6))); -4541.24 -1.2543 25.1492 12.6713 -4552.47
(1,(2,3),(4,(5,6))); -4538.27 -1.2543 28.3751 13.6994 -4551.69
(1,2,(3,((4,6),5))); -4531.98 -1.66192 32.4612 13.7085 -4549.07
(1,2,(3,(4,(5,6)))); -4533.07 -1.00705 30.8278 13.5208 -4549.37
(1,2,(3,(4,(5,6)))); -4536.46 -1.00705 27.0803 13.8298 -4548.7
(1,2,(3,((4,6),5))); -4537.43 -1.66192 26.7901 13.9039 -4548.66
(1,2,(3,((4,6),5))); -4535.97 -1.66192 27.1076 12.9642 -4548.45
(1,2,(3,(4,(5,6)))); -4534.72 -1.00705 28.7623 13.8859 -4548.59
(1,(2,3),(4,(5,6))); -4544 -1.2543 22.9128 13.5137 -4552.14
(1,(2,3),((4,6),5)); -4546.12 -1.90918 26.8471 13.8561 -4557.21
(1,2,(3,(4,(5,6)))); -4533.32 -1.00705 30.5316 13.7554 -4549.09
(1,2,(3,((4,6),5))); -4533.78 -1.66192 29.8535 13.5839 -4548.39
(1,2,(3,((4,6),5))); -4539.65 -1.66192 24.9106 13.906 -4548.99
(1,2,(3,(4,(5,6)))); -4532.91 -1.00705 30.2098 13.0913 -4549.02
(1,2,(3,(4,(5,6)))); -4532.7 -1.00705 31.1315 13.4086 -4549.42
(1,2,(3,(4,(5,6)))); -4533.8 -1.00705 30.145 13.8623 -4549.07
(1,(2,3),((4,6),5)); -4544.62 -1.90918 27.0122 12.9253 -4556.8
(1,2,(3,(4,(5,6)))); -4534.08 -1.00705 30.3813 13.7326 -4549.72
(1,(2,3),((4,6),5)); -4544.85 -1.90918 27.0413 13.1067 -4556.88
(1,2,(3,(4,(5,6)))); -4536.05 -1.00705 28.0455 13.7221 -4549.37
(1,2,(3,(4,(5,6)))); -4536.44 -1.00705 27.0217 13.4756 -4548.98
(1,(2,3),((4,6),5)); -4543.81 -1.90918 28.0425 13.4695 -4556.47
(1,2,(3,((4,6),5))); -4532.05 -1.66192 31.7852 13.6341 -4548.54
(1,2,(3,(4,(5,6)))); -4534.49 -1.00705 28.2225 13.2085 -4548.49
(1,2,(3,(4,(5,6)))); -4532.73 -1.00705 30.8977 13.4291 -4549.19
(1,2,(3,((4,6),5))); -4534.72 -1.66192 28.9573 13.5192 -4548.5
(1,(2,3),(4,(5,6))); -4535.14 -1.2543 32.0673 13.8209 -4552.13
(1,2,(3,((4,6),5))); -4532.29 -1.66192 31.8883 13.6825 -4548.83
(1,(2,3),(4,(5,6))); -4539.16 -1.2543 27.3244 13.2648 -4551.96
(1,2,(3,(4,(5,6)))); -4537.16 -1.00705 26.6732 13.4241 -4549.4
(1,2,(3,(4,(5,6)))); -4535.36 -1.00705 27.7307 12.9923 -4549.09
(1,2,(3,((4,6),5))); -4534.26 -1.66192 30.0501 13.8974 -4548.76
(1,(2,3),((4,6),5)); -4541.28 -1.90918 30.7791 13.3972 -4556.75
(1,2,(3,(4,(5,6)))); -4537 -1.00705 25.5102 12.8612 -4548.64
(1,2,(3,((4,6),5))); -4535.52 -1.66192 28.8727 13.882 -4548.84
(1,(2,3),((4,6),5)); -4546.93 -1.90918 26.336 13.9194 -4557.44
(1,2,(3,(4,(5,6)))); -4541.33 -1.00705 22.1885 13.0081 -4549.5
(1,2,(3,(4,(5,6)))); -4538.39 -1.00705 25.4146 13.739 -4549.06
(1,2,(3,(4,(5,6)))); -4535.33 -1.00705 28.5136 13.4663 -4549.37
(1,2,(3,((4,6),5))); -4533.91 -1.66192 30.2202 13.8588 -4548.61
(1,(2,3),(4,(5,6))); -4536.62 -1.2543 30.185 13.1056 -4552.44
(1,2,(3,(4,(5,6)))); -4535.31 -1.00705 28.2882 13.6636 -4548.93
(1,2,(3,(4,(5,6)))); -4536.19 -1.00705 26.9441 13.169 -4548.96
(1,(2,3),(4,(5,6))); -4543.39 -1.2543 23.2232 13.4331 -4551.92
