tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4532.52 -1.00705 31.2231 13.6557 -4549.08
(1,2,(3,(4,(5,6)))); -4533.4 -1.00705 30.2083 13.2233 -4549.38
(1,2,(3,(4,(5,6)))); -4536.46 -1.00705 27.0429 13.3484 -4549.15
(1,(2,3),(4,(5,6))); -4538.63 -1.2543 28.5836 13.908 -4552.05
(1,2,(3,((4,6),5))); -4532.2 -1.66192 32.1806 13.7005 -4549.02
(1,(2,(4,(5,6))),3); -4543.78 -4.94989 22.6985 13.118 -4548.41
(1,(2,3),(4,(5,6))); -4541.08 -1.2543 26.2662 13.7228 -4552.37
(1,2,(3,((4,6),5))); -4537.34 -1.66192 26.3279 13.4169 -4548.59
(1,(2,3),(4,(5,6))); -4537.62 -1.2543 29.4902 13.5001 -4552.36
(1,(2,3),(4,(5,6))); -4536.62 -1.2543 30.8164 13.7395 -4552.44
(1,2,(3,(4,(5,6)))); -4536.09 -1.00705 27.8917 13.7464 -4549.23
(1,2,(3,(4,(5,6)))); -4533.29 -1.00705 30.4192 13.6863 -4549.02
(1,2,(3,(4,(5,6)))); -4534.48 -1.00705 29.3145 13.5138 -4549.27
(1,2,(3,((4,6),5))); -4532.6 -1.66192 31.3179 13.5815 -4548.67
(1,(2,3),((4,6),5)); -4540.66 -1.90918 31.5008 13.4951 -4556.76
(1,2,(3,(4,(5,6)))); -4533.34 -1.00705 29.6614 13.1463 -4548.85
(1,2,(3,(4,(5,6)))); -4532.85 -1.00705 31.4107 13.8245 -4549.43
(1,(2,3),(4,(5,6))); -4537.64 -1.2543 29.3103 13.4204 -4552.28
(1,2,(3,((4,6),5))); -4538.47 -1.66192 25.6717 13.9157 -4548.56
(1,2,(3,(4,(5,6)))); -4536.18 -1.00705 28.1716 13.8044 -4549.54
(1,2,(3,(4,(5,6)))); -4533.12 -1.00705 30.0145 13.219 -4548.91
(1,(2,3),(4,(5,6))); -4540.14 -1.2543 26.0922 12.9371 -4552.04
(1,(2,3),((4,6),5)); -4544.04 -1.90918 28.3004 13.8191 -4556.62
(1,(2,3),((4,6),5)); -4542.84 -1.90918 29.0558 13.4759 -4556.51
(1,(2,3),(4,(5,6))); -4536.35 -1.2543 30.1323 13.3359 -4551.89
(1,(2,3),(4,(5,6))); -4536.51 -1.2543 30.0684 13.3393 -4551.98
(1,(2,3),(4,(5,6))); -4534.4 -1.2543 32.7055 13.4556 -4552.4
(1,(2,3),(4,(5,6))); -4537.84 -1.2543 28.967 13.0695 -4552.49
(1,2,(3,(4,(5,6)))); -4534.25 -1.00705 29.3596 13.1789 -4549.42
(1,2,(3,(4,(5,6)))); -4532.57 -1.00705 31.2644 13.8512 -4548.98
(1,(2,3),((4,6),5)); -4542.42 -1.90918 29.9157 13.5146 -4556.92
(1,2,(3,(4,(5,6)))); -4535.32 -1.00705 27.6056 13.0543 -4548.86
(1,2,(3,(4,(5,6)))); -4533.69 -1.00705 29.59 13.3026 -4548.97
(1,(2,3),(4,(5,6))); -4540.48 -1.2543 27.16 13.855 -4552.53
(1,(2,3),(4,(5,6))); -4539.19 -1.2543 27.5449 13.6541 -4551.82
(1,2,(3,(4,(5,6)))); -4534.41 -1.00705 28.7435 13.3294 -4548.82
(1,(2,3),(4,(5,6))); -4537.74 -1.2543 28.6325 13.2618 -4551.86
(1,2,(3,(4,(5,6)))); -4544.53 -1.00705 18.4387 12.6862 -4549.27
(1,(2,3),((4,6),5)); -4544.54 -1.90918 26.6516 12.7825 -4556.5
(1,(2,3),(4,(5,6))); -4541.06 -1.2543 25.5505 13.096 -4552.26
(1,(2,3),((4,6),5)); -4542.14 -1.90918 30.2177 13.6663 -4556.79
(1,2,(3,(4,(5,6)))); -4533.07 -1.00705 30.4105 13.8178 -4548.66
(1,2,(3,((4,6),5))); -4534.01 -1.66192 29.6777 13.5456 -4548.48
(1,(2,(4,(5,6))),3); -4538.45 -4.94989 28.7238 13.4782 -4548.75
(1,(2,3),((4,6),5)); -4544.69 -1.90918 28.136 13.7661 -4557.15
(1,2,(3,(4,(5,6)))); -4534.74 -1.00705 28.3248 13.062 -4548.99
(1,2,(3,((4,6),5))); -4534.7 -1.66192 29.4518 13.6559 -4548.83
(1,2,(3,(4,(5,6)))); -4533.78 -1.00705 29.3824 13.3411 -4548.81
(1,(2,3),(4,(5,6))); -4536.11 -1.2543 30.7032 13.4346 -4552.13
(1,(2,3),(4,(5,6))); -4537.34 -1.2543 29.4673 13.4429 -4552.11
(1,2,(3,((4,6),5))); -4535.64 -1.66192 28.3429 13.4774 -4548.84
(1,2,(3,(4,(5,6)))); -4532.47 -1.00705 31.6127 13.7204 -4549.35
(1,(2,3),(4,(5,6))); -4536.94 -1.2543 30.0106 13.3259 -4552.37
(1,2,(3,((4,6),5))); -4536.48 -1.66192 26.9794 13.5817 -4548.22
(1,2,(3,(4,(5,6)))); -4533.91 -1.00705 29.4643 13.0889 -4549.28
(1,2,(3,((4,6),5))); -4532.99 -1.66192 30.1203 13.0953 -4548.35
(1,2,(3,(4,(5,6)))); -4538.18 -1.00705 26.2044 13.9177 -4549.46
(1,2,(3,(4,(5,6)))); -4534.48 -1.00705 30.282 14.0323 -4549.72
(1,2,(3,((4,6),5))); -4535.16 -1.66192 28.8845 13.5917 -4548.79
(1,(2,3),((4,6),5)); -4541.22 -1.90918 30.5634 13.5452 -4556.33
(1,2,(3,((4,6),5))); -4532.48 -1.66192 31.1525 13.451 -4548.52
(1,(2,3),((4,6),5)); -4541.96 -1.90918 30.4401 13.6128 -4556.88
(1,2,(3,(4,(5,6)))); -4533.5 -1.00705 30.6124 13.5239 -4549.58
(1,(2,3),(4,(5,6))); -4536.38 -1.2543 30.2854 13.3599 -4552.05
(1,2,(3,((4,6),5))); -4533.82 -1.66192 29.4326 13.349 -4548.25
(1,2,(3,(4,(5,6)))); -4535.68 -1.00705 28.9298 14.2745 -4549.33
(1,(2,3),((4,6),5)); -4541.04 -1.90918 31.1711 13.2961 -4557.01
(1,(2,3),((4,6),5)); -4543.38 -1.90918 29.5635 13.5873 -4557.45
(1,(2,3),(4,(5,6))); -4537.62 -1.2543 29.2993 13.472 -4552.2
(1,2,(3,(4,(5,6)))); -4532.62 -1.00705 31.2551 13.3964 -4549.47
(1,(2,3),((4,6),5)); -4543.23 -1.90918 28.804 13.279 -4556.85
(1,2,(3,(4,(5,6)))); -4534.17 -1.00705 29.1232 13.2403 -4549.05
(1,2,(3,(4,(5,6)))); -4532.95 -1.00705 30.9698 13.6797 -4549.24
(1,2,(3,(4,(5,6)))); -4533.83 -1.00705 30.1827 13.7623 -4549.24
(1,2,(3,(4,(5,6)))); -4533.45 -1.00705 30.6405 13.9649 -4549.12
(1,(2,3),(4,(5,6))); -4538.26 -1.2543 28.2738 13.0681 -4552.21
(1,(2,3),((4,6),5)); -4542.8 -1.90918 29.2867 13.3914 -4556.79
(1,2,(3,(4,(5,6)))); -4538.53 -1.00705 26.2241 14.0059 -4549.74
(1,2,(3,((4,6),5))); -4534.41 -1.66192 29.0319 13.2262 -4548.55
(1,(2,3),((4,6),5)); -4542.29 -1.90918 30.2574 13.6899 -4556.95
(1,(2,3),(4,(5,6))); -4536.15 -1.2543 31.0611 13.3879 -4552.57
(1,(2,3),((4,6),5)); -4541.17 -1.90918 30.8469 13.2608 -4556.85
(1,(2,3),(4,(5,6))); -4541.38 -1.2543 25.0517 12.9938 -4552.18
(1,(2,3),(4,(5,6))); -4538.64 -1.2543 28.5084 13.4782 -4552.41
(1,(2,3),((4,6),5)); -4543.38 -1.90918 28.9676 13.621 -4556.82
(1,(2,((4,6),5)),3); -4538.68 -5.60477 31.3066 13.4373 -4550.95
(1,2,(3,((4,6),5))); -4533.95 -1.66192 30.1647 13.4413 -4549.01
(1,2,(3,(4,(5,6)))); -4533.65 -1.00705 29.8549 13.4894 -4549.01
(1,(2,3),(4,(5,6))); -4537.87 -1.2543 28.7868 13.0393 -4552.36
(1,(2,3),(4,(5,6))); -4535.46 -1.2543 31.2593 13.3033 -4552.16
(1,2,(3,(4,(5,6)))); -4532.49 -1.00705 31.6564 13.6227 -4549.52
(1,2,(3,((4,6),5))); -4538.39 -1.66192 26.4243 13.8423 -4549.31
(1,(2,3),(4,(5,6))); -4538.94 -1.2543 27.848 13.3022 -4552.23
(1,(2,3),(4,(5,6))); -4540.31 -1.2543 27.5357 13.8832 -4552.71
(1,2,(3,((4,6),5))); -4534.63 -1.66192 29.0005 13.24 -4548.73
(1,2,(3,(4,(5,6)))); -4533.78 -1.00705 30.2855 13.7167 -4549.34
(1,(2,3),((4,6),5)); -4543.1 -1.90918 28.5043 12.8815 -4556.81
(1,2,(3,(4,(5,6)))); -4533.3 -1.00705 30.9423 13.8822 -4549.36
(1,(2,3),((4,6),5)); -4547.08 -1.90918 24.9043 13.3865 -4556.69
(1,(2,3),(4,(5,6))); -4538.3 -1.2543 28.5721 13.1959 -4552.43
(1,2,(3,(4,(5,6)))); -4532.35 -1.00705 30.9476 13.3773 -4548.91
(1,2,(3,(4,(5,6)))); -4531.77 -1.00705 31.9897 13.8842 -4548.87
(1,(2,3),(4,(5,6))); -4544.09 -1.2543 22.9005 13.203 -4552.53
(1,(2,3),((4,6),5)); -4541.34 -1.90918 30.4338 13.5119 -4556.35
(1,(2,3),(4,(5,6))); -4535.72 -1.2543 31.7102 13.8169 -4552.36
(1,(2,3),(4,(5,6))); -4535.59 -1.2543 30.8718 13.3911 -4551.82
(1,2,(3,(4,(5,6)))); -4534.84 -1.00705 29.163 13.8681 -4549.12
(1,(2,3),(4,(5,6))); -4542.96 -1.2543 23.9901 13.1348 -4552.56
(1,(2,3),(4,(5,6))); -4541.49 -1.2543 25.6267 13.3752 -4552.49
(1,2,(3,(4,(5,6)))); -4533.63 -1.00705 30.0664 13.5258 -4549.16
