tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,(4,(5,6)))); -4538.74  -1.29625 30.5754 13.6664 23.4844 -4577.83  0.28808 0.251946 0.136003 0.323971   0.23179  0.148046 0.0931423 0.0288685  0.486268 0.0118846
(1,2,(3,(4,(5,6)))); -4538.7  -1.29625 30.4618 13.6996 24.1173 -4578.29 0.274083 0.265219 0.146503 0.314195  0.213047  0.167153  0.111376 0.0172578  0.475594 0.0155719
(1,(2,((4,6),5)),3); -4543.01  -2.29506 28.8139 13.6356 26.8115 -4582.71  0.29812 0.252655 0.152867 0.296357   0.263209   0.166972  0.0683922  0.0166416   0.477757 0.00702838
(1,2,(3,(4,(5,6)))); -4535.94  -1.29625 28.0779 13.8132 28.4759 -4577.38 0.283903 0.272152 0.141327 0.302618   0.237671   0.145677  0.0868343  0.0188049   0.507386 0.00362616
(1,2,(3,((4,6),5))); -4542.74  -1.77503 21.9649 12.8586 27.5626 -4577.63 0.280763 0.256532 0.150008 0.312696  0.233328  0.154323 0.0920428  0.018163  0.492132 0.0100122
(1,2,(3,(4,(5,6)))); -4537.28  -1.29625 26.0665 13.3119 29.4817 -4578.22 0.289326 0.267666 0.146433 0.296575   0.239826   0.160531  0.0874605   0.013774   0.492978 0.00543041
(1,(2,3),((4,6),5)); -4542.22  -2.25902 30.2633 13.077 27.52 -4584.66  0.27915 0.281223 0.140372 0.299255  0.266525  0.159144 0.0769987 0.0149145  0.477657 0.0047607
(1,2,(3,(4,(5,6)))); -4546.54  -1.29625 24.5844 13.3292 21.4295 -4577.93 0.293993 0.241449 0.161529 0.303029   0.218103   0.148916  0.0869679  0.0378186   0.504542 0.00365267
(1,(2,(4,(5,6))),3); -4554.72  -1.81628 25.7158 13.4419 17.4671 -4582.64 0.285844 0.280619 0.118884 0.314653  0.255418  0.136909  0.096914 0.0309728  0.460772 0.0190144
(1,2,(3,(4,(5,6)))); -4536.58  -1.29625 30.26 13.6519 26.2297 -4578.12 0.274354 0.273042 0.154307 0.298297  0.254348  0.144579  0.102084 0.0188429  0.467725  0.012421
(1,(2,(4,(5,6))),3); -4540.07  -1.81628 28.6478 12.9866 27.584 -4581.5 0.284399 0.283167 0.140251 0.292183   0.246449   0.165755  0.0964821  0.0219916   0.463212 0.00611005
(1,2,(3,((4,6),5))); -4536.4  -1.77503 27.2895 13.3329 28.6219 -4577.21 0.287676  0.27369 0.138144 0.300491   0.232526   0.158799  0.0857927  0.0230776    0.49247 0.00733499
(1,2,(3,(4,(5,6)))); -4535.18  -1.29625 30.1357 13.0296 26.7347 -4577.73 0.266796 0.272375 0.154733 0.306096   0.219612   0.175753  0.0836486  0.0213519   0.491009 0.00862483
(1,2,(3,(4,(5,6)))); -4540.48  -1.29625 30.3989 13.1798 22.9916 -4579.39 0.316108 0.250562 0.141345 0.291984  0.232145  0.159802 0.0594421 0.0202556  0.514236 0.0141184
(1,(2,3),((4,5),6)); -4550.81  -5.16939 29.5649 12.916 26.2258 -4588.52 0.272679 0.272953  0.13816 0.316208   0.219179   0.173327  0.0950233  0.0155511   0.493873 0.00304676
(1,(2,3),(4,(5,6))); -4543.47  -1.78024 26.2372 13.4633 26.9277 -4581.4 0.279726 0.261033 0.161149 0.298092   0.250745   0.142399  0.0961041  0.0215687   0.485539 0.00364356
(1,(2,3),((4,6),5)); -4542.38  -2.25902 31.547 13.6067 27.1448 -4585.2 0.282859 0.271624 0.143341 0.302175   0.248042   0.161454  0.0786189  0.0313287   0.477229 0.00332717
(1,2,(3,(4,(5,6)))); -4533.5  -1.29625 30.9002 13.5438 27.9287 -4577.49 0.292262 0.268101 0.144998  0.29464   0.259059   0.169445  0.0748413  0.0126412   0.474451 0.00956278
(1,2,(3,(4,(5,6)))); -4538.08  -1.29625 27.2208 13.0143 26.8425 -4577.83 0.271739 0.277438 0.144793  0.30603   0.251868   0.147956  0.0868653  0.0260125   0.478479 0.00881889
(1,(2,(4,(5,6))),3); -4543.98  -1.81628 24.7671 13.4305 27.1673 -4580.67  0.26869 0.264935 0.160893 0.305481   0.239858   0.150805  0.0904644  0.0135092   0.499501 0.00586303
(1,(2,((4,6),5)),3); -4541.45  -2.29506 28.8891 13.3613 27.6826 -4582.37  0.28924 0.253027 0.151038 0.306695   0.247116   0.167472  0.0727604   0.014348   0.491203 0.00710028
(1,2,(3,(4,(5,6)))); -4538.52  -1.29625 26.951 13.1111 27.3107 -4578.37 0.282819 0.275674 0.160532 0.280975  0.250961  0.164342 0.0695354 0.0165477  0.494323 0.0042917
(1,(2,(4,(5,6))),3); -4541.17  -1.81628 28.5579 13.1019 25.8953 -4580.7 0.295831 0.262562 0.149731 0.291876   0.242827   0.158339  0.0973478  0.0344353   0.463915 0.00313518
(1,2,(3,((4,6),5))); -4539.62  -1.77503 28.3104 13.8296 26.0308 -4578.36 0.287183 0.275563 0.139193 0.298061   0.250636   0.188109  0.0762687   0.024703   0.452543 0.00774016
(1,2,(3,(4,(5,6)))); -4534.11  -1.29625 29.7247 12.9943 28.4461 -4577.99 0.292312 0.263227 0.152204 0.292257   0.254836   0.161914  0.0779681  0.0138556   0.488713 0.00271293
(1,(2,3),((4,6),5)); -4545.2  -2.25902 31.2109 13.6408 26.1203 -4586.63 0.291917 0.264775 0.160837 0.282471   0.208337   0.163021  0.0755924  0.0211601   0.524489 0.00740042
(1,(2,3),((4,6),5)); -4546.51  -2.25902 28.8077 13.7083 26.0643 -4585.42 0.311599 0.261736 0.137969 0.288697   0.273168   0.159791  0.0809835  0.0195628    0.46227 0.00422512
(1,(2,3),((4,6),5)); -4544.4  -2.25902 26.5535 12.9932 28.949 -4584.65 0.297561   0.2591 0.148638 0.294701   0.241769   0.167497  0.0880164  0.0194561   0.478031 0.00523142
(1,2,(3,(4,(5,6)))); -4536.6  -1.29625 28.5134 13.6975 27.7683 -4577.89 0.286316 0.267744 0.154927 0.291013   0.256745   0.139462  0.0821018  0.0137072   0.502105 0.00587906
(1,(2,3),((4,6),5)); -4549.95  -2.25902 28.6453 13.643 24.6566 -4587.35 0.305106 0.275911 0.153557 0.265426   0.255233   0.141219  0.0780498  0.0123171   0.507684 0.00549673
(1,2,(3,((4,6),5))); -4534.74  -1.77503 29.3601 13.7689 28.4593 -4577.01 0.286621 0.263349 0.142507 0.307524   0.244824   0.165584  0.0855519  0.0125741   0.488051 0.00341531
(1,(2,3),((4,6),5)); -4548.12  -2.25902 27.0685 13.7929 25.8641 -4585.01 0.292427 0.266777 0.127237 0.313559  0.230711  0.154338 0.0926501 0.0198103  0.491822 0.0106688
(1,(2,(4,(5,6))),3); -4540.57  -1.81628 28.7773 13.1656 26.3152 -4580.68  0.27808 0.278061 0.163238 0.280622   0.239515   0.153494  0.0712765  0.0241324   0.506363 0.00521959
(1,2,(3,(4,(5,6)))); -4541.93  -1.29625 28.1149 14.1905 25.1984 -4579.75 0.311647 0.257976 0.135978 0.294399   0.211396   0.169896  0.0853137  0.0175913   0.513987 0.00181606
(1,2,(3,(4,(5,6)))); -4540.71  -1.29625 28.2298 13.1779 25.6966 -4580.16 0.308407 0.269524 0.144782 0.277287   0.205513   0.159144  0.0883257  0.0183615   0.525141 0.00351545
(1,2,(3,(4,(5,6)))); -4535.65  -1.29625 28.7941 13.7459 28.1758 -4577.58 0.288808 0.268872 0.136498 0.305823   0.249564   0.156266   0.077841  0.0232392   0.486909 0.00618041
(1,2,(3,((4,6),5))); -4538.29  -1.77503 28.0707 13.2201 25.8118 -4577.18 0.286125 0.273256 0.142147 0.298471  0.281592  0.156754  0.079937 0.0115221  0.459778 0.0104163
(1,(2,3),((4,6),5)); -4543.46  -2.25902 30.7486 13.1726 25.4691 -4584.25 0.282549 0.276212 0.142558  0.29868   0.226279   0.143116  0.0959443 0.00869577   0.523495 0.00247001
(1,2,(3,(4,(5,6)))); -4533.72  -1.29625 30.1621 13.3903 27.671 -4576.87 0.287311 0.272297 0.138875 0.301517   0.243231   0.144381  0.0977797  0.0127299   0.493522 0.00835651
(1,2,(3,((4,6),5))); -4537.54  -1.77503 28.2552 13.134 25.3771 -4576.27 0.273979 0.279871 0.138492 0.307658  0.239937  0.160709 0.0674038 0.0124402  0.505387 0.0141231
(1,2,(3,((4,6),5))); -4540.27  -1.77503 28.537 13.288 23.7002 -4577.44 0.309669 0.250652 0.162947 0.276732    0.24151   0.166882  0.0721454  0.0299654    0.48488 0.00461691
(1,2,(3,(4,(5,6)))); -4539.27  -1.29625 30.3659 13.4551 23.3483 -4578.23 0.304531 0.271051  0.12964 0.294778   0.235691   0.154588  0.0601746  0.0100171   0.529568 0.00996143
(1,(2,(4,(5,6))),3); -4539.54  -1.81628 28.4773 13.2217 27.5738 -4580.56 0.294588 0.263245 0.148722 0.293446  0.219413  0.156403 0.0756988 0.0196204  0.517209 0.0116565
(1,(2,((4,6),5)),3); -4544.17  -2.29506 31.1904 13.3351 23.321 -4583.05 0.278024 0.275634 0.175914 0.270427   0.226207   0.164481  0.0734514  0.0185614   0.513984 0.00331559
