tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,3),(4,(5,6))); -4545.58  -1.18421 29.2911 13.6853 21.9442 -4581.94 0.270761 0.274853 0.161947  0.29244  0.201616  0.144306 0.0715398 0.0263153  0.537251 0.0189721
(1,2,(3,((4,6),5))); -4542.54  -1.74878 28.2908 13.787 23.8768 -4579.17 0.278878 0.259473 0.157855 0.303794   0.237975   0.124293  0.0747481  0.0338368   0.522477 0.00666945
(1,(2,3),((4,6),5)); -4542.25  -1.92271 32.6751 13.4297 27.9484 -4587.52 0.294205 0.271012 0.148366 0.286416   0.236956   0.137563  0.0825305  0.0163836   0.518452 0.00811531
(1,(2,3),(4,(5,6))); -4547.3  -1.18421 25.6185 13.461 23.9192 -4582.19  0.28507  0.25126 0.149275 0.314395  0.209352  0.165485 0.0990598 0.0289455  0.479482 0.0176748
(1,(2,3),((4,6),5)); -4542.12  -1.92271 32.0476 13.7321 27.7601 -4586.28 0.290845 0.274704 0.150753 0.283699   0.25734  0.143631 0.0933113 0.0230854  0.472157 0.0104755
(1,2,(3,(4,(5,6)))); -4534.29  -1.01027 30.1399 13.0212 26.5765 -4576.97 0.269589 0.274197  0.14696 0.309253   0.219937   0.137762  0.0861123  0.0194391   0.530042 0.00670798
(1,(2,((4,6),5)),3); -4544.04  -5.8803 31.3427 13.7349 26.3661 -4582.14 0.279471 0.277191 0.145484 0.297855  0.235132  0.157295 0.0799574 0.0382779  0.477471 0.0118667
(1,2,(3,(4,(5,6)))); -4537.7  -1.01027 30.7544 14.0014 24.8306 -4578.28 0.280787 0.256326 0.145706 0.317181   0.236589   0.167789   0.105452  0.0260068   0.460422 0.00374038
(1,(2,3),(4,(5,6))); -4542.15  -1.18421 26.3037 13.5901 27.8193 -4581.5 0.280362 0.270178  0.16221 0.287251   0.227637    0.16184  0.0893423  0.0193715   0.494317 0.00749208
(1,2,(3,((4,6),5))); -4544.48  -1.74878 21.8309 13.1497 27.2869 -4578.7 0.275811 0.267366 0.159984 0.296838  0.214921  0.155492 0.0872517 0.0196736  0.510813 0.0118493
(1,2,(3,(4,(5,6)))); -4538.11  -1.01027 28.2025 13.5974 26.411 -4578.12 0.294529 0.265223 0.154398  0.28585  0.255788  0.147793 0.0810645 0.0336963  0.471441 0.0102165
(1,2,(3,(4,(5,6)))); -4549.46  -1.01027 24.8316 13.5732 22.7042 -4582.42 0.298763 0.298387 0.137998 0.264853  0.210854  0.158056  0.088829 0.0199793  0.510084 0.0121984
(1,(2,3),(4,(5,6))); -4548.99  -1.18421 31.0201 13.5889 19.2871 -4584.52 0.277096 0.290975 0.148611 0.283318   0.22912  0.125771  0.130259 0.0316382  0.467927 0.0152853
(1,2,(3,(4,(5,6)))); -4535.76  -1.01027 31.0143 13.9648 27.1703 -4578.97 0.278328 0.264711  0.14163 0.315331   0.252687   0.135346  0.0893478  0.0189981   0.494967 0.00865408
(1,(2,3),(4,(5,6))); -4537.8  -1.18421 31.0563 13.523 27.7637 -4581.91 0.284586 0.268801 0.157752 0.288861  0.257103  0.162566 0.0863471 0.0205233  0.463231 0.0102293
(1,2,(3,(4,(5,6)))); -4539.31  -1.01027 28.3501 13.5517 24.0972 -4577.19 0.283419 0.261238 0.138586 0.316757  0.236529  0.128648 0.0677433 0.0269916  0.528498 0.0115899
(1,(2,3),((4,6),5)); -4542.59  -1.92271 31.5657 13.4745 28.2651 -4587.03 0.286767 0.259476 0.152044 0.301713  0.249328   0.15451 0.0797655  0.026017  0.480175 0.0102033
(1,2,(3,((4,6),5))); -4547.9  -1.74878 23.3321 13.4417 23.7538 -4579.8 0.275175 0.269976 0.158225 0.296624  0.204553  0.183762 0.0923511 0.0225088  0.476797 0.0200291
(1,(2,3),(4,(5,6))); -4546.12  -1.18421 24.7116 14.3944 26.3827 -4581.64 0.296036 0.266027 0.139337   0.2986   0.237957   0.160423   0.111269  0.0152901   0.470056 0.00500612
(1,2,(3,(4,(5,6)))); -4535.07  -1.01027 28.8837 13.0524 28.3708 -4578.26 0.285157 0.268703 0.139532 0.306608  0.231403  0.147691 0.0872835 0.0226971  0.497829  0.013097
(1,(2,3),((4,6),5)); -4546.02  -1.92271 27.7364 13.1865 26.7477 -4585.4 0.289997 0.258755 0.154305 0.296943  0.229881  0.167334 0.0939159 0.0235418  0.468474 0.0168531
(1,(2,3),(4,(5,6))); -4539.36  -1.18421 28.3239 13.4414 27.8465 -4580.91 0.288821 0.263831 0.141287  0.30606   0.250843   0.164287  0.0951103  0.0193404   0.465046 0.00537342
(1,(2,3),(4,(5,6))); -4538.44  -1.18421 32.1277 13.4226 25.8667 -4581.83 0.294557 0.262287 0.148307 0.294849  0.244807  0.171203 0.0679746 0.0247042  0.473783 0.0175288
(1,2,(3,(4,(5,6)))); -4549.55  -1.01027 27.9341 13.7824 18.7661 -4581.46 0.275128 0.297206 0.158524 0.269142  0.199865  0.135599 0.0737275  0.023552  0.551443 0.0158136
(1,2,(3,((4,6),5))); -4534.36  -1.74878 31.2303 13.4821 26.5912 -4576.95 0.289101 0.267328 0.151387 0.292184  0.247507  0.165049 0.0714895 0.0157838  0.482808 0.0173622
(1,(2,3),((4,6),5)); -4548.69  -1.92271 30.5156 13.4691 22.7861 -4586.6 0.311616 0.254393  0.15657 0.277422   0.213272   0.151537   0.111863  0.0291624   0.487074 0.00709282
(1,(2,3),(4,(5,6))); -4541.57  -1.18421 28.0548 13.3268 27.2466 -4582.36 0.294142  0.27678 0.140864 0.288214  0.214971  0.158099  0.075346 0.0214787  0.516444 0.0136617
(1,(2,3),(4,(5,6))); -4541.8  -1.18421 29.6714 13.4658 24.985 -4581.81 0.291388 0.255485 0.152945 0.300181  0.197802  0.156139  0.101457 0.0301126  0.502118 0.0123708
(1,(2,3),(4,(5,6))); -4543.42  -1.18421 25.4896 13.2747 27.8758 -4582.33 0.278112 0.273422   0.1447 0.303766  0.244567  0.143381 0.0795956   0.02936  0.492375 0.0107212
(1,2,(3,(4,(5,6)))); -4536.97  -1.01027 28.5456 13.3253 26.671 -4577.85   0.2748 0.256388 0.149292 0.319521   0.239003   0.155679  0.0836599  0.0230039   0.493693 0.00496103
(1,2,(3,(4,(5,6)))); -4536.67  -1.01027 26.6569 13.3822 28.5415 -4577.48 0.294866 0.275562 0.137796 0.291776   0.246008   0.143208  0.0861662  0.0209153   0.494541 0.00916148
(1,2,(3,(4,(5,6)))); -4539.49  -1.01027 29.353 13.7142 25.4612 -4579.58 0.299104 0.260952 0.145166 0.294778  0.270091  0.136811 0.0816588 0.0161749   0.47862 0.0166439
(1,2,(3,((4,6),5))); -4533.77  -1.74878 31.1763 13.4109 27.5506 -4577.34 0.282304 0.282691 0.131279 0.303726   0.240489   0.157187  0.0860578  0.0176327   0.489183 0.00945109
(1,2,(3,(4,(5,6)))); -4535.03  -1.01027 28.4062 13.3522 28.6617 -4577.73 0.288908 0.278115 0.145735 0.287242   0.247531   0.161682  0.0783356  0.0238285   0.479283 0.00934079
(1,2,(3,(4,(5,6)))); -4540.99  -1.01027 28.5465 13.9191 24.4209 -4579.02 0.282951 0.264124 0.143769 0.309156   0.221309   0.171327  0.0565198  0.0264808   0.514729 0.00963414
(1,2,(3,(4,(5,6)))); -4538.62  -1.01027 29.925 13.6755 25.6097 -4579.47 0.287469 0.276272 0.141629  0.29463  0.267733  0.149136 0.0956643 0.0318514  0.444708 0.0109077
(1,2,(3,(4,(5,6)))); -4534.39  -1.01027 30.9511 13.8519 27.9266 -4578.4 0.287194 0.259582 0.157876 0.295348  0.229245  0.144548 0.0859997 0.0208379  0.507838 0.0115302
(1,2,(3,((4,6),5))); -4540.12  -1.74878 23.6888 13.5543 28.0054 -4576.51 0.287555 0.258235  0.15541   0.2988   0.235053   0.163655  0.0922551   0.021802   0.482348 0.00488708
(1,(2,3),(4,(5,6))); -4547.57  -1.18421 28.4013 13.7515 20.809 -4581.85 0.283477 0.270609  0.14693 0.298984  0.226852  0.123241   0.06733 0.0184824  0.537559 0.0265364
(1,(2,3),(4,(5,6))); -4542.69  -1.18421 30.7943 13.6593 23.7402 -4582.39 0.279368 0.259829 0.173589 0.287213   0.237197    0.13761  0.0731755  0.0225823   0.521036 0.00839903
(1,2,(3,((4,6),5))); -4540.35  -1.74878 31.0094 13.5106 21.712 -4577.81 0.285405 0.264096 0.140899 0.309599   0.206894   0.180486   0.130994  0.0195087   0.456306 0.00581161
(1,2,(3,(4,(5,6)))); -4534.96  -1.01027 28.5839 13.7828 28.6652 -4577.41 0.282394 0.278801 0.140336 0.298468   0.248058   0.148624  0.0791871  0.0240812   0.491893 0.00815581
(1,2,(3,((4,6),5))); -4532.43  -1.74878 32.365 13.5362 27.3558 -4576.86 0.298599 0.263611 0.151943 0.285846   0.259542   0.156258  0.0808454  0.0266179   0.470168 0.00656803
