tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4534.97 -1.00906 29.3311 13.8843 -4549.41
(1,2,(3,(4,(5,6)))); -4531.72 -1.00906 32.0429 13.8253 -4548.93
(1,2,(3,((4,6),5))); -4533.71 -1.68205 29.9187 13.435 -4548.51
(1,(2,3),(4,(5,6))); -4538.66 -1.23761 27.2898 12.9294 -4551.79
(1,2,(3,((4,6),5))); -4536.27 -1.68205 27.185 13.373 -4548.4
(1,(2,3),(4,(5,6))); -4539.3 -1.23761 27.5828 13.4088 -4552.23
(1,(2,3),(4,(5,6))); -4543.6 -1.23761 23.1304 13.1981 -4552.29
(1,2,(3,((4,6),5))); -4537.04 -1.68205 25.866 12.8797 -4548.34
(1,(2,3),(4,(5,6))); -4537.5 -1.23761 29.2346 13.4939 -4552
(1,(2,3),(4,(5,6))); -4537.89 -1.23761 29.428 13.6542 -4552.43
(1,2,(3,(4,(5,6)))); -4532.63 -1.00906 30.471 13.4836 -4548.61
(1,(2,3),(4,(5,6))); -4542.94 -1.23761 24.3235 13.8201 -4552.21
(1,(2,3),(4,(5,6))); -4540.28 -1.23761 27.2194 14.0824 -4552.18
(1,2,(3,(4,(5,6)))); -4533.34 -1.00906 30.6857 13.8241 -4549.19
(1,2,(3,((4,6),5))); -4531.58 -1.68205 32.1423 13.4463 -4548.59
(1,(2,3),(4,(5,6))); -4538.94 -1.23761 27.7954 13.324 -4552.17
(1,(2,3),((4,6),5)); -4539.92 -1.9106 32.2643 13.5068 -4556.77
(1,2,(3,(4,(5,6)))); -4535.8 -1.00906 26.9824 13.0823 -4548.69
(1,2,(3,(4,(5,6)))); -4532.33 -1.00906 31.1963 13.8022 -4548.72
(1,2,(3,(4,(5,6)))); -4532.75 -1.00906 31.0227 13.6125 -4549.15
(1,2,(3,(4,(5,6)))); -4534.33 -1.00906 29.7615 13.6709 -4549.41
(1,(2,3),((4,6),5)); -4544.78 -1.9106 27.1295 12.8119 -4557.18
(1,2,(3,(4,(5,6)))); -4535.65 -1.00906 28.0754 13.5332 -4549.18
(1,2,(3,(4,(5,6)))); -4536.98 -1.00906 26.0411 12.9602 -4549.05
(1,2,(3,(4,(5,6)))); -4531.98 -1.00906 31.4558 13.7121 -4548.72
(1,2,(3,(4,(5,6)))); -4538.22 -1.00906 25.5438 13.6684 -4549.09
(1,2,(3,(4,(5,6)))); -4534.95 -1.00906 29.1537 13.9773 -4549.12
(1,(2,3),(4,(5,6))); -4535.16 -1.23761 31.198 13.2418 -4551.88
(1,2,(3,((4,6),5))); -4535.13 -1.68205 28.4338 13.6766 -4548.21
(1,2,(3,(4,(5,6)))); -4537.67 -1.00906 25.1037 12.8889 -4548.87
(1,(2,3),(4,(5,6))); -4538.83 -1.23761 28.1166 13.4118 -4552.3
(1,2,(3,(4,(5,6)))); -4534.05 -1.00906 29.426 13.8014 -4548.67
(1,2,(3,(4,(5,6)))); -4534.45 -1.00906 29.96 13.8884 -4549.51
(1,2,(3,(4,(5,6)))); -4533.74 -1.00906 30.1748 13.7225 -4549.18
(1,2,(3,(4,(5,6)))); -4533.42 -1.00906 30.4707 13.7273 -4549.16
(1,2,(3,(4,(5,6)))); -4531.57 -1.00906 32.1547 13.5506 -4549.16
(1,(2,3),(4,(5,6))); -4534.61 -1.23761 32.098 13.3971 -4552.07
(1,(2,3),(4,(5,6))); -4542 -1.23761 25.1598 13.885 -4552.03
(1,2,(3,(4,(5,6)))); -4532.64 -1.00906 30.9967 13.5524 -4549.08
(1,(2,3),((4,6),5)); -4541.44 -1.9106 31.0077 13.4915 -4557.04
(1,2,(3,(4,(5,6)))); -4537.57 -1.00906 25.952 13.081 -4549.43
(1,2,(3,(4,(5,6)))); -4532.63 -1.00906 31.1913 13.7607 -4549.05
(1,2,(3,((4,6),5))); -4534.05 -1.68205 29.986 13.8761 -4548.48
(1,2,(3,(4,(5,6)))); -4536.3 -1.00906 28.3077 13.9827 -4549.61
(1,2,(3,(4,(5,6)))); -4532.14 -1.00906 31.5989 13.4254 -4549.31
(1,(2,3),((4,6),5)); -4545.39 -1.9106 26.5385 13.0849 -4556.94
(1,(2,3),((4,6),5)); -4541.05 -1.9106 31.6865 13.6621 -4557.16
(1,(2,3),((4,6),5)); -4541.26 -1.9106 30.7133 13.5129 -4556.55
(1,2,(3,((4,6),5))); -4533.82 -1.68205 30.3344 13.6953 -4548.77
(1,2,(3,(4,(5,6)))); -4533.37 -1.00906 30.0005 13.3539 -4549.01
(1,(2,3),((4,6),5)); -4539.01 -1.9106 33.1825 13.5183 -4556.76
(1,2,(3,(4,(5,6)))); -4534.11 -1.00906 30.0289 13.6632 -4549.47
(1,(2,3),((4,6),5)); -4541.12 -1.9106 30.4876 13.2436 -4556.45
(1,2,(3,(4,(5,6)))); -4535.45 -1.00906 28.0915 13.1707 -4549.37
(1,2,(3,(4,(5,6)))); -4534.82 -1.00906 28.0422 13.4161 -4548.44
(1,2,(3,(4,(5,6)))); -4532.83 -1.00906 31.1523 13.856 -4549.11
(1,2,(3,(4,(5,6)))); -4535.32 -1.00906 28.6259 13.5783 -4549.36
(1,2,(3,((4,6),5))); -4531.95 -1.68205 32.2037 13.7645 -4548.71
(1,2,(3,(4,(5,6)))); -4534.8 -1.00906 28.5428 13.4945 -4548.84
(1,(2,((4,6),5)),3); -4540.18 -5.61434 29.8258 13.5412 -4550.85
(1,(2,3),(4,(5,6))); -4535.71 -1.23761 31.7849 13.7711 -4552.49
(1,(2,3),((4,6),5)); -4542.18 -1.9106 29.3418 13.1071 -4556.51
(1,2,(3,(4,(5,6)))); -4534.53 -1.00906 28.653 13.6204 -4548.56
(1,2,(3,((4,6),5))); -4534.24 -1.68205 29.5829 13.3624 -4548.78
(1,(2,3),(4,(5,6))); -4537.53 -1.23761 29.7179 13.8774 -4552.13
(1,2,(3,(4,(5,6)))); -4535.96 -1.00906 27.0563 13.4818 -4548.53
(1,(2,3),((4,6),5)); -4543.99 -1.9106 28.3049 13.7355 -4556.65
(1,(2,3),(4,(5,6))); -4535.34 -1.23761 32.1867 13.8157 -4552.48
(1,2,(3,(4,(5,6)))); -4537.09 -1.00906 26.5662 13.1153 -4549.54
(1,(2,3),(4,(5,6))); -4537.32 -1.23761 29.3114 13.4231 -4551.97
(1,(2,3),(4,(5,6))); -4538.74 -1.23761 27.4077 13.0332 -4551.88
(1,(2,3),((4,6),5)); -4542.26 -1.9106 29.8734 13.3054 -4556.92
(1,(2,3),(4,(5,6))); -4538.65 -1.23761 29.2689 13.825 -4552.86
(1,2,(3,(4,(5,6)))); -4534.04 -1.00906 29.0655 13.0026 -4549.09
(1,2,(3,(4,(5,6)))); -4534.52 -1.00906 29.0691 13.5606 -4549.02
(1,(2,3),(4,(5,6))); -4539.64 -1.23761 26.8876 13.1748 -4552.11
(1,2,(3,((4,6),5))); -4535.32 -1.68205 28.5272 13.6117 -4548.55
(1,(2,3),(4,(5,6))); -4539.46 -1.23761 26.291 12.8211 -4551.7
(1,(2,3),((4,6),5)); -4542.4 -1.9106 30.5599 13.6701 -4557.37
(1,(2,3),((4,6),5)); -4540.76 -1.9106 30.9454 13.1128 -4556.68
(1,2,(3,(4,(5,6)))); -4540.57 -1.00906 22.9243 13.5668 -4548.92
(1,(2,3),(4,(5,6))); -4538.8 -1.23761 28.5377 13.5499 -4552.55
(1,(2,3),(4,(5,6))); -4534.8 -1.23761 32.0745 13.5803 -4552.06
(1,(2,3),(4,(5,6))); -4539.68 -1.23761 28.2897 14.1405 -4552.59
(1,2,(3,((4,6),5))); -4533.72 -1.68205 30.4113 13.8197 -4548.62
(1,(2,3),(4,(5,6))); -4538.2 -1.23761 28.9187 13.6639 -4552.22
(1,2,(3,(4,(5,6)))); -4532.32 -1.00906 31.0717 13.3856 -4549
(1,(2,3),(4,(5,6))); -4541.87 -1.23761 26.1767 14.0326 -4552.77
(1,(2,3),((4,6),5)); -4546.43 -1.9106 24.8312 12.7862 -4556.57
(1,2,(3,(4,(5,6)))); -4534.67 -1.00906 28.3613 13.2692 -4548.75
(1,2,(3,((4,6),5))); -4533.12 -1.68205 30.845 13.6784 -4548.61
(1,(2,3),(4,(5,6))); -4535.71 -1.23761 31.5558 13.7866 -4552.24
(1,(2,3),((4,6),5)); -4543.15 -1.9106 29.3186 13.5946 -4556.96
(1,2,(3,((4,6),5))); -4533.75 -1.68205 29.7662 13.314 -4548.52
(1,2,(3,(4,(5,6)))); -4537.57 -1.00906 26.475 13.9682 -4549.07
(1,(2,3),(4,(5,6))); -4537.71 -1.23761 28.7531 13.0816 -4552.15
(1,(2,3),((4,6),5)); -4541.56 -1.9106 30.716 13.2966 -4557.07
(1,(2,3),(4,(5,6))); -4538.48 -1.23761 28.491 13.8445 -4551.89
(1,2,(3,(4,(5,6)))); -4536.11 -1.00906 27.5361 13.9599 -4548.68
(1,2,(3,(4,(5,6)))); -4531.42 -1.00906 32.0124 13.4703 -4548.96
(1,2,(3,(4,(5,6)))); -4533.98 -1.00906 29.2365 13.3144 -4548.9
(1,(2,3),((4,6),5)); -4544.73 -1.9106 27.3097 13.3804 -4556.74
(1,(2,3),((4,6),5)); -4542.39 -1.9106 29.6759 13.7281 -4556.42
(1,(2,3),((4,6),5)); -4542.8 -1.9106 30.0741 13.9004 -4557.06
(1,(2,3),(4,(5,6))); -4538.9 -1.23761 28.1558 13.4011 -4552.42
(1,(2,3),(4,(5,6))); -4540.35 -1.23761 26.8427 13.4849 -4552.47
(1,2,(3,((4,6),5))); -4534.98 -1.68205 28.8595 13.9191 -4548.23
(1,2,(3,((4,6),5))); -4534.68 -1.68205 29.5318 13.8627 -4548.67
(1,2,(3,(4,(5,6)))); -4532.86 -1.00906 30.3359 13.4438 -4548.75
(1,2,(3,(4,(5,6)))); -4532.52 -1.00906 30.7311 13.3922 -4548.85
(1,2,(3,(4,(5,6)))); -4535.42 -1.00906 28.2161 13.7546 -4548.87
(1,(2,3),((4,6),5)); -4545.26 -1.9106 25.5427 12.7539 -4556.14
(1,2,(3,(4,(5,6)))); -4533.61 -1.00906 29.8674 13.5042 -4548.96
(1,(2,3),(4,(5,6))); -4536.53 -1.23761 30.6413 13.5616 -4552.38
(1,(2,3),(4,(5,6))); -4535.25 -1.23761 32.4879 13.7906 -4552.71
(1,(2,((4,6),5)),3); -4539.07 -5.61434 30.7578 13.3869 -4550.83
(1,2,(3,((4,6),5))); -4538.04 -1.68205 25.8243 13.5682 -4548.62
(1,(2,3),((4,6),5)); -4544.8 -1.9106 28.2236 13.855 -4557.25
(1,2,(3,(4,(5,6)))); -4532.44 -1.00906 31.3071 13.7509 -4548.98
(1,(2,3),(4,(5,6))); -4540.02 -1.23761 27.0254 13.4103 -4552.4
(1,(2,3),(4,(5,6))); -4536.01 -1.23761 30.7104 13.5679 -4551.91
(1,(2,3),(4,(5,6))); -4537.01 -1.23761 29.809 13.5155 -4552.07
(1,(2,3),(4,(5,6))); -4535.64 -1.23761 31.1026 13.3912 -4552.12
(1,(2,3),(4,(5,6))); -4541.03 -1.23761 26.7481 14.2146 -4552.33
(1,2,(3,(4,(5,6)))); -4532.8 -1.00906 31.1072 13.5839 -4549.31
