tree logl logTop logProp logPrior logWt parsimonyScore
(1,2,(3,(4,(5,6)))); -4534.15 -1.50218 29.7032 13.3318 -4552.03 732
(1,(2,3),(4,(5,6))); -4535.41 -1.65413 31.7544 13.7556 -4555.07 731
(1,2,(3,((4,6),5))); -4535.25 -1.74246 29.3895 13.7358 -4552.65 731
(1,(2,(4,(5,6))),3); -4537.09 -2.04641 29.5316 13.3227 -4555.34 739
(1,2,(3,(4,(5,6)))); -4534.5 -1.50218 28.7316 13.2974 -4551.44 732
(1,2,(3,(4,(5,6)))); -4537.39 -1.50218 26.7023 13.8219 -4551.77 732
(1,2,(3,((4,6),5))); -4533.38 -1.74246 30.5267 13.4257 -4552.23 731
(1,(2,3),(4,(5,6))); -4537.34 -1.65413 30.6387 13.9727 -4555.66 731
(1,2,(3,((4,6),5))); -4534.82 -1.74246 28.8538 13.3549 -4552.06 731
(1,2,(3,(4,(5,6)))); -4534.56 -1.50218 29.1187 13.7221 -4551.46 732
