tree logl logTop logProp logPrior logWt parsimonyScore
(1,(2,3),((4,6),5)); -4541.54 -1.91168 30.2874 13.2203 -4560.52 739
(1,(2,3),((4,6),5)); -4543.21 -1.91168 28.881 13.2767 -4560.72 739
(1,2,(3,((4,6),5))); -4535.7 -1.74911 28.5152 14.0001 -4551.96 731
(1,2,(3,(4,(5,6)))); -4531.94 -1.50478 31.8771 13.6751 -4551.65 732
(1,2,(3,(4,(5,6)))); -4535 -1.50478 29.1726 13.7179 -4551.96 732
(1,(2,((4,6),5)),3); -4543.33 -2.25437 26.5012 13.5121 -4558.58 738
(1,(2,3),(4,(5,6))); -4536.18 -1.66734 30.0019 13.1861 -4554.67 731
(1,2,(3,((4,6),5))); -4534.17 -1.74911 29.5899 13.6346 -4551.87 731
(1,2,(3,(4,(5,6)))); -4532.66 -1.50478 30.8834 13.3853 -4551.67 732
(1,2,(3,(4,(5,6)))); -4536.97 -1.50478 26.004 13.3062 -4551.17 732
