tree logl logTop logProp logPrior logWt
(1,2,(3,((4,6),5))); -4537.22 -1.677 26.7866 13.2952 -4549.04
(1,(2,3),((4,6),5)); -4546.39 -1.91219 25.5407 13.367 -4556.65
(1,(2,3),(4,(5,6))); -4539.66 -1.24302 27.8021 13.6024 -4552.61
(1,(2,3),(4,(5,6))); -4538.99 -1.24302 28.687 13.8942 -4552.54
(1,2,(3,((4,6),5))); -4533.88 -1.677 30.057 13.5633 -4548.69
(1,2,(3,((4,6),5))); -4533.63 -1.677 30.1045 13.5913 -4548.47
(1,2,(3,(4,(5,6)))); -4537.03 -1.00782 27.0352 13.5689 -4549.49
(1,2,(3,(4,(5,6)))); -4533.07 -1.00782 30.5942 13.4469 -4549.21
(1,(2,3),((4,6),5)); -4543.19 -1.91219 29.6483 13.7532 -4557.18
(1,(2,3),(4,(5,6))); -4546.1 -1.24302 20.8408 14.0532 -4551.65
