tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4533.81 -1.00993 29.5061 13.2987 -4549.01
(1,2,(3,((4,6),5))); -4533.06 -1.60685 30.9591 13.681 -4548.74
(1,(2,3),(4,(5,6))); -4536.22 -1.29715 31.0762 13.5341 -4552.46
(1,(2,3),((4,6),5)); -4544.05 -1.89407 27.4601 13.2464 -4556.37
(1,2,(3,((4,6),5))); -4531.94 -1.60685 31.6533 13.4927 -4548.49
(1,(2,3),(4,(5,6))); -4538.34 -1.29715 28.7941 13.665 -4552.17
(1,2,(3,(4,(5,6)))); -4532.74 -1.00993 30.5897 13.3207 -4549
(1,2,(3,((4,6),5))); -4537.34 -1.60685 26.6797 13.9553 -4548.46
(1,(2,3),(4,(5,6))); -4538.9 -1.29715 27.9614 13.412 -4552.15
(1,(2,3),((4,6),5)); -4541.13 -1.89407 31.5454 13.6135 -4557.17
