tree logl logTop logProp logPrior logWt
(1,2,(3,((4,6),5))); -4548.1 -1.64914 inf 13.6541 -inf
(1,(2,3),((4,6),5)); -4539.71 -1.89063 31.6759 13.1447 -4556.35
(1,(2,3),(4,(5,6))); -4536.21 -1.25971 29.0386 13.4288 -4550.56
(1,2,(3,((4,6),5))); -4551.91 -1.64914 inf 13.7478 -inf
(1,2,(3,(4,(5,6)))); -4534.46 -1.01822 29.643 13.8583 -4549.23
(1,(2,3),(4,(5,6))); -4537.97 -1.25971 28.4487 13.4881 -4551.67
(1,2,(3,(4,(5,6)))); -4534.92 -1.01822 28.0698 13.5034 -4548.46
(1,2,(3,(4,(5,6)))); -4547.43 -1.01822 inf 14.0801 -inf
(1,2,(3,((4,6),5))); -4531.34 -1.64914 32.8555 13.7679 -4548.78
(1,(2,(4,(5,6))),3); -4614.78 -4.92668 inf 15.6436 -inf
