t logl dlogl ddlogl
0.001 -20.4897 -6.93269 5.07015
0.002 -20.4966 -6.92762 5.07057
0.003 -20.5035 -6.92255 5.07097
0.004 -20.5104 -6.91747 5.07137
0.005 -20.5174 -6.9124 5.07176
0.006 -20.5243 -6.90733 5.07213
0.007 -20.5312 -6.90226 5.07249
0.008 -20.5381 -6.89719 5.07285
0.009 -20.545 -6.89211 5.07319
0.01 -20.5519 -6.88704 5.07352
0.011 -20.5587 -6.88197 5.07384
0.012 -20.5656 -6.87689 5.07415
0.013 -20.5725 -6.87182 5.07445
0.014 -20.5794 -6.86674 5.07473
0.015 -20.5862 -6.86167 5.07501
0.016 -20.5931 -6.85659 5.07528
0.017 -20.5999 -6.85152 5.07553
0.018 -20.6068 -6.84644 5.07577
0.019 -20.6136 -6.84137 5.07601
0.02 -20.6205 -6.83629 5.07623
0.021 -20.6273 -6.83121 5.07644
0.022 -20.6341 -6.82614 5.07664
0.023 -20.641 -6.82106 5.07683
0.024 -20.6478 -6.81598 5.07701
0.025 -20.6546 -6.81091 5.07718
0.026 -20.6614 -6.80583 5.07733
0.027 -20.6682 -6.80075 5.07748
0.028 -20.675 -6.79567 5.07761
0.029 -20.6818 -6.7906 5.07774
0.03 -20.6886 -6.78552 5.07785
0.031 -20.6954 -6.78044 5.07795
0.032 -20.7021 -6.77536 5.07804
0.033 -20.7089 -6.77028 5.07812
0.034 -20.7157 -6.76521 5.07819
0.035 -20.7225 -6.76013 5.07825
0.036 -20.7292 -6.75505 5.0783
0.037 -20.736 -6.74997 5.07833
0.038 -20.7427 -6.74489 5.07836
0.039 -20.7495 -6.73981 5.07837
0.04 -20.7562 -6.73474 5.07837
0.041 -20.7629 -6.72966 5.07837
0.042 -20.7696 -6.72458 5.07835
0.043 -20.7764 -6.7195 5.07832
0.044 -20.7831 -6.71442 5.07828
0.045 -20.7898 -6.70934 5.07822
0.046 -20.7965 -6.70427 5.07816
0.047 -20.8032 -6.69919 5.07809
0.048 -20.8099 -6.69411 5.078
0.049 -20.8166 -6.68903 5.07791
0.05 -20.8233 -6.68395 5.0778
0.051 -20.83 -6.67888 5.07768
0.052 -20.8366 -6.6738 5.07755
0.053 -20.8433 -6.66872 5.07741
0.054 -20.85 -6.66364 5.07726
0.055 -20.8566 -6.65857 5.0771
0.056 -20.8633 -6.65349 5.07693
0.057 -20.8699 -6.64841 5.07675
0.058 -20.8766 -6.64334 5.07655
0.059 -20.8832 -6.63826 5.07635
0.06 -20.8899 -6.63318 5.07613
0.061 -20.8965 -6.62811 5.0759
0.062 -20.9031 -6.62303 5.07566
0.063 -20.9097 -6.61796 5.07541
0.064 -20.9164 -6.61288 5.07515
0.065 -20.923 -6.60781 5.07488
0.066 -20.9296 -6.60273 5.0746
0.067 -20.9362 -6.59766 5.0743
0.068 -20.9428 -6.59258 5.074
0.069 -20.9494 -6.58751 5.07368
0.07 -20.9559 -6.58244 5.07336
0.071 -20.9625 -6.57736 5.07302
0.072 -20.9691 -6.57229 5.07267
0.073 -20.9757 -6.56722 5.07231
0.074 -20.9822 -6.56214 5.07194
0.075 -20.9888 -6.55707 5.07156
0.076 -20.9953 -6.552 5.07117
0.077 -21.0019 -6.54693 5.07076
0.078 -21.0084 -6.54186 5.07035
0.079 -21.015 -6.53679 5.06992
0.08 -21.0215 -6.53172 5.06949
0.081 -21.028 -6.52665 5.06904
0.082 -21.0346 -6.52158 5.06858
0.083 -21.0411 -6.51651 5.06811
0.084 -21.0476 -6.51145 5.06763
0.085 -21.0541 -6.50638 5.06714
0.086 -21.0606 -6.50131 5.06664
0.087 -21.0671 -6.49625 5.06613
0.088 -21.0736 -6.49118 5.0656
0.089 -21.0801 -6.48611 5.06507
0.09 -21.0866 -6.48105 5.06452
0.091 -21.0931 -6.47599 5.06396
0.092 -21.0995 -6.47092 5.0634
0.093 -21.106 -6.46586 5.06282
0.094 -21.1125 -6.4608 5.06223
0.095 -21.1189 -6.45573 5.06163
0.096 -21.1254 -6.45067 5.06102
0.097 -21.1318 -6.44561 5.06039
0.098 -21.1383 -6.44055 5.05976
0.099 -21.1447 -6.43549 5.05912
0.1 -21.1511 -6.43043 5.05846
0.101 -21.1576 -6.42538 5.0578
0.102 -21.164 -6.42032 5.05712
0.103 -21.1704 -6.41526 5.05643
0.104 -21.1768 -6.4102 5.05573
0.105 -21.1832 -6.40515 5.05502
0.106 -21.1896 -6.40009 5.0543
0.107 -21.196 -6.39504 5.05357
0.108 -21.2024 -6.38999 5.05283
0.109 -21.2088 -6.38494 5.05208
0.11 -21.2152 -6.37988 5.05131
0.111 -21.2216 -6.37483 5.05054
0.112 -21.2279 -6.36978 5.04976
0.113 -21.2343 -6.36473 5.04896
0.114 -21.2407 -6.35968 5.04815
0.115 -21.247 -6.35464 5.04733
0.116 -21.2534 -6.34959 5.04651
0.117 -21.2597 -6.34454 5.04567
0.118 -21.2661 -6.3395 5.04482
0.119 -21.2724 -6.33445 5.04396
0.12 -21.2787 -6.32941 5.04308
0.121 -21.2851 -6.32437 5.0422
0.122 -21.2914 -6.31933 5.04131
0.123 -21.2977 -6.31429 5.04041
0.124 -21.304 -6.30925 5.03949
0.125 -21.3103 -6.30421 5.03857
0.126 -21.3166 -6.29917 5.03763
0.127 -21.3229 -6.29413 5.03668
0.128 -21.3292 -6.2891 5.03573
0.129 -21.3355 -6.28406 5.03476
0.13 -21.3418 -6.27903 5.03378
0.131 -21.3481 -6.27399 5.03279
0.132 -21.3543 -6.26896 5.03179
0.133 -21.3606 -6.26393 5.03078
0.134 -21.3669 -6.2589 5.02976
0.135 -21.3731 -6.25387 5.02873
0.136 -21.3794 -6.24884 5.02768
0.137 -21.3856 -6.24381 5.02663
0.138 -21.3918 -6.23879 5.02557
0.139 -21.3981 -6.23376 5.02449
0.14 -21.4043 -6.22874 5.02341
0.141 -21.4105 -6.22372 5.02231
0.142 -21.4168 -6.21869 5.0212
0.143 -21.423 -6.21367 5.02009
0.144 -21.4292 -6.20865 5.01896
0.145 -21.4354 -6.20364 5.01782
0.146 -21.4416 -6.19862 5.01667
0.147 -21.4478 -6.1936 5.01551
0.148 -21.454 -6.18859 5.01434
0.149 -21.4602 -6.18357 5.01316
0.15 -21.4664 -6.17856 5.01197
0.151 -21.4725 -6.17355 5.01077
0.152 -21.4787 -6.16854 5.00956
0.153 -21.4849 -6.16353 5.00834
0.154 -21.491 -6.15852 5.00711
0.155 -21.4972 -6.15352 5.00586
0.156 -21.5033 -6.14851 5.00461
0.157 -21.5095 -6.14351 5.00335
0.158 -21.5156 -6.1385 5.00207
0.159 -21.5218 -6.1335 5.00079
0.16 -21.5279 -6.1285 4.99949
0.161 -21.534 -6.1235 4.99819
0.162 -21.5401 -6.11851 4.99687
0.163 -21.5463 -6.11351 4.99555
0.164 -21.5524 -6.10852 4.99421
0.165 -21.5585 -6.10352 4.99286
0.166 -21.5646 -6.09853 4.99151
0.167 -21.5707 -6.09354 4.99014
0.168 -21.5768 -6.08855 4.98876
0.169 -21.5828 -6.08356 4.98737
0.17 -21.5889 -6.07857 4.98597
0.171 -21.595 -6.07359 4.98457
0.172 -21.6011 -6.06861 4.98315
0.173 -21.6071 -6.06362 4.98172
0.174 -21.6132 -6.05864 4.98028
0.175 -21.6193 -6.05366 4.97883
0.176 -21.6253 -6.04868 4.97737
0.177 -21.6314 -6.04371 4.9759
0.178 -21.6374 -6.03873 4.97442
0.179 -21.6434 -6.03376 4.97293
0.18 -21.6495 -6.02879 4.97143
0.181 -21.6555 -6.02382 4.96992
0.182 -21.6615 -6.01885 4.9684
0.183 -21.6675 -6.01388 4.96687
0.184 -21.6735 -6.00891 4.96533
0.185 -21.6795 -6.00395 4.96378
0.186 -21.6855 -5.99899 4.96222
0.187 -21.6915 -5.99402 4.96065
0.188 -21.6975 -5.98906 4.95907
0.189 -21.7035 -5.98411 4.95748
0.19 -21.7095 -5.97915 4.95588
0.191 -21.7155 -5.97419 4.95427
0.192 -21.7214 -5.96924 4.95265
0.193 -21.7274 -5.96429 4.95102
0.194 -21.7334 -5.95934 4.94938
0.195 -21.7393 -5.95439 4.94773
0.196 -21.7453 -5.94944 4.94607
0.197 -21.7512 -5.9445 4.9444
0.198 -21.7572 -5.93955 4.94272
0.199 -21.7631 -5.93461 4.94103
0.2 -21.769 -5.92967 4.93933
0.201 -21.775 -5.92473 4.93762
0.202 -21.7809 -5.9198 4.9359
0.203 -21.7868 -5.91486 4.93417
0.204 -21.7927 -5.90993 4.93243
0.205 -21.7986 -5.905 4.93069
0.206 -21.8045 -5.90007 4.92893
0.207 -21.8104 -5.89514 4.92716
0.208 -21.8163 -5.89021 4.92538
0.209 -21.8222 -5.88529 4.9236
0.21 -21.8281 -5.88037 4.9218
0.211 -21.834 -5.87545 4.91999
0.212 -21.8398 -5.87053 4.91818
0.213 -21.8457 -5.86561 4.91635
0.214 -21.8516 -5.86069 4.91452
0.215 -21.8574 -5.85578 4.91267
0.216 -21.8633 -5.85087 4.91082
0.217 -21.8691 -5.84596 4.90895
0.218 -21.875 -5.84105 4.90708
0.219 -21.8808 -5.83614 4.9052
0.22 -21.8867 -5.83124 4.9033
0.221 -21.8925 -5.82634 4.9014
0.222 -21.8983 -5.82144 4.89949
0.223 -21.9041 -5.81654 4.89757
0.224 -21.9099 -5.81164 4.89564
0.225 -21.9157 -5.80675 4.8937
0.226 -21.9216 -5.80185 4.89175
0.227 -21.9274 -5.79696 4.88979
0.228 -21.9331 -5.79207 4.88783
0.229 -21.9389 -5.78719 4.88585
0.23 -21.9447 -5.7823 4.88386
0.231 -21.9505 -5.77742 4.88187
0.232 -21.9563 -5.77254 4.87986
0.233 -21.962 -5.76766 4.87785
0.234 -21.9678 -5.76278 4.87582
0.235 -21.9736 -5.75791 4.87379
