tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,(4,(5,6)))); -4540.04  -1.00962 23.7379 13.1836 0 -4549.58 0.287388 0.259475 0.152178 0.300959   0.241896   0.161204  0.0895253  0.0204498   0.479055 0.00787016
(1,2,(3,((4,6),5))); -4533.03  -1.65555 30.8304 13.7017 0 -4548.5 0.287395 0.259473 0.152175 0.300957   0.241893   0.161209  0.0895275  0.0204491    0.47905 0.00787094
(1,2,(3,((4,6),5))); -4537.11  -1.65555 27.8056 13.959 0 -4549.3 0.287398 0.259463 0.152175 0.300964   0.241899   0.161208   0.089527  0.0204467   0.479049 0.00787044
(1,(2,3),(4,(5,6))); -4539.52  -1.25888 26.8001 13.5573 0 -4551.51 0.287389 0.259476 0.152181 0.300954   0.241893   0.161211   0.089528  0.0204471   0.479051 0.00786996
(1,2,(3,(4,(5,6)))); -4532.97  -1.00962 30.6707 13.7286 0 -4548.9  0.28739 0.259475 0.152177 0.300957   0.241895   0.161202  0.0895318  0.0204485   0.479053 0.00787014
(1,(2,3),((4,6),5)); -4549.86  -1.90481 22.1978 12.7767 0 -4557.38 0.287395 0.259476 0.152172 0.300958  0.241886  0.161205 0.0895304 0.0204478  0.479059 0.0078717
(1,(2,3),(4,(5,6))); -4536.26  -1.25888 30.7158 13.4055 0 -4552.31 0.287398 0.259473 0.152174 0.300955   0.241903   0.161198  0.0895249  0.0204469   0.479056 0.00787063
(1,(2,3),(4,(5,6))); -4537.11  -1.25888 31.2312 13.776 0 -4553.31 0.287398 0.259473 0.152171 0.300957   0.241901   0.161204  0.0895293  0.0204466    0.47905 0.00786971
(1,2,(3,((4,6),5))); -4539.11  -1.65555 24.2143 12.8476 0 -4548.82 0.287395 0.259476 0.152171 0.300957   0.241895   0.161201  0.0895269  0.0204471   0.479059 0.00787068
(1,(2,3),(4,(5,6))); -4538.82  -1.25888 28.1699 13.454 0 -4552.28 0.287396 0.259476 0.152173 0.300955   0.241896   0.161204  0.0895324   0.020446   0.479051 0.00787013
(1,2,(3,(4,(5,6)))); -4534.24  -1.00962 29.0349 13.6183 0 -4548.65 0.287392 0.259475 0.152173  0.30096  0.241895  0.161208 0.0895296 0.0204467  0.479051 0.0078699
(1,2,(3,(4,(5,6)))); -4534.36  -1.00962 28.7788 13.4347 0 -4548.7 0.287385 0.259474 0.152179 0.300962   0.241902   0.161203  0.0895306  0.0204462   0.479047 0.00787073
(1,2,(3,((4,6),5))); -4539.5  -1.65555 23.287 13.4997 0 -4547.63 0.287394 0.259472 0.152179 0.300955   0.241901   0.161199  0.0895295  0.0204454   0.479055 0.00787028
(1,2,(3,((4,6),5))); -4534.51  -1.65555 30.193 13.5646 0 -4549.48 0.287389 0.259478 0.152176 0.300957   0.241896   0.161209  0.0895305  0.0204473   0.479048 0.00787001
(1,2,(3,(4,(5,6)))); -4534.33  -1.00962 28.9882 13.2822 0 -4549.03 0.287393 0.259476 0.152173 0.300958   0.241899   0.161202  0.0895326  0.0204469   0.479049 0.00787003
(1,2,(3,(4,(5,6)))); -4534.78  -1.00962 27.9154 13.0041 0 -4548.68 0.287392 0.259474 0.152172 0.300962   0.241895   0.161211   0.089528  0.0204471   0.479047 0.00787184
(1,(2,3),(4,(5,6))); -4536.82  -1.25888 29.7404 13.535 0 -4551.76 0.287393 0.259476 0.152173 0.300957   0.241893   0.161206  0.0895221  0.0204451   0.479061 0.00787239
(1,(2,(4,(5,6))),3); -4535.75  -4.91481 31.0281 13.4926 0 -4548.37 0.287397 0.259476 0.152177  0.30095   0.241903   0.161204  0.0895244  0.0204487   0.479049 0.00787124
(1,2,(3,((4,6),5))); -4533.12  -1.65555 31.0315 13.4279 0 -4549.07 0.287384 0.259475 0.152178 0.300963   0.241894   0.161204  0.0895296  0.0204452   0.479058 0.00786927
(1,2,(3,(4,(5,6)))); -4544.45  -1.00962 19.7481 13.6935 0 -4549.49 0.287388 0.259475  0.15218 0.300957   0.241899     0.1612  0.0895268  0.0204491   0.479054 0.00787134
(1,(2,3),((4,6),5)); -4548.84  -1.90481 23.7959 12.7439 0 -4557.99 0.287387 0.259478 0.152174 0.300962  0.241902  0.161199 0.0895276 0.0204476  0.479054  0.007871
(1,(2,3),((4,6),5)); -4542.27  -1.90481 29.7886 13.457 0 -4556.7 0.287388 0.259476 0.152173 0.300963     0.2419   0.161202  0.0895261  0.0204477   0.479054 0.00787015
(1,(2,3),(4,(5,6))); -4536.82  -1.25888 29.9841 13.3178 0 -4552.23 0.287388 0.259477 0.152173 0.300962   0.241892     0.1612   0.089529  0.0204474    0.47906 0.00787147
(1,2,(3,(4,(5,6)))); -4532.44  -1.00962 31.5938 13.6073 0 -4549.41 0.287386 0.259475 0.152175 0.300964   0.241896   0.161203  0.0895282  0.0204456   0.479057 0.00787033
(1,(2,3),(4,(5,6))); -4535.35  -1.25888 31.5778 13.347 0 -4552.32 0.287392 0.259475 0.152176 0.300957   0.241889   0.161202  0.0895301  0.0204485    0.47906 0.00787041
(1,2,(3,((4,6),5))); -4533.45  -1.65555 30.6609 13.8257 0 -4548.63 0.287397 0.259471 0.152173 0.300958   0.241892   0.161207    0.08953  0.0204472   0.479054 0.00787013
(1,(2,3),(4,(5,6))); -4539.17  -1.25888 28.3102 13.5701 0 -4552.65 0.287399 0.259469 0.152176 0.300956   0.241904   0.161196  0.0895285  0.0204469   0.479053 0.00787145
