tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,((4,6),5))); -4532.37  -1.70628 31.565 13.482 0 -4548.75 0.287285 0.259114 0.152415 0.301186   0.242705   0.160298  0.0878148  0.0206131   0.480725 0.00784325
(1,(2,3),(4,(5,6))); -4540.36  -1.23073 26.1671 13.6633 0 -4551.64  0.28729 0.259106 0.152418 0.301186   0.242703   0.160305  0.0878158  0.0206116   0.480721 0.00784351
(1,2,(3,(4,(5,6)))); -4537.07  -0.995478 28.1194 13.9099 0 -4550.29 0.287287 0.259104 0.152421 0.301187   0.242704   0.160314   0.087813  0.0206106   0.480716 0.00784288
(1,(2,3),(4,(5,6))); -4537.77  -1.23073 30.6396 13.8814 0 -4553.3 0.287287 0.259111 0.152421 0.301181   0.242697   0.160313  0.0878154  0.0206113    0.48072 0.00784249
(1,(2,3),((4,6),5)); -4540.69  -1.94153 31.7703 13.6313 0 -4556.88 0.287286 0.259109 0.152411 0.301194   0.242701   0.160314  0.0878119  0.0206124   0.480719 0.00784241
(1,2,(3,(4,(5,6)))); -4533.45  -0.995478 29.4395 13.4325 0 -4548.47 0.287292 0.259108 0.152415 0.301185  0.242704  0.160311 0.0878132 0.0206107  0.480719 0.0078424
(1,2,(3,((4,6),5))); -4534.25  -1.70628 29.9197 13.7862 0 -4548.67 0.287285 0.259107 0.152417 0.301191   0.242705   0.160314  0.0878148  0.0206122   0.480711 0.00784266
(1,2,(3,(4,(5,6)))); -4535.81  -0.995478 28.8599 13.7843 0 -4549.89 0.287284  0.25911 0.152418 0.301188   0.242706   0.160309  0.0878163  0.0206117   0.480713 0.00784343
(1,(2,3),(4,(5,6))); -4539.32  -1.23073 26.8638 13.3192 0 -4551.64 0.287287  0.25911 0.152421 0.301182   0.242709    0.16031  0.0878124  0.0206116   0.480715 0.00784289
(1,(2,3),((4,6),5)); -4541  -1.94153 31.7741 13.5594 0 -4557.28 0.287283 0.259108 0.152422 0.301188   0.242707   0.160311  0.0878156  0.0206112   0.480714 0.00784155
