(1,((((2,3),5),4),6)); 0.00020000 0.00007143  -3.69897000  -4.14612804
(1,((((2,3),5),6),4)); 0.00010000 0.00007143  -4.00000000  -4.14612804
(1,((((2,5),3),6),4)); 0.00010000 0.00012857  -4.00000000  -3.89085553
(1,((((2,5),6),4),3)); 0.00010000 0.00010000  -4.00000000  -4.00000000
(1,(((2,3),(5,6)),4)); 0.00060000 0.00060000  -3.22184875  -3.22184875
(1,(((2,3),5),(4,6))); 0.00020000 0.00035714  -3.69897000  -3.44715803
(1,(((2,5),(3,6)),4)); 0.00010000 0.00010000  -4.00000000  -4.00000000
(1,(((2,5),(4,6)),3)); 0.00100000 0.00100000  -3.00000000  -3.00000000
(1,(((2,5),3),(4,6))); 0.00080000 0.00064286  -3.09691001  -3.19188553
(1,((2,((4,5),6)),3)); 0.00140000 0.00578831  -2.85387196  -2.23744824
(1,((2,((4,6),5)),3)); 0.14020000 0.10485746  -0.85325199  -0.97940068
(1,((2,(3,(5,6))),4)); 0.00030000 0.00027273  -3.52287875  -3.56427143
(1,((2,(4,(5,6))),3)); 0.10470000 0.13565423  -0.98005332  -0.86756665
(1,((2,3),((4,5),6))); 0.01040000 0.00838518  -1.98296666  -2.07648780
(1,((2,3),((4,6),5))); 0.10320000 0.15190069  -0.98632030  -0.81844024
(1,((2,3),(4,(5,6)))); 0.24320000 0.19651413  -0.61403643  -0.70660622
(1,((2,4),(3,(5,6)))); 0.00020000 0.00018182  -3.69897000  -3.74036269
(1,(2,(((3,6),5),4))); 0.00010000 0.00005455  -4.00000000  -4.26324143
(1,(2,((3,(5,6)),4))); 0.00050000 0.00054545  -3.30103000  -3.26324143
(1,(2,(3,((4,5),6)))); 0.01160000 0.00922651  -1.93554201  -2.03496235
(1,(2,(3,((4,6),5)))); 0.18050000 0.16714185  -0.74352279  -0.77691480
(1,(2,(3,(4,(5,6))))); 0.20050000 0.21623164  -0.69788562  -0.66508077
