tree logl logTop logProp logPrior logWt
(1,2,(3,((4,6),5))); -4534.45  -1.66192 29.53 13.4595 -4548.86
(1,(2,3),(4,(5,6))); -4536.22  -1.2543 31.4326 13.8116 -4552.58
(1,2,(3,(4,(5,6)))); -4534.32  -1.00705 29.032 13.506 -4548.84
(1,2,(3,(4,(5,6)))); -4534.02  -1.00705 30.3245 13.8591 -4549.47
(1,2,(3,(4,(5,6)))); -4532.8  -1.00705 30.8469 13.6425 -4549
(1,2,(3,(4,(5,6)))); -4535.56  -1.00705 28.5167 13.6703 -4549.4
(1,2,(3,(4,(5,6)))); -4539.12  -1.00705 24.8734 13.7225 -4549.26
(1,(2,3),((4,6),5)); -4543.83  -1.90918 28.5808 13.2715 -4557.23
(1,2,(3,((4,6),5))); -4531.61  -1.66192 31.9293 13.3408 -4548.54
(1,2,(3,(4,(5,6)))); -4534.07  -1.00705 29.247 13.3584 -4548.95
(1,2,(3,(4,(5,6)))); -4534.98  -1.00705 29.0546 13.5952 -4549.43
(1,(2,3),(4,(5,6))); -4538.75  -1.2543 28.3658 13.6848 -4552.18
(1,2,(3,((4,6),5))); -4530.91  -1.66192 32.7307 13.4491 -4548.53
(1,(2,3),(4,(5,6))); -4542.74  -1.2543 25.3507 13.9638 -4552.88
(1,(2,3),(4,(5,6))); -4535.64  -1.2543 32.0648 13.8871 -4552.56
(1,(2,3),((4,6),5)); -4544.63  -1.90918 27.1078 13.0206 -4556.8
(1,(2,3),((4,6),5)); -4544.98  -1.90918 27.0405 13.3952 -4556.72
(1,2,(3,(4,(5,6)))); -4537.83  -1.00705 25.2744 13.5069 -4548.59
(1,2,(3,(4,(5,6)))); -4535.15  -1.00705 28.7615 13.6377 -4549.26
(1,2,(3,(4,(5,6)))); -4534.4  -1.00705 29.4018 13.3815 -4549.41
(1,2,(3,(4,(5,6)))); -4532.11  -1.00705 31.2709 13.5296 -4548.85
(1,2,(3,(4,(5,6)))); -4535.31  -1.00705 28.7731 14.1929 -4548.89
(1,2,(3,((4,6),5))); -4533.67  -1.66192 29.8899 13.1369 -4548.77
(1,(2,3),(4,(5,6))); -4536.7  -1.2543 30.45 13.7648 -4552.13
(1,(2,3),(4,(5,6))); -4536.61  -1.2543 30.2288 13.3382 -4552.25
(1,(2,3),(4,(5,6))); -4540.19  -1.2543 26.4489 13.1287 -4552.26
(1,(2,3),(4,(5,6))); -4540.21  -1.2543 27.3265 13.717 -4552.56
(1,2,(3,(4,(5,6)))); -4533.09  -1.00705 31.3336 13.8666 -4549.55
(1,2,(3,(4,(5,6)))); -4532.41  -1.00705 31.4889 13.6925 -4549.2
(1,2,(3,(4,(5,6)))); -4532.11  -1.00705 32.0088 13.8553 -4549.25
(1,2,(3,(4,(5,6)))); -4535.02  -1.00705 28.5429 13.5998 -4548.95
(1,(2,3),(4,(5,6))); -4534.87  -1.2543 32.4795 13.6864 -4552.41
(1,2,(3,((4,6),5))); -4540.17  -1.66192 23.4464 13.2382 -4548.72
(1,(2,3),(4,(5,6))); -4539.42  -1.2543 28.3083 13.6967 -4552.78
(1,(2,3),(4,(5,6))); -4539.17  -1.2543 27.7728 13.2182 -4552.47
(1,(2,3),(4,(5,6))); -4537.62  -1.2543 29.7988 13.7001 -4552.46
(1,(2,3),((4,6),5)); -4544.63  -1.90918 27.8815 13.6271 -4556.98
(1,2,(3,((4,6),5))); -4534.32  -1.66192 29.0447 13.1675 -4548.54
(1,(2,3),(4,(5,6))); -4539.22  -1.2543 27.7866 13.4942 -4552.26
(1,2,(3,(4,(5,6)))); -4531.5  -1.00705 32.0246 13.6085 -4548.91
(1,(2,3),((4,6),5)); -4540.89  -1.90918 31.5768 13.7378 -4556.82
(1,(2,3),((4,6),5)); -4539.94  -1.90918 32.2389 13.638 -4556.63
(1,2,(3,(4,(5,6)))); -4534.54  -1.00705 29.6734 13.8622 -4549.35
(1,2,(3,(4,(5,6)))); -4536.24  -1.00705 27.4952 13.6403 -4549.08
(1,(2,3),(4,(5,6))); -4537.66  -1.2543 28.9688 13.0752 -4552.3
(1,2,(3,((4,6),5))); -4532.29  -1.66192 32.2078 13.9815 -4548.85
(1,2,(3,(4,(5,6)))); -4532.87  -1.00705 30.5118 13.5745 -4548.8
(1,2,(3,(4,(5,6)))); -4535.11  -1.00705 28.0682 13.4268 -4548.74
(1,(2,(4,(5,6))),3); -4536.17  -4.94989 31.5089 13.5335 -4549.19
(1,(2,3),((4,6),5)); -4543.87  -1.90918 27.7569 13.0007 -4556.72
(1,(2,3),((4,6),5)); -4543.68  -1.90918 29.5122 14.0074 -4557.27
(1,(2,3),((4,6),5)); -4544.68  -1.90918 26.918 13.2055 -4556.48
(1,2,(3,(4,(5,6)))); -4533.22  -1.00705 30.6149 13.5034 -4549.33
(1,(2,3),(4,(5,6))); -4538.98  -1.2543 28.1852 13.2569 -4552.65
(1,2,(3,((4,6),5))); -4533.46  -1.66192 30.1752 13.5465 -4548.42
(1,2,(3,((4,6),5))); -4533.96  -1.66192 29.5103 13.1564 -4548.66
(1,(2,3),((4,6),5)); -4542.42  -1.90918 30.5432 13.9971 -4557.06
