tree logl logTop logProp logPrior logWt
(1,(2,3),(4,(5,6))); -4535.76  -1.2543 31.6319 13.4311 -4552.71
(1,(2,3),(4,(5,6))); -4542.51  -1.2543 24.5196 13.7377 -4552.04
(1,2,(3,((4,6),5))); -4534.9  -1.66192 28.7285 13.5323 -4548.43
(1,2,(3,(4,(5,6)))); -4536.25  -1.00705 28.4057 13.8987 -4549.75
(1,(2,3),((4,6),5)); -4543.24  -1.90918 28.7829 13.3551 -4556.75
(1,(2,3),(4,(5,6))); -4538.28  -1.2543 29.0565 13.608 -4552.48
(1,2,(3,((4,6),5))); -4534.86  -1.66192 28.4677 13.1394 -4548.52
(1,2,(3,(4,(5,6)))); -4535.6  -1.00705 27.3121 13.3534 -4548.55
(1,(2,3),((4,6),5)); -4541.18  -1.90918 31.4533 13.7433 -4556.99
(1,2,(3,((4,6),5))); -4536.85  -1.66192 27.14 13.7181 -4548.61
(1,(2,3),((4,6),5)); -4542.18  -1.90918 29.8742 13.079 -4557.07
(1,(2,3),(4,(5,6))); -4536.57  -1.2543 30.6064 13.6082 -4552.32
(1,2,(3,(4,(5,6)))); -4532.29  -1.00705 31.6013 13.6358 -4549.25
(1,2,(3,(4,(5,6)))); -4534.86  -1.00705 28.2609 13.2702 -4548.85
(1,(2,3),(4,(5,6))); -4537.29  -1.2543 29.198 13.3433 -4551.89
(1,(2,3),(4,(5,6))); -4535.06  -1.2543 31.7184 13.4948 -4552.03
(1,2,(3,((4,6),5))); -4532.68  -1.66192 31.114 13.4758 -4548.66
(1,(2,3),(4,(5,6))); -4541  -1.2543 25.5865 13.3037 -4552.03
(1,2,(3,(4,(5,6)))); -4533.55  -1.00705 29.4169 13.1681 -4548.8
(1,(2,3),((4,6),5)); -4540.74  -1.90918 31.3655 13.3427 -4556.85
(1,2,(3,((4,6),5))); -4535.27  -1.66192 28.847 13.6034 -4548.86
(1,2,(3,(4,(5,6)))); -4532.08  -1.00705 31.9609 13.7745 -4549.26
(1,(2,3),(4,(5,6))); -4537.52  -1.2543 30.2382 14.0352 -4552.47
(1,(2,3),(4,(5,6))); -4536.85  -1.2543 30.7985 13.7693 -4552.63
(1,(2,3),((4,6),5)); -4540.48  -1.90918 31.3124 13.3056 -4556.58
(1,(2,3),((4,6),5)); -4544.08  -1.90918 27.7836 13.2612 -4556.69
(1,(2,3),(4,(5,6))); -4537.18  -1.2543 29.899 13.5835 -4552.24
(1,(2,3),(4,(5,6))); -4540.22  -1.2543 27.1775 13.4775 -4552.67
(1,2,(3,(4,(5,6)))); -4537  -1.00705 26.8237 13.524 -4549.29
(1,2,(3,((4,6),5))); -4534.71  -1.66192 29.5081 13.8042 -4548.75
(1,2,(3,((4,6),5))); -4537.04  -1.66192 26.6292 13.3228 -4548.68
(1,(2,3),(4,(5,6))); -4536.75  -1.2543 30.8059 13.7311 -4552.57
(1,2,(3,(4,(5,6)))); -4531.97  -1.00705 31.873 13.6446 -4549.19
(1,(2,3),((4,6),5)); -4545.18  -1.90918 26.856 13.4003 -4556.72
(1,(2,3),(4,(5,6))); -4534.06  -1.2543 33.1325 13.6484 -4552.29
(1,2,(3,(4,(5,6)))); -4542.33  -1.00705 20.3124 13.1402 -4548.49
(1,(2,3),((4,6),5)); -4542.06  -1.90918 29.9958 13.7826 -4556.36
(1,2,(3,((4,6),5))); -4533.02  -1.66192 30.6352 13.3254 -4548.67
(1,2,(3,((4,6),5))); -4533.65  -1.66192 30.0053 13.3895 -4548.6
(1,2,(3,(4,(5,6)))); -4533.3  -1.00705 30.1295 13.2931 -4549.13
(1,(2,3),((4,6),5)); -4541.43  -1.90918 30.3774 13.0904 -4556.81
(1,2,(3,((4,6),5))); -4537.83  -1.66192 26.7542 13.7237 -4549.2
(1,2,(3,(4,(5,6)))); -4531.63  -1.00705 32.0526 13.6677 -4549.01
(1,(2,3),((4,6),5)); -4542.01  -1.90918 30.8461 13.7061 -4557.24
(1,2,(3,(4,(5,6)))); -4534.44  -1.00705 29.414 13.63 -4549.22
(1,2,(3,((4,6),5))); -4533.65  -1.66192 30.5988 13.5521 -4549.03
(1,2,(3,(4,(5,6)))); -4533.36  -1.00705 30.9883 13.7835 -4549.56
(1,2,(3,(4,(5,6)))); -4538.66  -1.00705 23.9534 13.0982 -4548.5
