tree tree0 logl logliknew logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); (((3,(2,1)),4),6,5); -4535.39 -4535.39 -1.00705 28.8498 13.5894 -4549.64
(1,2,(3,(4,(5,6)))); (3,((6,5),4),(1,2)); -4534.14 -4534.14 -1.00705 29.5553 13.8211 -4548.87
(1,2,(3,(4,(5,6)))); (4,(5,6),(3,(2,1))); -4532.96 -4532.96 -1.00705 30.6992 13.6082 -4549.04
(1,(2,3),(4,(5,6))); ((4,((2,3),1)),5,6); -4540.37 -4540.37 -1.2543 26.4555 13.2502 -4552.32
(1,2,(3,(4,(5,6)))); (6,((3,(1,2)),4),5); -4532.22 -4532.22 -1.00705 31.298 13.3867 -4549.13
(1,(2,3),(4,(5,6))); ((((3,2),1),4),5,6); -4541.24 -4541.24 -1.2543 25.1492 12.6713 -4552.47
(1,(2,3),(4,(5,6))); ((2,3),1,((6,5),4)); -4538.45 -4538.45 -1.2543 28.3721 13.6926 -4551.87
(1,2,(3,((4,6),5))); (4,6,(5,((1,2),3))); -4531.98 -4531.98 -1.66192 32.4612 13.7085 -4549.07
(1,2,(3,(4,(5,6)))); ((5,6),((1,2),3),4); -4532.87 -4532.87 -1.00705 30.8132 13.5096 -4549.17
(1,2,(3,(4,(5,6)))); (3,((6,5),4),(2,1)); -4536.46 -4536.46 -1.00705 27.0803 13.8298 -4548.7
(1,2,(3,((4,6),5))); (3,(2,1),(5,(6,4))); -4537.51 -4537.51 -1.66192 26.7849 13.9047 -4548.73
(1,2,(3,((4,6),5))); ((1,2),3,((6,4),5)); -4536.1 -4536.1 -1.66192 27.1106 12.9668 -4548.58
(1,2,(3,(4,(5,6)))); ((5,6),(3,(1,2)),4); -4534.9 -4534.9 -1.00705 28.7676 13.876 -4548.78
(1,(2,3),(4,(5,6))); ((1,((6,5),4)),3,2); -4544 -4544 -1.2543 22.9128 13.5137 -4552.14
(1,(2,3),((4,6),5)); (((6,4),5),(2,3),1); -4546.12 -4546.12 -1.90918 26.8472 13.8558 -4557.2
(1,2,(3,(4,(5,6)))); (5,(((1,2),3),4),6); -4533.32 -4533.32 -1.00705 30.5316 13.7554 -4549.09
(1,2,(3,((4,6),5))); (2,((5,(6,4)),3),1); -4533.78 -4533.78 -1.66192 29.8535 13.5839 -4548.39
(1,2,(3,((4,6),5))); (((4,6),5),3,(2,1)); -4539.65 -4539.65 -1.66192 24.9106 13.906 -4548.99
(1,2,(3,(4,(5,6)))); (((5,6),4),(2,1),3); -4533.06 -4533.06 -1.00705 30.2274 13.1129 -4549.16
(1,2,(3,(4,(5,6)))); (4,(5,6),(3,(2,1))); -4532.71 -4532.71 -1.00705 31.1319 13.4091 -4549.42
(1,2,(3,(4,(5,6)))); ((4,(3,(2,1))),5,6); -4533.8 -4533.8 -1.00705 30.145 13.8623 -4549.07
(1,(2,3),((4,6),5)); (((6,4),5),(2,3),1); -4544.45 -4544.45 -1.90918 27.0035 12.9347 -4556.61
(1,2,(3,(4,(5,6)))); (6,(4,(3,(2,1))),5); -4534.08 -4534.08 -1.00705 30.3813 13.7326 -4549.72
(1,(2,3),((4,6),5)); (6,4,(5,(1,(2,3)))); -4544.85 -4544.85 -1.90918 27.0413 13.1067 -4556.88
(1,2,(3,(4,(5,6)))); (1,(((6,5),4),3),2); -4536.05 -4536.05 -1.00705 28.0455 13.7221 -4549.37
