tree tree0 logl logliknew logTop logProp logPrior logWt
(1,(2,3),((4,6),5)); (((3,2),1),(4,6),5); -195.435 -195.435 -1.6806 28.6285 15.289 -207.094
(1,(2,((4,6),5)),3); (3,1,(2,(5,(6,4)))); -200.795 -200.795 -1.56192 28.8179 16.4008 -211.65
(1,(2,3),((4,6),5)); ((5,((3,2),1)),4,6); -194.924 -194.924 -1.6806 28.5421 15.5912 -206.194
(1,(2,((4,6),5)),3); (2,((4,6),5),(3,1)); -197.76 -197.76 -1.56192 31.3741 17.8223 -209.75
(1,((2,5),(4,6)),3); ((6,4),(2,5),(1,3)); -202.434 -202.434 -2.25279 359.717 15.2088 -544.689
(1,(2,3),((4,6),5)); (4,(5,((2,3),1)),6); -195.323 -195.323 -1.6806 27.3351 16.4391 -204.539
(1,(((2,5),6),4),3); ((2,5),6,(4,(1,3))); -199.737 -199.737 -3.57013 29.7287 14.3688 -211.526
(1,(2,(4,(5,6))),3); (((6,5),4),(3,1),2); -197.353 -197.353 -2.49806 35.5802 16.5403 -213.895
(1,(2,3),(4,(5,6))); (((2,3),1),(5,6),4); -202.164 -202.164 -2.61675 21.9101 17.5106 -203.946
(1,(2,((4,5),6)),3); (5,4,(((3,1),2),6)); -248.147 -248.147 -6.98054 47.1663 -1.04193 -289.374
