tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,3),(4,(5,6))); -4540.65  -1.45104 30.4158 13.1861 26.0819 -4582.51 0.301283  0.26333 0.154096 0.281291    0.23665    0.13298  0.0999603  0.0231795   0.503717 0.00351374
(1,2,(3,((4,6),5))); -4537.88  -1.60888 29.8226 13.7337 24.6051 -4576.97 0.259913 0.282822 0.153507 0.303758   0.221504   0.144344  0.0758373  0.0257135   0.523527 0.00907374
(1,(2,3),((4,6),5)); -4541.58  -1.72888 31.3178 13.4501 27.2712 -4585 0.291655 0.278576 0.133997 0.295772   0.226421   0.163687  0.0894368  0.0195745   0.499371 0.00150903
(1,2,(3,(4,(5,6)))); -4535.15  -1.33105 29.1049 12.9852 27.4411 -4577.38 0.282363 0.288057 0.148313 0.281268   0.233696   0.148486  0.0810694  0.0147442   0.516941 0.00506324
(1,2,(3,((4,6),5))); -4543.55  -1.60888 26.3123 13.4031 22.9487 -4577.8 0.291175 0.277569 0.142504 0.288752  0.231075  0.200152 0.0979654 0.0151248  0.443816 0.0118673
(1,(2,3),(4,(5,6))); -4544.8  -1.45104 29.7565 13.1398 22.0749 -4582.04 0.299947 0.275499 0.142165 0.282389  0.227786  0.139572 0.0706312  0.014492  0.519442 0.0280762
(1,(2,3),(4,(5,6))); -4540.15  -1.45104 28.0393 13.2209 28.1179 -4581.63 0.288413 0.272377 0.141328 0.297883   0.244482    0.16972  0.0678451  0.0175193   0.493695 0.00673778
(1,(2,3),(4,(5,6))); -4546.43  -1.45104 24.301 13.0707 25.1209 -4581.33 0.278816 0.280635  0.15084  0.28971   0.251038   0.139862  0.0969417  0.0330299   0.477118 0.00201094
(1,(2,3),((4,6),5)); -4546.31  -1.72888 31.3993 13.332 23.9037 -4586.55   0.2766 0.259924 0.149171 0.314304   0.22606   0.18227 0.0635857 0.0112642  0.505941 0.0108796
(1,(2,3),(4,(5,6))); -4537.66  -1.45104 29.9228 13.3483 27.9535 -4580.74 0.284934 0.280861 0.150217 0.283988  0.242052  0.159952 0.0792363 0.0194968   0.48765 0.0116131
(1,2,(3,((4,6),5))); -4533.19  -1.60888 30.2008 13.6221 28.6497 -4576.81 0.274002 0.280069 0.147424 0.298506   0.240988   0.149071  0.0789152  0.0193136   0.505646 0.00606682
(1,(2,3),((4,6),5)); -4545.09  -1.72888 26.7412 13.4653 29.2054 -4585.84 0.288823 0.261565 0.153531 0.296081   0.23626  0.150429 0.0895501 0.0176485  0.498772 0.0073404
(1,2,(3,(4,(5,6)))); -4535.19  -1.33105 31.2515 13.6353 26.0883 -4577.56 0.299023 0.270406 0.140271   0.2903  0.253855  0.166422 0.0803892 0.0254307  0.460354 0.0135489
(1,(2,3),((4,6),5)); -4548.79  -1.72888 26.1167 13.2672 27.3621 -4587.27   0.2888 0.266419 0.154805 0.289976   0.240824    0.13475  0.0861595  0.0150108    0.52083 0.00242569
(1,(2,3),((4,6),5)); -4542.55  -1.72888 29.9901 13.3188 28.6129 -4586.1 0.297272 0.269818 0.139214 0.293695   0.224229   0.161673  0.0830828  0.0236409   0.502642 0.00473172
(1,2,(3,(4,(5,6)))); -4534.92  -1.33105 30.4904 13.3566 27.2166 -4577.94 0.303048 0.252111 0.146775 0.298065   0.246539   0.147543  0.0913069  0.0226293   0.488952 0.00302953
(1,(2,3),((4,6),5)); -4544.28  -1.72888 29.0504 13.143 27.5327 -4585.99 0.284526  0.26825  0.14959 0.297634  0.223696  0.141243 0.0814343 0.0234868  0.516662 0.0134781
(1,(2,3),(4,(5,6))); -4551.62  -1.45104 27.448 13.7569 17.5485 -4581.41 0.263972 0.269344 0.159803  0.30688  0.199494  0.156177 0.0952388 0.0311428  0.485437 0.0325101
(1,(2,((4,6),5)),3); -4542.68  -3.02326 29.1153 12.9989 27.1098 -4582.89 0.280693 0.280845 0.130849 0.307613  0.227069  0.156972 0.0904187 0.0237311  0.493312 0.0084973
(1,(2,3),((4,6),5)); -4545.68  -1.72888 28.723 13.0857 25.9923 -4585.58 0.285584 0.290434 0.143286 0.280696  0.246043  0.143153 0.0867484 0.0127658  0.509235 0.0020546
(1,2,(3,((4,6),5))); -4534.29  -1.60888 31.7543 13.686 27.0986 -4577.85 0.286063 0.279357 0.133331 0.301249  0.227983  0.143154 0.0955717 0.0162143  0.504996 0.0120812
(1,2,(3,((4,6),5))); -4539.58  -1.60888 27.5213 13.3298 25.6322 -4577.8 0.300381 0.271395 0.153613 0.274611   0.238449   0.139025  0.0976591  0.0289208   0.491682 0.00426434
(1,2,(3,(4,(5,6)))); -4537.63  -1.33105 27.9145 13.576 27.5079 -4578.15 0.288022 0.282107 0.146479 0.283392    0.21905   0.144107  0.0876344  0.0230934   0.518301 0.00781521
(1,(2,3),((4,6),5)); -4554.37  -1.72888 29.0295 13.5807 18.3443 -4586.43 0.281231  0.25638 0.135254 0.327135   0.210466   0.172945   0.111464  0.0412245   0.461347 0.00255235
(1,2,(3,(4,(5,6)))); -4537.27  -1.33105 29.8711 13.5636 25.9658 -4578.22 0.284141 0.267102  0.14257 0.306187  0.271627  0.133907 0.0926834 0.0180741  0.473127  0.010581
(1,2,(3,((4,6),5))); -4541.63  -1.60888 24.5481 13.2076 25.2972 -4576.66 0.275462 0.266987 0.163419 0.294132   0.227768   0.165021  0.0792178 0.00926174   0.506089  0.0126425
(1,2,(3,((4,6),5))); -4534.13  -1.60888 31.2704 13.6558 27.6326 -4577.77 0.287053 0.266575 0.156656 0.289716  0.231316  0.155665 0.0814211 0.0137424  0.503814 0.0140417
(1,(2,3),(4,(5,6))); -4542.42  -1.45104 30.4622 13.8306 24.5894 -4582.19 0.287702 0.261919 0.144072 0.306307   0.221115   0.201642  0.0717369  0.0194289   0.478687 0.00739071
(1,(2,3),((4,6),5)); -4548.09  -1.72888 27.8344 13.8585 26.3197 -4586.66 0.283351 0.261328 0.148431  0.30689  0.227136  0.150345 0.0804811 0.0314245  0.495844 0.0147694
(1,(2,3),((4,6),5)); -4547.27  -1.72888 31.0491 13.403 22.9092 -4586.1 0.291284 0.288278 0.130628 0.289809  0.224092  0.125008 0.0845321 0.0231406   0.52861 0.0146169
(1,(2,3),(4,(5,6))); -4546.26  -1.45104 29.9939 13.2648 21.717 -4583.25 0.289883 0.288242 0.135323 0.286552  0.234754  0.147492 0.0878475 0.0319646   0.47195 0.0259918
(1,(2,3),((4,6),5)); -4547.28  -1.72888 28.7968 13.3337 24.5802 -4585.6  0.27737  0.30046 0.136499 0.285671    0.2416   0.14102 0.0828055 0.0159674  0.506901 0.0117063
(1,2,(3,((4,6),5))); -4545.74  -1.60888 26.96 14.0164 21.5318 -4578.6 0.304171 0.255547  0.13373 0.306551   0.246246   0.134119  0.0573717  0.0232332   0.536805 0.00222553
(1,2,(3,((4,6),5))); -4536.1  -1.60888 30.5946 13.3488 26.1986 -4577.94 0.285199  0.26744 0.144591  0.30277   0.269004   0.135086  0.0831843  0.0289281   0.479366 0.00443189
(1,(2,3),(4,(5,6))); -4539.26  -1.45104 30.6392 13.4758 27.0247 -4581.99 0.273805 0.282397 0.150618  0.29318   0.232173   0.168127   0.101348  0.0157739   0.473399 0.00917899
(1,(2,(4,(5,6))),3); -4541.71  -2.74543 26.7085 13.219 27.5703 -4580.03 0.294461 0.264232 0.139808 0.301498   0.255775   0.135795  0.0971955  0.0176581   0.487647 0.00593025
(1,(2,3),(4,(5,6))); -4545.45  -1.45104 24.0888 13.498 25.1317 -4579.73 0.285447  0.29061 0.137098 0.286845   0.248741    0.13702  0.0914238  0.0250894   0.496223 0.00150299
(1,(2,(4,(5,6))),3); -4538.85  -2.74543 31.0642 13.4905 26.7114 -4580.39 0.295105  0.25922 0.144926  0.30075   0.269253   0.137388  0.0916607  0.0199203   0.474626 0.00715172
