tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4536.09 -1.01944 27.0366 13.2317 -4548.88
(1,(2,3),((4,6),5)); -4542.2 -1.90231 30.2122 13.6026 -4556.9
(1,(2,3),((4,6),5)); -4543.69 -1.90231 28.485 13.8959 -4556.38
(1,2,(3,((4,6),5))); -4535.5 -1.70834 27.0615 13.1436 -4547.71
(1,2,(3,(4,(5,6)))); -4533.52 -1.01944 30.3325 13.7345 -4549.1
(1,(2,3),((4,5),6)); -4551.66 -8.08796 26.1338 13.9382 -4555.77
(1,(2,3),(4,(5,6))); -4536.04 -1.21342 31.3175 13.7521 -4552.4
(1,(2,3),(4,(5,6))); -4537.05 -1.21342 29.7671 13.5908 -4552.01
(1,2,(3,((4,6),5))); -4536.25 -1.70834 27.4206 13.7435 -4548.22
(1,2,(3,(4,(5,6)))); -4532.95 -1.01944 30.6857 13.6354 -4548.98
(1,2,(3,(4,(5,6)))); -4534.08 -1.01944 28.7051 13.1084 -4548.66
(1,(2,3),(4,(5,6))); -4541.32 -1.21342 24.8735 12.8641 -4552.11
(1,2,(3,(4,(5,6)))); -4534.56 -1.01944 29.2478 13.8025 -4548.98
(1,2,(3,((4,6),5))); -4537.48 -1.70834 25.9717 13.2041 -4548.53
(1,2,(3,((4,6),5))); -4533.68 -1.70834 30.1448 13.747 -4548.37
(1,2,(3,(4,(5,6)))); -4536.93 -1.01944 26.8692 13.7283 -4549.05
(1,(2,3),(4,(5,6))); -4537.52 -1.21342 29.3415 13.7479 -4551.9
(1,(2,3),(4,(5,6))); -4538.87 -1.21342 27.9646 13.4593 -4552.16
(1,2,(3,(4,(5,6)))); -4534.25 -1.01944 28.5888 13.2714 -4548.55
(1,2,(3,(4,(5,6)))); -4531.66 -1.01944 32.2893 13.8297 -4549.1
(1,(2,3),((4,6),5)); -4543.01 -1.90231 29.2618 13.6117 -4556.76
(1,2,(3,(4,(5,6)))); -4535.4 -1.01944 27.8997 13.3699 -4548.91
(1,2,(3,((4,6),5))); -4538.68 -1.70834 25.335 13.3417 -4548.97
(1,(2,3),(4,(5,6))); -4538.1 -1.21342 28.6738 13.6121 -4551.95
(1,(2,3),((4,6),5)); -4540.9 -1.90231 31.9052 13.6555 -4557.25
(1,(2,3),((4,6),5)); -4544.69 -1.90231 27.1112 13.275 -4556.62
(1,(2,3),((4,6),5)); -4540.87 -1.90231 31.0544 13.4481 -4556.57
(1,2,(3,(4,(5,6)))); -4537 -1.01944 26.668 13.9805 -4548.66
(1,(2,3),(4,(5,6))); -4540.18 -1.21342 26.9546 13.659 -4552.26
(1,2,(3,(4,(5,6)))); -4539.48 -1.01944 23.9426 13.4836 -4548.92
(1,(2,3),(4,(5,6))); -4535.46 -1.21342 31.7264 13.7101 -4552.27
(1,2,(3,(4,(5,6)))); -4533.98 -1.01944 29.3021 13.3147 -4548.94
(1,2,(3,((4,6),5))); -4537.24 -1.70834 26.1059 13.2919 -4548.35
(1,2,(3,(4,(5,6)))); -4534.05 -1.01944 28.9414 13.1524 -4548.82
(1,2,(3,(4,(5,6)))); -4532.98 -1.01944 30.9571 13.5745 -4549.35
(1,2,(3,((4,6),5))); -4534.53 -1.70834 29.9527 14.1139 -4548.66
(1,2,(3,(4,(5,6)))); -4531.37 -1.01944 32.1875 13.5625 -4548.98
(1,2,(3,((4,6),5))); -4535.04 -1.70834 28.1498 13.4505 -4548.03
(1,2,(3,(4,(5,6)))); -4535.64 -1.01944 28.5427 13.8075 -4549.36
(1,2,(3,(4,(5,6)))); -4538.39 -1.01944 25.8171 13.9906 -4549.2
(1,2,(3,((4,6),5))); -4532.8 -1.70834 30.9229 13.6595 -4548.36
(1,(2,3),((4,6),5)); -4542.89 -1.90231 28.4115 13.3269 -4556.07
(1,(2,3),(4,(5,6))); -4536.37 -1.21342 30.9959 13.6143 -4552.54
(1,(2,3),(4,(5,6))); -4538.64 -1.21342 28.2113 13.6418 -4551.99
(1,(2,3),(4,(5,6))); -4535.7 -1.21342 31.2643 13.4127 -4552.34
(1,2,(3,((4,6),5))); -4532.94 -1.70834 30.7739 13.6772 -4548.33
(1,2,(3,((4,6),5))); -4535.17 -1.70834 28.8988 13.5238 -4548.84
(1,2,(3,(4,(5,6)))); -4534.28 -1.01944 29.3628 13.7067 -4548.91
(1,(2,3),(4,(5,6))); -4542.24 -1.21342 24.917 13.2466 -4552.7
(1,(2,3),(4,(5,6))); -4537.5 -1.21342 29.8041 13.869 -4552.22
(1,(2,3),((4,6),5)); -4540.58 -1.90231 31.3198 13.5487 -4556.45
(1,(2,3),(4,(5,6))); -4536.51 -1.21342 30.932 13.6968 -4552.53
(1,(2,3),((4,6),5)); -4542.15 -1.90231 30.6156 13.9083 -4556.95
(1,2,(3,((4,6),5))); -4540.64 -1.70834 23.3007 13.7532 -4548.48
(1,2,(3,(4,(5,6)))); -4536.01 -1.01944 27.5316 13.5466 -4548.98
(1,(2,3),((4,6),5)); -4546.46 -1.90231 25.0502 12.9795 -4556.63
(1,(2,3),((4,6),5)); -4541.57 -1.90231 30.5225 13.2404 -4556.95
(1,(2,3),(4,(5,6))); -4536.48 -1.21342 30.2937 13.514 -4552.04
(1,2,(3,(4,(5,6)))); -4536.03 -1.01944 26.9204 13.159 -4548.77
(1,2,(3,((4,6),5))); -4536.01 -1.70834 27.7954 13.7592 -4548.34
(1,(2,3),((4,6),5)); -4542.5 -1.90231 28.8389 13.1479 -4556.29
(1,2,(3,((4,6),5))); -4535.43 -1.70834 28.0863 13.3437 -4548.46
(1,(2,3),((4,6),5)); -4552.19 -1.90231 22.6182 13.9125 -4558.99
(1,2,(3,((4,6),5))); -4532.23 -1.70834 31.5603 13.5664 -4548.52
(1,2,(3,(4,(5,6)))); -4538.29 -1.01944 25.1707 13.5075 -4548.93
(1,2,(3,(4,(5,6)))); -4534.92 -1.01944 29.0406 13.5717 -4549.37
(1,2,(3,(4,(5,6)))); -4536.46 -1.01944 26.4355 13.0238 -4548.86
(1,2,(3,(4,(5,6)))); -4533.36 -1.01944 30.2685 13.4418 -4549.17
(1,(2,3),((4,6),5)); -4541.64 -1.90231 30.2773 13.2826 -4556.74
(1,2,(3,(4,(5,6)))); -4532.18 -1.01944 31.2231 13.3914 -4548.99
(1,(2,3),(4,(5,6))); -4535.42 -1.21342 31.1406 13.2371 -4552.11
(1,(2,3),((4,6),5)); -4545.04 -1.90231 26.3809 13.4212 -4556.1
(1,2,(3,((4,6),5))); -4534.36 -1.70834 29.4813 13.7387 -4548.39
(1,(2,3),(4,(5,6))); -4537.6 -1.21342 29.9296 13.6808 -4552.64
(1,2,(3,((4,6),5))); -4535.22 -1.70834 27.7878 13.1668 -4548.13
(1,(2,3),(4,(5,6))); -4538.59 -1.21342 27.424 13.0629 -4551.74
(1,(2,3),(4,(5,6))); -4535.31 -1.21342 31.8145 13.408 -4552.5
(1,2,(3,(4,(5,6)))); -4533.39 -1.01944 29.7421 13.2721 -4548.85
(1,(2,3),((4,6),5)); -4540.38 -1.90231 30.8206 13.1683 -4556.13
(1,(2,3),((4,6),5)); -4543.14 -1.90231 29.0074 13.6703 -4556.58
(1,2,(3,(4,(5,6)))); -4538.4 -1.01944 25.2074 13.3645 -4549.22
(1,2,(3,(4,(5,6)))); -4533.95 -1.01944 29.7264 13.4291 -4549.23
(1,2,(3,((4,6),5))); -4536.29 -1.70834 27.8326 14.0863 -4548.33
(1,2,(3,(4,(5,6)))); -4541.68 -1.01944 22.6636 14.3774 -4548.95
(1,2,(3,(4,(5,6)))); -4532.68 -1.01944 30.7234 13.5296 -4548.85
(1,2,(3,(4,(5,6)))); -4536.59 -1.01944 26.1866 13.0786 -4548.68
(1,(2,3),((4,6),5)); -4541.99 -1.90231 30.6529 13.4556 -4557.29
(1,(2,3),(4,(5,6))); -4538.72 -1.21342 28.1096 13.475 -4552.14
(1,(2,3),(4,(5,6))); -4537.93 -1.21342 29.1922 13.3301 -4552.57
(1,2,(3,(4,(5,6)))); -4534.87 -1.01944 29.1646 13.5272 -4549.49
(1,2,(3,(4,(5,6)))); -4531.35 -1.01944 31.745 13.3924 -4548.69
(1,(2,3),((4,6),5)); -4543.16 -1.90231 29.3756 13.7939 -4556.84
(1,2,(3,(4,(5,6)))); -4534.58 -1.01944 29.4279 13.7817 -4549.21
(1,(2,3),((4,6),5)); -4544.32 -1.90231 27.4877 13.2587 -4556.65
(1,(2,3),((4,6),5)); -4540.12 -1.90231 32.0748 13.7406 -4556.55
(1,(2,3),(4,(5,6))); -4541.72 -1.21342 25.9773 13.7241 -4552.76
(1,(2,3),(4,(5,6))); -4538.96 -1.21342 27.1584 13.1559 -4551.74
(1,(2,3),(4,(5,6))); -4541.05 -1.21342 25.4458 13.3331 -4551.95
(1,2,(3,(4,(5,6)))); -4531.76 -1.01944 31.4345 13.452 -4548.73
(1,2,(3,(4,(5,6)))); -4532.4 -1.01944 30.7756 13.3083 -4548.85
(1,2,(3,(4,(5,6)))); -4533.52 -1.01944 29.9337 13.5839 -4548.85
(1,(2,3),((4,6),5)); -4543.55 -1.90231 28.8967 13.4266 -4557.12
(1,(2,3),((4,6),5)); -4543.88 -1.90231 28.2677 13.1959 -4557.05
(1,(2,3),((4,6),5)); -4543.64 -1.90231 28.0047 13.2529 -4556.49
(1,2,(3,(4,(5,6)))); -4533.8 -1.01944 29.3233 13.304 -4548.8
(1,2,(3,((4,6),5))); -4534.43 -1.70834 29.9666 13.587 -4549.1
(1,(2,3),(4,(5,6))); -4534.44 -1.21342 32.7764 13.7315 -4552.27
(1,2,(3,((4,6),5))); -4535.69 -1.70834 27.5562 13.4735 -4548.06
(1,2,(3,(4,(5,6)))); -4534.45 -1.01944 29.6336 13.7307 -4549.33
(1,(2,3),(4,(5,6))); -4537.68 -1.21342 30.0574 13.7378 -4552.79
(1,(2,3),(4,(5,6))); -4537.81 -1.21342 29.6816 13.9447 -4552.33
