tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4535.86 -1.00224 26.7916 13.2941 -4548.35
(1,(2,3),((4,6),5)); -4540.81 -1.91122 30.9696 13.2103 -4556.66
(1,2,(3,(4,(5,6)))); -4533.93 -1.00224 29.3368 13.3211 -4548.94
(1,2,(3,(4,(5,6)))); -4534.57 -1.00224 27.4558 13.3979 -4547.62
(1,2,(3,(4,(5,6)))); -4532.58 -1.00224 31.6608 13.9819 -4549.26
(1,(2,3),(4,(5,6))); -4539.21 -1.28972 27.6217 13.3832 -4552.16
(1,(2,3),(4,(5,6))); -4534.8 -1.28972 32.1872 13.5948 -4552.1
(1,2,(3,(4,(5,6)))); -4533.75 -1.00224 25.5093 13.2714 -4544.98
(1,2,(3,((4,6),5))); -4532.04 -1.62375 31.6652 13.3218 -4548.76
(1,(2,3),(4,(5,6))); -4536.04 -1.28972 31.5977 13.8211 -4552.52
(1,2,(3,(4,(5,6)))); -4531.4 -1.00224 31.5809 13.3826 -4548.6
(1,2,(3,(4,(5,6)))); -4538.85 -1.00224 24.8724 13.307 -4549.42
(1,(2,3),(4,(5,6))); -4536.7 -1.28972 30.1614 13.2841 -4552.29
(1,(2,3),((4,6),5)); -4546.57 -1.91122 25.9657 13.1776 -4557.45
(1,(2,3),(4,(5,6))); -4537.31 -1.28972 28.7816 13.0369 -4551.76
(1,(2,3),(4,(5,6))); -4537.38 -1.28972 30.0293 13.5827 -4552.53
(1,2,(3,((4,6),5))); -4533.68 -1.62375 29.2761 13.9602 -4547.37
(1,(2,3),(4,(5,6))); -4538.02 -1.28972 29.4457 13.4086 -4552.77
(1,(2,3),((4,6),5)); -4541.7 -1.91122 30.3052 13.6222 -4556.47
(1,(2,3),((4,6),5)); -4542.54 -1.91122 29.7598 13.5447 -4556.85
(1,2,(3,((4,6),5))); -4532.54 -1.62375 31.6503 13.6027 -4548.96
(1,2,(3,(4,(5,6)))); -4531.15 -1.00224 32.631 13.7008 -4549.08
(1,2,(3,(4,(5,6)))); -4532.24 -1.00224 30.8175 13.4945 -4548.57
(1,2,(3,((4,6),5))); -4531.57 -1.62375 32.7724 13.6985 -4549.02
(1,(2,3),((4,6),5)); -4541.85 -1.91122 30.2121 13.1997 -4556.95
(1,2,(3,((4,6),5))); -4537.87 -1.62375 25.1454 13.2519 -4548.14
(1,(2,3),((4,6),5)); -4542.63 -1.91122 28.2897 13.4254 -4555.58
(1,2,(3,(4,(5,6)))); -4533.77 -1.00224 29.4776 13.4442 -4548.8
(1,(2,3),(4,(5,6))); -4534.96 -1.28972 31.4199 13.4568 -4551.63
(1,(2,3),(4,(5,6))); -4535.94 -1.28972 31.3443 13.4696 -4552.52
(1,(2,3),(4,(5,6))); -4540.94 -1.28972 25.864 13.2627 -4552.25
(1,2,(3,(4,(5,6)))); -4532.18 -1.00224 31.5443 13.4929 -4549.23
(1,(2,3),(4,(5,6))); -4536.12 -1.28972 30.1899 13.3761 -4551.64
(1,(2,3),(4,(5,6))); -4535.79 -1.28972 29.6306 13.8865 -4550.25
(1,2,(3,(4,(5,6)))); -4533.44 -1.00224 29.8944 13.5387 -4548.8
(1,(2,3),((4,6),5)); -4543.69 -1.91122 29.1191 13.8289 -4557.07
(1,2,(3,(4,(5,6)))); -4533.47 -1.00224 29.583 13.184 -4548.87
(1,2,(3,(4,(5,6)))); -4531.88 -1.00224 31.7244 13.5121 -4549.09
(1,2,(3,(4,(5,6)))); -4531.86 -1.00224 31.4584 13.2945 -4549.02
(1,2,(3,(4,(5,6)))); -4533.72 -1.00224 30.1646 13.4495 -4549.43
(1,2,(3,(4,(5,6)))); -4539.42 -1.00224 24.562 14.0595 -4548.92
