tree logl logTop logProp logPrior logWt
(1,2,(3,((4,6),5))); -4534.13  -1.66192 29.5413 13.4859 -4548.52
(1,(2,3),(4,(5,6))); -4535.93  -1.2543 31.5646 13.9129 -4552.33
(1,2,(3,(4,(5,6)))); -4534.68  -1.00705 29.097 13.5567 -4549.22
(1,2,(3,(4,(5,6)))); -4534.24  -1.00705 30.4147 13.9098 -4549.74
(1,2,(3,(4,(5,6)))); -4532.74  -1.00705 30.9218 13.685 -4548.97
(1,2,(3,(4,(5,6)))); -4535.17  -1.00705 28.5944 13.7169 -4549.04
(1,2,(3,(4,(5,6)))); -4539.33  -1.00705 24.8583 13.747 -4549.44
(1,(2,3),((4,6),5)); -4543.89  -1.90918 28.6341 13.3013 -4557.32
(1,2,(3,((4,6),5))); -4531.64  -1.66192 31.9111 13.3346 -4548.55
(1,2,(3,(4,(5,6)))); -4534.35  -1.00705 29.176 13.3271 -4549.19
(1,2,(3,(4,(5,6)))); -4535.35  -1.00705 29.1058 13.6159 -4549.83
(1,(2,3),(4,(5,6))); -4538.34  -1.2543 28.4047 13.7117 -4551.78
(1,2,(3,((4,6),5))); -4530.77  -1.66192 32.7564 13.4758 -4548.39
(1,(2,3),(4,(5,6))); -4543.28  -1.2543 25.4164 14.014 -4553.43
(1,(2,3),(4,(5,6))); -4535.93  -1.2543 32.1415 13.9253 -4552.9
(1,(2,3),((4,6),5)); -4544.75  -1.90918 27.1736 13.1053 -4556.91
(1,(2,3),((4,6),5)); -4545.71  -1.90918 27.0799 13.4068 -4557.48
(1,2,(3,(4,(5,6)))); -4537.78  -1.00705 25.2281 13.5176 -4548.48
(1,2,(3,(4,(5,6)))); -4535.26  -1.00705 28.8716 13.6867 -4549.44
(1,2,(3,(4,(5,6)))); -4534.17  -1.00705 29.4156 13.4155 -4549.17
(1,2,(3,(4,(5,6)))); -4532.33  -1.00705 31.3225 13.5552 -4549.09
(1,2,(3,(4,(5,6)))); -4535.52  -1.00705 28.924 14.2612 -4549.18
(1,2,(3,((4,6),5))); -4533.58  -1.66192 29.8711 13.1334 -4548.65
(1,(2,3),(4,(5,6))); -4536.47  -1.2543 30.5077 13.7967 -4551.92
