tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,3),((4,6),5)); -4544.74  -1.79057 29.3572 13.2764 27.2229 -4586.25 0.292932 0.274498 0.134593 0.297977   0.228089   0.159778   0.068358  0.0216628   0.519428 0.00268406
(1,(2,3),((4,6),5)); -4544.66  -1.79057 30.5411 13.5978 25.8375 -4585.65 0.274331 0.273429 0.155623 0.296617   0.233732   0.179974  0.0936742  0.0284865   0.459935 0.00419824
(1,(2,((4,6),5)),3); -4545.95  -3.19856 27.2991 13.9238 26.3134 -4582.44 0.303175 0.271638  0.14083 0.284357   0.256164   0.152098  0.0748456  0.0303468   0.478728 0.00781708
(1,(2,(4,(5,6))),3); -4540.08  -2.88565 29.6167 13.4402 26.2656 -4579.64 0.279369 0.256376 0.159839 0.304416   0.257681   0.147898  0.0812668  0.0134796   0.489775 0.00989982
(1,(2,3),(4,(5,6))); -4541.39  -1.47766 28.5128 13.6809 26.881 -4581.62 0.297775 0.268826 0.151628  0.28177   0.227293    0.17224  0.0680431  0.0153109   0.512264 0.00484915
(1,2,(3,((4,6),5))); -4538.22  -1.57217 30.0198 13.2841 25.2059 -4578.59 0.301163 0.274972 0.140279 0.283585   0.230821   0.136871  0.0679092  0.0181102   0.544012 0.00227647
(1,(2,(4,(5,6))),3); -4537.54  -2.88565 30.2029 13.3265 27.956 -4579.49 0.297752 0.261938 0.151668 0.288642   0.225064   0.163962  0.0972024  0.0200753   0.485504 0.00819201
(1,2,(3,((4,6),5))); -4536.07  -1.57217 27.8829 13.1655 28.0437 -4577.26 0.294226 0.264843 0.144744 0.296188  0.245776  0.157911 0.0655924 0.0162704  0.508419 0.0060315
(1,(2,3),((4,6),5)); -4548.44  -1.79057 28.261 13.1471 26.0799 -4587.84 0.303047 0.258203 0.148134 0.290616   0.226605   0.130307    0.10076  0.0171423   0.517338 0.00784743
(1,(2,3),(4,(5,6))); -4541.49  -1.47766 29.0134 13.8256 26.4355 -4581.63 0.279375  0.26511 0.139181 0.316334   0.215073   0.168286  0.0796633  0.0264327   0.506864 0.00368191
(1,(2,3),(4,(5,6))); -4540.46  -1.47766 27.8287 12.8821 26.3327 -4580.26 0.280183 0.280721 0.142511 0.296585   0.250735   0.155854  0.0720919 0.00851451   0.505194 0.00761025
(1,(2,((4,6),5)),3); -4543.52  -3.19856 28.677 12.936 26.8115 -4582.88 0.283683 0.271341 0.132933 0.312043  0.230119   0.15176 0.0846072 0.0241679  0.496135 0.0132106
(1,2,(3,(4,(5,6)))); -4538.61  -1.25926 28.347 13.3139 26.5495 -4578.93 0.275114 0.282939 0.132867 0.309079  0.231653  0.164297  0.078632 0.0222538  0.491908  0.011257
(1,2,(3,(4,(5,6)))); -4540.71  -1.25926 27.5794 13.8405 25.3218 -4578.51 0.309239 0.272454 0.138621 0.279686   0.247344   0.143095  0.0798659  0.0328871    0.49225 0.00455761
(1,2,(3,(4,(5,6)))); -4538.21  -1.25926 29.7215 13.5835 25.1963 -4578.29 0.299553 0.262914  0.13919 0.298343   0.25787  0.167441 0.0882413 0.0272935  0.447055 0.0120997
(1,(2,3),((4,6),5)); -4544.26  -1.79057 28.8758 12.9848 27.7241 -4586.08 0.280408  0.26998 0.142523 0.307088  0.225907  0.176874  0.078847  0.017378  0.490913 0.0100811
(1,(2,(4,(5,6))),3); -4541.48  -2.88565 29.1641 13.7281 25.2066 -4579.23   0.2853 0.261457  0.14682 0.306424  0.219926   0.17994 0.0706178 0.0214984  0.491927 0.0160921
(1,(2,3),(4,(5,6))); -4536.3  -1.47766 32.1526 13.3566 27.7129 -4581.33 0.280356 0.282328 0.154024 0.283292  0.232463  0.141307 0.0869894 0.0224081  0.511255 0.0055769
(1,(2,3),(4,(5,6))); -4545.08  -1.47766 25.1219 13.0247 26.201 -4581.9 0.283969 0.284627 0.132239 0.299165  0.227855  0.175359 0.0727837 0.0184496  0.493705 0.0118473
(1,2,(3,(4,(5,6)))); -4538.32  -1.25926 28.0383 13.4239 26.9891 -4578.66 0.292339 0.274918 0.127088 0.305656   0.242543   0.160278  0.0814712  0.0223749   0.483893 0.00944014
