tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,((4,6),5))); -4543.65  -1.61118 27.3828 13.1488 22.5291 -4578.8 0.265483 0.280814  0.15928 0.294423  0.214686  0.148015 0.0929408 0.0254685   0.49564 0.0232489
(1,2,(3,(4,(5,6)))); -4541.89  -1.32125 27.4794 13.7845 24.4498 -4578.71 0.259256 0.261674 0.155513 0.323557   0.243935   0.163214  0.0925783  0.0144055   0.479193 0.00667439
(1,2,(3,(4,(5,6)))); -4533.24  -1.32125 32.0279 13.616 27.5843 -4577.91 0.290973 0.278916 0.144192 0.285919  0.226311   0.15384 0.0819824 0.0130173  0.513759 0.0110902
(1,2,(3,(4,(5,6)))); -4536.37  -1.32125 28.4029 13.3012 27.2963 -4577.45 0.292866 0.265424 0.148946 0.292764  0.233764  0.164049 0.0946966 0.0261737   0.46766 0.0136561
(1,(2,((4,6),5)),3); -4550.93  -3.02806 22.5023 13.0466 25.0648 -4582.42 0.280609 0.281662 0.139902 0.297827  0.220085  0.142495 0.0870196 0.0156365  0.514288 0.0204757
(1,(2,3),(4,(5,6))); -4541.6  -1.45619 30.2229 13.6928 25.1427 -4581.82 0.271482 0.267403 0.155317 0.305798    0.22874   0.181594   0.107538  0.0141814    0.46504 0.00290666
(1,(2,3),(4,(5,6))); -4537.15  -1.45619 30.2984 13.4766 28.2245 -4580.74   0.2983 0.273846 0.138002 0.289852   0.240766   0.158098  0.0783308  0.0143561   0.499938 0.00851128
(1,(2,3),(4,(5,6))); -4547.01  -1.45619 25.2176 13.0778 24.5011 -4582.2 0.271689 0.276666 0.164707 0.286938   0.230907   0.157042   0.111806  0.0146804   0.483367 0.00219756
(1,2,(3,((4,6),5))); -4541.1  -1.61118 25.3862 13.9162 26.3118 -4577.27 0.282725 0.265916 0.155875 0.295483  0.233146  0.160003  0.064047  0.025342   0.50432 0.0131429
(1,2,(3,((4,6),5))); -4537.33  -1.61118 30.2953 13.638 24.3777 -4576.75 0.303953 0.275511 0.145198 0.275338    0.23575   0.187628   0.102911  0.0173398   0.449198 0.00717367
(1,(2,3),(4,(5,6))); -4542.3  -1.45619 27.6986 13.2756 26.2199 -4581.49  0.27152 0.259209 0.161179 0.308092   0.231543   0.170624   0.100815  0.0154545   0.477142 0.00442131
(1,(2,3),(4,(5,6))); -4543.27  -1.45619 27.4494 13.5848 26.4107 -4582.09 0.304094 0.268267 0.154926 0.272714   0.237265     0.1494  0.0849791  0.0137287   0.509596 0.00503171
(1,(2,3),((4,6),5)); -4547.6  -1.74613 28.3339 13.6977 25.901 -4586.39 0.273174 0.255508 0.162926 0.308392   0.237326   0.157683  0.0695913  0.0225688   0.504115 0.00871692
(1,(2,3),((4,6),5)); -4545.43  -1.74613 29.6006 13.2817 27.2095 -4587.21 0.289315 0.268394  0.13804  0.30425  0.220497  0.167593 0.0819532 0.0234953  0.491598 0.0148627
(1,(2,3),((4,6),5)); -4549.4  -1.74613 27.2522 13.867 25.1418 -4586.18 0.280275 0.268528 0.150675 0.300521   0.250092   0.161013  0.0712831  0.0383015   0.473172 0.00613839
(1,(2,3),((4,6),5)); -4542.39  -1.74613 31.1838 13.3616 27.1635 -4585.63 0.284972  0.27221 0.138761 0.304057   0.231151   0.177941   0.077745  0.0117016   0.498121 0.00334076
(1,(2,(4,(5,6))),3); -4540.9  -2.73812 28.6407 12.9548 26.1748 -4580.02 0.287305 0.280247 0.158184 0.274264   0.232887   0.151482  0.0904703   0.012038   0.508831 0.00429168
(1,2,(3,((4,6),5))); -4534.34  -1.61118 30.4727 13.3344 27.6109 -4577.48 0.286513 0.269867 0.153169  0.29045    0.2273  0.174518 0.0695953 0.0263851  0.495592 0.0066099
(1,2,(3,(4,(5,6)))); -4534.56  -1.32125 31.4094 13.6755 27.2525 -4578.23  0.27345 0.266519 0.145698 0.314332   0.254409   0.149537  0.0846466     0.0253    0.48021 0.00589712
(1,(2,(4,(5,6))),3); -4543.78  -2.73812 27.8471 13.418 24.808 -4580.28 0.264383  0.26272 0.151198 0.321699   0.212732   0.160641  0.0864606  0.0273798   0.504807 0.00797972
