tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4577.85 -1.55378 30.3622 12.7681 -4596.99
((1,(2,3)),4,(5,6)); -4584.16 -1.526 29.0168 13.4381 -4601.26
((1,2),3,(4,(5,6))); -4578.56 -1.55378 29.786 12.7911 -4597.11
(((1,(2,3)),5),4,6); -4590.24 -1.70916 27.1426 12.4954 -4606.6
(((1,(2,3)),5),4,6); -4587.24 -1.70916 30.9574 13.2057 -4606.7
(1,2,(3,((4,6),5))); -4579 -1.73694 29.6866 13.0506 -4597.37
(((1,2),3),(4,6),5); -4584.03 -1.73694 23.8303 13.1186 -4596.48
((1,3),2,(4,(5,6))); -4582.27 -2.33357 27.5277 13.37 -4598.77
((1,(2,3)),(4,6),5); -4591.62 -1.70916 26.2181 13.1625 -4606.38
((((1,3),2),4),5,6); -4581.92 -2.33357 27.9403 13.2451 -4598.95
((1,(2,3)),4,(5,6)); -4585.27 -1.526 27.0044 12.8734 -4600.93
((((1,3),2),4),5,6); -4584.29 -2.33357 25.0845 12.7869 -4598.92
((1,2),3,(4,(5,6))); -4579.84 -1.55378 28.8636 12.8965 -4597.36
((((1,3),2),4),5,6); -4577.78 -2.33357 31.8029 13.0022 -4598.92
((((1,2),3),4),5,6); -4576.64 -1.55378 31.5818 13.0079 -4596.76
((((1,2),3),5),4,6); -4579.56 -1.73694 28.7892 12.8673 -4597.22
(((1,2),3),(4,6),5); -4582.49 -1.73694 25.2421 12.6639 -4596.8
(1,(2,3),(4,(5,6))); -4586.76 -1.526 25.5632 12.8199 -4601.03
((1,2),3,(4,(5,6))); -4576.41 -1.55378 31.8996 13.0614 -4596.81
((1,((4,6),5)),2,3); -4588.97 -1.70916 28.8597 12.8595 -4606.68
((((1,2),3),5),4,6); -4577.07 -1.73694 30.5834 12.6901 -4596.7
((((1,3),2),5),4,6); -4581.6 -2.51673 31.3769 12.8357 -4602.65
(1,2,(3,((4,6),5))); -4583.21 -1.73694 25.8693 13.5594 -4597.26
((1,3),2,(4,(5,6))); -4579.86 -2.33357 30.0504 13.3606 -4598.88
((1,(2,3)),4,(5,6)); -4584.69 -1.526 27.8859 12.7345 -4601.36
(((1,(2,3)),5),4,6); -4592.18 -1.70916 25.7416 12.9945 -4606.64
(1,2,(3,((4,6),5))); -4577.87 -1.73694 29.967 12.8337 -4596.74
(((1,3),2),4,(5,6)); -4581.17 -2.33357 28.1314 12.9506 -4598.68
(1,(2,3),((4,6),5)); -4587.36 -1.70916 30.8357 13.011 -4606.89
(((1,3),2),(4,6),5); -4588.76 -2.51673 24.4046 13.0035 -4602.68
(1,(2,(4,(5,6))),3); -4584.19 -2.33357 25.0198 12.4147 -4599.13
((1,3),2,((4,6),5)); -4586.81 -2.51673 26.8679 13.345 -4602.85
((1,((4,6),5)),2,3); -4592.13 -1.70916 26.8254 13.5478 -4607.12
(((1,(2,3)),4),5,6); -4582.77 -1.526 29.507 12.7155 -4601.09
((((1,2),3),4),5,6); -4579.73 -1.55378 28.8151 13.3867 -4596.71
(1,2,(3,((4,5),6))); -4584.37 -4.59583 29.3452 12.7018 -4605.61
(((1,3),2),(4,6),5); -4587.71 -2.51673 25.776 12.8962 -4603.11
((1,2),3,(4,(5,6))); -4578.06 -1.55378 30.286 12.6113 -4597.29
((((1,2),3),5),4,6); -4579.15 -1.73694 29.2145 12.9927 -4597.11
((1,(2,3)),(4,6),5); -4589.41 -1.70916 28.6351 12.9514 -4606.8
((1,((4,6),5)),2,3); -4590.88 -1.70916 27.9783 13.3651 -4607.2
(((1,(2,3)),5),4,6); -4592.23 -1.70916 25.4627 12.779 -4606.63
(1,(2,3),((4,6),5)); -4591.94 -1.70916 25.681 12.3566 -4606.97
(1,(2,3),((4,6),5)); -4588.1 -1.70916 29.8602 13.0647 -4606.61
(((1,3),2),(4,6),5); -4589.36 -2.51673 23.7795 13.0927 -4602.57
((1,(2,3)),4,(5,6)); -4582.82 -1.526 29.5711 12.912 -4601.01
(1,(2,3),(4,(5,6))); -4581.84 -1.526 30.2535 12.6169 -4601
((((1,2),3),4),5,6); -4577.86 -1.55378 30.7683 13.1064 -4597.08
((1,(2,3)),(4,6),5); -4593.24 -1.70916 24.5146 12.7045 -4606.75
(((1,(2,3)),5),4,6); -4589.45 -1.70916 27.5084 12.4046 -4606.26
((1,(2,3)),(4,6),5); -4587.84 -1.70916 29.8136 12.7736 -4606.59
((1,(2,3)),4,(5,6)); -4589.83 -1.526 21.9784 12.6619 -4600.67
((((1,3),2),4),5,6); -4584.9 -2.33357 24.2536 12.426 -4599.06
((((1,2),3),4),5,6); -4578.77 -1.55378 29.5603 13.2351 -4596.65
((1,((4,6),5)),2,3); -4588.43 -1.70916 29.8284 13.0217 -4606.95
((((1,2),3),4),5,6); -4588.65 -1.55378 18.3998 12.2607 -4596.34
(1,2,(3,((4,6),5))); -4581.65 -1.73694 26.4525 12.5077 -4597.33
(1,(2,3),((4,6),5)); -4589.7 -1.70916 27.8825 12.5875 -4606.7
((1,(4,(5,6))),2,3); -4585.27 -1.526 27.0319 13.1169 -4600.71
((1,2),3,((4,6),5)); -4579.51 -1.73694 29.4273 13.129 -4597.54
((1,(2,3)),4,(5,6)); -4582.58 -1.526 30.0771 12.776 -4601.4
(((1,(2,3)),4),5,6); -4586.52 -1.526 26.2077 13.0625 -4601.19
(((1,(2,3)),5),4,6); -4586.84 -1.70916 30.7688 12.4462 -4606.87
((1,2),3,(4,(5,6))); -4581.38 -1.55378 27.0328 12.9095 -4597.05
((((1,3),2),4),5,6); -4581.35 -2.33357 28.097 13.0751 -4598.7
((1,(4,(5,6))),2,3); -4581.8 -1.526 30.5271 13.0113 -4600.84
((((1,3),2),5),4,6); -4583.58 -2.51673 30.1382 13.2337 -4603
((((1,2),3),4),5,6); -4583.03 -1.55378 25.154 12.7719 -4596.97
((1,(4,(5,6))),2,3); -4584.32 -1.526 28.5483 13.3738 -4601.02
(((1,2),3),(4,6),5); -4580.88 -1.73694 27.9088 13.3947 -4597.13
(1,(2,((4,6),5)),3); -4588.3 -2.51673 25.6093 13.1944 -4603.23
(1,2,(3,((4,6),5))); -4580.49 -1.73694 27.2737 12.7585 -4596.74
(1,2,(3,(4,(5,6)))); -4583.26 -1.55378 25.0755 13.1208 -4596.77
(((1,(2,3)),5),4,6); -4587.62 -1.70916 30.5207 13.0987 -4606.75
((1,(2,3)),4,(5,6)); -4582.72 -1.526 29.971 12.9103 -4601.31
((1,(4,(5,6))),2,3); -4582.21 -1.526 30.1027 12.6931 -4601.14
((1,2),3,((4,6),5)); -4580.48 -1.73694 27.7396 12.7926 -4597.17
(((1,2),3),4,(5,6)); -4583.95 -1.55378 24.9641 13.0624 -4597.41
(1,(2,((4,6),5)),3); -4586.34 -2.51673 26.2899 12.3743 -4602.77
((((1,3),2),4),5,6); -4581.76 -2.33357 27.7719 13.0489 -4598.82
(((1,(2,3)),4),5,6); -4583.47 -1.526 28.822 12.8194 -4601
((1,3),2,(4,(5,6))); -4578.78 -2.33357 30.5124 12.5826 -4599.05
((1,3),2,(4,(5,6))); -4581.11 -2.33357 27.876 12.6067 -4598.71
(((1,2),3),4,(5,6)); -4577.6 -1.55378 30.3421 12.8891 -4596.61
(1,2,(3,((4,6),5))); -4579.29 -1.73694 28.6347 12.7651 -4596.89
(1,(2,3),(4,(5,6))); -4583.51 -1.526 29.046 13.088 -4601
(1,(2,3),(4,(5,6))); -4585.56 -1.526 27.495 13.3437 -4601.24
(1,(2,3),(4,(5,6))); -4581.83 -1.526 30.9526 13.0668 -4601.24
(1,(2,3),(4,(5,6))); -4581.19 -1.526 31.9879 13.184 -4601.52
((1,(2,3)),(4,6),5); -4590.05 -1.70916 27.4044 12.8021 -4606.36
((1,3),2,((4,6),5)); -4583.54 -2.51673 29.5279 12.8511 -4602.74
(((1,2),3),(4,6),5); -4580 -1.73694 28.4832 13.1345 -4597.09
((1,(2,3)),4,(5,6)); -4583.29 -1.526 29.6257 13.0438 -4601.4
((((1,2),3),5),4,6); -4580.06 -1.73694 28.5957 13.152 -4597.24
((1,((4,6),5)),2,3); -4594.11 -1.70916 23.8476 12.4557 -4607.21
(1,(2,3),((4,5),6)); -4592.65 -4.56805 30.7585 13.0838 -4614.89
((1,3),2,((4,6),5)); -4587.43 -2.51673 26.4514 13.0886 -4603.31
((1,(4,(5,6))),2,3); -4586.32 -1.526 25.8083 12.6443 -4601.01
((1,(2,3)),4,(5,6)); -4592.08 -1.526 19.3503 12.3 -4600.65
((((1,2),3),5),4,6); -4584.4 -1.73694 23.7339 12.8957 -4596.97
(((1,(2,3)),4),5,6); -4580.99 -1.526 31.3369 12.9412 -4600.91
(((1,3),2),(4,6),5); -4586.09 -2.51673 27.4936 13.2796 -4602.83
((((1,2),3),4),5,6); -4577.04 -1.55378 31.5786 13.1504 -4597.03
(((1,(2,3)),5),4,6); -4589.64 -1.70916 28.1022 12.5755 -4606.88
((1,(4,(5,6))),2,3); -4585.14 -1.526 26.6748 12.1755 -4601.17
((((1,2),3),4),5,6); -4578.1 -1.55378 30.1463 12.8421 -4596.96
(((1,(2,3)),5),4,6); -4588.09 -1.70916 30.1361 13.1947 -4606.74
(((1,(2,3)),5),4,6); -4592.19 -1.70916 26.0308 12.9395 -4606.99
(((1,(2,3)),6),4,5); -4594.57 -4.56805 28.1215 12.9139 -4614.34
((1,3),2,((4,6),5)); -4587.67 -2.51673 25.5082 12.636 -4603.06
((((1,2),3),5),4,6); -4577.07 -1.73694 31.1827 13.0702 -4596.92
((1,2),3,((4,6),5)); -4578.5 -1.73694 28.9967 12.5601 -4596.67
((1,(4,(5,6))),2,3); -4583.39 -1.526 28.5579 12.6093 -4600.86
(1,2,(3,(4,(5,6)))); -4578.25 -1.55378 30.3916 13.0186 -4597.17
((((1,2),3),4),5,6); -4577.95 -1.55378 30.1502 12.6345 -4597.02
((((1,3),2),4),5,6); -4582.2 -2.33357 27.4273 12.9245 -4599.03
(1,(2,3),(4,(5,6))); -4581.58 -1.526 30.8884 12.795 -4601.2
(1,(2,3),(4,(5,6))); -4584.57 -1.526 28.6712 13.4378 -4601.33
((1,((4,6),5)),2,3); -4588.77 -1.70916 28.6852 12.7314 -4606.43
(((1,3),2),(4,6),5); -4587.73 -2.51673 25.7231 12.9349 -4603.04
((1,2),3,((4,6),5)); -4579.7 -1.73694 28.0145 12.7754 -4596.68
(((1,2),3),4,(5,6)); -4581.89 -1.55378 26.5891 12.5901 -4597.44
(((1,3),2),4,(5,6)); -4580.24 -2.33357 28.7634 12.5643 -4598.77
(((1,2),3),4,(5,6)); -4578.33 -1.55378 30.1723 13.1019 -4596.95
((((1,3),2),4),5,6); -4580.99 -2.33357 28.5362 12.5777 -4599.28
((((1,2),3),4),5,6); -4581.19 -1.55378 27.9294 13.366 -4597.31
(1,(2,3),((4,6),5)); -4592.2 -1.70916 25.4968 12.842 -4606.56
((1,(2,3)),(4,6),5); -4592.81 -1.70916 25.6254 13.1027 -4607.04
(1,(2,(4,(5,6))),3); -4585.68 -2.33357 23.8773 13.3185 -4598.58
(1,(2,(4,(5,6))),3); -4580.51 -2.33357 28.7324 12.8169 -4598.76
(1,2,(3,((4,6),5))); -4579.86 -1.73694 29.0684 13.4319 -4597.24
(((1,(2,3)),4),5,6); -4581.39 -1.526 31.2351 12.8201 -4601.33
((1,2),3,(4,(5,6))); -4578.85 -1.55378 30.1605 13.2921 -4597.27
(1,(2,3),((4,6),5)); -4588.38 -1.70916 29.3305 12.9133 -4606.51
((1,3),2,((4,6),5)); -4584.42 -2.51673 29.5334 12.9811 -4603.49
((((1,3),2),4),5,6); -4578.03 -2.33357 31.0125 12.6993 -4598.67
((1,(4,(5,6))),2,3); -4582.79 -1.526 29.8148 13.1066 -4601.03
((1,(2,3)),4,(5,6)); -4584.4 -1.526 27.7332 12.4446 -4601.21
(1,2,(3,(4,(5,6)))); -4579.73 -1.55378 28.9906 12.821 -4597.45
(((1,2),3),(4,6),5); -4582.98 -1.73694 25.6263 13.3158 -4597.03
((((1,3),2),5),4,6); -4585.69 -2.51673 27.572 12.6385 -4603.14
(((1,3),2),4,(5,6)); -4579.51 -2.33357 30.0021 12.9147 -4598.93
(((1,2),3),(4,6),5); -4579.07 -1.73694 29.6288 13.166 -4597.27
((1,(2,3)),4,(5,6)); -4582.8 -1.526 30.1529 13.1102 -4601.37
(1,2,(3,(4,(5,6)))); -4580.19 -1.55378 27.5648 12.5872 -4596.72
(1,(2,3),(4,(5,6))); -4582.2 -1.526 30.5078 13.0631 -4601.17
((1,3),2,(4,(5,6))); -4578.49 -2.33357 31.1205 12.9735 -4598.97
((1,2),3,((4,6),5)); -4577.45 -1.73694 31.0159 13.175 -4597.03
(1,(2,3),(4,(5,6))); -4582.65 -1.526 29.1272 12.6105 -4600.7
((1,((4,6),5)),2,3); -4590.26 -1.70916 27.8839 13.0408 -4606.82
(((1,2),3),(4,6),5); -4576.37 -1.73694 31.9572 13.1831 -4596.88
((((1,2),3),5),4,6); -4578.73 -1.73694 29.4712 12.6751 -4597.26
((1,(2,3)),(4,6),5); -4590.53 -1.70916 27.2461 13.2324 -4606.25
((((1,2),3),5),4,6); -4578.69 -1.73694 29.0809 12.6678 -4596.84
((((1,2),3),5),4,6); -4579.34 -1.73694 28.9057 13.0613 -4596.92
((1,2),3,(4,(5,6))); -4581.99 -1.55378 26.2156 12.662 -4597.1
(1,(2,3),(4,(5,6))); -4582.05 -1.526 31.093 13.3927 -4601.28
(((1,(2,3)),4),5,6); -4586.58 -1.526 26.531 13.4671 -4601.17
((((1,2),3),4),5,6); -4583.2 -1.55378 25.8198 13.2842 -4597.29
