tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4532.02 -1.00226 31.5227 13.3734 -4549.17
(1,2,(3,(4,(5,6)))); -4534.25 -1.00226 30.1906 14.0229 -4549.41
(1,2,(3,(4,(5,6)))); -4535.14 -1.00226 28.6136 13.4385 -4549.31
(1,(2,3),(4,(5,6))); -4537.45 -1.26385 30.0271 13.8119 -4552.4
(1,2,(3,(4,(5,6)))); -4534.18 -1.00226 28.8432 13.0907 -4548.93
(1,2,(3,(4,(5,6)))); -4534.95 -1.00226 28.8714 13.5813 -4549.24
(1,(2,3),(4,(5,6))); -4537.74 -1.26385 29.4221 13.4762 -4552.42
(1,(2,3),(4,(5,6))); -4540.49 -1.26385 26.4176 13.6503 -4552
(1,(2,3),(4,(5,6))); -4535.82 -1.26385 31.6011 13.6697 -4552.49
(1,2,(3,((4,6),5))); -4531.93 -1.6553 31.8485 13.4167 -4548.71
(1,2,(3,(4,(5,6)))); -4536.54 -1.00226 27.8416 13.8195 -4549.56
(1,2,(3,(4,(5,6)))); -4535.41 -1.00226 27.9305 13.6159 -4548.73
(1,(2,3),(4,(5,6))); -4535.73 -1.26385 31.4806 13.5273 -4552.42
(1,2,(3,(4,(5,6)))); -4533.38 -1.00226 30.7252 13.8496 -4549.25
(1,2,(3,((4,6),5))); -4536 -1.6553 28.1963 13.5499 -4548.99
(1,2,(3,(4,(5,6)))); -4535.37 -1.00226 28.9855 13.9786 -4549.37
(1,(2,3),(4,(5,6))); -4535.81 -1.26385 31.0919 13.4725 -4552.17
(1,2,(3,(4,(5,6)))); -4533.85 -1.00226 30.1654 13.7579 -4549.26
(1,(2,3),(4,(5,6))); -4535.37 -1.26385 31.9186 13.6967 -4552.32
(1,(2,3),(4,(5,6))); -4537.17 -1.26385 30.5777 13.9412 -4552.54
(1,2,(3,((4,6),5))); -4533.08 -1.6553 29.9193 13.1296 -4548.21
(1,2,(3,((4,6),5))); -4532.07 -1.6553 31.7132 13.5307 -4548.59
(1,2,(3,(4,(5,6)))); -4535.76 -1.00226 27.8266 13.4917 -4549.09
(1,2,(3,((4,6),5))); -4534.02 -1.6553 30.4801 13.8184 -4549.03
(1,2,(3,(4,(5,6)))); -4537.01 -1.00226 26.6827 13.4424 -4549.24
(1,(2,3),((4,6),5)); -4541.88 -1.91688 31.0565 13.9079 -4557.11
(1,(2,3),(4,(5,6))); -4537.93 -1.26385 29.036 13.8056 -4551.9
(1,(2,3),((4,6),5)); -4544.89 -1.91688 27.1541 13.4178 -4556.71
(1,(2,3),(4,(5,6))); -4539.09 -1.26385 28.1414 13.4968 -4552.47
(1,(2,3),(4,(5,6))); -4540.41 -1.26385 27.675 13.8807 -4552.94
(1,2,(3,(4,(5,6)))); -4540.47 -1.00226 21.3823 12.604 -4548.24
(1,2,(3,(4,(5,6)))); -4535.54 -1.00226 28.3569 13.8094 -4549.08
(1,(2,3),(4,(5,6))); -4539.2 -1.26385 28.2364 13.8932 -4552.28
(1,2,(3,(4,(5,6)))); -4532.52 -1.00226 31.3422 13.6824 -4549.17
(1,2,(3,((4,6),5))); -4535.1 -1.6553 28.7256 13.4923 -4548.68
(1,2,(3,(4,(5,6)))); -4531.91 -1.00226 31.154 13.2769 -4548.78
(1,2,(3,(4,(5,6)))); -4533.6 -1.00226 30.8546 13.889 -4549.56
(1,2,(3,(4,(5,6)))); -4537.5 -1.00226 26.3093 13.8733 -4548.93
(1,2,(3,(4,(5,6)))); -4535.59 -1.00226 28.2347 13.4414 -4549.39
(1,2,(3,((4,6),5))); -4533.6 -1.6553 30.4075 13.5943 -4548.76
