tree logl logTop logProp logPrior logWt
(1,(2,3),(4,(5,6))); -4536.41 -1.25628 30.3262 13.4092 -4552.07
(1,(2,3),(4,(5,6))); -4536.86 -1.25628 30.6896 13.7016 -4552.6
(1,(2,3),(4,(5,6))); -4538.47 -1.25628 28.1333 13.1695 -4552.18
(1,2,(3,(4,(5,6)))); -4535.47 -1.01306 28.2551 13.9448 -4548.77
(1,2,(3,(4,(5,6)))); -4533.83 -1.01306 29.7241 13.6031 -4548.94
(1,2,(3,((4,6),5))); -4533.11 -1.65605 30.3917 13.4686 -4548.38
(1,2,(3,(4,(5,6)))); -4533.04 -1.01306 30.4235 13.5953 -4548.85
(1,2,(3,(4,(5,6)))); -4531.49 -1.01306 32.3777 13.7355 -4549.11
(1,(2,3),((4,6),5)); -4545.29 -1.89927 26.1964 13.0277 -4556.56
(1,2,(3,(4,(5,6)))); -4531.42 -1.01306 32.4125 13.6067 -4549.21
(1,(2,3),(4,(5,6))); -4534.7 -1.25628 32.5868 13.7682 -4552.26
(1,2,(3,(4,(5,6)))); -4533.54 -1.01306 29.5312 13.2932 -4548.77
(1,(2,3),(4,(5,6))); -4538.02 -1.25628 29.1058 13.4683 -4552.4
(1,2,(3,(4,(5,6)))); -4534.28 -1.01306 29.424 13.6474 -4549.04
(1,2,(3,((4,6),5))); -4536.28 -1.65605 27.9506 13.7947 -4548.78
(1,(2,3),((4,6),5)); -4541.86 -1.89927 30.4819 13.495 -4556.95
(1,(2,3),(4,(5,6))); -4537.12 -1.25628 29.7883 13.6158 -4552.04
(1,(2,3),((4,6),5)); -4543.93 -1.89927 28.7728 13.8167 -4556.99
(1,2,(3,((4,6),5))); -4536.4 -1.65605 27.8711 13.9226 -4548.69
(1,(2,3),(4,(5,6))); -4535.47 -1.25628 31.7303 13.5056 -4552.44
(1,(2,3),((4,6),5)); -4542.78 -1.89927 29.5298 13.4034 -4557.01
(1,2,(3,(4,(5,6)))); -4533.87 -1.01306 29.4325 13.3633 -4548.93
(1,2,(3,(4,(5,6)))); -4531.67 -1.01306 31.6706 13.5964 -4548.73
(1,(2,3),((4,6),5)); -4544.87 -1.89927 27.2894 13.5446 -4556.71
(1,2,(3,((4,6),5))); -4536.39 -1.65605 27.5801 13.2284 -4549.09
(1,2,(3,(4,(5,6)))); -4535.21 -1.01306 28.2788 13.5876 -4548.89
(1,(2,3),((4,6),5)); -4545.8 -1.89927 23.3151 13.1963 -4554.02
(1,2,(3,(4,(5,6)))); -4531.27 -1.01306 32.3945 13.5234 -4549.13
(1,2,(3,((4,6),5))); -4537.25 -1.65605 26.8335 13.7991 -4548.62
(1,(2,3),((4,6),5)); -4540.98 -1.89927 31.3365 13.6825 -4556.74
(1,(2,3),(4,(5,6))); -4538.7 -1.25628 27.9635 13.6226 -4551.79
(1,2,(3,((4,6),5))); -4533.95 -1.65605 29.9819 13.7386 -4548.54
(1,2,(3,(4,(5,6)))); -4533.35 -1.01306 30.3304 13.6458 -4549.02
(1,(2,3),(4,(5,6))); -4537.46 -1.25628 29.8218 13.5468 -4552.48
(1,(2,3),(4,(5,6))); -4541.42 -1.25628 25.5095 13.5734 -4552.1
(1,2,(3,((4,6),5))); -4534.81 -1.65605 28.746 13.3111 -4548.59
(1,(2,3),(4,(5,6))); -4535.67 -1.25628 31.5112 13.6466 -4552.28
(1,2,(3,(4,(5,6)))); -4533.89 -1.01306 30.2336 13.8657 -4549.24
(1,2,(3,((4,6),5))); -4532.88 -1.65605 30.8887 13.8076 -4548.31
(1,2,(3,(4,(5,6)))); -4532.62 -1.01306 30.7996 13.5056 -4548.91
(1,2,(3,(4,(5,6)))); -4538.98 -1.01306 25.1364 13.793 -4549.31
(1,2,(3,(4,(5,6)))); -4533.23 -1.01306 30.4241 13.7611 -4548.88
(1,(2,3),((4,6),5)); -4544.47 -1.89927 27.2393 13.1269 -4556.68
(1,(2,3),(4,(5,6))); -4537.25 -1.25628 30.1343 13.4935 -4552.64
(1,(2,3),((4,6),5)); -4541.47 -1.89927 31.1413 13.8405 -4556.87
(1,(2,3),(4,(5,6))); -4537.73 -1.25628 29.893 14.0359 -4552.33
(1,(2,3),((4,6),5)); -4541.72 -1.89927 29.9298 13.4389 -4556.31
(1,(2,3),((4,6),5)); -4541.64 -1.89927 30.5034 13.3995 -4556.85
(1,2,(3,(4,(5,6)))); -4536.22 -1.01306 27.5349 13.8192 -4548.92
(1,2,(3,(4,(5,6)))); -4534.87 -1.01306 28.4244 13.315 -4548.97
(1,(2,(4,(5,6))),3); -4539.51 -4.94218 27.7256 13.5893 -4548.7
(1,2,(3,(4,(5,6)))); -4534.72 -1.01306 28.0339 13.0451 -4548.7
(1,2,(3,(4,(5,6)))); -4536.46 -1.01306 25.9347 13.0232 -4548.36
(1,2,(3,((4,6),5))); -4535 -1.65605 27.959 13.0904 -4548.21
(1,(2,3),((4,6),5)); -4548.53 -1.89927 23.7739 13.5139 -4556.89
(1,(2,3),(4,(5,6))); -4536.52 -1.25628 30.552 13.4061 -4552.41
(1,2,(3,((4,6),5))); -4534.62 -1.65605 29.6941 13.7955 -4548.86
(1,2,(3,((4,6),5))); -4535.55 -1.65605 28.7582 13.7727 -4548.88
(1,2,(3,((4,6),5))); -4531.82 -1.65605 32.1837 13.6538 -4548.7
(1,2,(3,((4,6),5))); -4535.56 -1.65605 28.5506 13.6946 -4548.76
(1,(2,3),(4,(5,6))); -4536.55 -1.25628 30.7867 13.6599 -4552.42
(1,2,(3,(4,(5,6)))); -4535.15 -1.01306 28.4133 13.3853 -4549.16
(1,2,(3,(4,(5,6)))); -4532.75 -1.01306 30.6521 13.6363 -4548.75
(1,(2,3),(4,(5,6))); -4539.37 -1.25628 27.4357 13.6918 -4551.86
(1,2,(3,(4,(5,6)))); -4532.11 -1.01306 31.6366 13.4641 -4549.27
(1,2,(3,(4,(5,6)))); -4532.89 -1.01306 30.366 13.3828 -4548.86
(1,2,(3,(4,(5,6)))); -4533.81 -1.01306 30.1669 13.9496 -4549.01
(1,2,(3,(4,(5,6)))); -4534.14 -1.01306 29.3484 13.4069 -4549.06
(1,2,(3,(4,(5,6)))); -4532.85 -1.01306 31.102 13.8347 -4549.11
(1,(2,3),(4,(5,6))); -4539.73 -1.25628 27.8984 13.9112 -4552.46
(1,2,(3,(4,(5,6)))); -4532.54 -1.01306 31.0661 13.8164 -4548.78
(1,2,(3,(4,(5,6)))); -4534.98 -1.01306 28.4376 13.5435 -4548.87
(1,2,(3,(4,(5,6)))); -4535.26 -1.01306 28.5394 13.4878 -4549.3
(1,2,(3,((4,6),5))); -4531.21 -1.65605 32.1241 13.4686 -4548.21
(1,2,(3,(4,(5,6)))); -4532.93 -1.01306 30.4016 13.3531 -4548.97
