tree logl logTop logProp logPrior logWt
(1,2,(3,((4,6),5))); -4531.3 -1.68731 32.5119 13.4896 -4548.63
(1,2,(3,(4,(5,6)))); -4535.7 -1.02653 27.6659 13.5099 -4548.83
(1,2,(3,((4,6),5))); -4536.11 -1.68731 28.1199 13.606 -4548.94
(1,(2,3),((4,6),5)); -4544.12 -1.88525 28.0119 13.4392 -4556.81
(1,2,(3,(4,(5,6)))); -4531.09 -1.02653 32.6001 13.5268 -4549.14
(1,(2,3),((4,6),5)); -4539.65 -1.88525 32.4008 13.6208 -4556.54
(1,(2,3),((4,6),5)); -4539.98 -1.88525 31.7532 13.2454 -4556.6
(1,(2,(4,(5,6))),3); -4541.89 -4.98434 25.3677 13.4364 -4548.84
(1,2,(3,(4,(5,6)))); -4533.88 -1.02653 29.1431 13.3152 -4548.68
(1,(2,3),((4,6),5)); -4544.41 -1.88525 28.3432 13.78 -4557.09
(1,2,(3,(4,(5,6)))); -4533.99 -1.02653 29.809 13.7526 -4549.02
(1,(2,3),(4,(5,6))); -4541.75 -1.22447 26.2183 14.2677 -4552.47
(1,2,(3,((4,6),5))); -4533.98 -1.68731 30.3343 13.685 -4548.94
(1,(2,3),(4,(5,6))); -4535.34 -1.22447 31.8203 13.4616 -4552.48
(1,2,(3,(4,(5,6)))); -4532.28 -1.02653 30.6253 13.2999 -4548.57
(1,2,(3,(4,(5,6)))); -4531.48 -1.02653 31.9637 13.4122 -4549
(1,2,(3,((4,6),5))); -4536.33 -1.68731 27.4799 13.3527 -4548.77
(1,2,(3,(4,(5,6)))); -4538.47 -1.02653 25.5552 13.5957 -4549.41
(1,2,(3,(4,(5,6)))); -4536.1 -1.02653 27.6213 13.7429 -4548.95
(1,2,(3,(4,(5,6)))); -4533.13 -1.02653 30.4451 13.8255 -4548.72
(1,(2,3),((4,6),5)); -4540.46 -1.88525 31.9566 13.4732 -4557.05
(1,2,(3,((4,6),5))); -4533.67 -1.68731 30.1283 13.5546 -4548.55
(1,2,(3,(4,(5,6)))); -4536.15 -1.02653 27.0709 13.0567 -4549.13
(1,2,(3,((4,6),5))); -4533.93 -1.68731 30.0828 13.6899 -4548.64
(1,(2,3),(4,(5,6))); -4536.21 -1.22447 30.4577 13.5774 -4551.86
(1,(2,3),(4,(5,6))); -4539.8 -1.22447 27.9192 14.1088 -4552.38
(1,(2,3),(4,(5,6))); -4538.94 -1.22447 27.9401 13.584 -4552.07
(1,2,(3,((4,6),5))); -4537 -1.68731 27.8801 14.1709 -4549.02
(1,2,(3,((4,6),5))); -4534.7 -1.68731 29.0837 13.5662 -4548.53
(1,2,(3,((4,6),5))); -4534.31 -1.68731 29.8464 13.4833 -4548.99
(1,2,(3,((4,6),5))); -4534.71 -1.68731 28.8684 13.4214 -4548.47
(1,2,(3,((4,6),5))); -4532.35 -1.68731 31.0283 13.3459 -4548.35
(1,2,(3,((4,6),5))); -4534.29 -1.68731 29.2945 13.1707 -4548.73
(1,(2,3),((4,6),5)); -4546.52 -1.88525 26.5229 14.2034 -4556.95
(1,2,(3,(4,(5,6)))); -4538.12 -1.02653 26.2596 14.1886 -4549.16
(1,(2,3),((4,6),5)); -4543.77 -1.88525 28.0174 13.2269 -4556.68
(1,2,(3,(4,(5,6)))); -4532.63 -1.02653 30.9135 13.7533 -4548.76
(1,(2,3),((4,6),5)); -4540.95 -1.88525 31.1282 13.538 -4556.66
(1,2,(3,(4,(5,6)))); -4532.93 -1.02653 29.8509 13.2088 -4548.55
(1,2,(3,((4,6),5))); -4537.67 -1.68731 27.0332 14.1105 -4548.9
(1,2,(3,((4,6),5))); -4532.09 -1.68731 32.0749 13.6572 -4548.82
(1,(2,3),((4,6),5)); -4545.11 -1.88525 27.347 13.5944 -4556.98
(1,2,(3,((4,6),5))); -4534.84 -1.68731 28.6101 13.1912 -4548.57
(1,2,(3,(4,(5,6)))); -4533.71 -1.02653 29.7036 13.4417 -4548.95
(1,(2,3),(4,(5,6))); -4536.18 -1.22447 30.5801 13.6593 -4551.88
(1,(2,3),(4,(5,6))); -4538.98 -1.22447 28.0024 13.2991 -4552.46
(1,2,(3,(4,(5,6)))); -4531.69 -1.02653 32.2185 13.8184 -4549.06
(1,(2,3),(4,(5,6))); -4536.68 -1.22447 30.7664 13.6405 -4552.58
(1,2,(3,(4,(5,6)))); -4532.25 -1.02653 31.0956 13.5577 -4548.76
(1,(2,((4,6),5)),3); -4541.99 -5.64511 28.3563 13.6225 -4551.08
(1,2,(3,(4,(5,6)))); -4533.58 -1.02653 30.0764 13.4309 -4549.2
(1,2,(3,((4,6),5))); -4533.53 -1.68731 30.6656 13.5943 -4548.92
(1,(2,3),(4,(5,6))); -4537.46 -1.22447 29.7797 13.7981 -4552.21
(1,2,(3,(4,(5,6)))); -4532.34 -1.02653 31.4576 13.6579 -4549.11
(1,(2,3),(4,(5,6))); -4538.35 -1.22447 29.0792 13.4226 -4552.78
(1,2,(3,(4,(5,6)))); -4532.03 -1.02653 31.9267 13.6253 -4549.31
(1,(2,3),(4,(5,6))); -4537.87 -1.22447 28.5696 13.1629 -4552.05
(1,(2,3),((4,6),5)); -4546.31 -1.88525 25.3645 13.2051 -4556.58
(1,(2,3),(4,(5,6))); -4536.56 -1.22447 30.6672 13.7354 -4552.27
(1,2,(3,((4,6),5))); -4534.19 -1.68731 30.0531 13.5432 -4549.02
(1,(2,3),((4,6),5)); -4543.31 -1.88525 28.9375 13.6511 -4556.71
(1,(2,3),(4,(5,6))); -4538.56 -1.22447 28.1493 13.5626 -4551.92
(1,(2,3),((4,6),5)); -4542.64 -1.88525 29.7798 13.8788 -4556.66
(1,2,(3,(4,(5,6)))); -4535 -1.02653 29.1554 13.4641 -4549.66
(1,(2,3),((4,6),5)); -4539.71 -1.88525 31.9089 13.3299 -4556.4
(1,2,(3,(4,(5,6)))); -4534.83 -1.02653 29.0692 13.8092 -4549.06
(1,(2,3),(4,(5,6))); -4535.27 -1.22447 32.1219 13.7553 -4552.41
(1,2,(3,(4,(5,6)))); -4533.82 -1.02653 30.4865 13.8218 -4549.46
