tree logl logTop logProp logPrior logWt parsimonyScore
(1,(2,((4,5),6)),3); -4547.78 -5.108 30.0968 13.3508 -4569.64 750
(1,(2,(4,(5,6))),3); -4536.06 -1.98735 30.807 13.2568 -4555.6 739
(1,2,(3,(4,(5,6)))); -4533.47 -1.54101 30.4101 13.6466 -4551.78 732
(1,(2,3),((4,5),6)); -4544.63 -4.74431 33.4225 13.3318 -4569.46 745
(1,(2,3),((4,5),6)); -4548.08 -4.74431 29.1771 12.9678 -4569.04 745
(1,(2,(4,(5,6))),3); -4536.61 -1.98735 30.8992 13.8296 -4555.67 739
(1,(2,(4,(5,6))),3); -4535.86 -1.98735 31.3512 13.3883 -4555.81 739
(1,2,(3,(4,(5,6)))); -4531.72 -1.54101 31.7482 13.4835 -4551.53 732
(1,(2,3),(4,(5,6))); -4543.46 -1.62365 23.8933 13.8082 -4555.16 731
(1,(2,3),(4,(5,6))); -4539.1 -1.62365 28.0439 13.6934 -4555.07 731
(1,(2,3),((4,6),5)); -4542.62 -1.88636 29.2565 13.5193 -4560.24 739
(1,(2,((4,6),5)),3); -4537.81 -2.25006 32.3825 13.7119 -4558.73 738
(1,(2,((4,6),5)),3); -4538.68 -2.25006 30.8649 13.4289 -4558.37 738
(1,(2,3),((4,6),5)); -4542.71 -1.88636 30.1942 13.7408 -4561.05 739
(1,(2,3),(4,(5,6))); -4538.47 -1.62365 28.7096 13.4811 -4555.32 731
(1,(2,3),((4,6),5)); -4541.9 -1.88636 30.2123 13.5082 -4560.49 739
(1,(2,(4,(5,6))),3); -4537.67 -1.98735 29.5916 13.6103 -4555.63 739
(1,(2,3),((4,6),5)); -4541.91 -1.88636 30.447 13.689 -4560.56 739
(1,(2,3),(4,(5,6))); -4535.91 -1.62365 31.3245 13.6058 -4555.25 731
(1,2,(3,(4,(5,6)))); -4534.3 -1.54101 29.1464 13.3973 -4551.59 732
(1,2,(3,(4,(5,6)))); -4531.55 -1.54101 32.1005 13.6157 -4551.58 732
(1,2,(3,((4,5),6))); -4539.86 -4.66166 29.4219 13.2931 -4560.65 738
(1,2,(3,(4,(5,6)))); -4533.91 -1.54101 29.3926 13.3392 -4551.51 732
(1,(2,3),(4,(5,6))); -4537.7 -1.62365 28.6912 13.4086 -4554.6 731
(1,(2,(4,(5,6))),3); -4538.48 -1.98735 29.273 13.7316 -4556.01 739
(1,2,(3,((4,5),6))); -4539.6 -4.66166 30.8922 13.6113 -4561.55 738
(1,2,(3,((4,6),5))); -4533.74 -1.80372 30.6488 13.8075 -4552.38 731
(1,2,(3,((4,6),5))); -4536.51 -1.80372 27.9028 14.0608 -4552.16 731
(1,(2,3),(4,(5,6))); -4538.11 -1.62365 28.9246 13.4914 -4555.16 731
(1,(2,(4,(5,6))),3); -4536.59 -1.98735 30.6099 13.3151 -4555.87 739
(1,2,(3,((4,6),5))); -4533.94 -1.80372 29.9612 13.8154 -4551.89 731
(1,(2,(4,(5,6))),3); -4540.07 -1.98735 26.9379 13.7204 -4555.28 739
(1,(2,((4,6),5)),3); -4539.11 -2.25006 31.1996 13.6128 -4558.95 738
(1,(2,(4,(5,6))),3); -4538.45 -1.98735 28.7382 13.693 -4555.49 739
(1,(2,3),((4,6),5)); -4544.12 -1.88636 28.52 13.6015 -4560.92 739
(1,(2,((4,6),5)),3); -4540.11 -2.25006 30.1709 13.7425 -4558.79 738
(1,((2,3),5),(4,6)); -4583.14 -7.50559 29.7112 13.406 -4606.95 753
(1,(2,3),((4,6),5)); -4540.79 -1.88636 31.6337 13.6381 -4560.67 739
(1,(2,((4,6),5)),3); -4542.84 -2.25006 27.3745 13.5788 -4558.89 738
(1,2,(3,(4,(5,6)))); -4532.76 -1.54101 30.5564 13.7123 -4551.15 732
(1,(2,3),((4,6),5)); -4541.52 -1.88636 31.3565 13.9114 -4560.85 739
(1,2,(3,((4,6),5))); -4536.34 -1.80372 27.481 13.4819 -4552.15 731
(1,(2,(4,(5,6))),3); -4538.81 -1.98735 28.8281 13.4512 -4556.18 739
(1,(2,3),(4,(5,6))); -4537.71 -1.62365 28.9706 13.1011 -4555.21 731
(1,2,(3,((4,6),5))); -4537.41 -1.80372 26.489 13.6418 -4552.06 731
(1,(2,3),((4,6),5)); -4545.89 -1.88636 26.3324 13.2886 -4560.82 739
(1,2,(3,(4,(5,6)))); -4534.04 -1.54101 28.8271 13.0226 -4551.39 732
(1,(2,3),(4,(5,6))); -4537.35 -1.62365 30.3785 13.9088 -4555.44 731
(1,(2,(4,(5,6))),3); -4537.61 -1.98735 30.1578 13.7164 -4556.04 739
(1,2,(3,(4,(5,6)))); -4534.61 -1.54101 28.7164 13.4761 -4551.39 732
