tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,3),(4,(5,6))); -4541.19  -1.23234 27.8582 13.4454 27.2769 -4581.65 0.292687 0.284735 0.137073 0.285505   0.230226   0.175239  0.0869704  0.0220688   0.478319 0.00717695
(1,(2,3),((4,6),5)); -4549.14  -1.89377 27.7517 13.2924 26.7107 -4588.41 0.274513 0.265776 0.133867 0.325843   0.228743   0.175238  0.0957773  0.0200196   0.472399 0.00782299
(1,2,(3,(4,(5,6)))); -4534.92  -1.02148 29.3481 13.3516 29.1979 -4579.1 0.291975 0.261183 0.150121 0.296721   0.252153   0.170981  0.0832177  0.0250015   0.462754 0.00589297
(1,2,(3,(4,(5,6)))); -4537.69  -1.02148 28.8662 13.3845 25.281 -4577.44 0.290755 0.251302 0.153001 0.304943  0.237169  0.148493  0.106085 0.0121405   0.49098 0.0051325
(1,(2,3),((4,6),5)); -4546.01  -1.89377 30.5702 13.4163 25.4941 -4586.76 0.293583  0.26666  0.16016 0.279597  0.252436   0.13246 0.0841821 0.0233968  0.497391 0.0101334
(1,(2,3),(4,(5,6))); -4543  -1.23234 28.2146 13.4384 28.2933 -4584.84 0.269946 0.257597 0.173323 0.299133   0.236918   0.164828  0.0971003  0.0191289   0.473935 0.00809041
(1,2,(3,(4,(5,6)))); -4543.09  -1.02148 29.3598 13.7392 23.7851 -4581.48 0.307609 0.235896 0.141453 0.315042   0.212974   0.163557  0.0834869  0.0279762   0.506174 0.00583127
(1,2,(3,(4,(5,6)))); -4531.37  -1.02148 32.1605 13.4736 30.0054 -4579.04 0.277713  0.27092 0.148743 0.302624   0.243918   0.149397  0.0875861  0.0198184   0.490215 0.00906595
(1,2,(3,((4,6),5))); -4542.11  -1.6829 27.1915 13.2002 25.1463 -4579.57 0.261907 0.280957 0.136269 0.320867   0.247647   0.149481  0.0989633  0.0243282   0.474192 0.00538866
(1,(2,3),(4,(5,6))); -4540.11  -1.23234 29.3346 13.7373 28.1316 -4582.6 0.286919 0.275097 0.161237 0.276746   0.233913   0.153516  0.0821486  0.0221815   0.499951 0.00828876
(1,2,(3,(4,(5,6)))); -4535.6  -1.02148 28.9115 13.1972 29.0966 -4579.39 0.292585 0.249253 0.154791 0.303371   0.224477   0.165025  0.0829447    0.01764   0.502711 0.00720333
(1,2,(3,(4,(5,6)))); -4538.05  -1.02148 28.6026 13.1197 27.1635 -4579.67 0.282857 0.249452 0.156767 0.310924  0.235251  0.165002 0.0828023 0.0257464  0.476441 0.0147567
(1,(2,3),(4,(5,6))); -4535.77  -1.23234 31.712 13.6145 30.2823 -4582.92 0.293406 0.261263 0.147091  0.29824   0.247333   0.148554  0.0926952  0.0215507   0.483011 0.00685528
(1,2,(3,(4,(5,6)))); -4533.36  -1.02148 32.4221 13.4459 28.9256 -4580.24  0.28809 0.257964 0.136914 0.317032  0.249406   0.16621   0.07907 0.0205215  0.476361 0.0084312
(1,(2,3),(4,(5,6))); -4538.57  -1.23234 30.5702 13.2745 27.9219 -4582.55 0.281642 0.262752 0.147049 0.308557   0.268204   0.141459   0.088524  0.0183844   0.476167 0.00726114
(1,2,(3,((4,6),5))); -4538.43  -1.6829 29.6189 13.7564 28.1874 -4580.8  0.29403 0.243471 0.151517 0.310982  0.255554  0.153762 0.0800939 0.0229024  0.483285 0.0044032
(1,(2,3),(4,(5,6))); -4538.29  -1.23234 29.6386 13.4712 29.7476 -4582.97 0.303654 0.256041 0.154569 0.285736   0.238291   0.170308  0.0895206  0.0205196    0.47354 0.00782142
(1,(2,3),(4,(5,6))); -4548.12  -1.23234 22.0757 14.2634 29.1177 -4583.82 0.277672 0.272742 0.154181 0.295405   0.246526   0.166534   0.076423  0.0176886   0.485969 0.00685901
(1,(2,3),((4,6),5)); -4542.04  -1.89377 31.1719 13.3793 27.7214 -4585.66 0.300612 0.261959 0.153734 0.283695   0.232005   0.176261  0.0750107  0.0192526    0.48885 0.00862013
(1,(2,3),((4,6),5)); -4545.93  -1.89377 31.4679 13.817 25.872 -4587.56 0.262523 0.261113 0.156279 0.320085   0.21854  0.167087 0.0976546 0.0195237  0.484971 0.0122238
(1,2,(3,(4,(5,6)))); -4540.22  -1.02148 28.6093 13.5414 27.098 -4581.36 0.296644  0.23851 0.152961 0.311885   0.252558   0.171848  0.0916976  0.0141658   0.463602 0.00612969
(1,(2,3),((4,6),5)); -4546.08  -1.89377 30.6847 13.5486 27.3824 -4588.7 0.297861 0.245294 0.170678 0.286167   0.252691   0.165619   0.092315  0.0168178   0.467168 0.00538874
(1,2,(3,((4,6),5))); -4538.33  -1.6829 26.0243 13.3291 27.9683 -4577.31 0.289976 0.272168 0.136929 0.300927   0.228395    0.17252  0.0806745  0.0254703    0.48506 0.00787961
(1,2,(3,((4,6),5))); -4547.4  -1.6829 28.8872 14.2925 23.2982 -4583.61  0.26382 0.252293 0.154907  0.32898  0.266509  0.175761 0.0884903 0.0164905  0.441873 0.0108757
(1,2,(3,((4,6),5))); -4537.4  -1.6829 31.4292 13.575 26.313 -4579.89 0.288354 0.270194 0.171689 0.269763   0.226947   0.159397  0.0893973  0.0257725   0.490791 0.00769638
(1,(2,3),(4,(5,6))); -4544.34  -1.23234 29.0857 13.5535 25.3966 -4584.03 0.323869 0.238882 0.143594 0.293655   0.22587   0.17939 0.0854492 0.0210014  0.479484  0.008806
(1,2,(3,(4,(5,6)))); -4536.65  -1.02148 32.0079 14.0318 28.9559 -4582.56 0.282985 0.247786 0.146746 0.322484   0.256236   0.161323  0.0852345   0.020654   0.471017 0.00553587
(1,(2,3),(4,(5,6))); -4540.21  -1.23234 28.175 13.2941 29.6619 -4583.52 0.285449 0.262326 0.162338 0.289887   0.243577   0.158031  0.0925042  0.0252466   0.474617 0.00602484
(1,2,(3,(4,(5,6)))); -4537.89  -1.02148 28.0555 13.1103 27.9251 -4579.74 0.303419 0.251411 0.143452 0.301717   0.242127   0.151034  0.0921867  0.0296132   0.476061 0.00897765
(1,(2,3),(4,(5,6))); -4547.08  -1.23234 27.0869 13.5586 22.4282 -4581.8 0.302664  0.23785 0.153798 0.305688  0.201158   0.17877 0.0805364 0.0235404  0.506418 0.0095768
(1,(2,3),(4,(5,6))); -4539.57  -1.23234 28.5777 13.5928 29.1893 -4582.51 0.297828  0.26279 0.153954 0.285428    0.25588   0.158005  0.0824635  0.0235098   0.470566 0.00957552
(1,2,(3,(4,(5,6)))); -4534.43  -1.02148 29.7664 13.2837 27.9946 -4577.89 0.297673 0.275556 0.141635 0.285136   0.24013  0.148251 0.0886277 0.0228392  0.488918 0.0112344
(1,2,(3,(4,(5,6)))); -4547.88  -1.02148 30.8386 13.8218 23.3718 -4587.25 0.275407  0.22174 0.162766 0.340086   0.224713   0.163141  0.0885256  0.0202255   0.496422 0.00697396
(1,(2,3),((4,6),5)); -4545.64  -1.89377 26.8668 13.2975 28.6621 -4585.98 0.292286 0.259804 0.155941 0.291969  0.253867  0.165652 0.0812175 0.0139234  0.477611 0.0077289
(1,2,(3,((4,6),5))); -4537.39  -1.6829 32.6952 13.7155 24.927 -4579.61 0.288631  0.24501  0.16016 0.306198   0.21957  0.153336 0.0815199 0.0330649  0.504285 0.0082234
(1,(2,3),((4,6),5)); -4547.06  -1.89377 26.278 13.8646 29.6638 -4587.24  0.29503 0.254161 0.160788  0.29002   0.232171   0.159376  0.0892237  0.0215226   0.492414 0.00529327
(1,2,(3,(4,(5,6)))); -4536.53  -1.02148 29.8013 13.8026 30.4099 -4581.92 0.299147 0.248744 0.149713 0.302396  0.242835  0.167935 0.0869012 0.0198927  0.474787 0.0076492
(1,2,(3,((4,6),5))); -4540.01  -1.6829 32.6808 14.0472 27.281 -4584.24 0.289936 0.236617 0.149692 0.323755   0.225177    0.15935  0.0976656  0.0228879   0.489273 0.00564639
(1,2,(3,((4,6),5))); -4536  -1.6829 28.3342 13.2509 30.1629 -4579.56 0.297401 0.257631   0.1546 0.290368    0.24447   0.155375   0.087686  0.0244746   0.479102 0.00889267
(1,(2,3),((4,6),5)); -4547.27  -1.89377 27.7971 13.7681 26.6703 -4586.08 0.290112  0.26896 0.136623 0.304306   0.23992  0.157221 0.0835362 0.0286775  0.477392 0.0132537
(1,2,(3,(4,(5,6)))); -4539.77  -1.02148 26.2913 12.7866 28.9066 -4581.16 0.298848  0.25298 0.142635 0.305537   0.248877   0.168934  0.0935131  0.0235067   0.456597 0.00857106
(1,(2,3),(4,(5,6))); -4541.98  -1.23234 29.6419 13.919 27.735 -4584.2 0.267033 0.269828 0.151699 0.311439   0.231059   0.177145  0.0980043  0.0182093   0.467731 0.00785082
