tree logl logTop logProp logPrior logWt
(1,2,(3,((4,6),5))); -4534.63 -1.74862 28.5681 13.2415 -4551.7
(1,(2,(4,(5,6))),3); -4539.41 -2.01439 27.099 12.9374 -4555.58
(1,2,(3,((4,6),5))); -4535.26 -1.74862 29.3568 14.0437 -4552.32
(1,2,(3,((4,6),5))); -4539.51 -1.74862 25.1116 13.7868 -4552.58
(1,(2,((4,6),5)),3); -4537.53 -2.24216 32.3066 13.4775 -4558.61
(1,(2,(4,(5,6))),3); -4539.03 -2.01439 28.5513 13.7629 -4555.83
(1,2,(3,(4,(5,6)))); -4533.27 -1.52085 30.5701 13.6347 -4551.73
(1,(2,3),(4,(5,6))); -4537.49 -1.66299 29.5402 13.5284 -4555.17
(1,(2,3),(4,(5,6))); -4540.93 -1.66299 25.6678 13.0641 -4555.19
(1,2,(3,((4,6),5))); -4533.21 -1.74862 31.152 13.9617 -4552.14
(1,(2,3),(4,(5,6))); -4542.29 -1.66299 24.9014 13.65 -4555.2
(1,(2,3),(4,(5,6))); -4535.82 -1.66299 30.8299 13.4372 -4554.87
(1,(2,3),(4,(5,6))); -4539.55 -1.66299 27.4007 13.4978 -4555.11
(1,(2,((4,6),5)),3); -4538.98 -2.24216 30.8905 13.599 -4558.52
(1,2,(3,((4,6),5))); -4539.28 -1.74862 25.0247 14.1854 -4551.87
(1,(2,3),(4,(5,6))); -4538.8 -1.66299 28.3733 13.321 -4555.51
(1,(2,3),(4,(5,6))); -4537.58 -1.66299 29.4328 13.3125 -4555.37
(1,2,(3,((4,6),5))); -4535.81 -1.74862 27.657 13.6648 -4551.55
(1,2,(3,(4,(5,6)))); -4533.51 -1.52085 30.1522 13.7529 -4551.43
(1,(2,3),((4,6),5)); -4542.57 -1.89076 29.4207 13.6234 -4560.26
(1,(2,((4,6),5)),3); -4538.17 -2.24216 32.3651 13.7355 -4559.04
(1,(2,3),(4,(5,6))); -4546.12 -1.66299 20.8546 13.5027 -4555.13
(1,2,(3,(4,(5,6)))); -4534.52 -1.52085 29.1787 13.5491 -4551.67
(1,(2,3),(4,(5,6))); -4536 -1.66299 30.5342 13.2465 -4554.96
(1,(2,3),(4,(5,6))); -4538.86 -1.66299 28.4239 13.4103 -4555.53
(1,(2,3),((4,6),5)); -4544.64 -1.89076 28.3658 14.0006 -4560.9
(1,(2,(4,(5,6))),3); -4538.92 -2.01439 27.9971 13.258 -4555.68
(1,2,(3,((4,6),5))); -4531.8 -1.74862 31.9332 13.5589 -4551.92
(1,2,(3,(4,(5,6)))); -4532.79 -1.52085 30.9017 13.643 -4551.57
(1,(2,(4,(5,6))),3); -4536.99 -2.01439 30.3514 13.4188 -4555.94
(1,(2,(4,(5,6))),3); -4536.03 -2.01439 31.7422 13.8365 -4555.95
(1,(2,3),((4,6),5)); -4542.53 -1.89076 29.5875 13.2348 -4560.77
