tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4536.03 -0.999985 27.9249 13.7857 -4551.17
(1,2,(3,((4,6),5))); -4535.47 -1.65798 28.9217 13.7284 -4552.32
(1,(2,3),(4,(5,6))); -4536.74 -1.26168 30.276 13.626 -4554.66
(1,2,(3,(4,(5,6)))); -4533.53 -0.999985 30.0999 13.4314 -4551.19
(1,2,(3,((4,6),5))); -4537.22 -1.65798 26.7658 13.4947 -4552.15
(1,2,(3,(4,(5,6)))); -4536.85 -0.999985 27.004 13.9509 -4550.91
(1,2,(3,(4,(5,6)))); -4535.4 -0.999985 27.7839 13.4394 -4550.74
(1,(2,3),(4,(5,6))); -4535.9 -1.26168 30.7088 13.4232 -4554.45
(1,2,(3,((4,6),5))); -4531.34 -1.65798 32.5198 13.4795 -4552.04
(1,2,(3,((4,6),5))); -4534.89 -1.65798 28.3718 13.3002 -4551.62
(1,2,(3,(4,(5,6)))); -4533.79 -0.999985 29.2196 13.2122 -4550.8
(1,2,(3,(4,(5,6)))); -4533.84 -0.999985 30.0607 13.7466 -4551.15
(1,2,(3,(4,(5,6)))); -4531.84 -0.999985 31.5822 13.6117 -4550.81
(1,(2,3),((4,6),5)); -4544.16 -1.91967 28.6869 13.6655 -4561.1
(1,2,(3,(4,(5,6)))); -4540.85 -0.999985 23.2392 13.6901 -4551.4
(1,(2,3),((4,6),5)); -4543.7 -1.91967 28.2348 13.1755 -4560.68
(1,2,(3,(4,(5,6)))); -4532.49 -0.999985 31.3365 13.4498 -4551.37
(1,(2,3),(4,(5,6))); -4536.94 -1.26168 29.5416 13.0018 -4554.75
(1,2,(3,(4,(5,6)))); -4536.26 -0.999985 27.5094 13.7568 -4551.01
(1,2,(3,((4,6),5))); -4536.09 -1.65798 27.8401 13.5167 -4552.08
(1,2,(3,(4,(5,6)))); -4533.71 -0.999985 30.2068 13.7391 -4551.18
(1,(2,3),(4,(5,6))); -4541 -1.26168 25.7759 13.1508 -4554.89
(1,2,(3,(4,(5,6)))); -4534.18 -0.999985 29.1067 13.3215 -4550.96
(1,(2,3),((4,6),5)); -4546.16 -1.91967 25.6332 13.1369 -4560.58
(1,2,(3,(4,(5,6)))); -4539.51 -0.999985 23.1735 12.6949 -4550.99
(1,(2,3),(4,(5,6))); -4536.35 -1.26168 30.9419 13.7625 -4554.8
(1,2,(3,(4,(5,6)))); -4534.97 -0.999985 28.5302 13.4223 -4551.08
(1,(2,3),(4,(5,6))); -4537.87 -1.26168 28.9328 13.2471 -4554.81
(1,2,(3,(4,(5,6)))); -4532.15 -0.999985 31.5159 13.4965 -4551.17
(1,(2,3),(4,(5,6))); -4537.15 -1.26168 29.8097 13.3808 -4554.85
(1,2,(3,(4,(5,6)))); -4534.77 -0.999985 29.0856 13.8615 -4551
(1,2,(3,(4,(5,6)))); -4535.84 -0.999985 27.4579 13.273 -4551.03
(1,2,(3,((4,6),5))); -4535.41 -1.65798 29.1277 13.9501 -4552.24
(1,2,(3,((4,6),5))); -4534.74 -1.65798 28.6525 13.3862 -4551.66
(1,2,(3,((4,6),5))); -4535.13 -1.65798 28.2181 13.4668 -4551.54
(1,(2,3),((4,6),5)); -4548.31 -1.91967 24.5817 13.8332 -4560.98
(1,2,(3,(4,(5,6)))); -4534.9 -0.999985 28.1356 13.0118 -4551.03
(1,(2,3),(4,(5,6))); -4536.73 -1.26168 30.2418 13.2648 -4554.97
(1,2,(3,(4,(5,6)))); -4533.34 -0.999985 30.8638 14.0806 -4551.12
(1,2,(3,((4,6),5))); -4535.83 -1.65798 27.5886 13.4203 -4551.66
(1,2,(3,(4,(5,6)))); -4535.14 -0.999985 28.8032 13.955 -4550.99
(1,2,(3,((4,6),5))); -4534.36 -1.65798 29.6568 13.3644 -4552.31
(1,(2,3),((4,6),5)); -4541.37 -1.91967 30.403 13.4616 -4560.23
(1,(2,3),((4,6),5)); -4552.29 -1.91967 21.1178 14.2369 -4561.09
(1,(2,3),(4,(5,6))); -4537.05 -1.26168 30.5249 13.5933 -4555.24
(1,2,(3,(4,(5,6)))); -4534.06 -0.999985 30.2187 13.8792 -4551.4
(1,(2,3),((4,6),5)); -4542.82 -1.91967 29.5963 13.409 -4560.93
(1,(2,3),(4,(5,6))); -4537.09 -1.26168 29.925 13.661 -4554.62
(1,2,(3,(4,(5,6)))); -4534.52 -0.999985 29.0502 13.1576 -4551.41
