tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4535.14 -1.50613 29.9517 13.923 -4552.68
(1,(2,3),(4,(5,6))); -4540.21 -1.63106 24.458 13.4784 -4552.82
(1,(2,3),((4,6),5)); -4541.56 -1.90548 30.851 13.4474 -4560.87
(1,(2,3),((4,6),5)); -4542.29 -1.90548 30.6663 13.8674 -4560.99
(1,2,(3,(4,(5,6)))); -4535.61 -1.50613 27.5591 13.3351 -4551.34
(1,(2,((4,6),5)),3); -4544.07 -2.28275 27.9381 13.5609 -4560.73
(1,(2,(4,(5,6))),3); -4541.91 -2.00833 27.0454 14.1248 -4556.84
(1,(2,(4,(5,6))),3); -4537.48 -2.00833 29.2233 13.5296 -4555.19
(1,(2,(4,(5,6))),3); -4539.02 -2.00833 30.7294 13.6674 -4558.1
(1,(2,(4,(5,6))),3); -4536.88 -2.00833 30.9771 13.736 -4556.12
(1,2,(3,(4,(5,6)))); -4534.41 -1.50613 28.4293 13.3227 -4551.03
(1,(2,3),((4,6),5)); -4549.02 -1.90548 22.9305 13.6595 -4560.19
(1,2,(3,(4,(5,6)))); -4536.88 -1.50613 30.7269 14.0259 -4555.09
(1,2,(3,(4,(5,6)))); -4532.44 -1.50613 31.8777 13.8359 -4551.99
(1,(2,(4,(5,6))),3); -4536.86 -2.00833 31.5171 13.7677 -4556.61
(1,2,(3,(4,(5,6)))); -4535.24 -1.50613 26.9242 13.066 -4550.6
(1,2,(3,(4,(5,6)))); -4533.49 -1.50613 31.1112 13.5015 -4552.6
(1,(2,3),(4,(5,6))); -4539.59 -1.63106 27.9789 13.9614 -4555.24
(1,(2,3),(4,(5,6))); -4535.63 -1.63106 32.6811 13.6719 -4556.27
(1,(2,((4,5),6)),3); -4549.47 -5.11859 102.147 14.0235 -4642.72
(1,(2,3),(4,(5,6))); -4537.9 -1.63106 30.9441 13.9761 -4556.5
(1,(2,3),(4,(5,6))); -4538.9 -1.63106 27.968 13.9751 -4554.53
(1,(2,3),(4,(5,6))); -4540.55 -1.63106 27.616 14.3821 -4555.41
(1,(2,(4,(5,6))),3); -4541.02 -2.00833 27.5204 13.4317 -4557.11
(1,(2,3),(4,(5,6))); -4539.7 -1.63106 28.2635 13.8275 -4555.77
(1,(2,(4,(5,6))),3); -4545.82 -2.00833 24.978 13.9914 -4558.81
(1,2,(3,(4,(5,6)))); -4535.56 -1.50613 31.8046 13.947 -4554.92
(1,2,(3,(4,(5,6)))); -4533.59 -1.50613 31.3887 14.0462 -4552.44
(1,(2,3),((4,6),5)); -4546.09 -1.90548 29.3725 13.9162 -4563.45
(1,2,(3,(4,(5,6)))); -4534.82 -1.50613 29.2063 13.8415 -4551.69
(1,(2,(4,(5,6))),3); -4537.47 -2.00833 31.5114 13.901 -4557.09
(1,2,(3,((4,6),5))); -4536.25 -1.78055 28.6963 14.0161 -4552.71
(1,(2,(4,(5,6))),3); -4539.24 -2.00833 27.3575 13.9958 -4554.61
(1,2,(3,((4,6),5))); -4536.26 -1.78055 26.9011 13.6407 -4551.3
(1,(2,((4,6),5)),3); -4542.9 -2.28275 30.307 13.9002 -4561.59
(1,2,(3,(4,(5,6)))); -4535.47 -1.50613 28.1067 13.7317 -4551.35
(1,(2,3),(4,(5,6))); -4536.82 -1.63106 30.5505 13.7755 -4555.23
(1,(2,3),((4,5),6)); -4548.39 -4.74132 36.3823 13.6721 -4575.84
(1,(2,((4,6),5)),3); -4540.45 -2.28275 31.7206 14.0267 -4560.42
(1,(2,3),(4,(5,6))); -4542.36 -1.63106 25.459 14.0737 -4555.38
(1,2,(3,(4,(5,6)))); -4540.1 -1.50613 26.9648 14.2807 -4554.29
(1,2,(3,(4,(5,6)))); -4540.22 -1.50613 26.6008 14.1557 -4554.17
(1,2,(3,((4,6),5))); -4534.06 -1.78055 28.7456 13.3378 -4551.25
(1,(2,(4,(5,6))),3); -4537.22 -2.00833 29.2557 13.333 -4555.15
(1,(2,3),(4,(5,6))); -4543.07 -1.63106 26.0889 14.0676 -4556.72
(1,2,(3,((4,6),5))); -4534.99 -1.78055 29.4752 13.5883 -4552.66
(1,2,(3,((4,6),5))); -4535.24 -1.78055 28.8391 13.6606 -4552.2
(1,2,(3,(4,(5,6)))); -4535.67 -1.50613 27.3146 13.669 -4550.83
(1,(2,(4,(5,6))),3); -4537.56 -2.00833 28.8443 13.445 -4554.97
(1,2,(3,(4,(5,6)))); -4533.58 -1.50613 30.6848 13.8647 -4551.9
(1,2,(3,(4,(5,6)))); -4533.84 -1.50613 30.5552 13.5818 -4552.32
(1,(2,((4,6),5)),3); -4542.15 -2.28275 28.6337 13.915 -4559.15
(1,2,(3,((4,6),5))); -4533.75 -1.78055 28.8289 13.5571 -4550.81
(1,(2,3),((4,6),5)); -4543.67 -1.90548 27.8184 13.6603 -4559.74
(1,(2,3),(4,(5,6))); -4544.66 -1.63106 27.1569 13.5579 -4559.89
(1,2,(3,(4,(5,6)))); -4535.64 -1.50613 27.5067 13.7 -4550.95
(1,(2,(4,(5,6))),3); -4535.14 -2.00833 31.684 13.675 -4555.16
(1,(2,3),(4,(5,6))); -4544.52 -1.63106 22.3749 13.6078 -4554.92
(1,(2,((4,6),5)),3); -4546.76 -2.28275 26.0701 13.4754 -4561.64
(1,2,(3,(4,(5,6)))); -4535.82 -1.50613 26.5805 13.2831 -4550.63
(1,(2,(4,(5,6))),3); -4535.41 -2.00833 31.6016 13.5518 -4555.47
(1,2,(3,((4,6),5))); -4537.54 -1.78055 27.5851 13.5215 -4553.38
