tree logl logTop logProp logPrior logWt parsimonyScore
(1,2,(3,((4,6),5))); -4533.9 -1.78891 30.0604 13.6628 -4552.09 731
(1,(2,((4,6),5)),3); -4539.82 -2.25515 30.3603 13.53 -4558.91 738
(1,(2,3),((4,6),5)); -4540.49 -1.88453 32.1093 13.8709 -4560.61 739
(1,(2,((4,6),5)),3); -4539.73 -2.25515 30.7617 13.5304 -4559.22 738
(1,(2,3),((4,6),5)); -4545.77 -1.88453 25.9893 13.2978 -4560.35 739
(1,(2,((4,6),5)),3); -4543.51 -2.25515 27.5639 14.2358 -4559.1 738
(1,2,(3,((4,6),5))); -4534.68 -1.78891 29.5288 13.5603 -4552.44 731
(1,((2,5),(4,6)),3); -4581.43 -6.90776 31.2613 13.4318 -4606.16 755
(1,(2,(4,(5,6))),3); -4535.7 -1.99765 31.3798 13.405 -4555.68 739
(1,2,(3,(4,(5,6)))); -4533.26 -1.53141 30.7928 13.4916 -4552.09 732
(1,(2,(4,(5,6))),3); -4539.99 -1.99765 27.8074 13.5058 -4556.29 739
(1,(2,3),((4,6),5)); -4541.31 -1.88453 30.8909 13.457 -4560.63 739
(1,(2,((4,6),5)),3); -4540.88 -2.25515 29.0211 13.5305 -4558.62 738
(1,(2,3),((4,6),5)); -4546.03 -1.88453 26.9264 13.6542 -4561.19 739
(1,2,(3,(4,(5,6)))); -4534.82 -1.53141 28.5768 13.6332 -4551.29 732
(1,(2,3),(4,(5,6))); -4537.81 -1.62702 28.7906 13.4196 -4554.81 731
(1,(2,(4,(5,6))),3); -4539.54 -1.99765 27.0978 13.2696 -4555.37 739
(1,(2,3),(4,(5,6))); -4537.92 -1.62702 29.1643 13.4078 -4555.3 731
(1,(2,3),(4,(5,6))); -4535.56 -1.62702 30.8024 13.2737 -4554.72 731
(1,2,(3,(4,(5,6)))); -4535.09 -1.53141 29.8112 14.2837 -4552.15 732
(1,2,(3,((4,6),5))); -4533.52 -1.78891 30.6311 13.7064 -4552.23 731
(1,(2,((4,6),5)),3); -4542.08 -2.25515 27.5577 13.3406 -4558.55 738
(1,(2,3),((4,6),5)); -4540.64 -1.88453 31.0828 13.1888 -4560.42 739
(1,2,(3,(4,(5,6)))); -4535.46 -1.53141 28.2587 13.8715 -4551.38 732
(1,2,(3,((4,6),5))); -4537.4 -1.78891 26.4771 13.7576 -4551.91 731
(1,2,(3,(4,(5,6)))); -4538.29 -1.53141 24.6449 13.0257 -4551.44 732
(1,(2,((4,6),5)),3); -4538.18 -2.25515 31.3311 13.3166 -4558.45 738
(1,2,(3,((4,6),5))); -4534.75 -1.78891 28.5051 13.1739 -4551.87 731
(1,(2,((4,6),5)),3); -4540.68 -2.25515 28.7721 13.4884 -4558.22 738
(1,(2,3),(4,(5,6))); -4537.64 -1.62702 29.2145 13.3598 -4555.13 731
(1,(2,3),(4,(5,6))); -4536.38 -1.62702 30.5878 13.56 -4555.03 731
(1,2,(3,((4,6),5))); -4537.36 -1.78891 26.1419 13.5421 -4551.75 731
(1,(2,3),(4,(5,6))); -4537.83 -1.62702 29.2897 13.5503 -4555.2 731
(1,(2,3),(4,(5,6))); -4538.41 -1.62702 28.9266 13.7948 -4555.17 731
(1,(2,3),((4,6),5)); -4544.53 -1.88453 27.9887 13.6522 -4560.75 739
(1,(2,3),((4,6),5)); -4541.33 -1.88453 31.2058 13.39 -4561.03 739
(1,2,(3,((4,6),5))); -4535.78 -1.78891 28.8363 14.0697 -4552.33 731
(1,(2,((4,5),6)),3); -4546.4 -5.15191 31.5581 13.453 -4569.65 750
(1,2,(3,(4,(5,6)))); -4535.87 -1.53141 28.2234 13.7131 -4551.92 732
(1,(2,3),(4,(5,6))); -4537.13 -1.62702 29.5732 13.3174 -4555.02 731
(1,2,(3,((4,6),5))); -4537.07 -1.78891 25.7864 12.8143 -4551.83 731
(1,(2,3),(4,(5,6))); -4540.78 -1.62702 26.0641 13.4408 -4555.03 731
(1,2,(3,(4,(5,6)))); -4537.6 -1.53141 26.5315 13.8187 -4551.85 732
(1,(2,(4,(5,6))),3); -4539.18 -1.99765 28.0389 13.2427 -4555.97 739
(1,(2,(4,(5,6))),3); -4539.36 -1.99765 27.8027 13.2735 -4555.88 739
(1,2,(3,((4,6),5))); -4537.3 -1.78891 27.1539 14.1277 -4552.12 731
(1,(2,(4,(5,6))),3); -4536.56 -1.99765 30.9292 13.3247 -4556.16 739
(1,(2,((4,6),5)),3); -4541.52 -2.25515 28.4217 13.3639 -4558.83 738
(1,(2,3),((4,6),5)); -4544.5 -1.88453 28.3902 14.0564 -4560.72 739
(1,(2,3),((4,6),5)); -4542.41 -1.88453 30.2148 13.864 -4560.65 739
(1,(2,(4,(5,6))),3); -4538.16 -1.99765 29.2288 13.1592 -4556.23 739
(1,(2,3),(4,(5,6))); -4537.02 -1.62702 29.9643 13.3734 -4555.24 731
(1,2,(3,((4,6),5))); -4535.59 -1.78891 27.6481 13.2398 -4551.79 731
(1,2,(3,(4,(5,6)))); -4535.77 -1.53141 27.9071 13.3434 -4551.86 732
(1,(2,3),(4,(5,6))); -4537.85 -1.62702 29.7427 13.7794 -4555.44 731
(1,2,(3,((4,6),5))); -4533.84 -1.78891 29.954 13.812 -4551.77 731
(1,2,(3,(4,(5,6)))); -4535.44 -1.53141 28.047 13.165 -4551.85 732
(1,(2,3),((4,6),5)); -4540.91 -1.88453 31.4446 13.4007 -4560.83 739
(1,2,(3,(4,(5,6)))); -4532.33 -1.53141 30.9789 13.4192 -4551.42 732
(1,2,(3,((4,5),6))); -4543.75 -4.68567 25.6918 13.6678 -4560.46 738
(1,2,(3,((4,6),5))); -4531.97 -1.78891 32.4453 13.9042 -4552.3 731
(1,2,(3,((4,6),5))); -4534.12 -1.78891 29.6981 13.628 -4551.98 731
(1,(2,3),(4,(5,6))); -4539.11 -1.62702 27.6191 13.5269 -4554.83 731
(1,2,(3,(4,(5,6)))); -4535.96 -1.53141 26.8833 13.2517 -4551.13 732
(1,(2,3),(4,(5,6))); -4541.64 -1.62702 25.8876 13.959 -4555.19 731
(1,2,(3,(4,(5,6)))); -4535.83 -1.53141 28.3654 13.8509 -4551.87 732
(1,2,(3,((4,6),5))); -4534.85 -1.78891 29.2059 13.6351 -4552.21 731
(1,(2,3),(4,(5,6))); -4535.55 -1.62702 31.1507 13.194 -4555.13 731
(1,(2,(4,(5,6))),3); -4537.13 -1.99765 29.5457 13.0629 -4555.61 739
(1,2,(3,((4,6),5))); -4533.11 -1.78891 31.4002 13.7517 -4552.55 731
(1,2,(3,((4,6),5))); -4534.76 -1.78891 28.9079 13.5184 -4551.94 731
(1,(2,3),(4,(5,6))); -4539.94 -1.62702 27.3081 13.4823 -4555.39 731
(1,2,(3,((4,6),5))); -4533.77 -1.78891 29.2429 13.3843 -4551.42 731
(1,2,(3,((4,6),5))); -4532.07 -1.78891 31.8006 13.6417 -4552.02 731
(1,(2,((4,5),6)),3); -4546.97 -5.15191 33.6005 13.1614 -4572.56 750
(1,2,(3,(4,(5,6)))); -4534.75 -1.53141 28.5283 13.4232 -4551.39 732
(1,(2,3),((4,6),5)); -4545.22 -1.88453 26.9571 13.293 -4560.77 739
(1,(2,3),(4,(5,6))); -4537.26 -1.62702 30.1173 13.8937 -4555.12 731
(1,2,(3,((4,6),5))); -4534.93 -1.78891 29.0118 13.4663 -4552.27 731
(1,2,(3,((4,6),5))); -4532.75 -1.78891 31.6188 13.6575 -4552.5 731
(1,(2,3),((4,6),5)); -4544.11 -1.88453 27.1204 12.8851 -4560.23 739
(1,2,(3,(4,(5,6)))); -4536.62 -1.53141 25.8066 12.7707 -4551.18 732
(1,2,(3,(4,(5,6)))); -4532.79 -1.53141 31.4097 13.6847 -4552.05 732
(1,(2,3),((4,5),6)); -4548.8 -4.78129 27.9679 13.3112 -4568.24 745
(1,2,(3,((4,6),5))); -4535.74 -1.78891 27.4938 13.2558 -4551.76 731
(1,(2,3),(4,(5,6))); -4537.68 -1.62702 29.1335 13.4814 -4554.96 731
(1,2,(3,((4,6),5))); -4532.93 -1.78891 30.769 13.309 -4552.18 731
(1,2,(3,(4,(5,6)))); -4531.16 -1.53141 32.3188 13.6357 -4551.38 732
(1,(2,((4,6),5)),3); -4537.76 -2.25515 31.8421 13.2644 -4558.59 738
(1,(2,((4,6),5)),3); -4538.89 -2.25515 31.12 13.492 -4558.78 738
