tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4540.46 -1.01301 22.0995 12.9962 -4548.55
(1,(2,3),(4,(5,6))); -4537.12 -1.28098 29.964 13.4819 -4552.32
(1,2,(3,((4,6),5))); -4537.74 -1.62523 25.0847 12.8433 -4548.36
(1,(2,3),(4,(5,6))); -4536.68 -1.28098 29.7936 13.455 -4551.74
(1,2,(3,(4,(5,6)))); -4537.34 -1.01301 26.2167 13.6527 -4548.89
(1,2,(3,(4,(5,6)))); -4534.03 -1.01301 29.4857 13.7241 -4548.78
(1,(2,3),((4,6),5)); -4543.89 -1.8932 28.7951 13.771 -4557.03
(1,(2,3),(4,(5,6))); -4540.23 -1.28098 27.4776 13.6769 -4552.75
(1,2,(3,((4,6),5))); -4533.72 -1.62523 30.0376 13.6625 -4548.47
(1,2,(3,(4,(5,6)))); -4533.75 -1.01301 30.2052 14.0898 -4548.85
(1,2,(3,(4,(5,6)))); -4533.17 -1.01301 31.069 13.9025 -4549.33
(1,2,(3,(4,(5,6)))); -4533.55 -1.01301 29.699 13.4086 -4548.83
(1,(2,3),(4,(5,6))); -4538.37 -1.28098 29.5479 13.9286 -4552.71
(1,2,(3,(4,(5,6)))); -4536.04 -1.01301 27.0781 13.2295 -4548.88
(1,2,(3,(4,(5,6)))); -4533.94 -1.01301 29.3783 13.5646 -4548.74
(1,(2,3),(4,(5,6))); -4537.23 -1.28098 29.9832 13.6107 -4552.32
(1,2,(3,(4,(5,6)))); -4533.07 -1.01301 30.4629 13.7533 -4548.76
(1,2,(3,(4,(5,6)))); -4537.39 -1.01301 26.2784 13.7112 -4548.94
(1,(2,3),(4,(5,6))); -4537.58 -1.28098 29.7456 13.3995 -4552.65
(1,(2,3),(4,(5,6))); -4538.27 -1.28098 27.7742 12.9986 -4551.77
(1,(2,3),(4,(5,6))); -4541.7 -1.28098 24.7862 13.0173 -4552.19
(1,(2,3),((4,6),5)); -4542.81 -1.8932 29.773 13.477 -4557.22
(1,2,(3,(4,(5,6)))); -4535.68 -1.01301 28.3639 13.5929 -4549.44
(1,(2,3),(4,(5,6))); -4536.05 -1.28098 31.4399 13.7431 -4552.46
(1,2,(3,((4,6),5))); -4538.7 -1.62523 25.4979 13.7893 -4548.78
(1,(2,3),(4,(5,6))); -4535.96 -1.28098 31.5568 13.6317 -4552.61
(1,2,(3,(4,(5,6)))); -4540.85 -1.01301 22.3355 13.4283 -4548.75
(1,2,(3,(4,(5,6)))); -4533.07 -1.01301 31.328 13.9504 -4549.43
(1,2,(3,((4,6),5))); -4534.48 -1.62523 29.5971 13.7794 -4548.67
(1,2,(3,((4,6),5))); -4532.73 -1.62523 30.8601 13.4968 -4548.47
(1,(2,3),((4,6),5)); -4540.68 -1.8932 32.1714 13.6533 -4557.3
