tree logl logTop logProp logPrior logWt
(1,2,(3,(4,(5,6)))); -4534.4 -1.00705 28.8894 13.5715 -4548.71
(1,2,(3,((4,6),5))); -4534.82 -1.66192 28.3782 13.2241 -4548.31
(1,2,(3,(4,(5,6)))); -4531.09 -1.00705 32.5295 13.5568 -4549.05
(1,2,(3,(4,(5,6)))); -4532.86 -1.00705 30.1101 12.9865 -4548.98
(1,2,(3,(4,(5,6)))); -4534.36 -1.00705 30.2555 13.8795 -4549.73
(1,(2,3),(4,(5,6))); -4537.96 -1.2543 28.9951 13.633 -4552.07
(1,(2,3),(4,(5,6))); -4534.88 -1.2543 32.0497 13.5086 -4552.16
(1,(2,3),(4,(5,6))); -4539.04 -1.2543 27.4711 13.3583 -4551.9
(1,2,(3,(4,(5,6)))); -4531.77 -1.00705 31.9009 13.7391 -4548.92
(1,2,(3,(4,(5,6)))); -4536.92 -1.00705 26.3258 13.035 -4549.2
(1,(2,3),(4,(5,6))); -4535.59 -1.2543 31.4056 13.4697 -4552.27
(1,(2,3),(4,(5,6))); -4537.35 -1.2543 30.1705 13.8116 -4552.46
(1,2,(3,(4,(5,6)))); -4533.02 -1.00705 30.6424 13.7683 -4548.88
(1,(2,(4,(5,6))),3); -4537.96 -4.94989 29.5605 13.9636 -4548.61
(1,(2,(4,(5,6))),3); -4536.06 -4.94989 31.0056 13.4786 -4548.63
(1,2,(3,((4,6),5))); -4533.64 -1.66192 30.2008 13.4696 -4548.71
(1,2,(3,(4,(5,6)))); -4538.33 -1.00705 25.8692 13.9264 -4549.26
(1,2,(3,(4,(5,6)))); -4535.19 -1.00705 28.3014 13.2467 -4549.23
(1,(2,3),(4,(5,6))); -4537.29 -1.2543 28.9506 13.2237 -4551.77
(1,(2,3),((4,6),5)); -4541.38 -1.90918 30.4353 13.3775 -4556.53
(1,(2,3),(4,(5,6))); -4539.71 -1.2543 27.011 13.5608 -4551.91
(1,(2,3),((4,6),5)); -4543.09 -1.90918 28.9756 13.5323 -4556.62
(1,(2,3),((4,6),5)); -4544.36 -1.90918 28.4746 13.8617 -4557.06
(1,2,(3,(4,(5,6)))); -4536.26 -1.00705 27.0792 13.5988 -4548.74
(1,2,(3,((4,6),5))); -4532.73 -1.66192 31.661 13.7424 -4548.98
(1,(2,3),(4,(5,6))); -4536.73 -1.2543 30.604 13.4732 -4552.6
(1,2,(3,((4,6),5))); -4531.37 -1.66192 32.16 13.4701 -4548.4
(1,2,(3,(4,(5,6)))); -4531.29 -1.00705 32.3694 13.4279 -4549.22
(1,2,(3,(4,(5,6)))); -4532.56 -1.00705 31.3502 13.5024 -4549.4
(1,(2,3),(4,(5,6))); -4537.71 -1.2543 29.4952 13.3936 -4552.55
(1,2,(3,(4,(5,6)))); -4534.51 -1.00705 29.1453 13.547 -4549.1
(1,2,(3,(4,(5,6)))); -4534.91 -1.00705 29.2239 13.8835 -4549.24
(1,2,(3,(4,(5,6)))); -4533.75 -1.00705 29.1015 13.2137 -4548.63
(1,(2,3),(4,(5,6))); -4535.38 -1.2543 31.9866 13.7421 -4552.37
(1,(2,3),(4,(5,6))); -4535.51 -1.2543 31.6674 13.6062 -4552.32
(1,2,(3,(4,(5,6)))); -4531.91 -1.00705 31.7855 13.6063 -4549.08
(1,(2,3),(4,(5,6))); -4537.56 -1.2543 29.6865 13.3088 -4552.68
(1,(2,3),(4,(5,6))); -4535.3 -1.2543 32.0095 13.8971 -4552.16
(1,(2,3),(4,(5,6))); -4536.42 -1.2543 29.9837 13.3603 -4551.79
(1,2,(3,(4,(5,6)))); -4536.78 -1.00705 26.5879 13.2517 -4549.11
(1,2,(3,((4,6),5))); -4535.05 -1.66192 28.5176 13.3959 -4548.51
(1,(2,3),((4,6),5)); -4541.98 -1.90918 30.1945 13.4191 -4556.85
(1,(2,3),(4,(5,6))); -4544.72 -1.2543 22.4102 13.9073 -4551.97
(1,(2,3),((4,6),5)); -4542.27 -1.90918 30.784 13.9509 -4557.19
(1,(2,3),(4,(5,6))); -4542.3 -1.2543 24.4993 12.7425 -4552.81
(1,2,(3,(4,(5,6)))); -4538.9 -1.00705 25.4532 14.1154 -4549.23
(1,2,(3,(4,(5,6)))); -4532.42 -1.00705 31.721 13.7609 -4549.37
(1,(2,3),((4,6),5)); -4546.43 -1.90918 25.587 13.4588 -4556.65
(1,(2,3),(4,(5,6))); -4535.97 -1.2543 30.8568 13.4846 -4552.08
(1,2,(3,((4,6),5))); -4532.69 -1.66192 31.1345 13.5542 -4548.61
(1,(2,3),(4,(5,6))); -4540.88 -1.2543 25.9641 13.5814 -4552.01
(1,(2,3),(4,(5,6))); -4536.67 -1.2543 30.0744 13.2117 -4552.28
(1,(2,3),(4,(5,6))); -4536.44 -1.2543 31.1473 13.8432 -4552.48
(1,2,(3,((4,6),5))); -4533.02 -1.66192 30.9848 13.8438 -4548.49
(1,2,(3,((4,6),5))); -4534.97 -1.66192 28.79 13.4672 -4548.63
(1,2,(3,(4,(5,6)))); -4532.98 -1.00705 30.6286 13.4798 -4549.12
(1,(2,3),((4,6),5)); -4543.8 -1.90918 28.5182 13.4736 -4556.93
(1,(2,3),(4,(5,6))); -4539.77 -1.2543 28.2291 14.2621 -4552.48
(1,(2,3),((4,6),5)); -4540.15 -1.90918 32.726 13.8289 -4557.14
(1,(2,3),(4,(5,6))); -4537.03 -1.2543 30.2071 13.7258 -4552.25
(1,2,(3,((4,6),5))); -4532.6 -1.66192 31.5114 13.8038 -4548.65
(1,2,(3,(4,(5,6)))); -4532.53 -1.00705 31.0352 13.4263 -4549.13
(1,(2,3),(4,(5,6))); -4542.25 -1.2543 25.2783 13.8457 -4552.43
(1,2,(3,(4,(5,6)))); -4539.66 -1.00705 24.4554 13.7905 -4549.32
(1,2,(3,((4,6),5))); -4534.35 -1.66192 29.4889 13.631 -4548.54
(1,(2,3),(4,(5,6))); -4535.96 -1.2543 31.3455 13.6488 -4552.4
(1,(2,3),(4,(5,6))); -4536.45 -1.2543 30.7602 13.4562 -4552.5
(1,2,(3,(4,(5,6)))); -4534.37 -1.00705 29.149 13.2572 -4549.25
(1,(2,3),((4,6),5)); -4541.31 -1.90918 31.4277 13.7343 -4557.09
(1,2,(3,(4,(5,6)))); -4536.26 -1.00705 27.0505 13.3651 -4548.94
(1,(2,3),((4,6),5)); -4544.11 -1.90918 28.2517 13.2624 -4557.19
