tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(3,(4,(5,6)))); -4540.62  -1.61153 26.2633 12.939 25.1888 -4577.52 0.302239 0.258464 0.135399 0.303898   0.229385   0.163403  0.0686827  0.0290739   0.501859 0.00759664
(1,(2,((4,6),5)),3); -4545.28  -2.11556 27.8934 13.103 24.1139 -4582.06 0.292535 0.295838 0.140396  0.27123   0.250252   0.148187  0.0679029   0.014272   0.513273 0.00611296
(1,2,(3,(4,(5,6)))); -4535.81  -1.61153 29.3775 13.4158 26.2829 -4576.45 0.293115 0.258709 0.147048 0.301129   0.251245   0.153698  0.0729468 0.00927995   0.504396 0.00843404
(1,(2,3),(4,(5,6))); -4539.04  -1.53337 31.4066 13.4217 24.8096 -4580.3 0.302665 0.258499 0.131323 0.307513   0.247595    0.17062  0.0747162  0.0247752   0.477276 0.00501761
(1,(2,((4,6),5)),3); -4541.69  -2.11556 28.6231 13.5902 27.1754 -4581.78 0.286671  0.26971 0.137627 0.305992   0.241992   0.155841  0.0834036  0.0216245   0.494356 0.00278217
(1,2,(3,(4,(5,6)))); -4539.92  -1.61153 28.8433 13.4384 23.991 -4577.71 0.290224 0.259382 0.139744 0.310651  0.221463  0.142838  0.114638 0.0107632  0.494655 0.0156424
(1,2,(3,(4,(5,6)))); -4552.13  -1.61153 26.3921 13.3172 19.7372 -4583.33 0.285979 0.254721 0.154172 0.305128  0.252798  0.118267   0.11657   0.03219  0.457087 0.0230877
(1,(2,(4,(5,6))),3); -4540.81  -1.22662 28.6127 13.7662 27.021 -4581.45 0.288779 0.266156 0.143277 0.301787   0.247538   0.140973   0.102855  0.0188182   0.481012 0.00880353
(1,2,(3,((4,6),5))); -4542.5  -2.50046 28.2513 13.1598 21.9625 -4577.05 0.285157 0.293942 0.128523 0.292378   0.218821    0.16263   0.115362 0.00747403   0.493035 0.00267784
(1,2,(3,(4,(5,6)))); -4551.61  -1.61153 24.3378 13.1625 21.0574 -4582.23 0.302715 0.237993  0.16338 0.295912  0.249525  0.123524 0.0788812 0.0196244  0.513179 0.0152669
(1,2,(3,((4,6),5))); -4540.37  -2.50046 29.7334 13.4649 25.0206 -4579.16 0.293141 0.278921 0.150215 0.277722   0.211449   0.187347  0.0985535  0.0255669    0.47227 0.00481347
(1,(2,3),(4,(5,6))); -4541.59  -1.53337 24.7106 13.0298 27.8916 -4579.63 0.294626 0.265394 0.145338 0.294643   0.236641   0.155636  0.0803301  0.0192139   0.500033 0.00814639
(1,(2,3),(4,(5,6))); -4540.36  -1.53337 28.9196 13.4693 26.0365 -4580.32 0.285915 0.275742 0.142632 0.295711  0.255911  0.142358 0.0840933 0.0131829  0.487589 0.0168653
(1,(2,(4,(5,6))),3); -4545.87  -1.22662 29.4899 13.8172 23.1015 -4583.42 0.276074 0.299234 0.129817 0.294875  0.233262  0.142227  0.107195 0.0209023  0.484871 0.0115413
(1,(2,(4,(5,6))),3); -4552.35  -1.22662 27.4759 13.6999 22.8831 -4587.78 0.295985 0.267658 0.155534 0.280824   0.276474   0.114882   0.112205  0.0174992   0.469934 0.00900623
