tree logl logTop logProp logPrior logWt
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.49 -0.504065 76.9997 38.4586 -7730.53
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7694.87 -0.504065 75.2532 39.2711 -7730.35
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7698.71 -3.52268 80.6096 38.5359 -7737.26
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7698.33 -3.52268 81.4833 39.0326 -7737.26
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7694.26 -0.504065 77.5871 38.8188 -7732.52
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.85 -2.12749 81.2205 39.2723 -7732.67
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7691.5 -0.504065 78.9671 39.0149 -7730.95
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7703.16 -1.89926 79.7372 39.0277 -7741.97
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.67 -0.504065 76.8135 39.3607 -7729.61
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7696.16 -0.504065 73.3824 38.8317 -7730.21
(1,(2,((((7,8),9),10),(11,12))),((3,6),(4,5))); -7692.32 -3.66551 82.6083 38.8086 -7732.46
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.85 -0.504065 77.1452 39.2253 -7730.26
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7687.19 -0.504065 82.7916 38.818 -7730.66
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.77 -2.12749 80.393 39.194 -7733.84
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7702.69 -3.52268 78.284 39.0318 -7738.42
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7701.32 -1.89926 78.6655 39.1986 -7738.88
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7701.24 -1.89926 78.3477 38.8762 -7738.82
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7693.65 -0.504065 77.883 39.3724 -7731.66
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.26 -0.504065 81.0689 39.3781 -7730.45
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.37 -2.12749 83.1203 39.3079 -7734.06
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.88 -0.504065 76.5172 39.0627 -7729.83
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7693.1 -2.12749 82.0821 39.0384 -7734.01
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7693.08 -0.504065 78.2971 39.5133 -7731.36
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7689.38 -3.1712 76.9965 39.1264 -7724.08
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.79 -2.12749 78.7267 39.4008 -7732.99
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.69 -0.504065 76.6657 39.285 -7729.57
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7695.68 -0.504065 75.7084 38.8571 -7732.03
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.27 -2.12749 79.474 39.4503 -7733.17
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7686.98 -0.504065 82.5014 39.1536 -7729.82
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7696.29 -0.504065 75.8011 39.6692 -7731.92
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7695.47 -3.52268 85.1311 38.9624 -7738.11
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.09 -2.12749 78.851 39.2584 -7733.56
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7697.16 -0.504065 74.211 39.1327 -7731.73
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7690.38 -0.504065 81.2709 39.1576 -7731.99
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7695.58 -1.89926 83.272 38.7974 -7738.16
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7701.5 -3.52268 78.4605 39.0587 -7737.38
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.63 -0.504065 78.2092 39.1795 -7731.15
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7704.65 -1.89926 75.4309 39.0985 -7739.08
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7694.1 -0.504065 76.89 38.955 -7731.53
(1,(2,((((7,8),9),10),(11,12))),((3,6),(4,5))); -7694.76 -3.66551 79.6888 38.977 -7731.81
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7696.81 -2.12749 78.972 39.3067 -7734.34
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7691.25 -0.504065 81.1692 39.2038 -7732.71
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.24 -0.504065 82.3371 39.2867 -7731.78
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.75 -0.504065 80.3205 38.9958 -7730.57
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7691.13 -0.504065 80.138 39.5281 -7731.23
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7699.25 -2.12749 75.1799 39.1329 -7733.17
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7693.45 -2.12749 79.708 38.8827 -7732.15
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688.86 -0.504065 82.683 39.1858 -7731.85
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7699.18 -0.504065 69.1184 38.4872 -7729.3
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7698.73 -1.89926 82.347 39.2284 -7739.94
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7696.63 -0.504065 74.2157 38.6722 -7731.67
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7691.59 -0.504065 79.7839 39.3236 -7731.55
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7698.36 -3.52268 81.6179 38.6851 -7737.77
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.01 -2.12749 82.8135 39.1161 -7733.58
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7689.25 -2.12749 85.1771 39.1598 -7733.14
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7693.92 -0.504065 76.2487 39.4516 -7730.21
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7697.31 -0.504065 72.5769 39.0592 -7730.32
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7691.58 -0.504065 77.7364 38.7279 -7730.08
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7692.62 -0.504065 76.7567 38.5873 -7730.29
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7694.86 -0.504065 75.458 38.6763 -7731.14
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.11 -0.504065 80.3552 38.8899 -7730.07
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7695.12 -0.504065 76.2425 39.4046 -7731.46
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7687.4 -0.504065 84.7577 39.2734 -7732.38
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7694.15 -0.504065 75.6347 38.5048 -7730.78
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7691.94 -0.504065 80.622 39.6864 -7732.37
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.79 -2.12749 80.3593 39.049 -7734.97
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688.81 -0.504065 81.8757 39.0907 -7731.09
(1,(2,(((((7,8),9),10),12),11)),(3,((4,5),6))); -7682.86 -3.1712 83.2815 39.0911 -7723.88
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7690.3 -0.504065 81.6616 39.1856 -7732.27
(1,(2,(((((7,8),9),10),12),11)),((3,6),(4,5))); -7691.39 -6.33265 80.1281 39.2479 -7725.94
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688 -0.504065 82.7679 39.4818 -7730.78
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7688.66 -0.504065 80.7737 39.0978 -7729.83
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7700.79 -1.89926 80.3277 38.7225 -7740.5
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7704.84 -1.89926 78.0363 39.0518 -7741.92
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7690.72 -2.12749 82.7137 39.1872 -7732.12
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7695.5 -0.504065 75.8209 39.0948 -7731.72
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7698.98 -1.89926 82.126 39.1374 -7740.07
(1,(2,((((7,8),9),10),(11,12))),((3,6),(4,5))); -7692.65 -3.66551 82.5957 39.2195 -7732.36
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7689.55 -0.504065 81.6145 39.083 -7731.58
(1,(2,(((((7,8),9),10),11),12)),(3,((4,5),6))); -7701.68 -1.89926 79.5579 39.5211 -7739.82
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7691.81 -2.12749 80.9463 38.7706 -7731.86
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7691.5 -0.504065 79.0252 38.9768 -7731.04
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7695.85 -0.504065 73.8631 38.8803 -7730.33
