tree logl logTop logProp logPrior logWt
(((1,2),(((((7,8),9),10),11),12)),(3,6),(4,5)); -7774.75 -3.45295 80.8202 38.3869 -7820.64
(((((1,2),(3,((4,5),6))),12),11),((7,8),9),10); -7780.01 -0.964518 72.4845 38.7358 -7814.73
(((((1,2),(((((7,8),9),10),11),12)),6),3),4,5); -7780.22 -3.8487 82.5245 38.5175 -7828.08
(((1,2),(((((7,8),9),10),11),12)),(3,6),(4,5)); -7775.58 -3.45295 81.8604 38.3209 -7822.58
(1,2,(((3,(4,5)),6),((((7,8),9),10),(11,12)))); -7769.4 -4.23646 82.7346 38.9587 -7817.41
(((((((1,2),(3,((4,5),6))),12),11),10),9),7,8); -7771.65 -0.964518 82.0274 38.5097 -7816.13
(((1,2),(3,((4,5),6))),(((7,8),9),10),(11,12)); -7757.86 -1.35228 86.0298 38.8678 -7806.37
((((1,2),(3,((4,5),6))),12),(((7,8),9),10),11); -7773.11 -0.964518 81.9485 38.626 -7817.39
((((1,2),(3,((4,5),6))),(11,12)),((7,8),9),10); -7764.54 -1.35228 78.4166 38.2887 -7806.02
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7773.18 -0.964518 81.9944 38.8485 -7817.29
(((1,2),(((((7,8),9),10),12),11)),3,((4,5),6)); -7754.03 -1.85616 77.7173 38.2288 -7795.38
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7762.2 -1.35228 80.0602 38.2653 -7805.35
(((1,2),((((7,8),9),10),(11,12))),3,((4,5),6)); -7766 -1.35228 76.1609 38.9793 -7804.53
(((((1,2),((3,6),(4,5))),(11,12)),10),(7,8),9); -7765.19 -3.84071 80.8682 38.6579 -7811.24
((1,2),(3,((4,5),6)),(((((7,8),9),10),11),12)); -7772.56 -0.964518 83.2888 39.3296 -7817.49
(((((1,2),(3,((4,5),6))),12),11),((7,8),9),10); -7780.54 -0.964518 73.7783 38.8536 -7816.43
