tree logl logTop logProp logPrior logWt
((((1,2),(3,((4,5),6))),12),(((7,8),9),10),11); -7700.92 -0.978031 82.0944 39.4215 -7744.57
((1,(2,(((((7,8),9),10),11),12))),(3,6),(4,5)); -7702.46 -5.93728 80.8668 38.9312 -7750.33
(((1,2),((((7,8),9),10),(11,12))),3,((4,5),6)); -7698.2 -1.33507 76.4098 39.007 -7736.94
(((1,2),(3,((4,5),6))),((((7,8),9),10),12),11); -7689.72 -1.84388 80.0697 39.0491 -7732.59
((((1,2),((3,6),(4,5))),11),(((7,8),9),10),12); -7690.97 -4.35473 81.5699 38.9484 -7737.94
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7700.14 -0.978031 79.4175 38.5055 -7742.03
(((1,2),(((((7,8),9),10),11),12)),3,((4,5),6)); -7710.18 -0.978031 71.3704 38.6076 -7743.92
(((((1,2),(((((7,8),9),10),11),12)),3),6),4,5); -7698.95 -0.978031 83.2685 39.1902 -7744.01
((((1,2),(3,((4,5),6))),(11,12)),((7,8),9),10); -7695.75 -1.33507 79.9943 39.329 -7737.75
((((1,2),(3,((4,5),6))),(11,12)),((7,8),9),10); -7690.59 -1.33507 83.6216 39.2215 -7736.32
((((1,((3,6),(4,5))),2),(11,12)),((7,8),9),10); -7693.07 -6.29432 82.7874 39.3384 -7742.81
((1,2),(3,((4,5),6)),(((((7,8),9),10),11),12)); -7701.99 -0.978031 79.5804 38.7273 -7743.82
((1,2),(3,((4,5),6)),((((7,8),9),10),(11,12))); -7698.27 -1.33507 77.437 38.8535 -7738.19
((((1,2),(3,((4,5),6))),(11,12)),((7,8),9),10); -7693.24 -1.33507 83.1569 39.1898 -7738.54
(((((((1,2),(3,((4,5),6))),11),12),10),9),7,8); -7689.66 -1.84388 79.2895 39.1639 -7731.63
(((((((1,2),(3,((4,5),6))),12),11),10),9),7,8); -7703 -0.978031 80.7744 38.7565 -7746
(((1,2),(((((7,8),9),10),11),12)),(3,6),(4,5)); -7701.98 -3.48888 82.4414 39.0234 -7748.89
((((((1,2),(3,((4,5),6))),12),11),10),(7,8),9); -7706.13 -0.978031 73.915 38.753 -7742.27
((((1,2),((3,6),(4,5))),12),(((7,8),9),10),11); -7706.01 -3.48888 76.9371 38.4029 -7748.03
((((1,(2,((((7,8),9),10),(11,12)))),3),6),4,5); -7692.55 -3.78347 78.7749 38.816 -7736.3
(((1,2),(3,((4,5),6))),(((7,8),9),10),(11,12)); -7697.68 -1.33507 77.9673 39.4307 -7737.55
(((1,2),((((7,8),9),10),(11,12))),(3,6),(4,5)); -7702.24 -3.84592 74.9287 38.7213 -7742.3
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.3 -1.33507 78.8071 38.8941 -7736.55
((((1,2),(3,((4,5),6))),12),(((7,8),9),10),11); -7696.17 -0.978031 85.1557 38.8986 -7743.4
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.14 -1.33507 84.019 39.4925 -7738
((1,2),(3,((4,5),6)),(((((7,8),9),10),12),11)); -7687.77 -1.84388 81.6123 39.1809 -7732.05
((((((1,2),(3,((4,5),6))),12),11),10),(7,8),9); -7705.73 -0.978031 74.5661 38.9815 -7742.29
(((1,2),(3,((4,5),6))),((((7,8),9),10),12),11); -7688.54 -1.84388 81.0641 39.098 -7732.35
(((((((1,(3,((4,5),6))),2),12),11),10),9),7,8); -7705.11 -3.42643 75.2937 39.2848 -7744.55
((1,2),(3,((4,5),6)),(((((7,8),9),10),11),12)); -7705.03 -0.978031 76.9957 38.6411 -7744.36
(((((1,2),((((7,8),9),10),(11,12))),3),6),4,5); -7703.56 -1.33507 70.0454 38.4231 -7736.52
((((1,2),(3,((4,5),6))),(11,12)),((7,8),9),10); -7696.18 -1.33507 79.1369 39.2184 -7737.43
(((1,2),(3,((4,5),6))),((((7,8),9),10),11),12); -7699.2 -0.978031 82.5454 39.1555 -7743.57
(((((((1,2),((3,6),(4,5))),12),11),10),9),7,8); -7703.1 -3.48888 82.3298 39.5434 -7749.38
((((1,2),((((7,8),9),10),(11,12))),(3,6)),4,5); -7693.86 -3.84592 83.1787 38.6592 -7742.23
(((((1,2),(3,((4,5),6))),(11,12)),10),(7,8),9); -7691.58 -1.33507 83.6756 38.7364 -7737.85
((((1,2),(((((7,8),9),10),12),11)),3),(4,5),6); -7686.84 -1.84388 82.3115 38.7758 -7732.22
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7694.54 -1.33507 81.5914 39.1063 -7738.36
(1,2,(((3,6),(4,5)),((((7,8),9),10),(11,12)))); -7692.69 -3.84592 85.2635 39.266 -7742.54
(((1,2),((3,(4,5)),6)),(((7,8),9),10),(11,12)); -7703.89 -4.2179 78.8907 39.875 -7747.13
((((1,2),(((((7,8),9),10),11),12)),3),(4,5),6); -7699.75 -0.978031 81.0613 38.771 -7743.02
((((1,2),(3,((4,5),6))),(((7,8),9),10)),11,12); -7692.9 -1.33507 81.2785 39.1407 -7736.37
((((1,2),(((((7,8),9),10),12),11)),3),(4,5),6); -7691.63 -1.84388 78.7376 39.463 -7732.75
(((((1,2),(3,((4,5),6))),(11,12)),10),(7,8),9); -7691.99 -1.33507 84.0176 39.2509 -7738.09
(((1,2),((4,5),6)),3,(((((7,8),9),10),12),11)); -7711.68 -6.84475 75.9422 39.0992 -7755.37
(((1,2),((((7,8),9),10),(11,12))),3,((4,5),6)); -7693.41 -1.33507 83.0587 39.2673 -7738.54
((((((1,2),(3,((4,5),6))),12),11),10),(7,8),9); -7705.5 -0.978031 74.4574 38.3903 -7742.54
(((1,2),(((((7,8),9),10),11),12)),(3,(4,5)),6); -7718.87 -3.86086 70.1061 38.2089 -7754.63
((((1,2),(((((7,8),9),10),11),12)),3),(4,5),6); -7697.85 -0.978031 82.8377 38.7733 -7742.89
((((((1,2),((3,(4,5)),6)),12),11),10),(7,8),9); -7708.41 -3.86086 81.2316 38.861 -7754.64
((((1,2),(3,((4,5),6))),11),(((7,8),9),10),12); -7692.08 -1.84388 75.3325 38.5764 -7730.68
((((((1,2),((3,(4,5)),6)),(11,12)),10),9),7,8); -7699.3 -4.2179 82.4026 39.2011 -7746.72
((((((1,2),(3,((4,5),6))),(11,12)),10),9),7,8); -7696.16 -1.33507 79.2856 38.8705 -7737.91
((((((1,2),(3,((4,5),6))),12),11),10),(7,8),9); -7698.39 -0.978031 85.5162 39.1738 -7745.71
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7695.3 -1.33507 80.3745 39.2713 -7737.74
((((1,2),(((((7,8),9),10),12),11)),3),(4,5),6); -7693.91 -1.84388 74.3779 38.8263 -7731.3
((((1,2),(3,((4,5),6))),12),(((7,8),9),10),11); -7702.28 -0.978031 79.718 39.045 -7743.94
(((1,2),(((((7,8),9),10),11),12)),3,((4,5),6)); -7702.27 -0.978031 78.6252 39.3838 -7742.49
(((1,2),(3,((4,5),6))),(((7,8),9),10),(11,12)); -7694.14 -1.33507 81.8279 39.3565 -7737.94
((1,2),(3,((4,5),6)),((((7,8),9),10),(11,12))); -7694.84 -1.33507 81.2776 39.2938 -7738.15
(((((1,2),(3,((4,5),6))),(11,12)),10),(7,8),9); -7700.59 -1.33507 73.0832 38.4168 -7736.59
(((((((1,2),(3,((4,5),6))),12),11),10),9),7,8); -7699.8 -0.978031 81.8705 38.8923 -7743.75
((((1,2),(((((7,8),9),10),12),11)),3),(4,5),6); -7691.43 -1.84388 78.7017 39.2797 -7732.7
(1,(2,((((7,8),9),10),(11,12))),(3,((4,5),6))); -7693.78 -3.78347 76.8534 39.128 -7735.29
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7690.9 -1.33507 83.7189 38.9779 -7736.97
(((((1,2),(((((7,8),9),10),11),12)),3),6),4,5); -7704.02 -0.978031 78.8613 39.2272 -7744.63
((((1,2),(((((7,8),9),10),11),12)),3),(4,5),6); -7705.1 -0.978031 76.4478 39.1039 -7743.43
((((((1,2),(3,((4,5),6))),12),11),10),(7,8),9); -7702.03 -0.978031 79.0521 38.5688 -7743.49
(((1,2),((((7,8),9),10),(11,12))),3,((4,5),6)); -7693.96 -1.33507 81.2797 39.0808 -7737.5
(((((1,2),(((((7,8),9),10),11),12)),3),6),4,5); -7696.91 -0.978031 85.3444 39.4634 -7743.77
((((1,2),(3,((4,5),6))),(((7,8),9),10)),11,12); -7695.01 -1.33507 80.6101 39.0457 -7737.91
((((1,2),((((7,8),9),10),(11,12))),3),(4,5),6); -7699.6 -1.33507 76.359 39.2485 -7738.04
(((1,(3,((4,5),6))),2),((((7,8),9),10),11),12); -7704.63 -3.42643 75.0158 39.0819 -7743.99
((((1,2),((((7,8),9),10),(11,12))),3),(4,5),6); -7691.64 -1.33507 82.6673 39.1737 -7736.46
((((1,2),(((((7,8),9),10),11),12)),(3,6)),4,5); -7715.35 -3.48888 68.8296 38.8079 -7748.86
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7693.72 -1.33507 80.1967 38.4424 -7736.81
(((1,2),((((7,8),9),10),(11,12))),3,((4,5),6)); -7690.89 -1.33507 84.7567 39.2288 -7737.76
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7692.87 -1.33507 79.805 38.5328 -7735.48
(((((1,2),(3,((4,5),6))),11),12),((7,8),9),10); -7686.17 -1.84388 83.1016 39.1978 -7731.92
(1,2,((3,((4,5),6)),((((7,8),9),10),(11,12)))); -7691.68 -1.33507 84.6272 39.5573 -7738.09
(1,2,((3,(((((7,8),9),10),11),12)),((4,5),6))); -7720.09 -5.97891 78.4601 38.8597 -7765.67
((((((1,2),(3,((4,5),6))),12),11),10),(7,8),9); -7707.55 -0.978031 74.1327 38.8493 -7743.81
(((1,2),(3,((4,5),6))),((((7,8),9),10),11),12); -7703.16 -0.978031 77.7957 38.9654 -7742.96
(((1,2),((3,6),(4,5))),(((7,8),9),10),(11,12)); -7698.66 -3.84592 78.3199 38.8733 -7741.95
