tree logl logTop logProp logPrior logWt
((((1,2),(((((7,8),9),10),11),12)),3),(4,5),6); -7700.95 -0.956856 78.3638 38.8995 -7741.38
(((1,(2,(((((7,8),9),10),11),12))),3),(4,5),6); -7700.07 -3.33958 79.4598 38.7448 -7744.12
(((((1,2),(((((7,8),9),10),11),12)),3),6),4,5); -7698.96 -0.956856 82.1244 38.9214 -7743.12
(((((1,2),((((7,8),9),10),(11,12))),3),6),4,5); -7695.96 -1.34506 75.9019 38.8043 -7734.41
(((((1,2),(3,((4,5),6))),(11,12)),10),(7,8),9); -7693.48 -1.34506 81.025 39.1126 -7736.74
(((1,(3,((4,5),6))),2),((((7,8),9),10),12),11); -7685.9 -4.23902 79.4027 38.8359 -7730.71
((1,2),(3,((4,5),6)),(((((7,8),9),10),11),12)); -7702.1 -0.956856 77.8936 38.6999 -7742.25
(((1,2),(3,((4,5),6))),(((7,8),9),10),(11,12)); -7690.71 -1.34506 83.8175 38.9898 -7736.89
((((1,2),(((((7,8),9),10),11),12)),(3,6)),4,5); -7701.68 -3.52746 81.1763 38.586 -7747.8
(((((1,2),((((7,8),9),10),(11,12))),3),6),4,5); -7692.83 -1.34506 82.4593 39.1343 -7737.5
((1,2),(3,((4,5),6)),(((((7,8),9),10),11),12)); -7697.09 -0.956856 84.5948 39.5757 -7743.06
(((((1,2),(((((7,8),9),10),11),12)),6),3),4,5); -7705.39 -3.94114 83.6677 38.96 -7754.04
((((((1,2),(3,((4,5),6))),11),12),10),(7,8),9); -7687.46 -1.8563 81.2176 39.4089 -7731.12
(((((1,2),(3,((4,5),6))),12),11),((7,8),9),10); -7695.96 -0.956856 85.6076 39.2266 -7743.29
((1,2),(3,((4,5),6)),(((((7,8),9),10),11),12)); -7698.12 -0.956856 82.3894 38.6921 -7742.77
(((1,2),(3,((4,5),6))),(((7,8),9),10),(11,12)); -7689.49 -1.34506 85.4973 39.0071 -7737.33
(((1,2),(3,((4,5),6))),((((7,8),9),10),11),12); -7702.67 -0.956856 79.4541 39.27 -7743.81
(((((1,2),(((((7,8),9),10),11),12)),3),6),4,5); -7703.6 -0.956856 76.7139 39.0516 -7742.22
((1,2),(3,((4,5),6)),((((7,8),9),10),(11,12))); -7697.38 -1.34506 75.9155 39.278 -7735.36
((((1,2),((((7,8),9),10),(11,12))),3),(4,5),6); -7694.33 -1.34506 79.4363 38.7895 -7736.32
(((((((1,2),(3,((4,5),6))),11),12),10),9),7,8); -7687.57 -1.8563 79.7814 39.0247 -7730.19
(((((1,2),(3,((4,5),6))),11),12),((7,8),9),10); -7688.58 -1.8563 79.5723 39.0854 -7730.93
((1,2),((3,6),(4,5)),(((((7,8),9),10),11),12)); -7702.25 -3.52746 81.6816 39.3259 -7748.14
((((1,2),(((((7,8),9),10),11),12)),3),(4,5),6); -7707.79 -0.956856 74.66 38.9395 -7744.47
((((1,2),(3,((4,5),6))),12),(((7,8),9),10),11); -7701.38 -0.956856 78.4606 39.2411 -7741.56
(((1,2),((((7,8),9),10),(11,12))),3,((4,5),6)); -7693.98 -1.34506 81.5468 39.1465 -7737.73
((1,2),((3,6),(4,5)),((((7,8),9),10),(11,12))); -7700.04 -3.91566 75.2908 38.7685 -7740.48
(1,(2,(3,(((((7,8),9),10),11),12))),((4,5),6)); -7774.39 -8.85353 73.1193 38.0495 -7818.32
((((1,2),(((((7,8),9),10),11),12)),3),(4,5),6); -7699.22 -0.956856 81.132 38.7865 -7742.52
((((((1,2),((3,(4,5)),6)),11),12),10),(7,8),9); -7691.37 -4.84058 85.2267 39.0617 -7742.38
(1,2,((3,((4,5),6)),(((((7,8),9),10),11),12))); -7699.32 -0.956856 83.1189 39.4862 -7743.91
