tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(((3,4),6),((5,9),((((7,8),10),((((11,19),(18,20)),17),(14,(15,16)))),(12,13))))); -2977.1  -9.18126 149.076 78.8781 20.7335 -3058.85 0.284569 0.181672 0.196406 0.337352 0.0456102  0.391314  0.104794 0.0435186  0.300994  0.113769
(1,2,(((3,4),6),(((5,9),(15,16)),((((7,8),(((11,(18,20)),19),17)),((12,13),14)),10)))); -2987.71  -9.55302 154.42 78.6844 18.4709 -3072.37 0.260666 0.195099 0.197486 0.346749 0.0702511  0.369774   0.11439 0.0378178  0.278218  0.129549
(1,2,((((3,4),6),(((5,9),15),((7,8),(((10,14),(12,13)),16)))),((((11,19),18),20),17))); -3017.67  -14.5798 155.343 78.8899 20.9192 -3100.46 0.245686 0.161817 0.243271 0.349226 0.0666644   0.39661  0.105605 0.0443886  0.275373  0.111359
(1,2,(((((3,4),6),10),(((5,9),(((((11,19),18),(17,20)),(15,16)),14)),(12,13))),(7,8))); -2969.12  -12.7986 156.455 78.6443 17.7029 -3051.83 0.260862 0.183106 0.212098 0.343933  0.092617  0.366807 0.0616861 0.0891599  0.252108  0.137622
(1,2,(((3,4),6),((((((5,9),14),(15,16)),(((11,19),(18,20)),17)),(10,(12,13))),(7,8)))); -2964.6  -6.58664 156.414 78.366 23.5549 -3059.62 0.262568 0.192538 0.207221 0.337673 0.0754757  0.373984     0.103 0.0625316  0.271553  0.113456
(1,2,((((((3,4),6),10),(7,8)),((((5,9),14),(12,13)),((15,16),((17,(18,20)),19)))),11)); -3000.67  -9.43389 150.758 78.5365 24.963 -3088.42 0.263049 0.175775 0.210093 0.351083 0.0662171  0.396172 0.0999376 0.0485658  0.293323 0.0957842
(1,2,(((3,4),6),(((5,9),((((7,8),(((11,(18,20)),19),17)),(15,16)),14)),(10,(12,13))))); -2974.04  -9.96031 158.164 79.5624 23.7141 -3066.39 0.264357 0.159135 0.231902 0.344607 0.0729259  0.372706 0.0997828 0.0486225  0.295449  0.110513
(1,2,((((3,((((7,8),((11,((18,20),19)),17)),10),(15,16))),((5,9),((12,13),14))),6),4)); -3018.47  -16.6802 146.481 78.3185 15.7536 -3085.71 0.312671 0.178431 0.170487 0.338411 0.0559052   0.36488  0.122718 0.0689855  0.291624 0.0958876
(1,2,(((3,4),6),((5,9),(((7,8),((((11,19),(18,20)),17),(14,(15,16)))),(10,(12,13)))))); -2971.76  -8.54749 159.961 78.66 21.2024 -3065.71 0.268637  0.16278 0.211292  0.35729 0.0549643  0.336191   0.12424 0.0664201  0.286652  0.131533
(1,2,((3,(4,6)),(((5,9),(12,13)),(((7,8),10),((11,((17,(18,20)),19)),(14,(15,16))))))); -2972.83  -12.4343 173.205 78.5805 23.7623 -3078.78 0.270838 0.176318 0.213885 0.338959 0.0558526   0.40607 0.0851495 0.0829939  0.257806  0.112129
(1,2,(((3,4),6),((((5,9),((((11,(18,20)),19),17),(14,(15,16)))),(10,(12,13))),(7,8)))); -2969.05  -8.73611 150.603 78.6893 24.1736 -3056.4  0.27142 0.156618 0.224282 0.347681 0.0711444  0.401557  0.103432  0.077201  0.273083 0.0735828
(1,2,(((3,6),4),(((((5,9),14),((((11,18),19),(17,20)),(15,16))),((7,8),10)),(12,13)))); -2965.62  -10.5301 153.927 78.8979 20.2791 -3050.4 0.250831 0.172356 0.223845 0.352968 0.0668797  0.306642 0.0930695 0.0699807  0.343944  0.119484
