tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,(((3,4),6),(((5,9),14),(((7,8),((((11,(18,20)),19),17),(15,16))),(10,(12,13)))))); -2976.57  -8.1671 145.975 78.2927 20.2694 -3056.36 0.285645 0.157234 0.198735 0.358385 0.0717672  0.346072  0.125987 0.0957425  0.268909 0.0915217
(1,2,((((3,4),6),(((5,9),(10,(12,13))),(((11,((17,(18,20)),19)),(15,16)),14))),(7,8))); -2984.96  -12.876 150.795 78.603 19.2699 -3063.55 0.269138 0.172269 0.225275 0.333318 0.0494877   0.30884  0.141552 0.0764191  0.328716  0.094985
(1,2,(((((3,4),6),(10,(12,13))),(((5,9),((14,15),16)),(((11,19),17),(18,20)))),(7,8))); -2982.16  -13.5168 152.432 78.0177 20.7859 -3063.85 0.294291 0.159105 0.211163 0.335441 0.0788653   0.36578  0.103751 0.0881109  0.233874  0.129619
(1,2,((3,(4,6)),(((((5,9),(12,13)),14),((11,((17,(18,20)),19)),(15,16))),(7,(8,10))))); -2965.12  -14.9518 153.335 78.4095 24.0094 -3049.1 0.287595 0.162851 0.205095 0.344459 0.0702392  0.381168 0.0855651 0.0848606  0.287418   0.09075
(1,2,(((((3,4),6),((((7,8),((((11,18),20),19),17)),10),(15,16))),(12,13)),((5,9),14))); -2973.97  -14.6069 161.2 78.7359 22.2842 -3064.12 0.255033 0.166614 0.227818 0.350535 0.0559404  0.364676  0.103376 0.0469717  0.301949  0.127087
(1,2,(((3,6),4),(((((5,9),(12,13)),(((11,(18,(19,20))),17),(14,(15,16)))),7),(8,10)))); -2974.74  -17.0018 151.823 78.6854 20.6473 -3051.52 0.255717 0.193637 0.224605 0.326041 0.0699578   0.39887  0.101771  0.036247  0.284559  0.108596
(1,2,(((3,4),(((((5,9),15),(7,8)),(((((11,19),(18,20)),17),16),((12,13),14))),10)),6)); -2997.66  -9.62106 154.304 78.5364 23.6075 -3087.41 0.254492  0.17053 0.227567 0.347411 0.0672523  0.389184 0.0701836 0.0830074  0.299838 0.0905342
(1,2,((((((3,10),4),6),(7,8)),((((5,9),14),(15,16)),((11,(18,20)),(17,19)))),(12,13))); -2970.75  -13.1539 157.142 78.1743 23.7778 -3060.35 0.275692 0.177508 0.203876 0.342924 0.0927712  0.372514 0.0802613 0.0604392  0.290961  0.103054
(1,2,(((3,4),6),(((5,9),(12,13)),((((7,8),10),((((11,19),((17,20),18)),16),15)),14)))); -2986.58  -13.6309 150.388 78.1642 17.2849 -3062.46 0.248749 0.162952 0.230892 0.357407 0.0272485  0.377743  0.093472 0.0696567  0.301768  0.130111
(1,2,(((3,6),4),((((5,9),(((11,(18,20)),(17,19)),(14,(15,16)))),(10,(12,13))),(7,8)))); -2970.96  -10.6374 148.55 78.5936 20.7492 -3051.03 0.294417  0.17394 0.206912 0.324731 0.0930172  0.437991 0.0748659 0.0494121  0.249668  0.095046
(1,2,((((((3,4),6),10),(7,8)),(((5,9),(14,(15,16))),(11,((17,19),(18,20))))),(12,13))); -2973.99  -12.1359 148.262 78.7117 22.749 -3054.15 0.258935 0.170428 0.204148 0.366489 0.0639693  0.425233 0.0797719 0.0712503  0.278301  0.081475
(1,2,(((3,4),6),((((5,9),14),(10,(12,13))),(((7,8),((11,(17,(18,(19,20)))),16)),15)))); -3005.25  -16.2049 143.953 78.5249 21.5374 -3076.01 0.277471 0.178745 0.217243 0.326541 0.0913888  0.355758  0.094788 0.0653566  0.328837 0.0638717
(1,2,(((3,4),6),((((5,9),14),(12,13)),(((7,8),10),((11,(17,((18,20),19))),(15,16)))))); -2977.66  -8.70682 145.61 78.0469 18.7885 -3055.3 0.280986 0.182278 0.218022 0.318714 0.0441488  0.395955 0.0597621  0.069732  0.355555 0.0748466
(1,2,(((3,4),6),(((5,9),(12,13)),(((7,8),((((11,18),(17,20)),19),(15,16))),(10,14))))); -2979.96  -12.0494 146.141 78.3734 24.7488 -3060.43 0.285674 0.165119 0.212271 0.336936 0.0793488     0.367  0.100301  0.070348  0.287148 0.0958545
(1,2,((3,(((5,9),6),((((7,(((11,18),19),(17,20))),(8,10)),(15,16)),((12,13),14)))),4)); -3016.76  -16.4829 157.157 78.4961 18.5549 -3097.49  0.26448 0.173456 0.204339 0.357725 0.0835565  0.369436 0.0802848  0.110759  0.225288  0.130676
(1,2,(((3,4),6),(((((5,9),(10,((12,13),14))),(15,16)),((11,(18,20)),(17,19))),(7,8)))); -2985.99  -14.7826 152.068 78.7443 22.3114 -3066.84 0.280696 0.165364 0.196802 0.357137 0.0830484  0.399977 0.0785085 0.0506316   0.30439 0.0834443
(1,2,(((((3,4),6),10),((7,8),(11,((17,(18,20)),19)))),(((5,9),((12,13),14)),(15,16)))); -2984.42  -11.7023 151.612 78.4597 19.6252 -3065.5 0.267505 0.167805 0.210203 0.354486 0.0638294  0.419615 0.0960868 0.0908198   0.27895  0.050699
(1,2,(((3,4),6),(((5,9),(((7,8),(((11,19),((17,20),18)),(15,16))),(10,14))),(12,13)))); -2999.34  -11.5885 145.304 78.9947 21.458 -3075.52 0.266039 0.170437 0.242089 0.321435 0.0438039  0.372657  0.108574 0.0600508  0.325431 0.0894824
(1,2,((((3,4),6),((7,8),(10,(12,13)))),(((5,9),14),((((11,19),(18,20)),17),(15,16))))); -2963.59  -10.4801 155.176 78.605 21.5501 -3051.23 0.264653 0.196387 0.214473 0.324487 0.0786894  0.369653  0.118806 0.0831093  0.263811 0.0859311
(1,2,((((3,4),6),(((7,8),((11,((17,(18,20)),19)),(15,16))),(10,14))),((5,9),(12,13)))); -2986.75  -11.0039 152.943 78.8785 21.1059 -3070.92 0.285421 0.186515 0.206127 0.321938 0.0468849  0.399849 0.0747575 0.0585834  0.290012  0.129913
(1,2,(((3,6),4),((5,9),(((((7,8),(((11,19),(18,20)),17)),(15,16)),10),((12,13),14))))); -2983.98  -9.53798 152.996 78.649 21.6613 -3070.45 0.270802 0.195009 0.218489   0.3157 0.0724602  0.407869  0.107328 0.0702446  0.269579 0.0725197
(1,2,(((3,4),6),(((((5,9),14),(15,16)),(((7,8),10),(12,13))),((((11,18),19),17),20)))); -2974.39  -15.8328 155.219 78.2624 20.935 -3056.45 0.247519 0.175775 0.206837 0.369869  0.064436  0.355011 0.0967787 0.0857562  0.321279 0.0767389
(1,2,(((((3,4),6),(((7,8),(((11,19),(17,(18,20))),(15,16))),10)),((5,9),(12,13))),14)); -2978.12  -11.5486 145.956 78.3123 23.5407 -3057.76 0.271579 0.173945 0.207367  0.34711 0.0641515  0.435667 0.0864233 0.0623756  0.276434 0.0749481
(1,2,(((3,4),6),((((5,9),((12,13),14)),10),((7,8),((((11,(18,20)),19),17),(15,16)))))); -2967.86  -10.4267 153.139 78.6352 23.6255 -3055.57  0.26409 0.171225 0.220101 0.344584 0.0618273  0.367661 0.0991476 0.0783356  0.261928  0.131101
(1,2,((((3,4),6),((7,8),10)),(((5,9),((12,13),14)),((((11,19),17),(18,20)),(15,16))))); -2959.28  -10.4284 153.907 79.1837 22.5811 -3046.16 0.282083 0.176423 0.206257 0.335237 0.0806641  0.419919 0.0767643 0.0503691  0.298243 0.0740407
(1,2,((((3,4),6),10),(((5,9),((12,13),14)),((7,8),(((((11,19),18),20),17),(15,16)))))); -2966.45  -13.5897 159.627 78.728 22.3748 -3056.14 0.252475 0.161641 0.220754  0.36513 0.0529914  0.413855  0.095111 0.0590059  0.300704 0.0783323
(1,2,((3,(4,6)),(((((5,9),14),(15,16)),(10,(12,13))),((7,8),(((11,19),(17,20)),18))))); -2988.05  -12.4184 148.063 78.6947 22.9097 -3067.91  0.24978 0.171308 0.244389 0.334524 0.0800934  0.371836   0.10281  0.071358  0.284252 0.0896505
(1,2,(((((3,4),6),((((5,9),(14,(15,16))),((((11,19),18),17),20)),(10,(12,13)))),8),7)); -2979.28  -14.8338 153.069 78.1957 20.5659 -3059.89 0.240794 0.175266 0.226677 0.357264 0.0759594  0.348634  0.130405 0.0715836  0.294305 0.0791138
(1,2,(((3,4),6),((5,9),((7,((8,10),(12,13))),(((11,((17,(18,20)),19)),(15,16)),14))))); -2985.6  -13.2514 150.437 78.2999 21.2486 -3065.74 0.284947  0.17615 0.196294 0.342609 0.0515379  0.432345 0.0731938 0.0471833  0.285939  0.109801
(1,2,(((3,4),6),((((((5,9),14),(15,16)),(10,(12,13))),(7,8)),(11,(((17,20),19),18))))); -2983.96  -11.1711 147.119 78.121 20.5546 -3062.34 0.284105 0.153534 0.220667 0.341695  0.086503   0.39309 0.0597523 0.0694445  0.256385  0.134825
(1,2,(((3,4),(((((5,9),(14,(15,16))),(((11,18),19),(17,20))),(7,8)),(10,(12,13)))),6)); -2977.15  -10.1213 155.488 79.0685 22.0704 -3065.52 0.259552 0.162888 0.207548 0.370012 0.0563277  0.358069 0.0970542 0.0895589  0.284158  0.114832
(1,2,(((3,6),4),((5,9),(((7,8),(10,(12,13))),(((((11,(18,20)),19),17),(15,16)),14))))); -2980.73  -10.1778 140.114 77.9755 23.1217 -3055.81 0.259306 0.158898 0.231955 0.349841 0.0505091  0.407726  0.108381 0.0660758  0.266788   0.10052
