tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(((2,((3,4),5)),(8,(9,10))),((6,12),11)),7); nan  -4.16868 nan nan 23.7251 nan  0.208412 0.0112522  0.251194  0.529142   0.194475   0.247081  0.0880615  0.0281325   0.435008 0.00724206
(1,((((2,((3,4),5)),(6,((8,9),10))),12),7),11); -7382.52  -3.44071 96.4723 43.5073 23.9076 -7455.95  0.152271 0.0355112  0.403528  0.408689   0.180261   0.223479  0.0947306  0.0246035   0.475847 0.00107851
(1,((((2,11),((3,4),5)),(6,12)),((8,9),10)),7); -8423.72  -4.04118 134.91 47.2759 23.2236 -8530.53   0.169134 0.00674465   0.355784   0.468337   0.206544   0.239737   0.103141  0.0346722   0.412334 0.00357093
(1,(((2,((8,9),10)),((3,4),5)),((6,12),11)),7); nan  -2.677 nan nan 22.149 nan  0.234628 0.0332029  0.227708  0.504461   0.179202   0.256084  0.0890891  0.0214247   0.448829 0.00537215
(1,(((2,((8,9),10)),((3,4),5)),((6,12),11)),7); nan  -2.677 nan nan 22.8089 nan  0.192294 0.0297785  0.242168  0.535759   0.192415   0.261412  0.0976089  0.0217225   0.422256 0.00458554
(1,((((2,11),((3,4),5)),(6,12)),((8,9),10)),7); -7367.15  -4.04118 104.305 44.15 25.3737 -7448.64 0.211922 0.031509 0.329983 0.426586  0.216073  0.220072  0.082395 0.0264647  0.452506 0.0024901
(1,(((2,((3,4),5)),((6,12),(8,(9,10)))),7),11); -7528.3  -4.33583 96.4089 44.1218 26.1205 -7602.37   0.18886 0.0304906  0.324032  0.456617   0.201952   0.234435  0.0738515  0.0301386   0.457493 0.00212935
(1,(((2,11),6),(7,(((8,9),10),12))),((3,4),5)); -7365.41  -3.37655 98.464 44.1349 24.6596 -7441.02  0.137635 0.0366934  0.280829  0.544843   0.209717   0.216181  0.0941051  0.0298756   0.448279 0.00184215
(1,(((((2,((8,9),10)),((3,4),5)),7),12),6),11); -7044.91  -4.89782 94.1055 41.7528 25.1654 -7117.53  0.181231 0.0510923  0.301225  0.466452   0.197628   0.218243  0.0861268  0.0285603   0.468411 0.00103155
(1,((((2,(8,(9,10))),((3,4),5)),(6,12)),7),11); -7698.62  -3.9936 101.839 45.0382 25.7276 -7777.16   0.13362 0.0229664  0.351689  0.491724    0.21188   0.221001  0.0912869  0.0285421   0.446114 0.00117588
(1,(((2,11),6),(7,(((8,9),10),12))),((3,4),5)); -7718.11  -3.37655 110.968 45.673 23.238 -7803.27  0.217621 0.0195708  0.317134  0.445674  0.207352  0.211087  0.077985 0.0224525  0.472849 0.0082743
(1,((((2,11),((3,4),5)),(6,12)),((8,9),10)),7); -7598.76  -4.04118 104.409 44.2437 25.9984 -7680.88  0.197857 0.0259384  0.318686  0.457519    0.195263    0.226821   0.0880679    0.021439    0.467922 0.000486612
(1,(((2,((3,4),5)),((8,9),10)),((6,12),11)),7); -7166.58  -2.50475 94.0496 42.3394 25.7852 -7241.57  0.190902 0.0425099   0.30765  0.458938   0.186609   0.246128  0.0895429  0.0251391   0.448721 0.00386064
(1,((((2,((8,9),10)),((3,4),5)),(6,12)),7),11); -8477.22  -2.32967 125.91 47.0254 23.8845 -8577.66   0.180976 0.00867679    0.39326   0.417087  0.191563  0.222575 0.0903854 0.0299304   0.45855 0.0069969
(1,(((2,((3,4),5)),(8,(9,10))),((6,12),11)),7); -7912.48  -4.16868 106.867 45.3308 23.7438 -7993.6  0.175282 0.0224875  0.402252  0.399979   0.218461   0.243939  0.0866537  0.0216331    0.42693 0.00238278
(1,((((2,((3,4),5)),((8,9),10)),(6,12)),7),11); nan  -2.15742 nan nan 24.7527 nan  0.161493 0.0398201   0.25084  0.547847   0.183475   0.233082  0.0910614  0.0296707   0.459376 0.00333433
(1,((((2,11),((3,4),5)),(6,12)),((8,9),10)),7); -7542.9  -4.04118 107.095 44.9524 26.2823 -7627.28  0.156689 0.0252937  0.298732  0.519286   0.192694   0.213818   0.090968  0.0301186   0.469845 0.00255662
(1,((((2,((3,4),5)),(8,(9,10))),(6,12)),7),11); -7861.51  -3.82135 107.329 46.0615 25.2222 -7944.18  0.133702 0.0171337  0.325925   0.52324   0.188132   0.217264  0.0960497  0.0350451   0.460491 0.00301893
(1,((((2,(8,(9,10))),((3,4),5)),(6,12)),7),11); -8234.27  -3.9936 111.925 46.5745 21.0281 -8316.65  0.250334 0.0106439  0.334403   0.40462   0.178079   0.273577   0.073262  0.0273909   0.442787 0.00490461
(1,((((2,((3,4),5)),((8,9),10)),(6,12)),11),7); -8527.78  -4.24775 135.661 47.354 22.5729 -8634.41   0.178918 0.00668483   0.384571   0.429826    0.207708    0.196598    0.100407   0.0286117    0.465775 0.000900003
(1,(((2,((3,4),5)),((8,9),10)),((6,12),11)),7); nan  -2.50475 nan nan 19.8556 nan 0.247599 0.045361 0.313211 0.393829   0.165284   0.243285  0.0982306  0.0242307   0.460734 0.00823581
(1,((((2,((3,4),5)),(8,(9,10))),(6,12)),7),11); -7487.35  -3.82135 109.259 44.6153 21.4526 -7569.62  0.243555 0.0268426  0.334206  0.395396  0.200186  0.242506 0.0824398 0.0205558  0.444237 0.0100754
(1,(((2,((8,9),10)),((3,4),5)),((6,12),11)),7); -7636.95  -2.677 114.877 45.1076 22.6852 -7726.73  0.173551 0.0207484  0.308262  0.497439    0.165641    0.241277    0.111486   0.0369868     0.44376 0.000849343
(1,((((2,((3,4),5)),(8,(9,10))),(6,12)),7),11); -7627.45  -3.82135 102.898 44.3412 22.478 -7704.67  0.121313 0.0267152   0.40243  0.449542   0.211884   0.233156  0.0880773  0.0363004    0.42627 0.00431253
(1,((((2,(8,(9,10))),((3,4),5)),(6,12)),7),11); -7654.88  -3.9936 109.648 45.5918 23.9549 -7738.9  0.159087 0.0227186  0.280978  0.537216   0.196219   0.201004  0.0807926   0.033288   0.487242 0.00145456
