tree logl logTop logProp logPrior logWt parsimonyScore
(1,((2,(5,6)),3),4); -211.266 -3.75157 25.5533 12.8562 -227.714 29
(1,(2,((4,6),5)),3); -199.871 -1.71506 28.0024 16.7084 -212.88 27
(1,2,(3,(4,(5,6)))); -197.582 -2.83111 inf 16.8646 -inf 27
(1,(2,((4,6),5)),3); -196.899 -1.71506 inf 16.3609 -inf 27
(1,(2,((4,6),5)),3); -195.647 -1.71506 46.5749 15.4969 -228.44 27
(1,(2,5),(3,(4,6))); -202.301 -4.90351 17.7126 14.7954 -210.122 28
(1,((2,5),(4,6)),3); -199.587 -2.37731 18.7386 13.323 -207.38 27
(1,(((2,5),6),4),3); -199.181 -3.29261 31.6142 16.0968 -217.991 28
(1,((2,3),(5,6)),4); -202.464 -4.29036 32.8717 14.7532 -224.873 29
(1,((2,(5,6)),4),3); -202.513 -3.10915 22.7808 15.1942 -213.208 28
(1,((2,5),(4,6)),3); -198.304 -2.37731 19.12 14.9338 -204.867 27
(1,(2,(4,(5,6))),3); -198.951 -2.47062 32.6479 16.5923 -217.478 28
(1,(2,3),(4,(5,6))); -197.008 -2.64762 30.5858 16.9773 -213.264 27
(1,(((2,5),6),4),3); -202.679 -3.29261 21.8338 12.693 -215.113 28
(1,((2,5),(4,6)),3); -202.023 -2.37731 23.1476 17.4937 -210.054 27
(1,(2,3),(4,(5,6))); -200.001 -2.64762 69.0856 15.3127 -256.422 27
(1,(2,3),(4,(5,6))); -198.076 -2.64762 489.346 15.9118 -674.158 27
(1,2,(3,((4,6),5))); -202.906 -2.07555 23.2532 17.1757 -211.059 27
(1,(2,(4,(5,6))),3); -206.711 -2.47062 18.6892 10.7534 -217.118 28
(1,(2,(4,(5,6))),3); -197.117 -2.47062 36.8853 16.2113 -220.262 28
(1,2,(3,((4,6),5))); -196.999 -2.07555 25.4313 14.8769 -209.629 27
(1,(2,3),((4,6),5)); -200.031 -1.89206 21.6037 14.955 -208.572 27
(1,(2,3),((4,6),5)); -199.564 -1.89206 31.9803 16.6412 -216.795 27
(1,2,(3,(4,(5,6)))); -197.375 -2.83111 26.668 16.2368 -210.637 27
(1,(2,(4,(5,6))),3); -196.761 -2.47062 33.9129 14.1438 -219.001 28
(1,2,(3,((4,6),5))); -196.368 -2.07555 24.0163 16.6146 -205.845 27
(1,(2,((4,6),5)),3); -199.045 -1.71506 33.1831 15.0832 -218.86 27
(1,2,(3,(4,(5,6)))); -198.106 -2.83111 26.9565 15.459 -212.434 27
(1,(2,3),((4,6),5)); -199.076 -1.89206 27.5332 15.9448 -212.557 27
(1,(2,3),((4,6),5)); -198.523 -1.89206 24.466 15.7842 -209.097 27
(1,(2,(4,(5,6))),3); -197.206 -2.47062 127.64 16.6203 -310.696 28
(1,(2,3),((4,6),5)); -197.498 -1.89206 30.7094 16.8654 -213.234 27
(1,(2,((4,6),5)),3); -198.627 -1.71506 27.2924 16.2323 -211.402 27
(1,(2,(4,(5,6))),3); -201.19 -2.47062 24.1758 14.8198 -213.017 28
(1,(2,3),(4,(5,6))); -196.402 -2.64762 27.0134 15.2362 -210.827 27
(1,(2,(4,(5,6))),3); -204.224 -2.47062 34.1716 17.3977 -223.469 28
(1,(2,(4,(5,6))),3); -196.039 -2.47062 39.1592 15.794 -221.875 28
(1,(2,3),(4,(5,6))); -198.409 -2.64762 30.0738 16.665 -214.465 27
(1,(2,((4,6),5)),3); -196.066 -1.71506 26.8524 14.1412 -210.493 27
(1,(2,3),(4,(5,6))); -200.93 -2.64762 10.9583 13.7717 -200.764 27
(1,(2,3),(4,(5,6))); -198.565 -2.64762 21.8047 17.1076 -205.91 27
(1,((2,5),(4,6)),3); -200.652 -2.37731 18.543 15.0788 -206.493 27
