tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,(2,(3,4)),(((5,6),(7,8)),(((((((9,10),11),12),13),14),15),16))); -2274.8  -4.32058 114.241 59.5095 21.6763 -2346.89  0.338015  0.318137 0.0888304  0.255017  0.075649  0.266223  0.107094  0.115091  0.369863 0.0660805
(1,2,(3,(4,(((5,6),(7,8)),(((((((9,10),11),12),13),15),14),16))))); -2259.36  -3.17863 125.105 59.8372 21.2822 -2342.73  0.307251  0.322843 0.0780159   0.29189 0.0683496  0.255303 0.0754065  0.119848  0.403515 0.0775769
(1,2,(3,(4,(((5,(7,8)),6),(((((((9,10),11),12),13),14),15),16))))); -2267.23  -4.93944 110.232 60.3121 21.0532 -2333.26  0.285369  0.326923 0.0799081    0.3078 0.0608928  0.304386 0.0844453  0.103857  0.356755 0.0896639
(1,2,((3,4),(((5,6),((((((9,10),12),(11,13)),14),15),16)),(7,8)))); -2354.89  -9.12042 122.385 57.6842 22.331 -2432.81  0.305975  0.319053 0.0884336  0.286538 0.0729227  0.302498    0.0837  0.120953  0.305185  0.114742
(1,2,(3,(4,(((5,6),(7,8)),((((((9,10),11),12),(13,14)),15),16))))); -2256.87  -3.51231 123.429 60.0854 21.5803 -2338.28  0.289021  0.333742 0.0772165  0.300021  0.106612  0.271254 0.0864784   0.12698  0.305939  0.102737
(1,2,(3,(4,(((5,6),(((((((9,10),11),12),13),14),15),16)),(7,8))))); -2247.19  -3.71335 117.559 60.4502 22.319 -2322.9  0.316017  0.312748 0.0883963  0.282839  0.072988   0.31987 0.0697712  0.157001  0.316215 0.0641544
(1,2,(3,(4,(((5,6),(7,8)),(((((((9,10),11),12),13),14),15),16))))); -2258.35  -1.9069 122.333 60.2076 21.0512 -2339.62  0.317992  0.300292 0.0852881  0.296427 0.0745945  0.252901  0.108724  0.141318  0.364157 0.0583055
(1,2,(3,(4,(((5,6),(7,8)),(((((((9,10),11),12),13),14),15),16))))); -2347.01  -1.9069 110.907 57.4993 20.663 -2419.18  0.281176  0.315806 0.0948353  0.308183 0.0684197  0.348379  0.072171  0.127094  0.314898 0.0690379
(1,(2,(3,4)),(((5,6),(7,8)),(((((((9,10),11),12),13),14),15),16))); -2264.56  -4.32058 111.711 59.9812 21.7814 -2333.75  0.300367  0.342575 0.0865333  0.270525  0.109309   0.29663 0.0772782  0.144167  0.276516 0.0960991
(1,2,(3,(4,(((5,6),((((((9,10),11),12),15),(13,14)),16)),(7,8))))); -2444.35  -5.81948 106.466 58.0997 20.8252 -2507.72  0.305403  0.338007 0.0867389  0.269852  0.101612  0.305214 0.0860655 0.0789447  0.329207 0.0989568
(1,2,(3,(4,(((5,6),(((((((9,10),11),12),13),14),15),16)),(7,8))))); -2281.04  -3.71335 112.542 59.2965 22.2287 -2352.8  0.309772  0.320941 0.0885649  0.280721 0.0816692  0.326203    0.1079  0.132641  0.268821 0.0827651
(1,2,((3,4),(((5,6),(7,8)),(((((((9,10),11),12),14),13),15),16)))); -2286.97  -6.67209 109.777 58.4332 20.7061 -2352.35  0.326928  0.335753 0.0982445  0.239075 0.0886208  0.271446  0.119177  0.131605  0.301064 0.0880883
(1,2,(3,(4,(((5,6),(7,8)),((((((9,10),11),(12,13)),15),14),16))))); -2372.65  -6.0847 118.552 57.5847 20.7237 -2448.26  0.308184  0.344835 0.0843495  0.262631 0.0799554  0.249463  0.118547  0.174738  0.312559 0.0647376
(1,2,(3,(4,(((5,(7,8)),6),((((((9,10),11),12),13),15),(14,16)))))); -2379.58  -8.19529 112.603 58.1942 21.4391 -2447.23   0.32068   0.33078 0.0805049  0.268035 0.122602 0.254844 0.106309 0.128013  0.32791 0.060322
(1,2,(3,(4,(((5,6),(7,8)),(((((((9,10),11),12),13),14),15),16))))); -2294.2  -1.9069 106.934 59.7937 22.9902 -2362.43 0.284749 0.334181 0.100664 0.280406 0.0857579  0.304026  0.101948  0.136128  0.298367 0.0737724
(1,2,(3,(4,(((5,6),((((((9,10),11),12),13),14),(15,16))),(7,8))))); -2273.14  -7.62168 114.823 59.7615 22.0688 -2342.65  0.324918  0.334174 0.0843478  0.256561 0.0800921  0.270031 0.0782734  0.168287  0.339194 0.0641232
(1,2,(3,(4,(((5,6),(7,8)),((((((9,10),(11,12)),13),14),15),16))))); -2280.36  -4.04546 117.319 60.4395 21.6925 -2354.89  0.282071  0.343843 0.0832873  0.290799   0.10329  0.329675 0.0731524   0.10802  0.322846 0.0630167
(1,2,(3,(4,(((5,6),(7,8)),(((((((9,10),11),12),13),14),15),16))))); -2241.74  -1.9069 124.908 60.5977 19.2433 -2323.38  0.294121  0.355999 0.0752889  0.274591 0.0605576  0.253454  0.119967  0.154844  0.357074 0.0541039
(1,2,((3,4),(((5,6),(7,8)),(((((((9,10),11),12),13),14),15),16)))); -2264.65  -2.62973 115.689 59.979 22.4593 -2340.19  0.317215  0.340235 0.0671133  0.275437 0.0812846  0.306475 0.0893466   0.12844  0.328455 0.0659987
(1,2,(3,(4,(((5,6),((((((9,10),12),11),(13,14)),15),16)),(7,8))))); -2267.16  -6.50771 107.995 59.7849 22.2157 -2331.08  0.320555  0.309766 0.0873682  0.282311 0.0922328  0.277724 0.0603783  0.131727  0.345759 0.0921796
(1,2,((3,4),(((5,6),(7,8)),(((((9,10),(11,12)),13),15),(14,16))))); -2404.34  -8.02414 104.982 58.4351 20.0069 -2462.87  0.276376  0.360955 0.0932282   0.26944 0.0853017  0.253503 0.0723793  0.127882  0.400511 0.0604229
(1,2,((3,4),(((5,6),(7,8)),((((((9,10),11),12),(13,14)),15),16)))); -2251.45  -4.23515 125.41 59.9453 21.629 -2334.31  0.311402  0.336824 0.0792774  0.272496 0.0885098  0.318209 0.0546717  0.108852  0.347271 0.0824873
(1,2,(3,(4,(((5,6),(7,8)),((((((9,10),11),12),13),(14,15)),16))))); -2256.04  -4.92995 112.61 60.3419 22.084 -2325.46  0.311454  0.320603 0.0841604  0.283782  0.114202  0.283341 0.0786971  0.158725  0.299756 0.0652793
(1,2,(3,(4,(((5,6),(7,8)),(((((((9,10),11),12),13),15),14),16))))); -2260.51  -3.17863 111.977 60.551 19.5389 -2328.29  0.319196  0.349552 0.0818843  0.249368   0.12416  0.236662 0.0929307  0.133257  0.313179 0.0998105
(1,2,((3,4),(((5,6),(7,8)),(((((((9,10),11),12),13),14),15),16)))); -2242.71  -2.62973 118.494 60.3069 20.4218 -2318.69  0.330914  0.296433 0.0857941  0.286859 0.0621448  0.338946  0.107611  0.113221  0.298171 0.0799062
(1,2,(3,(4,(((5,6),(7,8)),((((((9,10),11),12),15),(13,14)),16))))); -2282.48  -4.01302 105.941 59.8815 18.3673 -2342.89 0.320946 0.320024  0.10016 0.258869  0.106534  0.209945  0.124925  0.132959  0.333693 0.0919446
(1,2,(3,(4,(((5,6),(7,8)),((((((9,10),(11,12)),13),14),15),16))))); -2277.72  -4.04546 116.568 59.8851 22.7495 -2353.11  0.327501  0.309784 0.0923549   0.27036 0.0716868  0.282833 0.0853707  0.109633  0.363199 0.0872778
