tree logl logTop logBL logPrior logQ logWt pi1 pi2 pi3 pi4 s1 s2 s3 s4 s5 s6
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((22,(((24,(25,26)),((27,28),(29,30))),31)),23)))),(((4,5),14),((6,7),(((8,9),((10,12),13)),11))))); -14149.5  -5.53298 251.292 116.842 29.7303 -14308.2 0.223045  0.22742 0.168995  0.38054   0.156667   0.205745  0.0629576  0.0191445   0.547488 0.00799748
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),((27,28),(29,30)))),31))))),(((4,5),14),((6,7),((((8,9),(10,12)),13),11))))); -14176.2  -6.57771 234.117 116.887 29.2044 -14316.1 0.221057 0.209687 0.161826  0.40743  0.143171  0.192669 0.0658195 0.0222892  0.569934 0.0061174
(1,2,(3,(((4,5),(((6,7),(((8,9),((10,12),13)),11)),14)),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31)),(22,23)))))); -14160.9  -11.1765 236.506 116.033 28.2335 -14298.4 0.224968 0.214946 0.164695 0.395391   0.132382   0.213436  0.0808357  0.0158776   0.553909 0.00355918
(1,2,((3,(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23)))),((4,5),(((6,7),(((8,9),11),((10,12),13))),14)))); -14150.7  -6.42943 244.851 117.486 27.4626 -14299.1 0.223316 0.226259 0.178898 0.371527   0.151601   0.184852  0.0634058   0.021636    0.57227 0.00623478
(1,2,((3,(((4,5),14),((6,7),((((8,9),(10,12)),11),13)))),(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),((27,28),(29,30)))),31)))))); -14167.3  -8.5808 248.473 116.727 29.9963 -14320.4 0.227226 0.222274 0.171376 0.379124   0.146719   0.184777  0.0823316  0.0188837   0.559668 0.00762108
(1,2,((3,((15,22),((((16,17),((18,19),(20,21))),((((24,(27,28)),(25,26)),(29,30)),31)),23))),(((4,5),14),((6,7),((((8,9),11),13),(10,12)))))); -14170  -13.5097 252.403 116.779 30.9985 -14323.2 0.221196 0.225303  0.16957 0.383931   0.153627   0.193823  0.0814651  0.0147065   0.549392 0.00698726
(1,2,((3,(15,((((16,17),((18,19),(20,21))),((24,(((25,26),(27,28)),(29,30))),31)),(22,23)))),(((4,5),14),((6,7),((((8,9),(10,12)),13),11))))); -14164.2  -7.31048 248.786 117.017 29.8729 -14318.5 0.199366 0.217518 0.171196  0.41192  0.151318  0.200813 0.0661631 0.0178849  0.555922 0.0078983
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((22,23),(((24,(25,26)),((27,28),(29,30))),31))))),((4,5),((((((6,7),13),(10,12)),(8,9)),11),14)))); -14170.2  -10.5482 249.076 116.569 28.2462 -14320.4 0.220585 0.216965 0.181448 0.381001   0.140816   0.186658  0.0665694  0.0163849   0.580176 0.00939537
(1,2,((3,(((4,5),14),((6,7),(((8,9),((10,12),13)),11)))),(15,(((16,17),((18,19),(20,21))),((22,23),(((24,(25,26)),((27,28),(29,30))),31)))))); -14162.3  -5.14231 250.432 117.005 28.4164 -14319 0.236801  0.20864 0.179687 0.374872   0.145741   0.205114  0.0850278  0.0166051   0.539682 0.00783058
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((22,(((24,(25,26)),((27,28),(29,30))),31)),23)))),(((4,5),14),(((6,7),((8,9),((10,12),13))),11)))); -14167.5  -7.7787 243.478 116.578 30.9289 -14317.5 0.222835 0.230101 0.167378 0.379686   0.146184   0.197719  0.0679482  0.0186595   0.561698 0.00779068
(1,2,((3,(((4,5),14),((6,7),(((8,9),(10,12)),(11,13))))),(15,((((((16,17),((18,19),(20,21))),31),((24,((25,26),(27,28))),(29,30))),22),23)))); -14167.9  -10.5129 238.636 116.685 28.7714 -14308.1 0.217796 0.226338 0.175868 0.379998   0.156868   0.214375  0.0689221  0.0121191   0.541284 0.00643209
(1,2,((3,(((4,5),14),((6,7),(((8,9),(10,12)),(11,13))))),(15,((((16,17),((18,19),(20,21))),(((24,(27,28)),(25,26)),(29,30))),((22,31),23))))); -14196.8  -12.077 246.218 117.34 25.6754 -14339.3 0.230082 0.206638 0.185464 0.377815   0.153316   0.174531   0.073521  0.0168063   0.572055 0.00977167
(1,2,((3,(((4,5),14),((6,7),((((8,9),(10,12)),13),11)))),((15,22),((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),23)))); -14182.7  -8.3257 250.353 117.84 26.6795 -14333.6 0.219805 0.230717 0.172277 0.377201  0.150739   0.20421 0.0897198 0.0157639  0.528025 0.0115426
(1,2,((3,(((4,5),14),((6,7),(((8,9),((10,13),12)),11)))),(15,((((16,17),((18,19),(20,21))),((24,((25,26),((27,28),(29,30)))),31)),(22,23))))); -14156.2  -7.79623 243.184 117.365 28.2768 -14302.5 0.206302 0.232236 0.175136 0.386325   0.140725   0.189786  0.0681014    0.01387   0.579032 0.00848521
(1,2,((3,(((4,5),14),((6,7),(((8,9),((10,12),13)),11)))),(15,((((16,17),((18,19),(20,21))),(22,((24,((((25,26),27),28),(29,30))),31))),23)))); -14188.7  -11.371 242.113 116.344 27.8481 -14330.9 0.215592 0.231276  0.15882 0.394312  0.164178  0.184718 0.0754618 0.0163191  0.548657 0.0106669
(1,2,((3,(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23)))),(((4,5),14),((6,7),((((8,9),(10,12)),13),11))))); -14166.3  -5.61857 245.14 118.407 27.9229 -14315.3 0.220124 0.196033 0.180483  0.40336   0.135755   0.191431  0.0736027  0.0158097   0.576877 0.00652464
(1,2,((3,((4,5),(((6,7),(((8,9),((10,12),13)),11)),14))),(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),((27,28),(29,30)))),31)))))); -14164.5  -6.20736 242.393 117.266 29.0196 -14312.5 0.205072 0.226125 0.176301 0.392503   0.146346   0.183305  0.0687726  0.0167295   0.576195 0.00865264
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((22,23),(((24,(25,26)),((27,28),(29,30))),31))))),(((4,5),14),((6,7),((((8,9),(10,12)),13),11))))); -14208.1  -6.2313 249.545 117.285 22.9638 -14357.1 0.187517 0.227976  0.17478 0.409727  0.140526  0.221203 0.0859228 0.0194653  0.522363 0.0105199
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((22,23),((24,((25,26),((27,28),(29,30)))),31))))),(((4,5),14),((6,7),((8,9),(((10,12),13),11)))))); -14178.4  -8.38116 241.465 117.413 28.9192 -14323 0.214549 0.214241 0.176496 0.394714  0.154004  0.196975 0.0753997 0.0164682  0.543862  0.013292
(1,2,((3,(((4,5),14),((6,7),(((8,9),((10,12),13)),11)))),(15,(((16,17),((18,19),(20,21))),((22,23),(((24,(25,26)),((27,28),(29,30))),31)))))); -14157.9  -5.14231 252.924 116.888 28.4081 -14317.2 0.200226 0.228361 0.165638 0.405775  0.137555  0.213192 0.0672176 0.0226371  0.552688 0.0067105
(1,2,((3,(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23)))),(((4,5),14),((((((6,7),10),12),(8,9)),13),11)))); -14169.4  -9.87405 250.144 116.835 27.1409 -14320 0.205385   0.2245 0.166348 0.403767   0.150026   0.188659  0.0789754  0.0100127    0.56503 0.00729691
(1,2,((3,((4,5),(((6,7),(((8,9),(10,12)),(11,13))),14))),(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23))))); -14160.1  -6.20825 244.269 117.671 27.542 -14308  0.22545 0.213516 0.172822 0.388212   0.136231   0.204624  0.0902049  0.0130868   0.551276 0.00457701
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((22,23),(((24,((25,26),27)),(28,(29,30))),31))))),(((4,5),14),((6,7),(((8,9),((10,12),13)),11))))); -14170.5  -10.6927 239.356 116.93 29.0701 -14311.3 0.231505 0.219915 0.168937 0.379644   0.150794   0.204043   0.064623  0.0131287   0.559149 0.00826197
(1,2,((3,(15,(((16,17),((18,19),(20,21))),((22,23),((((24,(25,26)),(27,28)),(29,30)),31))))),(((4,5),14),((6,7),(((8,9),(10,12)),(11,13)))))); -14161.5  -8.36287 271.318 116.445 31.5516 -14339.5 0.217957 0.228057 0.161435 0.392551  0.142717  0.202589 0.0732978 0.0159069  0.557683 0.0078063
(1,2,((3,(15,((((16,17),((18,19),(20,21))),((24,(((25,26),(27,28)),(29,30))),31)),(22,23)))),(((4,5),14),((6,7),(((8,9),((10,12),13)),11))))); -14153.4  -6.31787 252.515 116.948 31.6575 -14314.3 0.225544  0.21792 0.164058 0.392479   0.146888   0.193407  0.0750165  0.0198837   0.559006 0.00579833
(1,2,((3,(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23)))),((4,5),(((6,7),((((8,9),(10,12)),13),11)),14)))); -14142.9  -6.33721 252.49 117.417 30.8897 -14302.5 0.213338 0.214484 0.180489 0.391689   0.139538   0.203514  0.0674234  0.0175784   0.564641 0.00730596
(1,2,((3,(((4,5),14),((6,7),(((8,9),(10,12)),(11,13))))),(15,((((16,17),((18,19),(20,21))),(((24,(25,26)),((27,28),(29,30))),31)),(22,23))))); -14168.1  -5.48961 243.271 116.592 26.8216 -14316.1 0.205733 0.244763 0.156649 0.392855   0.150635   0.186381  0.0853511  0.0187393   0.553915 0.00497866
(1,2,((3,(((4,5),14),((6,7),(((8,9),(10,12)),(11,13))))),(15,((((16,17),((18,19),(20,21))),(((24,((25,26),(27,28))),(29,30)),31)),(22,23))))); -14165  -7.29117 257.291 116.578 28.1081 -14326.5 0.210139 0.232711 0.162508 0.394643   0.144287   0.182783  0.0856026  0.0148337    0.56725 0.00524289
(1,2,((3,(((4,5),14),(((((6,7),10),((8,9),12)),13),11))),(15,((((16,17),((18,19),(20,21))),(23,((24,((25,26),((27,28),(29,30)))),31))),22)))); -14175.2  -12.5538 255.91 116.774 29.2185 -14331  0.22391 0.230839 0.161983 0.383269   0.142573   0.194937  0.0687257     0.0219   0.561947 0.00991646
(1,2,((3,(((4,5),14),((((((6,7),10),13),12),(8,9)),11))),(15,((((16,17),((18,19),(20,21))),((24,(((25,26),(27,28)),(29,30))),31)),(22,23))))); -14167  -10.096 248.024 116.699 27.3988 -14315.6 0.210828 0.235581 0.180188 0.373403   0.151066   0.203746   0.061401  0.0140388    0.56168 0.00806844
(1,2,((3,(((4,5),14),((6,7),((((8,9),(10,12)),13),11)))),(15,(((16,17),((18,19),(20,21))),((22,(((24,((27,28),(29,30))),(25,26)),31)),23))))); -14171.4  -7.87109 259.647 117.651 28.1381 -14333.6 0.214175 0.197065 0.170205 0.418554   0.150215   0.207514  0.0739662  0.0231043    0.53779 0.00741077
(1,2,((3,((4,5),(((6,7),((((8,9),12),(10,13)),11)),14))),(15,(((16,17),((18,19),(20,21))),((22,23),(((24,(25,26)),((27,28),(29,30))),31)))))); -14183.7  -10.1318 250.034 116.824 27.2999 -14334 0.230387 0.213348 0.175468 0.380797   0.150756   0.201752  0.0800105  0.0273228   0.531517 0.00864195
(1,2,((3,(15,((((16,17),((18,19),(20,21))),(22,((24,((25,26),((27,28),(29,30)))),31))),23))),((4,5),((((6,7),((8,9),(10,(12,13)))),11),14)))); -14189.1  -12.5958 236.94 115.678 30.4504 -14328.2 0.210725 0.234618 0.172369 0.382288   0.146523   0.191634  0.0777045  0.0154718   0.560536 0.00813138
